	kallisto_quant_sample140	kallisto_quant_sample145	kallisto_quant_sample150	kallisto_quant_sample173	kallisto_quant_sample178
XM_044325590.1	65.811	10.9183	21.8749	41.9939	39.1927
XR_003824533.2	0	0	0	0	0
XM_029333174.2	0	4	0	17.799	0
XM_044325175.1	3	0	0	0	5
XR_006395121.1	21.6672	11.0507	23.5321	12.1192	39.7207
XM_044314832.1	0	7.57198	0	0	0
XM_044322197.1	23.3812	0	42.2816	2.91011	6
XM_029348743.2	2290	1553	1434	1500	1369
XM_029345900.2	660	419	322	671	669
XM_029332592.2	1808	1106	984	1388.8	1449
XM_044308905.1	36.481	5.54492	0	0	0
XM_029346337.2	151.816	4.20012	122	111.773	188.829
XM_029331572.2	5119	7596	3453	5990	3109
XM_044325013.1	0	0	7.93273	1.74902	0
XM_029325613.2	2482.06	1841.67	1308.32	1169.84	799.538
XM_044314251.1	0	0	0	0	0
XM_044318592.1	382.474	347.068	441.738	324.192	795.643
XM_044310858.1	410.891	295.905	420.048	194.947	213.582
XR_003823346.2	32.2673	18	50.0524	67.5612	115.003
XR_006392683.1	1	0	0	0	0
XM_029353629.2	0.000452747	0.000623501	1.79098e-05	0.000127172	165.264
XM_044319578.1	19	7.74758	3.94024	8	43.5854
XR_006391386.1	105.568	57.9236	9.65334	77.1716	125.566
XM_044309510.1	72.2044	39.8171	91.5403	24.4288	80.5092
XM_044328315.1	0	0	0	0	12
XM_029338987.2	0	0	0	0	0
XM_044307460.1	0	0	5	0	0
XM_044324025.1	389.894	227.218	220.094	331.42	303.365
XR_006392637.1	0	5	0	0	0
XM_029341748.2	348	326	345	374	430
XM_029330011.2	629	520	410	477	611
XM_044321795.1	16989.5	14576.5	6661.82	13615.5	8321.92
XR_003827137.2	20	11	2	10	5
XM_044322623.1	0	4	2	0	355.929
XR_006392488.1	388.653	634.106	247.855	28.8375	183.932
XM_029327549.2	9.09762	3.22811	11.574	0	2.96277
XM_029338502.2	336.973	164.24	83.2184	124.089	282.965
XM_044327158.1	79.2008	13.4724	74.4489	104.219	13.3075
XM_029342596.2	676.697	415.697	130.754	374.359	718.358
XM_044311620.1	0	0	0	0	0
XR_006398098.1	0	0	0	0	0
XM_044321988.1	0	0	0	0	0
XM_044315892.1	2800.45	1226.1	1442.58	3607.45	3153.01
XM_029323708.2	195.395	102.957	100.802	103.034	64.9512
XM_044316722.1	0	0	0	0	0
XM_044324582.1	0	0	14	0	25
XM_044326151.1	20	18	6	11	25
XM_044326638.1	0	2.77856e-08	0	0	0
XR_006393201.1	0	0	0	0	0
XM_044322738.1	4.71306e-05	30.9929	6.17592e-06	0	3.70818e-05
XM_029329754.2	22.6072	0	24.144	0	1.66332
XM_044323174.1	44.2387	53.5506	36.1258	332.197	204.897
XM_029338125.2	55.9378	34.8311	23.8614	0	43.9133
XM_044308329.1	20.5281	269.709	27.4633	4.53844e-05	0
XM_029348520.2	49.8437	1.68979	4.79137	29.8465	29.8591
XM_029356165.2	0	0	0	0	0
XR_006392522.1	109	47	87	53	8
XM_029331704.2	920	1168	770	994	1410
XM_029343891.2	9	16	20	14	15
XR_006396403.1	1487.03	1819.49	1026.53	1770.99	2550.75
XM_029346049.2	1943	2616	1660	2281	2399
XM_044322514.1	14	0	6	49	8
XM_044311205.1	14	0.00765304	0.00168111	0.0177048	0.00511561
XM_044316592.1	5	8	0	7	36.7759
XR_006396529.1	0	0	0	0	0
XM_029357296.2	119.809	93.3683	53	137	92.4365
XM_029338461.2	198.724	129.088	127.17	173.942	170.297
XM_044321580.1	0	0	0	0	0
XM_044321916.1	6.71309e-08	17.5078	0	89.0594	209.075
XM_044322989.1	196.266	430.633	342.986	879.209	73.5886
XM_029324100.2	0	8	2.14434	6	0
XR_006395669.1	69.0627	40.1785	1.29905	26.2633	48.0415
XM_044326325.1	146.887	79.762	88.0571	103.433	147.944
XM_044322880.1	8563.42	8585.81	7186.21	12159.1	4634.03
XM_044317907.1	550.998	403.281	329.935	553.455	412.882
XM_029340317.2	622.847	88.8373	372.178	401.584	255.748
XM_044308035.1	0	0	0	0	2.66081e-08
XM_029334179.2	0	26.5643	0.000204619	31.8133	2.19831
XM_029357520.2	16.877	2.92515	0	1.24319	0
XM_044326221.1	0	0	0	0	0
XM_029325619.2	1518	1437	1231	1464	1721
XM_044323456.1	164.414	22.0254	38.6437	166.333	65.2822
XM_044306802.1	912.055	713.389	754.509	1442.73	1170.64
XM_044319777.1	1764.47	461.88	641.124	1919.79	1084.58
XM_044314220.1	0	0	0	0	0
XM_044314542.1	24614.1	23800.8	12929.8	15820.1	12006
XM_044325032.1	1169.23	1045.88	1077.83	1267.19	2463.69
XR_003825594.2	22.0005	3.69405	3.97237	1.99356	97.1456
XM_044319356.1	2	8	1	6	5
XR_006397870.1	116.901	43.4555	16	146.391	72.4471
XM_029342784.2	73.8904	85.3696	51.5547	246.245	116.421
XR_006396785.1	1435.2	1144.55	738.691	1475.02	1062.26
XM_044307427.1	0	0	0	0	0
XM_044316526.1	5.42132	10.1717	6.8431	4.904	14.9702
XM_044316106.1	178.739	95.468	91.3629	46.6497	62.8767
XM_029350169.2	2.59799	1.44041	2.67386	2.87796	0
XM_044314713.1	0	0	0	0	0
XM_029334974.2	410.131	251	245	452	299
XM_029348414.2	115.449	63.6372	90.558	42.5645	137.601
XM_029350594.2	0.136498	8.99683	0	0	4.66394
XM_029348041.2	1573.99	655.204	1010.94	1109.23	1004.66
XM_044320210.1	0.0337716	0.0098393	0.00355056	0.00866183	189.148
XM_044309781.1	19	2	21	23	57
XM_044307148.1	195.686	651.24	185.806	234.2	204.953
XR_006392817.1	356.798	121.576	6.60672	434.145	513.462
XR_006395244.1	0	2.73776e-06	0	9.00566	0
XM_029349292.2	225.73	612.88	26.7283	103.765	156.584
XR_006395169.1	9	62	128	18	55
XM_044320381.1	0.033621	1217.71	429.186	76.263	555.17
XM_029331540.2	860	924	795	902	1002
XM_044307688.1	106.468	6.01516	23.6975	31.666	155.134
XM_029337505.2	306.971	227.839	277.111	184.414	515.359
XM_029350548.2	8	13	15	13	4
XM_044320276.1	12646.7	35675.8	13881.3	8505.27	5517.76
XR_006393711.1	0	0	1	0	4.01322
XM_044319135.1	0	2.08994e-05	9.8561e-07	0	111.143
XM_044325354.1	55.7278	19.8161	94.6823	15.8061	80.6789
XM_044316846.1	0	0	0	0	0
XM_029342987.2	153.886	92.6875	0	174.876	100.106
XM_029329505.2	662	263.303	137	432.2	298.377
XM_029331768.2	9335.08	9570.78	4681.14	12747	11062.7
XM_029347202.2	0	0	0	0	3
XR_006394325.1	63.144	6.12356	67.628	81.5612	60.286
XM_029331111.2	200	204	166	330	503
XM_029335347.2	0	0	0	0	0
XM_029353303.2	0	2.61702	7.17078	12.7907	0
XM_044311448.1	7	0	0	0	0
XM_029338545.2	316	357	45	249	457
XM_044308527.1	16	11	4	35	2
XM_044319490.1	2.37304	0	18.6607	20.3043	31.1428
XM_029345248.2	833.612	1821.17	918.227	1339.67	899.32
XM_044327804.1	0	0	0	0	1
XM_044307970.1	11.5888	2	0	0	2.13575
XM_044329018.1	0	0	0	0	0
XM_029344879.2	218.299	0	23.0513	0	156.239
XM_029345889.2	973	682	422	822	699
XM_029338251.2	140	137	141	192	166
XM_044316848.1	4.23302	41.1128	29.0156	58.442	67.5449
XM_044318407.1	13.5114	6.81715	19.5347	6.77895	6.22295
XR_006393598.1	97.354	56.2288	32.4199	17.4713	1.64445
XM_029340513.2	170	52	95	112	81
XM_029339591.2	4	0	4	9	7.62135
XM_044306773.1	0	0	0	0	0
XM_029326544.2	32.2484	2.40298	14.279	0	0.0180454
XR_006392691.1	0	0	0	0	0
XM_029339305.2	258.916	66.1276	11.5124	147.348	93.5463
XM_044311025.1	0	0	0	0	0
XM_029345875.2	82.8963	0	101.22	48.5336	91.2845
XM_029328690.2	1044.37	1286.87	462.344	727.257	316.223
XM_044311984.1	0	11.0115	16.1472	5.7775	23.6888
XM_044309305.1	0	0	1.36472	0	26
XM_029330678.2	4270.67	3402.86	2213	6303.83	3223.77
XM_029356776.2	86	5	79	9	198
XM_044312835.1	0	0	381.334	312.023	0
XM_044313685.1	0	0	28.7788	3	12.0492
XM_044310444.1	262.583	94.6362	171.168	230.124	141.661
XM_044327970.1	183.227	53.8911	77.2548	218.129	191.308
XM_044325982.1	0	0	0	0	0
XM_029328563.2	4236	4949	3639	5226	5583
XR_006397065.1	4.06464	0	0	0	0
XM_044324986.1	49.9961	20	28.7856	41.5634	94.9934
XM_044309800.1	621	396	421	404	440
XM_029344147.2	578.195	750.985	340.676	396.874	238.755
XM_044314186.1	0	0	0	0	1.31145
XM_044310280.1	923	419	549	1223	953
XM_044318299.1	159.11	28.8236	57.034	195.934	298.038
XM_044309241.1	1	0	4	24	9
XM_044309338.1	1	14	17.0665	0	3.482
XR_003828618.1	3339	2272	1303	2942	2307
XM_029356909.2	5890	3993	2748	5649	5420
XM_044309046.1	93	63	68	154	17
XR_006396402.1	0	1	15.0917	0	10
XM_029355855.2	1111	2297.47	973	913	864.497
XM_044316493.1	3	5.22904	12.391	18.4416	0
XR_006392774.1	39	15	0	15	27
XM_029356687.2	0	0	0	0	0
XM_029325582.2	0	0	0	0	0
XM_029351919.2	155	35	39	54	52
XR_006397073.1	338.988	187.856	306.575	310.833	551.831
XR_006391433.1	0	0	0	0	0
XM_044329115.1	0	0	0	0	99.1435
XM_029329938.2	260.329	29.4788	142.128	264.186	438.552
XM_029324819.2	0	0	0	0	0
XM_044308047.1	2235.47	1144.6	1204.84	1974.44	1842.31
XM_044327110.1	3.27758	0	39.5208	0	22.0552
XM_044311422.1	0	0	0	0	3
XM_029330664.2	155	96	99	77	73
XM_044323506.1	0	0	0	0	0
XM_029355838.2	3568	1898	1676	2875	3136
XM_044321730.1	25	0	0	8	0
XM_044307968.1	42.0841	7.77764	12.9074	19.8982	5.5052
XM_044309569.1	28	31	5	17	2
XM_044315617.1	0	0	0	0	0
XR_003823878.2	14	15	84	71	57
XR_006396345.1	6.71283	0	11.6133	2.27964	20.2575
XM_044327073.1	0	0	11	4	0
XM_044316345.1	0	0	0	0	0
XM_044322461.1	37.0179	12.1548	0	0.551865	46.5847
XM_029350590.2	455.799	5.25675e-07	2.89621e-08	56.8213	0
XM_029333580.2	5.54667	23.7438	43.1339	34.6755	19.9836
XM_044323694.1	24.6224	2	3.41122	2	28.0751
XM_029349640.2	231.921	438.916	432.119	553.107	1074.02
XR_006391651.1	8.90919	16.5064	1.56793	3.28359	9.15742
XM_044326490.1	28.1016	0	14.0096	4	27.5056
XM_044313724.1	0	0	0	0	0
XM_029336228.2	0	0	0	0	0
XM_029342569.2	82	71	75	67	101
XM_029336569.2	0	0	0	0	108.081
XM_044321593.1	0	0	0	0	0
XM_029345563.2	20.6027	0	0	2.67578e-07	32.6427
XM_044324620.1	158.808	91.8725	79.6911	67.0552	104.251
XM_029358247.2	0	17	0	21.1955	0
XM_029341633.2	1607	1071	694	992	1336
XM_029357301.2	149.383	82.435	34.9196	101.055	55.4291
XM_029337679.2	646	669	371	518	419
XM_029354566.2	30	9	5	6	52
XR_006395559.1	119.618	67.5519	117.393	47.9326	9.31767
XM_029357994.2	119	64	59	130	352
XM_029355700.2	6358	5145	2784	4382	3183
XR_006396209.1	92.4156	60.705	51.5308	35.5297	78.5306
XM_044317397.1	35.884	25	1.86187	45.4049	39.375
XM_029338691.2	55.911	45.8839	42	166.641	121.625
XM_044311452.1	105	29	65	71	39
XM_029330768.2	0	0.000210435	75.4307	0	0
XM_044326666.1	460.152	197.573	75.6441	496.18	411.276
XM_029338337.2	529	382.063	334	519.257	378.5
XM_029344502.2	7	0	1	0	21.3397
XM_044325338.1	0	0	0	0	239.668
XM_044312367.1	0	0	5.54908	0	13.4624
XR_006396386.1	45.307	0	146.076	110.473	89.2043
XR_003824689.2	170	172.168	154.992	93.96	171.189
XM_029328631.2	26.8951	43.9175	53.7985	54.3113	138.219
XM_044313543.1	0	23.9187	0	0	1.39558
XM_029335770.2	133.632	7.73416e-06	122.133	0	151.724
XM_029351654.2	89.8608	199	109.191	282	108
XM_029345920.2	313.762	233.011	172.698	276.61	247.313
XM_044326694.1	0	0	0	0	0
XM_029330978.2	2093.65	1964.99	1066.19	1686.34	2248.61
XM_044309747.1	0	0	0	0	2.66933e-08
XM_044320107.1	5.40985	0	12.6353	7.65005	7
XR_006396805.1	598.448	255.471	263.222	289.956	322.184
XM_029325994.2	0	0	0	0	0
XM_044328355.1	153.2	143.701	9.4898	95.3458	39.2274
XM_029337602.2	0	423.301	2.30409	56.8123	34.5872
XM_029356887.2	3	6	2	11	18
XM_044321359.1	347.291	37.0819	296.217	4.55981	221.41
XM_044321568.1	33	59	30	35.6899	62
XM_044322934.1	0	0	0	0	2.35798
XR_006395656.1	83.4318	272.552	132.071	101.417	113.099
XM_029356436.2	84	257	7.77253	281	200
XM_029333316.2	127.239	16.5281	0	16.7754	0.183912
XM_029331887.2	0	84.1291	46.7844	184.767	502.888
XR_006396015.1	97.4774	98.7667	49.7188	53.2649	88.7677
XM_044322213.1	178	90	57	267	168
XR_003825973.2	14.0626	10.9669	0	0	0
XR_006397776.1	0	0	2	20.9169	12.6035
XR_006394818.1	239.196	39.0618	3.74223e-07	16.4272	0
XM_044326534.1	0	0	0	2.19903e-06	0
XM_044320472.1	348.476	188.188	247.673	439.132	1264.61
XR_006395045.1	0	0	0	0	0
XM_029326868.2	0	0	0	0	0
XM_029351567.2	362.884	246.972	172	267.017	149
XM_044318412.1	46	2	45	107	245
XM_029345816.2	12.7971	19.4376	64.5016	90.3845	72.1307
XR_006395797.1	0	0	0	0	0
XM_029324582.2	575.673	276.524	121.077	452.125	66.1975
XM_044309260.1	0	0	0	2	0
XM_029323536.2	123.589	114.573	132.122	90.8392	176.527
XM_044307009.1	94	89	243.635	69	81
XM_029328985.2	16	0	9	17	18
XM_029355879.2	692.738	754	762.253	906	1068.7
XM_029339414.2	761	900	441	683	591
XM_044319442.1	65.1431	6.94769	149.874	4.84095	106.411
XR_006395790.1	56.0233	85.6506	136.113	55.0281	156.976
XM_029337534.2	0	0	0	0	0
XM_044314916.1	114.795	8.68262e-06	32.5158	1.35328	56.6538
XM_029350635.2	80.7224	84.7078	80.0647	154.904	152.464
XM_044319561.1	11.4397	2	2	2	10
XM_044311556.1	0	0	0	1	0
XM_044309402.1	6	2	0	2.13718	10
XM_044312399.1	0	1	0	8	0
XR_006393780.1	2.08608	1.1875	12.4407	2.12121	23.253
XM_029329819.2	184.159	250.448	254.479	179.91	325.343
XM_029325840.2	66.6684	169.258	0	69.4853	89.502
XM_029337538.2	0	97.372	64.8194	0	0
XM_044310642.1	0	0	10.9505	0	0
XM_029358123.2	11008	12455	4867	8839	8476
XM_029349994.2	1	3	6	8	12
XM_044318189.1	0	10.1829	0.328192	0	114.835
XM_044324561.1	7.96155	3.16183	0	2.52036	15.5396
XM_044309160.1	15.6864	4.55543	0	0	0
XM_044329052.1	0	0	0	0	0
XM_029324560.2	0	5	0	4	3
XM_029347078.2	263	209	167	220	308
XM_029337215.2	223.519	103.287	89.899	182.172	236.353
XM_044311628.1	11	29	20	3	22
XR_006391661.1	0	0	13.0283	45.8697	59.394
XM_029335696.2	8	0	0	0	5
XR_006392328.1	0	0	0	0	0
XM_044308666.1	0	0	0	0	0
XM_044310679.1	0	0	0	1.25226e-08	3.64098e-06
XR_006397085.1	0	0	0	0	0
XM_044327514.1	187	105	75	107	225
XM_029354800.2	0	0	0	0	7.22933
XM_029328918.2	273.052	305.086	266.942	591.664	484.463
XR_006394535.1	75.5223	52.3511	89.4856	18.0586	96.3522
XM_029344262.2	790	691	595	1463	1318
XR_006392026.1	0	0	0	0	0
XM_029358322.2	183.562	241.828	45	132	47
XM_029356700.2	225.47	247.936	0.000266661	0.00111167	48.9297
XM_044316819.1	0	0.0529782	64.2038	1.0049	491.21
XM_044318674.1	789.5	123.88	0.0315562	577.871	429.779
XM_044309601.1	0	1	33	0	10
XR_006395525.1	137.552	92.3818	235.21	35.2306	195.526
XM_044315643.1	2.65925	0	5.44767	7.72733	24.8473
XM_044327446.1	0	0	0	6.88605	0
XM_029328179.2	37	61.3621	72	24	17
XM_029357405.2	1006	321	437	571	698
XM_044307961.1	8	0	0	0	0
XM_044307575.1	39.9668	35.5273	10.6447	57.6799	30.802
XM_029331618.2	204.427	123.503	104.716	53.2672	149.202
XM_029334449.2	0	0	0	10.9632	0
XR_006395681.1	1464.42	878.573	1124.68	1544.61	1601.02
XM_029339812.2	287.221	0	0	0.458761	0
XM_044325015.1	0	0	0	0	0
XM_029346116.2	7248	6492	4270	6565	5453
XM_029336273.2	71	1	26	33	180
XM_044326565.1	0	0	0	0	0
XM_044324210.1	1.86946	0	0	14.1432	16
XM_044318842.1	1877	1615	1115	1878	1624
XM_044321073.1	24	7	35	5	42
XM_029326661.2	0	0	0	0	0
XM_044328361.1	0	0	31.248	21.2337	0.961775
XM_029357344.2	4489	7802	2713	5315	4730
XM_044307769.1	31	18	32	37.5585	116.645
XM_029329450.2	63.4236	190.167	42.7278	129.388	160.989
XM_029331808.2	2031.7	1881.9	1655.66	1890.19	1927.42
XM_029356005.2	1083.93	579.666	691.272	765.777	370.717
XR_006396126.1	0	1	9	0	0
XM_029329548.2	446.284	559.098	540.183	732.314	589.01
XM_029338742.2	411	31.8227	21.0573	18.5979	401.695
XR_006395103.1	143.287	8.51542	18.2634	9.08153	23.7297
XM_029336203.2	311	229	171	303	291.642
XM_044315492.1	11.2452	0	15	0	73.922
XM_029324301.2	90.773	0	14.042	44.4552	0
XM_044323478.1	0	0	0	0	0
XR_006391664.1	608	480	597	732	975
XM_044316459.1	0	0	0	0	0
XM_029347438.2	10	25	4	83	58
XM_029356623.2	1190.83	803.05	591.712	1165.54	1846.9
XM_044307012.1	26.2209	14.8538	6.19038	0	19.9675
XM_044324171.1	194.651	106.31	86.081	129.886	145.683
XM_029329346.2	3444	3361	1848	2760	3034
XM_029333670.2	67.3093	28.6641	44.7761	67.5023	34.607
XM_029357451.2	0	0	162.151	0	24.3328
XM_044315666.1	38.5607	99.9493	62.1426	47.2367	284.308
XM_044318050.1	1407.34	1163.05	571.241	905.582	760.013
XM_044327638.1	0	0	0	1	0
XM_029328947.2	1180	1043	533	1391	897
XM_029334790.2	23	204	28	125	38
XM_029325597.2	35	104	7	120	29
XR_006391290.1	52	37	51	46	78
XM_029325138.2	22.8964	38.7754	24.4737	53.5749	21.5252
XM_029326978.2	0	0	0	0	0
XR_006397123.1	37.3831	21.11	69.4745	15.1205	73.0217
XR_006392123.1	258	264	224	196	315
XM_044312622.1	137	139	53	115	95
XM_029329766.2	11	0	1	3	0
XR_006396666.1	66.8114	71.1044	19.1499	87.3566	15.6296
XM_029338138.2	29	21	14	23	23
XM_029331977.2	0	27.1029	0	0	0
XM_044320098.1	1060.08	891.75	463.701	780.432	111.798
XM_044318923.1	0	0.00019975	209.981	0.00163332	0.181885
XM_044307394.1	0	0	0	0	0
XM_029347161.2	281.581	105.657	0.065135	0.296812	0.266034
XM_044327775.1	7.68192	1.96162	141.436	113.358	411.479
XM_029323990.2	531.303	189.472	170.105	353.902	920.272
XR_006392068.1	0	0	0	0	0
XM_029351188.2	47	21	45.2235	26.1027	57.4701
XR_006396704.1	0.00354376	0	0	0	0
XM_029349716.2	22.8401	77.0685	2.18995	10.2162	3.92886
XM_044311174.1	747	586	364	927	895
XM_029336116.2	875.334	1987.49	90.3018	345.136	14.2954
XR_003824091.2	2.25086	0	0	0	0
XR_006397030.1	0.00776799	0	0	0	1.4185
XM_044328618.1	240.465	4.84202	19.1071	0	0
XM_044319745.1	534.08	336.019	209.434	414.522	214.259
XR_006392372.1	59.4434	7.05674	16.7061	497.563	55.0519
XR_006394505.1	1	1	1	5	0
XM_029333304.2	0	0	3.19896	0	48.02
XM_029343115.2	159.39	55	140	153	306.586
XM_029350591.2	1279.37	96.0853	116.024	639.884	128.11
XM_044324244.1	1	0	0	0	0
XM_044309880.1	5	0	3	5	62
XM_044308178.1	0	0	139.894	0	335.541
XM_029331057.2	0	93.4601	41	0	34
XM_029356686.2	10107	10513	6976	8886	6959
XM_044325507.1	0	0	0	0	0
XM_029329490.2	319.961	251.673	175.107	258.517	248.154
XR_006391425.1	12	1	4	0	11
XM_029326867.2	0	45.4033	93.2711	18.4117	86.089
XR_006392961.1	41.4353	1.7713	24.8023	4.91995	150.901
XR_006391427.1	16.8878	24.3362	1.1537	5.58674	3.07738
XM_029355416.2	778	794	702	902	820
XM_029345768.2	3172.15	1496.85	83.3206	442.101	1451.69
XM_029345393.2	533	380	360	593	536
XM_029351706.2	1031	945	666	1307	989
XM_029350965.2	1839.49	653.353	665.517	891.755	234.053
XM_029338675.2	307.794	449.392	305.759	356.523	339.792
XM_044326932.1	0	0	0	0	0
XR_006391473.1	26	0	11	1	0
XM_044306903.1	190.338	158.284	106.491	270.012	228.137
XR_006397179.1	0	0	6.66875	0	21.1441
XM_029337128.2	423	131	535	346	328
XM_044308292.1	321.892	311.568	180	478.658	456.213
XM_029343606.2	2515.84	1718.41	490.197	3178.65	2005.67
XM_044312710.1	182.805	217.478	92.4962	137.171	104.26
XM_044308584.1	29	26.7304	21	4	47.6676
XM_029358584.2	1072.75	761.834	617.694	130.482	733.85
XM_044313187.1	128	125	121	120	174
XM_044316759.1	1487	1094	819	1692	1787
XM_044325768.1	1	0	15	7	0
XM_044306856.1	0	7.76593	0	0	0
XM_044307283.1	3437	2178	2275	2287	3360
XM_029350182.2	198	88	91	192	229
XM_029357131.2	190	122	81	121	128
XM_044322368.1	11.6751	10	1	13.1501	13.2131
XM_044315374.1	2	2	1	4.36288	3.86996
XR_006398113.1	0	2.37692	0	0	0
XM_029330238.2	2522	2500	1774	4222	1756
XM_044323969.1	0	6.64422	0	5.84649	17.0463
XM_029338010.2	914.597	392.158	589.552	375.317	280.759
XM_044316362.1	60.5473	33.9121	48.1849	44.8565	50.0341
XM_044311415.1	0	0	0	0	0
XM_044321234.1	0	0	0	0	62.1368
XR_006396900.1	0	6.0264	0	0	0
XM_044325858.1	74.0675	18.1423	83.4944	164.872	36.9433
XM_044322963.1	1430.39	1147	945	1591.29	1586.03
XM_029335333.2	4	4	5	4	4
XM_044327103.1	4.63223	0	5.51639	0	14.6097
XM_029326977.2	0	0	0	0	0
XR_006397177.1	0.0329974	0	28.3312	0	52.8559
XM_029331347.2	28.7536	50.6253	27.5711	0	41.3943
XM_044315481.1	0	0	0	0	0
XR_006392965.1	41.4353	1.7713	24.8023	4.91995	150.901
XM_044326700.1	38.012	0	2	0	0
XR_003826876.2	30	35	18	19	32
XM_044316583.1	5494	2986	2484	3605	4100
XM_044317979.1	4302	2026	1824	2869	2412
XM_029346218.2	325.861	95.1591	63.5448	164.389	234.947
XM_044313430.1	0	0	0	0	0
XR_006397769.1	0	27.0941	0	0	0
XM_044321571.1	56.8583	101.654	61.3778	262.07	255.173
XM_044307277.1	241.945	56.7083	105	217	137.709
XM_029338023.2	0.000617388	13.5097	2.86818e-05	50.1773	0.000854925
XM_044309208.1	0	0	0	0	12
XM_029336408.2	84.2392	32.528	21.0267	122.233	30.642
XM_029357753.2	151	121	35	97	124
XR_006396295.1	0	31.1733	0	0	130.536
XM_044324151.1	0	0	0	0	0
XM_029335598.2	0	28.4011	74.4843	269.2	38.4677
XM_029357733.2	345	0	49.7169	120.614	7.82925
XR_006395828.1	0	0	0	0	43.8825
XM_044312061.1	0	8.98838	0	0	0
XM_044310019.1	0	0	0	0	0
XM_029331325.2	8	3.66086	0	0	40.5442
XM_044319358.1	89.778	78.8086	58.6074	82.6436	34.9335
XM_044320369.1	0	6.27486	0	0	2.03186
XR_006391280.1	37.0889	10.3829	11.0568	25.2333	12.071
XM_044314854.1	2.03427	16.2716	0	4.57635	5.6725
XM_044308901.1	13.9025	2.14317	4.33365	17.984	7.89968
XR_006394740.1	58.1266	0.0399151	0	7.93889e-06	0
XM_044325327.1	54	25.3908	71	98.2896	93.5462
XM_044312519.1	0	0	0	3.74532	9.01587
XM_044327978.1	80.6355	49.5187	9.20289e-06	0.00362347	179.155
XM_044315031.1	214.644	0.000610749	254.443	213.998	162.949
XM_029335808.2	182.27	0	130.582	52.0947	0
XM_029352113.2	730.851	622.367	184.263	3503.66	2107.78
XM_029326851.2	398	266	179	256	283
XR_006396344.1	0	0	1	0	0
XM_029356823.2	11.1768	0	37.7337	14.5858	5.40881
XM_044311551.1	1	0	0	8.03004	0
XM_044310928.1	0	0	0	0	0
XM_044326578.1	2096	1731	1342	2735	2397
XM_044320843.1	21.2361	107.256	6.04258	0	9.37584
XM_029339176.2	69	33	58	107	247
XM_044311821.1	230.485	379.224	148.138	167.906	422.208
XM_029329144.2	268.439	0	41.6369	311.887	300.066
XR_006393933.1	15278.5	23261.7	189643	22554.1	30770.9
XM_044324822.1	0	0.0151298	0	19.7511	0
XR_006393166.1	8.79333	18.0561	53.9084	7.7611	90.7104
XM_029352084.2	915.953	538	628.628	755.798	729.418
XM_029340676.2	36.3987	92.6306	86.742	77.0396	37.8831
XM_029343622.2	0	0	0	0	0
XM_044307078.1	80.5115	7.56468	0	14.2625	14.7301
XR_006397890.1	7.75254	0	0	0	0
XM_044312409.1	30.0978	0	0	0	0
XM_029339905.2	272.435	241.713	88.7597	178.058	60.2531
XM_044315789.1	8	4	19	14.0447	96
XR_006394224.1	45.3036	43.7151	2	6	84.7435
XM_029344767.2	0	0.0958549	110.692	0.035376	0
XM_044318004.1	0	0	0	0	0
XM_044310981.1	53	8	6.15648	43	74
XM_029336640.2	3383.06	1778.09	712.829	3256.3	831.531
XM_044319594.1	4.8637	1.21216	0	17.8237	0
XM_044329189.1	0	0	0	0	0
XR_006396446.1	3	0	0	0	11.1104
XM_044316750.1	10.5582	0	0.576086	19.7657	7.7518
XR_003824873.2	29	4	17	40	35
XM_044319955.1	34	169.414	196.671	242.443	183.207
XM_029341924.2	1.8294e-07	2.47419e-07	0	0.000245972	0
XM_044312012.1	2.36463	20.2688	9.58609	24.2714	11.4755
XR_006398041.1	10.6037	68.3109	0	584.111	68.6636
XM_029330985.2	2046	1377.11	835.438	1806.29	1367
XM_029347239.2	161	117	69	82	196
XM_044314827.1	0	3.79387	1	3.07351	20.1799
XM_044325227.1	0	0	2.59817	0	0
XR_006391965.1	0	0	0	0	15.7615
XR_006391362.1	0	0	5	0	87
XM_044315651.1	4.76337	31.3154	16.0752	17.8835	3.77837
XM_044324197.1	559	330	366	469	609
XM_029355549.2	1141.85	471.647	615.89	994.362	1020.33
XM_044322621.1	0	0	0	0	23.1034
XM_029326987.2	600.12	95.6718	260.798	88.8863	317.05
XM_029324912.2	1	1	3	0	78
XM_044315050.1	1.65892	7.09231	0	40.0332	0
XM_044317075.1	0	0	0	0	0
XM_029353639.2	8.31826	33.6203	18	1.6424	19.4186
XM_029353315.2	0	0	0.436161	0	0
XM_044320255.1	4516	4320	1565	1681	2899
XM_044323545.1	4	0	23	9	25
XM_029336144.2	2477	3698	2884	1630	2930
XM_029352110.2	46	12	33	10	81
XM_044327536.1	0	0	0	0	0
XM_029354558.2	549	620	496	547	548
XR_006391527.1	0	1.36927	0	8	0
XM_044309707.1	27.8196	151.248	12.7473	24.4706	36.1404
XM_044322358.1	0	0	0	0	0
XM_029331218.2	148.589	85.4477	27.7332	128.956	42.2319
XM_044310477.1	19.2204	28.4087	25.7285	29.2219	34.6662
XM_044327595.1	306.816	67.4633	95.2473	120.216	47.7083
XM_044327460.1	1	0	6	4	0
XM_044329015.1	439	182	114	249	276
XM_029332986.2	4300	4143	2389	3975	4217
XM_029355738.2	3	0	0	0	0
XM_029335128.2	35	11	18	8	54
XM_029348784.2	258.075	152.631	279.039	274.748	680.904
XM_044310937.1	2	0	8	11	201
