"","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","region","V3","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"4948","Cluster_1167","Peve_00036304",0.998004045644015,0.0402293194706296,0.909359886114279,160,-21.03,"2 17","3987 4008",15,"80.00%","86.67%","CDS","Q5PQN1","Probable E3 ubiquitin-protein ligase HERC4 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 4) (HECT-type E3 ubiquitin transferase HERC4)","Rattus norvegicus (Rat)","cell differentiation [GO:0030154]; negative regulation of smoothened signaling pathway [GO:0045879]; protein ubiquitination [GO:0016567]; spermatogenesis [GO:0007283]; ubiquitin-dependent protein catabolic process [GO:0006511]","GO:0001650; GO:0005737; GO:0005829; GO:0006511; GO:0007283; GO:0016567; GO:0030154; GO:0045879; GO:0061630"
"4955","Cluster_1167","Peve_00036499",0.999960220513847,0.00567840213011246,0.560635076887081,147,-22.07,"2 12","13365 13386",10,"90.00%","90.00%","CDS","O00571","ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)","Homo sapiens (Human)","cell differentiation [GO:0030154]; cellular response to arsenic-containing substance [GO:0071243]; cellular response to osmotic stress [GO:0071470]; cellular response to virus [GO:0098586]; chromosome segregation [GO:0007059]; cytosolic ribosome assembly [GO:0042256]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; gamete generation [GO:0007276]; innate immune response [GO:0045087]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway [GO:0097193]; lipid homeostasis [GO:0055088]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell growth [GO:0030308]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of translation [GO:0017148]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cell growth [GO:0030307]; positive regulation of chemokine (C-C motif) ligand 5 production [GO:0071651]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of gene expression [GO:0010628]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; positive regulation of protein acetylation [GO:1901985]; positive regulation of protein autophosphorylation [GO:0031954]; positive regulation of protein K63-linked ubiquitination [GO:1902523]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of toll-like receptor 7 signaling pathway [GO:0034157]; positive regulation of toll-like receptor 8 signaling pathway [GO:0034161]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of translation [GO:0045727]; positive regulation of translation in response to endoplasmic reticulum stress [GO:0036493]; positive regulation of translational initiation [GO:0045948]; positive regulation of viral genome replication [GO:0045070]; primary miRNA processing [GO:0031053]; protein localization to cytoplasmic stress granule [GO:1903608]; response to virus [GO:0009615]; RNA secondary structure unwinding [GO:0010501]; stress granule assembly [GO:0034063]; translational initiation [GO:0006413]; Wnt signaling pathway [GO:0016055]","GO:0003677; GO:0003678; GO:0003723; GO:0003724; GO:0003729; GO:0003924; GO:0005524; GO:0005576; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0005829; GO:0005886; GO:0006413; GO:0007059; GO:0007276; GO:0008134; GO:0008143; GO:0008190; GO:0008625; GO:0009615; GO:0010494; GO:0010501; GO:0010628; GO:0016055; GO:0016887; GO:0017111; GO:0017148; GO:0030027; GO:0030154; GO:0030307; GO:0030308; GO:0031053; GO:0031252; GO:0031333; GO:0031369; GO:0031954; GO:0032727; GO:0032728; GO:0033592; GO:0034063; GO:0034157; GO:0034161; GO:0034774; GO:0035556; GO:0035613; GO:0036493; GO:0042256; GO:0043015; GO:0043024; GO:0043065; GO:0043066; GO:0043154; GO:0043186; GO:0043273; GO:0043280; GO:0043539; GO:0045070; GO:0045087; GO:0045296; GO:0045727; GO:0045944; GO:0045948; GO:0048027; GO:0055088; GO:0070062; GO:0070878; GO:0071243; GO:0071470; GO:0071651; GO:0071902; GO:0072559; GO:0090263; GO:0097193; GO:0098586; GO:1900087; GO:1900227; GO:1901223; GO:1901224; GO:1901985; GO:1902042; GO:1902523; GO:1903608; GO:1904813; GO:2001243"
"4956","Cluster_1167","Peve_00036508",0.999909726776791,0.00855416971793915,0.573710369894872,155,-21.68,"2 17","6066 6088",16,"81.25%","81.25%","CDS","Q8VI56","Low-density lipoprotein receptor-related protein 4 (LRP-4) (LDLR dan)","Mus musculus (Mouse)","amyloid-beta clearance by cellular catabolic process [GO:0150094]; anatomical structure development [GO:0048856]; dendrite morphogenesis [GO:0048813]; dorsal/ventral pattern formation [GO:0009953]; embryonic digit morphogenesis [GO:0042733]; embryonic limb morphogenesis [GO:0030326]; endocytosis [GO:0006897]; generation of neurons [GO:0048699]; hair follicle development [GO:0001942]; kidney development [GO:0001822]; limb development [GO:0060173]; negative regulation of axonogenesis [GO:0050771]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of ossification [GO:0030279]; odontogenesis of dentin-containing tooth [GO:0042475]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of presynaptic membrane organization [GO:1901631]; positive regulation of skeletal muscle acetylcholine-gated channel clustering [GO:1904395]; postsynaptic membrane assembly [GO:0097104]; presynaptic membrane assembly [GO:0097105]; protein localization [GO:0008104]; proximal/distal pattern formation [GO:0009954]; receptor clustering [GO:0043113]; regulation of protein phosphorylation [GO:0001932]; skeletal muscle acetylcholine-gated channel clustering [GO:0071340]; synapse organization [GO:0050808]; synaptic assembly at neuromuscular junction [GO:0051124]; Wnt signaling pathway [GO:0016055]","GO:0001822; GO:0001932; GO:0001942; GO:0005509; GO:0005886; GO:0006897; GO:0008104; GO:0009953; GO:0009954; GO:0009986; GO:0014069; GO:0016055; GO:0030279; GO:0030326; GO:0030425; GO:0030971; GO:0031594; GO:0034185; GO:0042475; GO:0042733; GO:0042803; GO:0043025; GO:0043113; GO:0044853; GO:0048699; GO:0048813; GO:0048856; GO:0050731; GO:0050771; GO:0050808; GO:0051124; GO:0060173; GO:0071340; GO:0090090; GO:0097060; GO:0097104; GO:0097105; GO:0097110; GO:0150094; GO:1901631; GO:1904395"
"4957","Cluster_1167","Peve_00036508",0.999909726776791,0.00855416971793915,0.573710369894872,164,-25.05,"2 21","23785 23806",19,"68.42%","84.21%","CDS","Q8VI56","Low-density lipoprotein receptor-related protein 4 (LRP-4) (LDLR dan)","Mus musculus (Mouse)","amyloid-beta clearance by cellular catabolic process [GO:0150094]; anatomical structure development [GO:0048856]; dendrite morphogenesis [GO:0048813]; dorsal/ventral pattern formation [GO:0009953]; embryonic digit morphogenesis [GO:0042733]; embryonic limb morphogenesis [GO:0030326]; endocytosis [GO:0006897]; generation of neurons [GO:0048699]; hair follicle development [GO:0001942]; kidney development [GO:0001822]; limb development [GO:0060173]; negative regulation of axonogenesis [GO:0050771]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of ossification [GO:0030279]; odontogenesis of dentin-containing tooth [GO:0042475]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of presynaptic membrane organization [GO:1901631]; positive regulation of skeletal muscle acetylcholine-gated channel clustering [GO:1904395]; postsynaptic membrane assembly [GO:0097104]; presynaptic membrane assembly [GO:0097105]; protein localization [GO:0008104]; proximal/distal pattern formation [GO:0009954]; receptor clustering [GO:0043113]; regulation of protein phosphorylation [GO:0001932]; skeletal muscle acetylcholine-gated channel clustering [GO:0071340]; synapse organization [GO:0050808]; synaptic assembly at neuromuscular junction [GO:0051124]; Wnt signaling pathway [GO:0016055]","GO:0001822; GO:0001932; GO:0001942; GO:0005509; GO:0005886; GO:0006897; GO:0008104; GO:0009953; GO:0009954; GO:0009986; GO:0014069; GO:0016055; GO:0030279; GO:0030326; GO:0030425; GO:0030971; GO:0031594; GO:0034185; GO:0042475; GO:0042733; GO:0042803; GO:0043025; GO:0043113; GO:0044853; GO:0048699; GO:0048813; GO:0048856; GO:0050731; GO:0050771; GO:0050808; GO:0051124; GO:0060173; GO:0071340; GO:0090090; GO:0097060; GO:0097104; GO:0097105; GO:0097110; GO:0150094; GO:1901631; GO:1904395"
"4967","Cluster_1167","Peve_00036717",0.998121717950127,0.0390250551586088,0.909359886114279,159,-22.63,"2 21","9865 9887",20,"65.00%","85.00%","CDS","Q9NU19","TBC1 domain family member 22B","Homo sapiens (Human)","activation of GTPase activity [GO:0090630]","GO:0005096; GO:0071889; GO:0090630"
"4970","Cluster_1167","Peve_00036708",0.999952936172769,0.00617647154077515,0.573710369894872,152,-26.99,"2 14","193 215",13,"84.62%","92.31%","CDS","O60290","Zinc finger protein 862","Homo sapiens (Human)","regulation of DNA-templated transcription [GO:0006355]","GO:0005634; GO:0006355; GO:0046872; GO:0046983"
"4978","Cluster_1167","Peve_00037063",0.999909726776791,0.00855416971793389,0.573710369894872,164,-24.03,"2 21","918 939",19,"68.42%","84.21%","CDS","Q96AY4","Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301"
"4980","Cluster_1167","Peve_00037070",0.999984983127836,0.00348887497095565,0.515443117995556,145,-22.68,"2 15","841 863",14,"78.57%","78.57%","CDS","Q9I9H8","Apoptotic protease-activating factor 1 (APAF-1)","Danio rerio (Zebrafish) (Brachydanio rerio)","anatomical structure development [GO:0048856]; apoptotic signaling pathway [GO:0097190]; regulation of apoptotic process [GO:0042981]","GO:0005524; GO:0042981; GO:0043293; GO:0043531; GO:0048856; GO:0097190"
"4983","Cluster_1167","Peve_00037343",0.999909726776791,0.00855416971793915,0.573710369894872,141,-20.76,"2 12","4528 4548",10,"90.00%","90.00%","CDS",NA,NA,NA,NA,NA
"5009","Cluster_1167","Peve_00038067",0.999909726776791,0.00855416971793915,0.573710369894872,147,-23.48,"2 14","248 268",12,"83.33%","91.67%","CDS",NA,NA,NA,NA,NA
"5010","Cluster_1167","Peve_00038130",0.999956604133176,0.00593090373786624,0.572821453072688,145,-21.94,"2 10","3214 3235",8,"100.00%","100.00%","CDS","A2RT67","DENN domain-containing protein 3","Mus musculus (Mouse)","endosome to lysosome transport [GO:0008333]; protein catabolic process [GO:0030163]; regulation of Rab protein signal transduction [GO:0032483]","GO:0005085; GO:0008333; GO:0030163; GO:0031410; GO:0032483"
"5013","Cluster_1167","Peve_00038230",0.999909726776791,0.00855416971793389,0.573710369894872,150,-21.33,"2 21","13038 13058",19,"63.16%","78.95%","CDS","A6QLU6","Adhesion G-protein coupled receptor D1 (G-protein coupled receptor 133)","Bos taurus (Bovine)","adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cell surface receptor signaling pathway [GO:0007166]; G protein-coupled receptor signaling pathway [GO:0007186]","GO:0004930; GO:0005886; GO:0007166; GO:0007186; GO:0007189"
"5020","Cluster_1167","Peve_00038393",0.997587196470693,0.0442327011798084,0.92530164628749,141,-21.29,"2 14","30 51",12,"75.00%","75.00%","CDS","O60293","Zinc finger C3H1 domain-containing protein (Coiled-coil domain-containing protein 131) (Proline/serine-rich coiled-coil protein 2)","Homo sapiens (Human)","RNA processing [GO:0006396]","GO:0000178; GO:0005615; GO:0005634; GO:0006396; GO:0046872"
"5025","Cluster_1167","Peve_00038539",0.999588655116799,0.0182605165534585,0.782669382293497,151,-22.76,"2 12","54 75",10,"90.00%","100.00%","CDS","Q8BX90","Fibronectin type-III domain-containing protein 3A","Mus musculus (Mouse)","cell-cell adhesion [GO:0098609]; fertilization [GO:0009566]; Sertoli cell development [GO:0060009]; spermatid development [GO:0007286]","GO:0000139; GO:0001669; GO:0005737; GO:0005794; GO:0005829; GO:0007286; GO:0009566; GO:0012506; GO:0016020; GO:0031410; GO:0043231; GO:0060009; GO:0098609"
"5038","Cluster_1167","Peve_00038834",0.997317155093029,0.0466433836153534,0.93897035826855,160,-24.21,"2 21","218 237",19,"78.95%","84.21%","CDS","B3EWZ6","MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)","Acropora millepora (Staghorn coral) (Heteropora millepora)","","GO:0005576; GO:0016020"
"5059","Cluster_1167","Peve_00039250",0.99997853118278,0.00417157404869491,0.54328949385489,155,-21.41,"2 20","24627 24649",20,"80.00%","80.00%","CDS","Q38SD2","Leucine-rich repeat serine/threonine-protein kinase 1 (EC 2.7.11.1)","Homo sapiens (Human)","bone resorption [GO:0045453]; intracellular signal transduction [GO:0035556]; negative regulation of peptidyl-tyrosine phosphorylation [GO:0050732]; osteoclast development [GO:0036035]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of intracellular signal transduction [GO:1902533]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; signal transduction [GO:0007165]","GO:0004674; GO:0004722; GO:0005524; GO:0005525; GO:0005737; GO:0005739; GO:0005829; GO:0007165; GO:0018108; GO:0035556; GO:0036035; GO:0042802; GO:0043231; GO:0045453; GO:0046872; GO:0050731; GO:0050732; GO:0090263; GO:0106310; GO:1902533"
"5060","Cluster_1167","Peve_00036985",0.997756794620378,0.0426491968770769,0.914386765051354,144,-20.8,"2 16","1040 1059",14,"78.57%","78.57%","CDS",NA,NA,NA,NA,NA
"5075","Cluster_1167","Peve_00039811",0.997173310350041,0.0478780594352554,0.945312205299076,152,-23.71,"2 21","33046 33065",19,"73.68%","78.95%","CDS","Q4TU93","C-type mannose receptor 2 (Endocytic receptor 180) (Macrophage mannose receptor 2) (CD antigen CD280)","Rattus norvegicus (Rat)","collagen catabolic process [GO:0030574]; endocytosis [GO:0006897]","GO:0005518; GO:0005886; GO:0006897; GO:0030246; GO:0030574; GO:0038023"
"5086","Cluster_1167","Peve_00040359",0.999909726776791,0.00855416971793915,0.573710369894872,163,-23.61,"2 16","5494 5515",14,"85.71%","92.86%","CDS",NA,NA,NA,NA,NA
"5094","Cluster_1167","Peve_00040588",0.999909726776791,0.00855416971793915,0.573710369894872,145,-20.61,"2 10","8978 8999",8,"100.00%","100.00%","CDS","Q9DGB6","Toll-like receptor 2 type-2","Gallus gallus (Chicken)","detection of bacterial lipoprotein [GO:0042494]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; toll-like receptor signaling pathway [GO:0002224]","GO:0002224; GO:0004888; GO:0005886; GO:0006954; GO:0038023; GO:0042494; GO:0042497; GO:0045087; GO:0050135; GO:0061809"
"5097","Cluster_1167","Peve_00039535",0.998015074605896,0.0401179818688438,0.909359886114279,147,-20.62,"2 21","112189 112214",23,"65.22%","65.22%","CDS","P46023","G-protein coupled receptor GRL101","Lymnaea stagnalis (Great pond snail) (Helix stagnalis)","","GO:0004930; GO:0005886"
"5106","Cluster_1167","Peve_00040932",0.999909726776791,0.00855416971793389,0.573710369894872,151,-27.59,"2 14","7799 7819",12,"91.67%","91.67%","CDS",NA,NA,NA,NA,NA
"5107","Cluster_1167","Peve_00040948",0.999909726776791,0.00855416971793915,0.573710369894872,152,-20.23,"2 21","2076 2097",19,"63.16%","73.68%","CDS",NA,NA,NA,NA,NA
"5126","Cluster_1167","Peve_00041569",0.999301819989969,0.0237905288947379,0.853813685085773,154,-21.37,"2 21","3121 3141",19,"73.68%","73.68%","CDS",NA,NA,NA,NA,NA
"5127","Cluster_1167","Peve_00041482",0.999815936547399,0.0122147776163142,0.681122687635093,145,-21.61,"2 10","906 927",8,"100.00%","100.00%","CDS","Q9Z1K5","E3 ubiquitin-protein ligase ARIH1 (EC 2.3.2.31) (Protein ariadne-1 homolog) (ARI-1) (RING-type E3 ubiquitin transferase ARIH1) (UbcH7-binding protein) (UbcM4-interacting protein 77) (Ubiquitin-conjugating enzyme E2-binding protein 1)","Mus musculus (Mouse)","positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]","GO:0000151; GO:0000209; GO:0004842; GO:0005634; GO:0005654; GO:0005737; GO:0006511; GO:0008270; GO:0015030; GO:0016567; GO:0016604; GO:0019005; GO:0031462; GO:0031463; GO:0031464; GO:0031624; GO:0031625; GO:0032436; GO:0061630; GO:0097413"
"5154","Cluster_1167","Peve_00042755",0.999992038326394,0.00254037361647819,0.422009192811724,147,-20.54,"2 12","17174 17195",10,"90.00%","90.00%","CDS",NA,NA,NA,NA,NA
"5185","Cluster_1167","Peve_00043299",0.99767924235131,0.0433804490039369,0.91918014323027,154,-20.53,"2 21","14087 14107",19,"68.42%","78.95%","CDS","O75152","Zinc finger CCCH domain-containing protein 11A","Homo sapiens (Human)","poly(A)+ mRNA export from nucleus [GO:0016973]","GO:0003723; GO:0003729; GO:0005654; GO:0016973; GO:0046872"
"5186","Cluster_1167","Peve_00043299",0.99767924235131,0.0433804490039369,0.91918014323027,158,-24.71,"2 21","14114 14134",19,"63.16%","89.47%","CDS","O75152","Zinc finger CCCH domain-containing protein 11A","Homo sapiens (Human)","poly(A)+ mRNA export from nucleus [GO:0016973]","GO:0003723; GO:0003729; GO:0005654; GO:0016973; GO:0046872"
"5193","Cluster_1167","Peve_00043814",0.999909726776791,0.00855416971793915,0.573710369894872,151,-21.47,"2 21","8761 8784",21,"66.67%","71.43%","CDS",NA,NA,NA,NA,NA
"5194","Cluster_1167","Peve_00043809",0.999909726776791,0.00855416971793389,0.573710369894872,151,-21.47,"2 21","3528 3551",21,"66.67%","71.43%","CDS",NA,NA,NA,NA,NA
"5196","Cluster_1167","Peve_00043856",0.99891562964676,0.0296498971347644,0.903929377050813,153,-25.99,"2 21","810 833",22,"68.18%","77.27%","CDS",NA,NA,NA,NA,NA
"5201","Cluster_1167","Peve_00044041",0.999909726776791,0.00855416971793915,0.573710369894872,157,-22.8,"2 19","1086 1108",18,"72.22%","83.33%","CDS","Q19269","Zinc metalloproteinase nas-14 (EC 3.4.24.-) (Nematode astacin 14)","Caenorhabditis elegans","proteolysis [GO:0006508]","GO:0004222; GO:0005576; GO:0006508; GO:0008270"
"5230","Cluster_1167","Peve_00044798",0.999909726776791,0.00855416971793389,0.573710369894872,153,-20.1,"2 21","11807 11826",19,"68.42%","78.95%","CDS",NA,NA,NA,NA,NA
"5234","Cluster_1167","Peve_00044833",0.998564982655492,0.034109522881364,0.909359886114279,142,-23.91,"2 11","20373 20394",9,"88.89%","88.89%","CDS","Q9QXV3","Inhibitor of growth protein 1","Mus musculus (Mouse)","cell cycle [GO:0007049]; negative regulation of cell migration [GO:0030336]; negative regulation of stem cell population maintenance [GO:1902455]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of stem cell population maintenance [GO:1902459]; protein import into nucleus [GO:0006606]; regulation of cell death [GO:0010941]; regulation of DNA-templated transcription [GO:0006355]","GO:0000122; GO:0005634; GO:0006355; GO:0006606; GO:0007049; GO:0010941; GO:0016580; GO:0030336; GO:0030512; GO:0035064; GO:0045893; GO:0046872; GO:1902455; GO:1902459"
"5243","Cluster_1167","Peve_00044993",0.999909726776791,0.00855416971793915,0.573710369894872,146,-24.46,"2 20","1385 1407",19,"68.42%","68.42%","CDS","Q5XXP2","Melanopsin (Opsin-4)","Phodopus sungorus (Striped hairy-footed hamster) (Djungarian hamster)","hyaloid vascular plexus regression [GO:1990384]; optokinetic behavior [GO:0007634]; phototransduction [GO:0007602]; regulation of circadian rhythm [GO:0042752]; rhythmic process [GO:0048511]; visual perception [GO:0007601]","GO:0005502; GO:0005886; GO:0007601; GO:0007602; GO:0007634; GO:0008020; GO:0016020; GO:0030424; GO:0030425; GO:0042752; GO:0043204; GO:0048511; GO:1990384"
"5246","Cluster_1167","Peve_00045011",0.999909726776791,0.00855416971793389,0.573710369894872,147,-22.81,"2 21","75 97",20,"65.00%","70.00%","CDS",NA,NA,NA,NA,NA
"5249","Cluster_1167","Peve_00045068",0.996947347218333,0.0497558748086694,0.952281411175107,152,-23.21,"2 13","58494 58515",11,"90.91%","90.91%","CDS","Q96RW7","Hemicentin-1 (Fibulin-6) (FIBL-6)","Homo sapiens (Human)","actin filament reorganization [GO:0090527]; basement membrane organization [GO:0071711]; cell cycle [GO:0007049]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617]; visual perception [GO:0007601]","GO:0005201; GO:0005509; GO:0005604; GO:0005737; GO:0005912; GO:0005927; GO:0005938; GO:0007049; GO:0007156; GO:0007157; GO:0007601; GO:0009617; GO:0032154; GO:0051301; GO:0062023; GO:0070062; GO:0071711; GO:0090527"
"5252","Cluster_1167","Peve_00043653",0.999909726776791,0.00855416971793389,0.573710369894872,152,-23.21,"2 13","35454 35475",11,"90.91%","90.91%","CDS","D2IYS2","Tyrosine-protein kinase receptor torso (EC 2.7.10.1)","Bombyx mori (Silk moth)","","GO:0004714; GO:0005524; GO:0005886; GO:0046872"
"5254","Cluster_1167","Peve_00045262",0.999140395172539,0.0263982816855058,0.884795287459298,156,-22.04,"2 18","12923 12945",17,"76.47%","82.35%","CDS","O60841","Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2)","Homo sapiens (Human)","regulation of translational initiation [GO:0006446]; translational initiation [GO:0006413]","GO:0003723; GO:0003743; GO:0003924; GO:0005525; GO:0005737; GO:0005739; GO:0005829; GO:0006413; GO:0006446; GO:0045202; GO:0046872"
"5256","Cluster_1167","Peve_00045265",0.998095362879249,0.03929797736504,0.909359886114279,160,-23.56,"2 18","2666 2688",17,"82.35%","82.35%","CDS","O08759","Ubiquitin-protein ligase E3A (EC 2.3.2.26) (HECT-type ubiquitin transferase E3A) (Oncogenic protein-associated protein E6-AP)","Mus musculus (Mouse)","androgen receptor signaling pathway [GO:0030521]; cellular response to brain-derived neurotrophic factor stimulus [GO:1990416]; locomotory exploration behavior [GO:0035641]; modulation of chemical synaptic transmission [GO:0050804]; motor learning [GO:0061743]; negative regulation of dendritic spine morphogenesis [GO:0061002]; ovarian follicle development [GO:0001541]; positive regulation of Golgi lumen acidification [GO:1905528]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of transcription by RNA polymerase II [GO:0045944]; progesterone receptor signaling pathway [GO:0050847]; prostate gland growth [GO:0060736]; protein autoubiquitination [GO:0051865]; protein K48-linked ubiquitination [GO:0070936]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of circadian rhythm [GO:0042752]; regulation of ubiquitin-dependent protein catabolic process [GO:2000058]; response to cocaine [GO:0042220]; response to hydrogen peroxide [GO:0042542]; response to progesterone [GO:0032570]; rhythmic process [GO:0048511]; sperm entry [GO:0035037]; ubiquitin-dependent protein catabolic process [GO:0006511]","GO:0000209; GO:0000502; GO:0001541; GO:0003713; GO:0004842; GO:0005634; GO:0005829; GO:0006511; GO:0014068; GO:0016567; GO:0030521; GO:0031398; GO:0032570; GO:0035037; GO:0035641; GO:0042220; GO:0042542; GO:0042752; GO:0045944; GO:0046872; GO:0048511; GO:0050804; GO:0050847; GO:0051865; GO:0060736; GO:0061002; GO:0061630; GO:0061743; GO:0070936; GO:0098978; GO:1905528; GO:1990416; GO:2000058"
"5257","Cluster_1167","Peve_00045265",0.998095362879249,0.03929797736504,0.909359886114279,160,-23.56,"2 18","3513 3535",17,"82.35%","82.35%","CDS","O08759","Ubiquitin-protein ligase E3A (EC 2.3.2.26) (HECT-type ubiquitin transferase E3A) (Oncogenic protein-associated protein E6-AP)","Mus musculus (Mouse)","androgen receptor signaling pathway [GO:0030521]; cellular response to brain-derived neurotrophic factor stimulus [GO:1990416]; locomotory exploration behavior [GO:0035641]; modulation of chemical synaptic transmission [GO:0050804]; motor learning [GO:0061743]; negative regulation of dendritic spine morphogenesis [GO:0061002]; ovarian follicle development [GO:0001541]; positive regulation of Golgi lumen acidification [GO:1905528]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of transcription by RNA polymerase II [GO:0045944]; progesterone receptor signaling pathway [GO:0050847]; prostate gland growth [GO:0060736]; protein autoubiquitination [GO:0051865]; protein K48-linked ubiquitination [GO:0070936]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of circadian rhythm [GO:0042752]; regulation of ubiquitin-dependent protein catabolic process [GO:2000058]; response to cocaine [GO:0042220]; response to hydrogen peroxide [GO:0042542]; response to progesterone [GO:0032570]; rhythmic process [GO:0048511]; sperm entry [GO:0035037]; ubiquitin-dependent protein catabolic process [GO:0006511]","GO:0000209; GO:0000502; GO:0001541; GO:0003713; GO:0004842; GO:0005634; GO:0005829; GO:0006511; GO:0014068; GO:0016567; GO:0030521; GO:0031398; GO:0032570; GO:0035037; GO:0035641; GO:0042220; GO:0042542; GO:0042752; GO:0045944; GO:0046872; GO:0048511; GO:0050804; GO:0050847; GO:0051865; GO:0060736; GO:0061002; GO:0061630; GO:0061743; GO:0070936; GO:0098978; GO:1905528; GO:1990416; GO:2000058"
"5281","Cluster_2787","Peve_00000573",0.997993695501655,0.0403335252007132,0.909359886114279,158,-20.72,"2 20","1030 1053",20,"70.00%","80.00%","CDS","P05423","DNA-directed RNA polymerase III subunit RPC4 (RNA polymerase III subunit C4) (DNA-directed RNA polymerase III subunit D) (Protein BN51) (RNA polymerase III 47 kDa subunit) (RPC53 homolog)","Homo sapiens (Human)","defense response to virus [GO:0051607]; innate immune response [GO:0045087]; positive regulation of innate immune response [GO:0045089]; positive regulation of interferon-beta production [GO:0032728]; transcription by RNA polymerase III [GO:0006383]","GO:0003677; GO:0003682; GO:0005654; GO:0005666; GO:0005829; GO:0006383; GO:0032728; GO:0045087; GO:0045089; GO:0051607"
"5295","Cluster_2787","Peve_00000718",0.99999406092141,0.00219409219147524,0.380586526074297,163,-24.91,"2 16","31183 31204",14,"78.57%","100.00%","CDS","Q8IWZ3","Ankyrin repeat and KH domain-containing protein 1 (HIV-1 Vpr-binding ankyrin repeat protein) (Multiple ankyrin repeats single KH domain) (hMASK)","Homo sapiens (Human)","innate immune response [GO:0045087]","GO:0003723; GO:0005737; GO:0045087"
"5299","Cluster_2787","Peve_00000701",0.999443593359727,0.0212378921988233,0.822386609072632,156,-21.16,"2 17","5057 5078",15,"73.33%","86.67%","CDS","Q58CQ9","Pantetheinase (EC 3.5.1.92) (Pantetheine hydrolase) (Vascular non-inflammatory molecule 1) (Vanin-1)","Bos taurus (Bovine)","pantothenate metabolic process [GO:0015939]","GO:0005886; GO:0015939; GO:0017159"
