# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "42" "-a" "../output/01.61-lncRNA-pipeline/Peve_lncRNA_fixed.gtf" "-o" "../output/01.61-lncRNA-pipeline/Peve_counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../output/01.61-lncRNA-pipeline/RNA-POR-71-S1-TP2.sorted.bam" "../output/01.61-lncRNA-pipeline/RNA-POR-73-S1-TP2.sorted.bam" "../output/01.61-lncRNA-pipeline/RNA-POR-76-S1-TP2.sorted.bam" "../output/01.61-lncRNA-pipeline/RNA-POR-79-S1-TP2.sorted.bam" "../output/01.61-lncRNA-pipeline/RNA-POR-82-S1-TP2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../output/01.61-lncRNA-pipeline/RNA-POR-71-S1-TP2.sorted.bam	../output/01.61-lncRNA-pipeline/RNA-POR-73-S1-TP2.sorted.bam	../output/01.61-lncRNA-pipeline/RNA-POR-76-S1-TP2.sorted.bam	../output/01.61-lncRNA-pipeline/RNA-POR-79-S1-TP2.sorted.bam	../output/01.61-lncRNA-pipeline/RNA-POR-82-S1-TP2.sorted.bam
lncRNA_4824	Porites_evermani_scaffold_1279	21921	22665	+	745	0	0	0	0	1
lncRNA_4825	Porites_evermani_scaffold_1279	41124	58834	+	17711	145	97	117	75	469
lncRNA_4826	Porites_evermani_scaffold_1279	47121	50135	+	3015	0	0	0	0	0
lncRNA_4827	Porites_evermani_scaffold_1279	87784	88770	+	987	0	0	24	16	0
lncRNA_4828	Porites_evermani_scaffold_1279	64544	64926	+	383	28	7	81	6	24
lncRNA_4829	Porites_evermani_scaffold_1279	132863	133089	+	227	32	2	0	42	57
lncRNA_4830	Porites_evermani_scaffold_1279	136344	139291	+	2948	514	358	147	821	1469
lncRNA_4831	Porites_evermani_scaffold_128	79802	84257	+	4456	112	88	356	96	182
lncRNA_4832	Porites_evermani_scaffold_128	184800	196254	+	11455	0	8	0	16	3
lncRNA_4833	Porites_evermani_scaffold_128	200708	217003	+	16296	13	3	18	6	9
lncRNA_4834	Porites_evermani_scaffold_128	389357	397323	+	7967	201	250	387	84	215
lncRNA_4835	Porites_evermani_scaffold_128	429555	438099	+	8545	57	8	13	38	23
lncRNA_4836	Porites_evermani_scaffold_128	429957	436376	+	6420	0	0	0	0	0
lncRNA_4837	Porites_evermani_scaffold_128	9094	22947	+	13854	165	175	75	51	219
lncRNA_4838	Porites_evermani_scaffold_128	20387	22947	+	2561	0	0	0	0	0
lncRNA_4839	Porites_evermani_scaffold_128	65413	66407	+	995	0	0	0	0	0
lncRNA_4840	Porites_evermani_scaffold_128	76552	78032	+	1481	64	3	10	24	18
lncRNA_4841	Porites_evermani_scaffold_128	84986	93172	+	8187	452	218	1236	364	307
lncRNA_4842	Porites_evermani_scaffold_128	95890	105124	+	9235	410	223	1022	163	404
lncRNA_4843	Porites_evermani_scaffold_128	137924	145148	+	7225	82	18	288	55	29
lncRNA_4844	Porites_evermani_scaffold_128	160243	161533	+	1291	62	76	375	61	164
lncRNA_4845	Porites_evermani_scaffold_128	161553	178307	+	16755	65	14	141	16	54
lncRNA_4846	Porites_evermani_scaffold_128	185368	185569	+	202	0	0	0	0	0
lncRNA_4847	Porites_evermani_scaffold_128	225934	227041	+	1108	352	786	249	240	1471
lncRNA_4848	Porites_evermani_scaffold_128	240925	242650	+	1726	2	6	0	4	8
lncRNA_4849	Porites_evermani_scaffold_128	255099	256137	+	1039	11	0	0	1	2
lncRNA_4850	Porites_evermani_scaffold_128	301772	305253	+	3482	75	45	326	32	112
lncRNA_4851	Porites_evermani_scaffold_128	328251	342764	+	14514	2250	465	765	792	2498
lncRNA_4852	Porites_evermani_scaffold_128	329478	338984	+	9507	0	0	0	0	0
lncRNA_4853	Porites_evermani_scaffold_128	346849	366363	+	19515	185	167	852	227	265
lncRNA_4854	Porites_evermani_scaffold_128	398936	414589	+	15654	0	0	0	0	0
lncRNA_4855	Porites_evermani_scaffold_128	398938	414589	+	15652	0	0	0	0	0
lncRNA_4856	Porites_evermani_scaffold_128	400503	414589	+	14087	0	0	0	0	0
lncRNA_4857	Porites_evermani_scaffold_128	415076	429422	+	14347	232	65	284	122	170
lncRNA_4858	Porites_evermani_scaffold_128	416281	429422	+	13142	0	0	0	0	0
lncRNA_4859	Porites_evermani_scaffold_128	26998	29286	+	2289	1022	308	774	105	1089
lncRNA_4860	Porites_evermani_scaffold_128	220293	220518	+	226	4	12	0	0	54
lncRNA_4861	Porites_evermani_scaffold_128	270832	271457	+	626	18	1	90	4	69
lncRNA_4862	Porites_evermani_scaffold_128	438841	439492	+	652	103	39	92	33	165
lncRNA_4863	Porites_evermani_scaffold_1280	98073	99183	+	1111	0	0	0	0	2
lncRNA_4864	Porites_evermani_scaffold_1281	61956	66217	+	4262	0	0	22	0	0
lncRNA_4865	Porites_evermani_scaffold_1281	62937	66217	+	3281	0	0	0	0	0
lncRNA_4866	Porites_evermani_scaffold_1281	67385	71228	+	3844	59	41	18	5	37
lncRNA_4867	Porites_evermani_scaffold_1281	90035	96113	+	6079	58	15	39	28	28
lncRNA_4868	Porites_evermani_scaffold_1281	90159	100588	+	10430	0	0	0	0	0
lncRNA_4869	Porites_evermani_scaffold_1281	90191	100588	+	10398	0	0	0	0	0
lncRNA_4870	Porites_evermani_scaffold_1281	90606	100588	+	9983	0	0	0	0	0
lncRNA_4871	Porites_evermani_scaffold_1281	90901	100588	+	9688	0	0	0	0	0
lncRNA_4872	Porites_evermani_scaffold_1281	99162	104145	+	4984	10	0	204	63	57
lncRNA_4873	Porites_evermani_scaffold_1281	8541	8783	+	243	8	0	32	0	0
lncRNA_4874	Porites_evermani_scaffold_1281	8939	9803	+	865	46	0	34	1	8
lncRNA_4875	Porites_evermani_scaffold_1281	58434	60683	+	2250	6	0	22	15	2
lncRNA_4876	Porites_evermani_scaffold_1281	58667	60683	+	2017	0	0	0	0	0
lncRNA_4877	Porites_evermani_scaffold_1281	66472	67152	+	681	88	0	67	16	76
lncRNA_4878	Porites_evermani_scaffold_1281	123722	124631	+	910	48	4	0	14	12
lncRNA_4879	Porites_evermani_scaffold_1281	20777	20986	+	210	0	0	38	0	0
lncRNA_4880	Porites_evermani_scaffold_1281	135359	135577	+	219	0	0	31	0	0
lncRNA_4881	Porites_evermani_scaffold_1282	322	6486	+	6165	2	0	0	0	0
lncRNA_4882	Porites_evermani_scaffold_1282	23453	25630	+	2178	0	0	0	0	0
lncRNA_4883	Porites_evermani_scaffold_1282	61917	82195	+	20279	0	0	0	0	0
lncRNA_4884	Porites_evermani_scaffold_1282	61917	83261	+	21345	0	0	42	51	14
lncRNA_4885	Porites_evermani_scaffold_1282	61924	66248	+	4325	0	0	0	0	0
lncRNA_4886	Porites_evermani_scaffold_1282	93018	102901	+	9884	0	4	0	20	0
lncRNA_4887	Porites_evermani_scaffold_1282	113646	121034	+	7389	0	47	42	28	104
lncRNA_4888	Porites_evermani_scaffold_1282	118159	121034	+	2876	0	0	0	0	0
lncRNA_4889	Porites_evermani_scaffold_1282	130782	131221	+	440	2	91	1	2	72
lncRNA_4890	Porites_evermani_scaffold_1282	51293	52391	+	1099	105	41	325	22	33
lncRNA_4891	Porites_evermani_scaffold_1282	54710	61804	+	7095	52	8	228	30	37
lncRNA_4892	Porites_evermani_scaffold_1282	55832	60221	+	4390	0	0	0	0	0
lncRNA_4893	Porites_evermani_scaffold_1282	84677	91723	+	7047	82	101	269	160	152
lncRNA_4894	Porites_evermani_scaffold_1282	87141	89491	+	2351	0	0	0	0	0
lncRNA_4895	Porites_evermani_scaffold_1282	103562	113541	+	9980	3	4	0	0	10
lncRNA_4896	Porites_evermani_scaffold_1282	103990	113541	+	9552	0	0	0	0	0
lncRNA_4897	Porites_evermani_scaffold_1282	123570	130024	+	6455	43	33	182	33	36
lncRNA_4898	Porites_evermani_scaffold_1282	131109	132641	+	1533	0	23	0	1	75
lncRNA_4899	Porites_evermani_scaffold_1282	131436	131960	+	525	0	0	0	0	0
lncRNA_4900	Porites_evermani_scaffold_1282	77220	77506	+	287	0	0	0	0	0
lncRNA_4901	Porites_evermani_scaffold_1282	136396	136629	+	234	0	8	36	0	17
lncRNA_4902	Porites_evermani_scaffold_1283	9293	24387	+	15095	25099	2580	4071	7029	17961
lncRNA_4903	Porites_evermani_scaffold_1283	33587	35357	+	1771	10	1	10	11	9
lncRNA_4904	Porites_evermani_scaffold_1283	33737	35357	+	1621	0	0	0	0	0
lncRNA_4905	Porites_evermani_scaffold_1283	52867	54079	+	1213	0	0	20	33	10
lncRNA_4906	Porites_evermani_scaffold_1283	60554	98155	+	37602	513	184	838	240	503
lncRNA_4907	Porites_evermani_scaffold_1283	86443	87804	+	1362	0	0	0	0	0
lncRNA_4908	Porites_evermani_scaffold_1283	107438	110593	+	3156	121	0	313	54	50
lncRNA_4909	Porites_evermani_scaffold_1283	56881	60374	+	3494	1224	442	4168	1243	1331
lncRNA_4910	Porites_evermani_scaffold_1283	26200	28645	+	2446	117	48	149	44	78
lncRNA_4911	Porites_evermani_scaffold_1283	100195	107282	+	7088	177	15	135	41	78
lncRNA_4912	Porites_evermani_scaffold_1283	112280	123067	+	10788	0	0	0	0	0
lncRNA_4913	Porites_evermani_scaffold_1283	112280	123067	+	10788	0	0	0	0	0
lncRNA_4914	Porites_evermani_scaffold_1283	113718	123067	+	9350	0	0	0	0	0
lncRNA_4915	Porites_evermani_scaffold_1283	88399	88655	+	257	0	0	0	0	0
lncRNA_4916	Porites_evermani_scaffold_1284	13454	16685	+	3232	60	17	0	11	20
lncRNA_4917	Porites_evermani_scaffold_1284	54898	55201	+	304	39	6	15	0	16
lncRNA_4918	Porites_evermani_scaffold_1284	57989	61664	+	3676	4	0	0	0	0
lncRNA_4919	Porites_evermani_scaffold_1284	102094	107547	+	5454	859	320	502	124	354
lncRNA_4920	Porites_evermani_scaffold_1284	105169	107547	+	2379	0	0	0	0	0
lncRNA_4921	Porites_evermani_scaffold_1284	109846	120029	+	10184	310	99	756	120	645
lncRNA_4922	Porites_evermani_scaffold_1284	111725	120029	+	8305	0	0	0	0	0
lncRNA_4923	Porites_evermani_scaffold_1284	130167	137596	+	7430	0	0	0	0	0
lncRNA_4924	Porites_evermani_scaffold_1284	130167	137596	+	7430	0	0	0	0	0
lncRNA_4925	Porites_evermani_scaffold_1284	81710	81953	+	244	9	4	28	8	0
lncRNA_4926	Porites_evermani_scaffold_1285	30263	30827	+	565	0	0	0	0	0
lncRNA_4927	Porites_evermani_scaffold_1285	11204	12775	+	1572	0	0	0	0	0
lncRNA_4928	Porites_evermani_scaffold_1285	16283	17741	+	1459	0	0	0	0	0
lncRNA_4929	Porites_evermani_scaffold_1285	65569	69547	+	3979	2	0	0	1	32
lncRNA_4930	Porites_evermani_scaffold_1285	78391	79168	+	778	0	0	0	0	0
lncRNA_4931	Porites_evermani_scaffold_1285	78391	79961	+	1571	2	0	0	4	2
lncRNA_4932	Porites_evermani_scaffold_1285	108430	108796	+	367	84	0	36	24	1
lncRNA_4933	Porites_evermani_scaffold_1285	89930	94414	+	4485	8	1	24	1	14
lncRNA_4934	Porites_evermani_scaffold_1285	104937	105726	+	790	8	3	0	0	0
lncRNA_4935	Porites_evermani_scaffold_1285	115830	116190	+	361	0	0	0	0	0
lncRNA_4936	Porites_evermani_scaffold_1286	3724	3927	+	204	13	40	30	26	62
lncRNA_4937	Porites_evermani_scaffold_1286	35465	36755	+	1291	35	2	8	7	61
lncRNA_4938	Porites_evermani_scaffold_1286	38514	39345	+	832	38	2	138	188	17
lncRNA_4939	Porites_evermani_scaffold_1286	69900	91181	+	21282	0	0	0	0	0
lncRNA_4940	Porites_evermani_scaffold_1286	69900	94068	+	24169	0	2	0	1	5
lncRNA_4941	Porites_evermani_scaffold_1286	100378	107016	+	6639	16	0	0	6	19
lncRNA_4942	Porites_evermani_scaffold_1286	118353	118704	+	352	0	0	0	0	0
lncRNA_4943	Porites_evermani_scaffold_1286	131008	133799	+	2792	0	0	0	0	0
lncRNA_4944	Porites_evermani_scaffold_1286	131008	138670	+	7663	68	22	171	2	0
lncRNA_4945	Porites_evermani_scaffold_1286	1962	2536	+	575	87	13	82	91	125
lncRNA_4946	Porites_evermani_scaffold_1286	28822	29094	+	273	0	0	30	4	10
lncRNA_4947	Porites_evermani_scaffold_1287	59853	66832	+	6980	24	24	48	71	78
lncRNA_4948	Porites_evermani_scaffold_1287	85659	92562	+	6904	71	35	95	28	34
lncRNA_4949	Porites_evermani_scaffold_1287	2542	3268	+	727	185	14	59	83	253
lncRNA_4950	Porites_evermani_scaffold_1287	6156	7650	+	1495	116	79	72	33	46
lncRNA_4951	Porites_evermani_scaffold_1287	42508	44742	+	2235	0	4	63	42	2
lncRNA_4952	Porites_evermani_scaffold_1287	110401	110635	+	235	0	0	0	0	0
lncRNA_4953	Porites_evermani_scaffold_1287	113596	114691	+	1096	0	0	25	0	0
lncRNA_4954	Porites_evermani_scaffold_1287	41550	42235	+	686	2	0	3	8	238
lncRNA_4955	Porites_evermani_scaffold_1288	673	6938	+	6266	0	5	0	0	2
lncRNA_4956	Porites_evermani_scaffold_1288	674	5912	+	5239	0	0	0	0	0
lncRNA_4957	Porites_evermani_scaffold_1288	11876	18900	+	7025	0	0	0	0	1
lncRNA_4958	Porites_evermani_scaffold_1288	29628	32325	+	2698	0	0	0	0	0
lncRNA_4959	Porites_evermani_scaffold_1288	37903	38257	+	355	0	0	0	0	0
lncRNA_4960	Porites_evermani_scaffold_1288	39409	40360	+	952	0	0	0	0	0
lncRNA_4961	Porites_evermani_scaffold_1288	59232	60171	+	940	2	0	0	0	0
lncRNA_4962	Porites_evermani_scaffold_1288	100008	100959	+	952	0	0	0	0	0
lncRNA_4963	Porites_evermani_scaffold_1288	117147	117546	+	400	0	0	0	0	0
lncRNA_4964	Porites_evermani_scaffold_1289	22566	24713	+	2148	156	42	409	198	188
lncRNA_4965	Porites_evermani_scaffold_1289	62401	63511	+	1111	42	14	80	8	40
lncRNA_4966	Porites_evermani_scaffold_1289	103606	103846	+	241	2	0	36	0	0
lncRNA_4967	Porites_evermani_scaffold_129	132492	134331	+	1840	0	0	0	0	0
lncRNA_4968	Porites_evermani_scaffold_129	253266	253525	+	260	9	10	11	0	3
lncRNA_4969	Porites_evermani_scaffold_129	329707	330296	+	590	4	0	0	0	10
lncRNA_4970	Porites_evermani_scaffold_129	60346	67679	+	7334	841	420	672	370	902
lncRNA_4971	Porites_evermani_scaffold_129	111757	112181	+	425	23	0	42	108	10
lncRNA_4972	Porites_evermani_scaffold_129	112260	117527	+	5268	5	2	220	71	62
lncRNA_4973	Porites_evermani_scaffold_129	119812	154878	+	35067	112	2	170	63	120
lncRNA_4974	Porites_evermani_scaffold_129	120227	129107	+	8881	0	0	0	0	0
lncRNA_4975	Porites_evermani_scaffold_129	120331	127675	+	7345	0	0	0	0	0
lncRNA_4976	Porites_evermani_scaffold_129	120331	145843	+	25513	0	0	0	0	0
lncRNA_4977	Porites_evermani_scaffold_129	132727	154878	+	22152	0	0	0	0	0
lncRNA_4978	Porites_evermani_scaffold_129	134329	154878	+	20550	0	0	0	0	0
lncRNA_4979	Porites_evermani_scaffold_129	138732	154878	+	16147	0	0	0	0	0
lncRNA_4980	Porites_evermani_scaffold_129	163883	167185	+	3303	45	19	231	17	59
lncRNA_4981	Porites_evermani_scaffold_129	177656	187820	+	10165	362	191	73	6	673
lncRNA_4982	Porites_evermani_scaffold_129	184459	187820	+	3362	0	0	0	0	0
lncRNA_4983	Porites_evermani_scaffold_129	213035	216771	+	3737	0	0	26	0	0
lncRNA_4984	Porites_evermani_scaffold_129	258903	262445	+	3543	574	108	14	5	977
lncRNA_4985	Porites_evermani_scaffold_129	253736	255893	+	2158	40	10	19	0	59
lncRNA_4986	Porites_evermani_scaffold_129	284167	289663	+	5497	130	0	0	2	37
lncRNA_4987	Porites_evermani_scaffold_129	300706	301389	+	684	8	0	0	2	4
lncRNA_4988	Porites_evermani_scaffold_129	321392	327154	+	5763	53	17	0	0	156
lncRNA_4989	Porites_evermani_scaffold_129	339930	343969	+	4040	27	0	0	4	27
lncRNA_4990	Porites_evermani_scaffold_129	345522	346249	+	728	2	0	0	0	2
lncRNA_4991	Porites_evermani_scaffold_129	350340	352460	+	2121	117	28	0	2	226
lncRNA_4992	Porites_evermani_scaffold_129	395071	398737	+	3667	146	0	4	0	84
lncRNA_4993	Porites_evermani_scaffold_129	411077	412923	+	1847	2	0	1	1	2
lncRNA_4994	Porites_evermani_scaffold_129	425244	429225	+	3982	113	0	3	2	256
lncRNA_4995	Porites_evermani_scaffold_129	448100	451832	+	3733	2	0	38	16	0
lncRNA_4996	Porites_evermani_scaffold_129	456552	457964	+	1413	0	0	22	0	4
lncRNA_4997	Porites_evermani_scaffold_129	52113	56615	+	4503	521	206	380	344	652
lncRNA_4998	Porites_evermani_scaffold_129	158575	159424	+	850	23	29	117	0	28
lncRNA_4999	Porites_evermani_scaffold_1290	583	2871	+	2289	0	0	0	0	0
lncRNA_5000	Porites_evermani_scaffold_1290	583	2871	+	2289	0	0	0	0	0
lncRNA_5001	Porites_evermani_scaffold_1290	13115	14710	+	1596	0	0	0	0	0
lncRNA_5002	Porites_evermani_scaffold_1290	13137	14710	+	1574	0	0	0	0	0
lncRNA_5003	Porites_evermani_scaffold_1290	66232	68730	+	2499	0	0	0	0	0
lncRNA_5004	Porites_evermani_scaffold_1290	71725	73704	+	1980	0	0	0	0	0
lncRNA_5005	Porites_evermani_scaffold_1290	134189	134593	+	405	0	0	0	0	0
lncRNA_5006	Porites_evermani_scaffold_1290	10462	13012	+	2551	286	55	634	118	228
lncRNA_5007	Porites_evermani_scaffold_1290	31641	34316	+	2676	16	0	50	0	4
lncRNA_5008	Porites_evermani_scaffold_1290	45994	48985	+	2992	16	2	14	0	6
lncRNA_5009	Porites_evermani_scaffold_1290	76638	78793	+	2156	5	0	0	4	0
lncRNA_5010	Porites_evermani_scaffold_1290	7331	7583	+	253	0	9	30	0	6
lncRNA_5011	Porites_evermani_scaffold_1290	34839	37453	+	2615	377	145	331	121	398
lncRNA_5012	Porites_evermani_scaffold_1291	73315	86841	+	13527	95	18	35	15	32
lncRNA_5013	Porites_evermani_scaffold_1291	78035	86841	+	8807	0	0	0	0	0
lncRNA_5014	Porites_evermani_scaffold_1291	12604	18984	+	6381	6	10	30	0	2
lncRNA_5015	Porites_evermani_scaffold_1291	34096	38718	+	4623	0	0	0	0	0
lncRNA_5016	Porites_evermani_scaffold_1291	61068	66085	+	5018	6	11	28	14	9
lncRNA_5017	Porites_evermani_scaffold_1291	110638	117575	+	6938	94	45	90	66	71
lncRNA_5018	Porites_evermani_scaffold_1291	118536	123831	+	5296	69	26	82	110	122
lncRNA_5019	Porites_evermani_scaffold_1291	67318	68431	+	1114	19	25	26	19	26
lncRNA_5020	Porites_evermani_scaffold_1291	131976	132314	+	339	52	0	15	0	0
lncRNA_5021	Porites_evermani_scaffold_1292	100929	102084	+	1156	9	6	0	6	4
lncRNA_5022	Porites_evermani_scaffold_1292	95	20335	+	20241	0	0	0	0	0
lncRNA_5023	Porites_evermani_scaffold_1292	195	13150	+	12956	0	0	0	0	0
lncRNA_5024	Porites_evermani_scaffold_1292	195	21097	+	20903	3	0	0	0	0
lncRNA_5025	Porites_evermani_scaffold_1292	37583	43645	+	6063	6	0	51	0	1
lncRNA_5026	Porites_evermani_scaffold_1292	28066	28388	+	323	9	10	74	25	22
lncRNA_5027	Porites_evermani_scaffold_1292	76874	77099	+	226	0	0	26	1	1
lncRNA_5028	Porites_evermani_scaffold_1293	131211	131772	+	562	0	0	0	0	0
lncRNA_5029	Porites_evermani_scaffold_1293	25977	42983	+	17007	34	25	17	19	70
lncRNA_5030	Porites_evermani_scaffold_1293	31627	33781	+	2155	0	0	0	0	0
lncRNA_5031	Porites_evermani_scaffold_1293	115928	120709	+	4782	0	0	0	0	0
lncRNA_5032	Porites_evermani_scaffold_1293	134814	135814	+	1001	39	0	309	2	32
lncRNA_5033	Porites_evermani_scaffold_1294	21182	23206	+	2025	644	191	227	240	637
lncRNA_5034	Porites_evermani_scaffold_1294	61586	64996	+	3411	14	37	117	44	21
lncRNA_5035	Porites_evermani_scaffold_1294	64345	67261	+	2917	0	0	0	0	0
lncRNA_5036	Porites_evermani_scaffold_1294	95643	100854	+	5212	0	0	0	0	0
lncRNA_5037	Porites_evermani_scaffold_1294	95707	100854	+	5148	0	0	0	0	0
lncRNA_5038	Porites_evermani_scaffold_1294	115925	121910	+	5986	0	0	0	0	0
lncRNA_5039	Porites_evermani_scaffold_1294	115941	121910	+	5970	0	0	0	0	0
lncRNA_5040	Porites_evermani_scaffold_1294	7684	11148	+	3465	0	8	18	0	26
lncRNA_5041	Porites_evermani_scaffold_1294	27470	31199	+	3730	0	0	0	0	0
lncRNA_5042	Porites_evermani_scaffold_1294	27470	34833	+	7364	0	0	0	0	0
lncRNA_5043	Porites_evermani_scaffold_1294	27470	35908	+	8439	9	8	22	2	1
lncRNA_5044	Porites_evermani_scaffold_1294	43895	53303	+	9409	36	4	30	4	38
lncRNA_5045	Porites_evermani_scaffold_1294	43951	51630	+	7680	0	0	0	0	0
lncRNA_5046	Porites_evermani_scaffold_1294	45569	47422	+	1854	0	0	0	0	0
lncRNA_5047	Porites_evermani_scaffold_1294	45569	51630	+	6062	0	0	0	0	0
lncRNA_5048	Porites_evermani_scaffold_1294	62849	68459	+	5611	0	0	0	0	0
lncRNA_5049	Porites_evermani_scaffold_1294	64725	74216	+	9492	65	48	194	36	74
lncRNA_5050	Porites_evermani_scaffold_1294	85402	86281	+	880	10	0	74	0	21
lncRNA_5051	Porites_evermani_scaffold_1294	93318	95385	+	2068	105	49	119	12	67
lncRNA_5052	Porites_evermani_scaffold_1294	101909	115745	+	13837	6	32	106	15	23
lncRNA_5053	Porites_evermani_scaffold_1294	41370	43151	+	1782	193	18	56	6	167
lncRNA_5054	Porites_evermani_scaffold_1294	79014	79401	+	388	0	2	4	240	0
lncRNA_5055	Porites_evermani_scaffold_1294	81110	81822	+	713	635	437	268	74	320
lncRNA_5056	Porites_evermani_scaffold_1294	83198	83627	+	430	6	0	67	0	0
lncRNA_5057	Porites_evermani_scaffold_1295	22920	25016	+	2097	93	48	8	80	110
lncRNA_5058	Porites_evermani_scaffold_1295	5033	10407	+	5375	23	0	58	26	60
lncRNA_5059	Porites_evermani_scaffold_1295	54619	55465	+	847	1	0	2	20	36
lncRNA_5060	Porites_evermani_scaffold_1295	66343	69020	+	2678	0	0	0	2	0
lncRNA_5061	Porites_evermani_scaffold_1295	77320	83010	+	5691	164	108	195	100	87
lncRNA_5062	Porites_evermani_scaffold_1295	83892	94192	+	10301	37	12	0	34	24
lncRNA_5063	Porites_evermani_scaffold_1295	103382	107318	+	3937	0	15	19	0	1
lncRNA_5064	Porites_evermani_scaffold_1295	104176	107318	+	3143	0	0	0	0	0
lncRNA_5065	Porites_evermani_scaffold_1295	110139	128149	+	18011	0	0	0	0	0
lncRNA_5066	Porites_evermani_scaffold_1295	110158	128149	+	17992	0	0	0	0	0
lncRNA_5067	Porites_evermani_scaffold_1295	110176	121997	+	11822	0	0	0	0	0
lncRNA_5068	Porites_evermani_scaffold_1295	110178	128149	+	17972	0	0	0	0	0
lncRNA_5069	Porites_evermani_scaffold_1295	116253	121997	+	5745	0	0	0	0	0
lncRNA_5070	Porites_evermani_scaffold_1295	76039	76305	+	267	0	2	44	25	104
lncRNA_5071	Porites_evermani_scaffold_1296	75021	81613	+	6593	0	0	0	0	0
lncRNA_5072	Porites_evermani_scaffold_1296	75046	89529	+	14484	31	0	369	110	51
lncRNA_5073	Porites_evermani_scaffold_1296	111576	124168	+	12593	141	31	78	151	129
lncRNA_5074	Porites_evermani_scaffold_1296	118856	125802	+	6947	208	32	23	64	55
lncRNA_5075	Porites_evermani_scaffold_1296	19017	28352	+	9336	0	0	0	0	0
lncRNA_5076	Porites_evermani_scaffold_1296	91214	94010	+	2797	49	39	322	87	211
lncRNA_5077	Porites_evermani_scaffold_1296	129133	136404	+	7272	81	23	71	42	115
lncRNA_5078	Porites_evermani_scaffold_1296	42662	42995	+	334	4	9	67	76	23
lncRNA_5079	Porites_evermani_scaffold_1296	56768	57074	+	307	0	2	32	0	0
lncRNA_5080	Porites_evermani_scaffold_1297	39651	40062	+	412	0	0	0	0	0
lncRNA_5081	Porites_evermani_scaffold_1297	8127	37672	+	29546	0	559	42	44	0
lncRNA_5082	Porites_evermani_scaffold_1297	9018	37672	+	28655	0	0	0	0	0
lncRNA_5083	Porites_evermani_scaffold_1297	5306	5546	+	241	0	0	26	0	0
lncRNA_5084	Porites_evermani_scaffold_1297	136355	137438	+	1084	65	11	112	24	0
lncRNA_5085	Porites_evermani_scaffold_1298	65794	66520	+	727	68	17	75	63	44
lncRNA_5086	Porites_evermani_scaffold_1298	91269	91618	+	350	62	89	64	17	69
lncRNA_5087	Porites_evermani_scaffold_1298	2991	7965	+	4975	0	12	9	1	4
lncRNA_5088	Porites_evermani_scaffold_1298	4295	7965	+	3671	0	0	0	0	0
lncRNA_5089	Porites_evermani_scaffold_1298	110856	114514	+	3659	757	305	902	325	1169
lncRNA_5090	Porites_evermani_scaffold_1298	1014	1226	+	213	0	1	25	0	0
lncRNA_5091	Porites_evermani_scaffold_1298	43400	43706	+	307	0	6	32	0	0
lncRNA_5092	Porites_evermani_scaffold_1299	23954	24165	+	212	61	0	14	71	135
lncRNA_5093	Porites_evermani_scaffold_13	77028	78385	+	1358	583	155	619	653	797
lncRNA_5094	Porites_evermani_scaffold_13	108627	119353	+	10727	121	42	163	61	108
lncRNA_5095	Porites_evermani_scaffold_13	114164	119353	+	5190	0	0	0	0	0
lncRNA_5096	Porites_evermani_scaffold_13	129448	131084	+	1637	0	0	0	0	0
lncRNA_5097	Porites_evermani_scaffold_13	129974	131084	+	1111	0	0	0	0	0
lncRNA_5098	Porites_evermani_scaffold_13	150548	176595	+	26048	0	0	0	0	0
lncRNA_5099	Porites_evermani_scaffold_13	150556	176595	+	26040	0	0	0	0	0
lncRNA_5100	Porites_evermani_scaffold_13	217183	235425	+	18243	0	0	0	0	0
lncRNA_5101	Porites_evermani_scaffold_13	217213	235425	+	18213	0	0	0	0	0
lncRNA_5102	Porites_evermani_scaffold_13	417463	429063	+	11601	31	12	20	64	76
lncRNA_5103	Porites_evermani_scaffold_13	421704	445381	+	23678	0	0	0	4	3
lncRNA_5104	Porites_evermani_scaffold_13	436236	445381	+	9146	0	0	0	0	0
lncRNA_5105	Porites_evermani_scaffold_13	448439	452643	+	4205	55	0	0	0	0
lncRNA_5106	Porites_evermani_scaffold_13	516918	520027	+	3110	123	18	283	117	126
lncRNA_5107	Porites_evermani_scaffold_13	525509	530116	+	4608	103	171	303	747	291
lncRNA_5108	Porites_evermani_scaffold_13	660243	663434	+	3192	96	49	391	105	143
lncRNA_5109	Porites_evermani_scaffold_13	669974	670769	+	796	110	56	0	6	74
lncRNA_5110	Porites_evermani_scaffold_13	677562	685524	+	7963	119	98	336	81	234
lncRNA_5111	Porites_evermani_scaffold_13	731719	741380	+	9662	0	0	0	0	0
lncRNA_5112	Porites_evermani_scaffold_13	731719	744235	+	12517	563	274	320	279	668
lncRNA_5113	Porites_evermani_scaffold_13	731853	738840	+	6988	0	0	0	0	0
lncRNA_5114	Porites_evermani_scaffold_13	783268	791464	+	8197	9	6	0	1	12
lncRNA_5115	Porites_evermani_scaffold_13	784653	791464	+	6812	0	0	0	0	0
lncRNA_5116	Porites_evermani_scaffold_13	828460	830352	+	1893	7	9	50	4	27
lncRNA_5117	Porites_evermani_scaffold_13	830432	833922	+	3491	26	9	30	33	42
