"Species","Protein_ID","Protein_of_interest","Protein_of_interest_simplified"
"Peve","Peve_00013497","JOSD1; JOSD2","JOSD"
"Peve","Peve_00013534","DDB1","DDB1"
"Peve","Peve_00013719","USP34","USP34"
"Peve","Peve_00013932","CNOT; CNOT3","CNOT3"
"Peve","Peve_00013987","PARP15","PARP15"
"Peve","Peve_00014186","H1-2; MACROH2A1","Histone variants"
"Peve","Peve_00014397","UBE2Z","UBE2Z"
"Peve","Peve_00014560","SRRT","SRRT"
"Peve","Peve_00014570","ZC3H12A; ZC3H12B; ZC3H12C; ZC3H12D","ZC3H12"
"Peve","Peve_00014804","KMT2E; SETD5","SETD5/KMT2E"
"Peve","Peve_00015294","KMT1C-EHMT2; KMT1D-EHMT1","EHMT"
"Peve","Peve_00015488","MPND","MPND"
"Peve","Peve_00015518","DLAT","DLAT"
"Peve","Peve_00015531","YTHDF1; YTHDF2; YTHDF3","YTHDF"
"Peve","Peve_00015726","EZH1; EZH2; KMT6-EZH2","EZH"
"Peve","Peve_00015788","PPP1R13B","PPP1R13B"
"Peve","Peve_00015813","BAZ2B; MBD6","BAZ2B/MBD6"
"Peve","Peve_00016232","DTX3L","DTX3L"
"Peve","Peve_00016435","SIRT4","SIRT4"
"Peve","Peve_00016482","PRDM14","PRDM14"
"Peve","Peve_00016493","PRKAA1; PRKAA2","PRKAA"
"Peve","Peve_00016702","ATF2","ATF2"
"Peve","Peve_00016812","NOP58","NOP58"
"Peve","Peve_00016848","USP40","USP40"
"Peve","Peve_00016898","APBB1","APBB1"
"Peve","Peve_00016940","TOM1","TOM1"
"Peve","Peve_00017138","HDAC","HDAC"
"Peve","Peve_00017258","CHEK1","CHEK1"
"Peve","Peve_00017312","PRDM15","PRDM15"
"Peve","Peve_00017615","PPP1R9A; PPP1R9B","PPP1R9"
"Peve","Peve_00017722","PAPD5","PAPD5"
"Peve","Peve_00017724","EDC4","EDC4"
"Peve","Peve_00017924","ALKBH1","ALKBH1"
"Peve","Peve_00017994","KAT3A-CREBBP; KAT3B-EP300","KAT3"
"Peve","Peve_00018032","INTS8","INTS8"
"Peve","Peve_00018038","MTREX","MTREX"
"Peve","Peve_00018051","DNMT1","DNMT1"
"Peve","Peve_00018098","PPP1R2","PPP1R2"
"Peve","Peve_00018162","PPP1R7","PPP1R7"
"Peve","Peve_00018303","ARID1A; ARID1B","ARID1"
"Peve","Peve_00018396","CNOT4","CNOT4"
"Peve","Peve_00018519","HSPBAP1","HSPBAP1"
"Peve","Peve_00018572","INTS14","INTS14"
"Peve","Peve_00018829","DLK1","DLK1"
"Peve","Peve_00018839","ZC3H12A","ZC3H12A"
"Peve","Peve_00018941","RIOX1","RIOX1"
"Peve","Peve_00019246","SMYD5","SMYD5"
"Peve","Peve_00019588","HSP90","HSP90"
"Peve","Peve_00019685","XRN; XRN1","XRN1"
"Peve","Peve_00020046","EXOSC6","EXOSC6"
"Peve","Peve_00020054","GTF3C2","GTF3C2"
"Peve","Peve_00020237","NFX1","NFX1"
"Peve","Peve_00020454","NSUN6","NSUN6"
"Peve","Peve_00020511","ATM","ATM"
"Peve","Peve_00020822","KDM8","KDM8"
"Peve","Peve_00021028","KAT4-TAF1","KAT4-TAF1"
"Peve","Peve_00021254","POP7","POP7"
"Peve","Peve_00021327","METTL2A; METTL2B; METTL8","METTL"
"Peve","Peve_00021343","EXOSC8","EXOSC8"
"Peve","Peve_00021436","STK4","STK4"
"Peve","Peve_00021642","DIS3","DIS3"
"Peve","Peve_00021796","UBA5","UBA5"
"Peve","Peve_00021948","OTUD4","OTUD4"
"Peve","Peve_00022566","PPP1R8","PPP1R8"
"Peve","Peve_00022617","EYA1; EYA2; EYA3; EYA4","EYA"
"Peve","Peve_00022624","KMT5B; KMT5C","KMT5"
"Peve","Peve_00022929","XRN","XRN"
"Peve","Peve_00022943","DICER1","DICER1"
"Peve","Peve_00023222","EXOSC9","EXOSC9"
"Peve","Peve_00023282","HENMT1","HENMT1"
"Peve","Peve_00023309","KMT2A; KMT2B","KMT2"
"Peve","Peve_00023310","INTS10","INTS10"
"Peve","Peve_00023669","PIM1","PIM1"
"Peve","Peve_00023794","UHRF1; UHRF2","UHRF"
"Peve","Peve_00023795","RBM15; RBM15B","RBM15"
"Peve","Peve_00023930","DNMT1; DNMT3A; DNMT3B","DNMT"
"Peve","Peve_00024122","MYSM1","MYSM1"
"Peve","Peve_00024185","SETMAR","SETMAR"
"Peve","Peve_00024280","MAP3K22","MAP3K22"
"Peve","Peve_00024327","USP24","USP24"
"Peve","Peve_00024382","KDM7A; PHF2; PHF8","KDM7"
"Peve","Peve_00024386","KDM5A; KDM5B; KDM5C; KDM5D","KDM5"
"Peve","Peve_00024390","EXOSC3","EXOSC3"
"Peve","Peve_00024572","MAPK11; MAPK12; MAPK13; MAPK14","MAPK1"
"Peve","Peve_00024800","METTL5","METTL5"
"Peve","Peve_00024876","SUZ12","SUZ12"
"Peve","Peve_00024877","USP22; USP27X; USP51","USP"
"Peve","Peve_00024902","CSNK2B","CSNK2B"
"Peve","Peve_00024930","USP35; USP38","USP3"
"Peve","Peve_00024933","H2AJ; H2AW","H2A"
"Peve","Peve_00025197","PAK2","PAK2"
"Peve","Peve_00025352","PRKCB","PRKCB"
"Peve","Peve_00025399","PRMT9","PRMT9"
"Peve","Peve_00025442","PNPT1","PNPT1"
"Peve","Peve_00025446","EXOSC7","EXOSC7"
"Peve","Peve_00025476","TRMT10A","TRMT10A"
"Peve","Peve_00025604","PAN2","PAN2"
"Peve","Peve_00025636","BAZ1B; SUV39H1-KMT1A; SUV39H2-KMT1B","H3K9 KMT (SUV39H)"
"Peve","Peve_00025640","NAA10","NAA10"
"Peve","Peve_00025667","CNOT10","CNOT10"
"Peve","Peve_00025825","UBE2A","UBE2A"
"Peve","Peve_00025955","PRKDC","PRKDC"
"Peve","Peve_00025976","PARP13-ZC3HAV1; PARP7-TIPARP","PARP"
"Peve","Peve_00026033","SIRT2","SIRT2"
"Peve","Peve_00026086","INTS13","INTS13"
"Peve","Peve_00026158","NCBP2","NCBP2"
"Peve","Peve_00026256","USP53; USP54","USP5"
"Peve","Peve_00026319","RDRP","RDRP"
"Peve","Peve_00026320","RDRP","RDRP"
"Peve","Peve_00026671","MAP2K1","MAP2K1"
"Peve","Peve_00026759","AEBP2","AEBP2"
"Peve","Peve_00026823","MCM3AP","MCM3AP"
"Peve","Peve_00026895","KDM1B","KDM1B"
"Peve","Peve_00027102","ZC3H12A","ZC3H12A"
"Peve","Peve_00027383","EXOSC10","EXOSC10"
"Peve","Peve_00027392","XRN1","XRN1"
"Peve","Peve_00027400","NOP2","NOP2"
"Peve","Peve_00027825","EXOSC1","EXOSC1"
"Peve","Peve_00027888","NSUN4","NSUN4"
"Peve","Peve_00027941","EXOSC4","EXOSC4"
"Peve","Peve_00028081","YBX1","YBX1"
"Peve","Peve_00028116","USP32; USP6","USP"
"Peve","Peve_00028178","PRMT2","PRMT2"
"Peve","Peve_00028250","HDAC11","HDAC11"
"Peve","Peve_00028251","UBA1; UBA7","UBA"
"Peve","Peve_00028365","AURKA; AURKB; AURKC","AURK"
"Peve","Peve_00028605","TET3","TET3"
"Peve","Peve_00028661","ATR","ATR"
"Peve","Peve_00028939","PARP5A-TNKS; PARP5B-TNKS2","PARP5"
"Peve","Peve_00028982","PRDM6","PRDM6"
"Peve","Peve_00029036","PRDM11","PRDM11"
"Peve","Peve_00029309","PAN3","PAN3"
"Peve","Peve_00029318","RDRP","RDRP"
"Peve","Peve_00029338","KAT6A; KAT6B","KAT6"
"Peve","Peve_00029598","METTL16","METTL16"
"Peve","Peve_00029730","USP10","USP10"
"Peve","Peve_00029854","PUS1","PUS1"
"Peve","Peve_00029921","PABPC1","PABPC1"
"Peve","Peve_00030190","YTHDC2","YTHDC2"
"Peve","Peve_00030232","XPO1","XPO1"
"Peve","Peve_00030238","INTS7","INTS7"
"Peve","Peve_00030471","CTCF; PRDM5; PRDM9","PRDM (+CTCF)"
"Peve","Peve_00030476","BRCC3","BRCC3"
"Peve","Peve_00030528","KMT2F-SETD1A; KMT2G-SETD1B","KMT2"
"Peve","Peve_00030641","PSMD14","PSMD14"
"Peve","Peve_00030646","WTAP","WTAP"
"Peve","Peve_00031468","ESCO1; ESCO2","ESCO"
"Peve","Peve_00031499","PARP12","PARP12"
"Peve","Peve_00031680","OTUD5","OTUD5"
"Peve","Peve_00031756","PRMT3; PRMT6; PRMT8","PRMT"
"Peve","Peve_00031882","USP12; USP46","USP"
"Peve","Peve_00031908","UCHL1; UCHL3; UCHL4","UCHL"
"Peve","Peve_00031952","NSUN5","NSUN5"
"Peve","Peve_00031996","SMYD4","SMYD4"
"Peve","Peve_00032268","XPO5","XPO5"
"Peve","Peve_00032337","PARG","PARG"
"Peve","Peve_00032356","NAA50","NAA50"
"Peve","Peve_00032367","XRN","XRN"
"Peve","Peve_00032709","RDRP","RDRP"
"Peve","Peve_00032712","RDRP","RDRP"
"Peve","Peve_00032720","RDRP","RDRP"
"Peve","Peve_00032945","PRDM16; PRDM7","PRDM"
"Peve","Peve_00033035","HDAC10; HDAC6","HDAC"
"Peve","Peve_00033115","USP25; USP28","USP2"
"Peve","Peve_00033130","DNMT3L; USP9Y","FLAG: DNMT3L+USP9Y (review)"
"Peve","Peve_00033216","KDM4A; KDM4B; KDM4C; KDM4D","KDM4"
"Peve","Peve_00033249","USP7","USP7"
"Peve","Peve_00033314","USP2; USP21; USP8","USP"
"Peve","Peve_00033504","DCP1; DCP1A; DCP1B","DCP1"
"Peve","Peve_00033746","KMT4-DOT1L","KMT4-DOT1L"
"Peve","Peve_00034012","HUWE1","HUWE1"
"Peve","Peve_00034034","PRKCD","PRKCD"
"Peve","Peve_00034097","USP16; USP45","USP"
"Peve","Peve_00034116","USP48","USP48"
"Peve","Peve_00034340","KLF4","KLF4"
"Peve","Peve_00034369","ACAT1","ACAT1"
"Peve","Peve_00034401","RIOX2","RIOX2"
"Peve","Peve_00034936","UBA3","UBA3"
"Peve","Peve_00035082","TYW5","TYW5"
"Peve","Peve_00035415","ZCCHC4","ZCCHC4"
"Peve","Peve_00035853","TNRC6","TNRC6"
"Peve","Peve_00035858","RDRP","RDRP"
"Peve","Peve_00036006","USP14","USP14"
"Peve","Peve_00036448","H2AZ1; H2AZ2","H2AZ"
"Peve","Peve_00036916","UBE2V1","UBE2V1"
"Peve","Peve_00036938","SIRT1","SIRT1"
"Peve","Peve_00036939","UBE2D1; UBE2D2; UBE2D3","UBE2D"
"Peve","Peve_00037041","CDK1","CDK1"
"Peve","Peve_00037184","PUS3","PUS3"
"Peve","Peve_00037278","WDR5","WDR5"
"Peve","Peve_00037296","H2AX; HDAC; HDAC1; HDAC2","FLAG: H2AX+HDAC1/2 (review)"
"Peve","Peve_00037300","KAT9-ELP3","KAT9-ELP3"
"Peve","Peve_00037601","TRMT61A","TRMT61A"
"Peve","Peve_00037726","KDM6A; KDM6B; UTY","KDM6"
"Peve","Peve_00037795","ATXN3; ATXN3L","ATXN3"
"Peve","Peve_00038143","ATAT1","ATAT1"
"Peve","Peve_00038393","ZFC3H1","ZFC3H1"
"Peve","Peve_00038398","SETD3","SETD3"
"Peve","Peve_00038467","ALG13","ALG13"
"Peve","Peve_00038571","TARDBP","TARDBP"
"Peve","Peve_00038608","NONO; PSPC1; SFPQ","DBHS family"
"Peve","Peve_00038631","PPP1CB","PPP1CB"
"Peve","Peve_00038716","SIRT7","SIRT7"
"Peve","Peve_00038721","GTF3C1","GTF3C1"
"Peve","Peve_00038733","JARID2","JARID2"
"Peve","Peve_00038741","PARP2; PARP3","PARP"
"Peve","Peve_00038757","METTL4","METTL4"
"Peve","Peve_00038764","SMARCA2; SMARCA4","SMARCA"
"Peve","Peve_00038779","PUS7","PUS7"
"Peve","Peve_00038800","PRPF8","PRPF8"
"Peve","Peve_00038844","ALKBH5","ALKBH5"
"Peve","Peve_00038865","SENP1; SENP2; SENP3","SENP"
"Peve","Peve_00038976","EIF3H","EIF3H"
"Peve","Peve_00039022","USP20; USP33","USP"
"Peve","Peve_00039041","DROSHA","DROSHA"
"Peve","Peve_00039048","UCHL5","UCHL5"
"Peve","Peve_00039124","INTS6; INTS6L","INTS6"
"Peve","Peve_00039351","KMT1E-SETDB1","KMT1E-SETDB1"
"Peve","Peve_00039635","ACAT2","ACAT2"
"Peve","Peve_00039742","KAT7","KAT7"
"Peve","Peve_00039805","MBD4","MBD4"
"Peve","Peve_00040182","BUB1","BUB1"
"Peve","Peve_00040609","ADARB1; ADARB2","ADARB"
"Peve","Peve_00040999","RBBP4","RBBP4"
"Peve","Peve_00041047","USP47","USP47"
"Peve","Peve_00041567","DDX6","DDX6"
"Peve","Peve_00041750","SMG1","SMG1"
"Peve","Peve_00042192","OTUD3","OTUD3"
"Peve","Peve_00042401","CDK8","CDK8"
"Peve","Peve_00042415","METTL14","METTL14"
"Peve","Peve_00042423","JMJD6","JMJD6"
"Peve","Peve_00042451","JAK2","JAK2"
"Peve","Peve_00042545","PARP4","PARP4"
"Peve","Peve_00042562","KDM1A","KDM1A"
"Peve","Peve_00042716","DKC1","DKC1"
"Peve","Peve_00042741","PRDM1","PRDM1"
"Peve","Peve_00042777","TRMT112","TRMT112"
"Peve","Peve_00042840","DYRK1A","DYRK1A"
"Peve","Peve_00042882","AGO2","AGO2"
"Peve","Peve_00043302","SIRT3","SIRT3"
"Peve","Peve_00043354","RAD21","RAD21"
"Peve","Peve_00043402","NOP56","NOP56"
"Peve","Peve_00043609","CNOT9","CNOT9"
"Peve","Peve_00043706","PARP16","PARP16"
"Peve","Peve_00043969","KMT3C-SMYD2; SMYD3","SMYD"
"Peve","Peve_00044100","SIRT5","SIRT5"
"Peve","Peve_00044244","BAP1","BAP1"
"Peve","Peve_00044303","METTL1","METTL1"
"Peve","Peve_00044379","PPM1D","PPM1D"
"Peve","Peve_00044383","RAN","RAN"
"Peve","Peve_00044502","UPF1","UPF1"
"Peve","Peve_00044507","OTUD7A; OTUD7B","OTUD7"
"Peve","Peve_00044576","UBE4A","UBE4A"
"Peve","Peve_00045030","TET1; TET2","TET"
"Peve","Peve_00045265","UBE3A","UBE3A"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.22127_t","TRMT112","TRMT112"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.26310_t","ADARB1; ADARB2","ADARB"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.6732_t","NAA50","NAA50"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g10181.t1","PARN","PARN"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g10407.t1","PRDM16","PRDM16"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g1041.t1","KMT3C-SMYD2; SMYD1; SMYD3","SMYD"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g10413.t1","UBE2Z","UBE2Z"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g10433.t1","METTL6","METTL6"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g10512.t2b","BAZ2B; MBD6","BAZ2B/MBD6"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g10561.t1","USP40","USP40"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g1061.t1","INTS1","INTS1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g10630.t1","STAMBPL1","STAMBPL1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g10699.t1","VCPIP1","VCPIP1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g11005.t1","TRDMT1","TRDMT1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g1103.t2","ALYREF","ALYREF"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g11044.t1","METTL1","METTL1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g11091.t1","USP39","USP39"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g11166.t3","YTHDC1","YTHDC1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g1120.t1","TNRC6","TNRC6"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g11246.t1","USP24","USP24"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g11488.t1","KDM4A; KDM4B; KDM4C","KDM4"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g11507.t1","KMT4-DOT1L","KMT4-DOT1L"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g11551.t1","TUT4; TUT7","TUT"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g11567.t1","PRDM6","PRDM6"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g11644.t1","KAT14","KAT14"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g1182.t1","USP1","USP1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g11851.t1","SIRT5","SIRT5"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g1186.t1","DDX17","DDX17"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g11902.t1","PAPD5","PAPD5"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g11904.t1","EDC4","EDC4"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g11925.t1","ATXN3; ATXN3L","ATXN3"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g11976.t1","UBA2","UBA2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g12110.t1","PPP1R2","PPP1R2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g12164.t1","AURKA; AURKB; AURKC","AURK"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g12234.t1","DTX3L","DTX3L"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g12276.t1","USP10","USP10"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g12300.t1","PRMT5","PRMT5"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g12307.t1","UBA3","UBA3"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g12407.t1","SIRT1","SIRT1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g12538.t1","PRDM14","PRDM14"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g12636.t1","HDAC; HDAC3","HDAC3"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g12965.t1","INTS11","INTS11"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g13092.t2","XRN1","XRN1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g13326.t1","USP48","USP48"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g1335.t1","ASH2L","ASH2L"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g1337.t1","BAZ1B","BAZ1B"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g13635.t2","PUS7","PUS7"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g13822.t1","EXOSC10","EXOSC10"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g13884.t1","RNF168","RNF168"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g14062.t1","USP2; USP21","USP2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g14104.t1","STAG1; STAG2","STAG"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g14117.t1","FMR1","FMR1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g14207.t1","CUL4A","CUL4A"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g14471.t1","RAD21","RAD21"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g14538.t3","MCM3AP","MCM3AP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g14851.t1","PRKCD","PRKCD"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g14892.t1","PIM1","PIM1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g14958.t1","BAP1","BAP1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g15015.t1","KDM7A; PHF2; PHF8","KDM7"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g15029.t1","KDM5A; KDM5B; KDM5C; KDM5D","KDM5"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g15091.t1","DKC1","DKC1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g15102.t1","DDX6","DDX6"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g15359.t1","BRCC3","BRCC3"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g15486.t1","KMT2A; KMT2B; KMT2F-SETD1A; KMT2G-SETD1B","KMT2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g15496.t1","PUS7L","PUS7L"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g15513.t1","CHEK1","CHEK1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g15581.t1","NCBP2","NCBP2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g15622.t1","COPS6","COPS6"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g15623.t1a","INTS4","INTS4"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g15809.t1","INTS6; INTS6L","INTS6"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g15886.t1","DYRK1A","DYRK1A"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g15995.t1","PRMT9","PRMT9"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g16000.t2","PAK2","PAK2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g16036.t1","DNMT3L; USP9Y","FLAG: DNMT3L+USP9Y (review)"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g1614.t1","JMJD6","JMJD6"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g16424.t1","KDM6A; KDM6B; UTY","KDM6"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g16538.t1","EIF3F","EIF3F"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g16792.t1","EXOSC3","EXOSC3"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g16826.t1","MYSM1","MYSM1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g16896.t1","PRKAA1; PRKAA2","PRKAA"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g17040.t1","PUS1","PUS1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g17125.t1","MTREX","MTREX"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g17209.t1","SMARCA2; SMARCA4","SMARCA"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g1730.t2","ARH3-ADPRS","ARH3-ADPRS"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g17306.t1","METTL4","METTL4"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g17397.t1","SMYD5","SMYD5"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g1753.t1","EGR1","EGR1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g17818.t1","EXOSC1","EXOSC1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g17898.t1","HSP90","HSP90"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g17986.t1","KAT5","KAT5"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g17990.t1","DICER1","DICER1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g18051.t1","EXOSC5","EXOSC5"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g18086.t1a","RIOX1; RIOX2","RIOX"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g18172.t1","BUB1","BUB1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g18186.t1","PRDM11","PRDM11"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g18209.t1","METTL5","METTL5"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g18524.t1a","KAT3A-CREBBP; KAT3B-EP300","KAT3"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g18595.t1","NFX1","NFX1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g18660.t1","EXOSC8","EXOSC8"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g18672.t1","ALG13; OTUD4","FLAG: ALG13+OTUD4 (review)"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g1868.t2","SIRT7","SIRT7"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g18690.t1","SETMAR","SETMAR"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g18707.t1","TRMT10A","TRMT10A"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g1872.t2","PARP5A-TNKS; PARP5B-TNKS2","PARP5"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g18823.t1","UBE2A","UBE2A"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g18860.t1","EXOSC9","EXOSC9"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g18898.t1","USP12; USP46","USP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g18907.t1","UCHL1; UCHL3; UCHL4","UCHL"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g18913.t1","KLF4","KLF4"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g19066.t2","APBB1","APBB1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g19087.t1","OGT","OGT"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g19283.t1","RBM15; RBM15B","RBM15"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g19284.t1","UHRF1; UHRF2","UHRF"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g19447.t1","USP11; USP15; USP4","USP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g1950.t1","KDM3A; KDM3B; KDM3C-JMJD1C","KDM3"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g1960.t1","ZC3H12A","ZC3H12A"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g19713.t1","UBA1; UBA7","UBA"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g19714.t1","HDAC11","HDAC11"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g19833.t1","USP19","USP19"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g1990.t1a","SLK","SLK"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g20120.t2","INTS9","INTS9"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g20222.t1","UBE3A","UBE3A"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g20293.t1","USP35; USP38","USP3"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g20427.t1","KAT4-TAF1","KAT4-TAF1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g20491.t1","PAN3","PAN3"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g20537.t1","DIS3","DIS3"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g20540.t2","PUS3","PUS3"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g20707.t1","OTUD5","OTUD5"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g20709.t1","MAPK11; MAPK12; MAPK13; MAPK14","MAPK1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g20753.t1","SENP8","SENP8"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g20796.t1b","GTF3C1","GTF3C1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g20859.t1","KAT7","KAT7"
