mRNA	GO
FUN_012016	GO:0004888; GO:0005231; GO:0005262; GO:0005886; GO:0005892; GO:0007165; GO:0007268; GO:0010996; GO:0022848; GO:0030594; GO:0034220; GO:0042391; GO:0043005; GO:0045202; GO:0045211; GO:0050877; GO:0051899; GO:1904315
FUN_012018	GO:0004888; GO:0005231; GO:0005886; GO:0007165; GO:0007268; GO:0022848; GO:0030594; GO:0034220; GO:0042391; GO:0042995; GO:0043005; GO:0045202; GO:0045211; GO:0050877; GO:1904315
FUN_012021	GO:0005886; GO:0006570; GO:0010181; GO:0016491; GO:0140616
FUN_012024	GO:0004303; GO:0004745; GO:0005829; GO:0006703; GO:0007601; GO:0016491; GO:0042572; GO:0042622; GO:0050896; GO:0052650
FUN_012028	GO:0000122; GO:0001649; GO:0003712; GO:0003714; GO:0005634; GO:0005654; GO:0005925; GO:0008134; GO:0009725; GO:0030018; GO:0042802; GO:0043066; GO:0043425; GO:0046872; GO:0055014; GO:0055015; GO:0060347; GO:0070885
FUN_012029	GO:0005737; GO:0005884; GO:0008270; GO:0032432; GO:0042383; GO:0045211; GO:0051015; GO:0051017; GO:0051639; GO:0120025
FUN_012035	GO:0000281; GO:0001578; GO:0003777; GO:0005524; GO:0005634; GO:0005654; GO:0005794; GO:0005819; GO:0005871; GO:0005874; GO:0007018; GO:0008017; GO:0015031; GO:0016887; GO:0019901; GO:0030496; GO:0032465; GO:0045171; GO:0061952
FUN_012036	GO:0005737; GO:0005739; GO:0005769
FUN_012038	GO:0005737; GO:0005739; GO:0005769
FUN_012041	NA
FUN_012044	GO:0000381; GO:0003714; GO:0005634; GO:0005737; GO:0006397; GO:0008380; GO:0016607; GO:0043065; GO:0045892; GO:0048025; GO:0061574
FUN_012046	GO:0000398; GO:0003677; GO:0005634; GO:0006366; GO:0007517; GO:0014842; GO:0031062; GO:0045944; GO:1990226; GO:2000288
FUN_012049	GO:0000146; GO:0005096; GO:0005524; GO:0005737; GO:0005884; GO:0016020; GO:0016459; GO:0034329; GO:0035556; GO:0043547; GO:0044295; GO:0045198; GO:0046872; GO:0051015; GO:0098685; GO:0098794; GO:0098978; GO:0099084; GO:0150011
FUN_012050	GO:0001650; GO:0005164; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005856; GO:0005886; GO:0005923; GO:0006915; GO:0007250; GO:0007585; GO:0008270; GO:0016740; GO:0019901; GO:0030323; GO:0031625; GO:0031996; GO:0042802; GO:0042981; GO:0043122; GO:0043161; GO:0045087; GO:0045860; GO:0046330; GO:0048471; GO:0050699
FUN_012055	GO:0005216; GO:0005245; GO:0005262; GO:0005886; GO:0006816; GO:0006874; GO:0007166; GO:0009409; GO:0009410; GO:0010033; GO:0014070; GO:0014832; GO:0015267; GO:0015278; GO:0016324; GO:0019233; GO:0030424; GO:0032421; GO:0034220; GO:0034605; GO:0035774; GO:0042542; GO:0042802; GO:0048265; GO:0050955; GO:0050966; GO:0050968; GO:0050974; GO:0051289; GO:0055085; GO:0070301; GO:0070417; GO:0070588; GO:0071244; GO:0071310; GO:0071313; GO:0097553; GO:0097604; GO:0098908; GO:1903522; GO:1903793; GO:1904058; GO:1990760
FUN_012057	GO:0003723; GO:0003964; GO:0006310; GO:0009036; GO:0032197; GO:0032199; GO:0046872; GO:0090305
FUN_012060	GO:0000978; GO:0000981; GO:0005634; GO:0006355; GO:0009653; GO:0030154; GO:0030182; GO:0043565
FUN_012066	GO:0005262; GO:0005886; GO:0006811; GO:0006874; GO:0007166; GO:0009409; GO:0009410; GO:0010033; GO:0014070; GO:0015267; GO:0015278; GO:0019233; GO:0032421; GO:0042802; GO:0048265; GO:0050955; GO:0050966; GO:0050968; GO:0051289; GO:0070301; GO:0070588; GO:0071310; GO:0097604
FUN_012068	GO:0005262; GO:0005886; GO:0006811; GO:0006874; GO:0007166; GO:0009409; GO:0009410; GO:0010033; GO:0014070; GO:0015267; GO:0015278; GO:0019233; GO:0032421; GO:0042802; GO:0048265; GO:0050955; GO:0050966; GO:0050968; GO:0051289; GO:0070301; GO:0070588; GO:0071310; GO:0097604
FUN_012073	GO:0005737; GO:0006397; GO:0016274; GO:0018216; GO:0035241; GO:0035243
FUN_012074	GO:0004760; GO:0005739; GO:0005759; GO:0005777; GO:0005782; GO:0006563; GO:0007219; GO:0008453; GO:0008483; GO:0009436; GO:0016597; GO:0019265; GO:0019448; GO:0030170; GO:0042802; GO:0042803; GO:0042853; GO:0042866; GO:0043621; GO:0046487; GO:0046724; GO:0051384; GO:0051591
FUN_012076	GO:0005576; GO:0090729
FUN_012077	GO:0005576; GO:0090729
FUN_012078	GO:0005576; GO:0090729
FUN_012079	GO:0005524; GO:0005737; GO:0005829; GO:0007249; GO:0014067; GO:0031396; GO:0032088; GO:0032496; GO:0032687; GO:0032688; GO:0032691; GO:0032695; GO:0032715; GO:0032720; GO:0034451; GO:0035556; GO:0036312; GO:0042110; GO:0043124; GO:0043231; GO:0045824; GO:0048147; GO:0048471; GO:0050680; GO:0050728; GO:1900016; GO:1900226; GO:1901223
FUN_012081	GO:0005524; GO:0005737; GO:0005829; GO:0007249; GO:0014067; GO:0031396; GO:0032088; GO:0032496; GO:0032687; GO:0032688; GO:0032691; GO:0032695; GO:0032715; GO:0032720; GO:0034451; GO:0035556; GO:0036312; GO:0042110; GO:0043124; GO:0043231; GO:0045824; GO:0048147; GO:0048471; GO:0050680; GO:0050728; GO:1900016; GO:1900226; GO:1901223
FUN_012082	GO:0005524; GO:0005737; GO:0005829; GO:0007249; GO:0014067; GO:0031396; GO:0032088; GO:0032496; GO:0032687; GO:0032688; GO:0032691; GO:0032695; GO:0032715; GO:0032720; GO:0034451; GO:0035556; GO:0036312; GO:0042110; GO:0043124; GO:0043231; GO:0045824; GO:0048147; GO:0048471; GO:0050680; GO:0050728; GO:1900016; GO:1900226; GO:1901223
FUN_012083	GO:0005524; GO:0005737; GO:0005829; GO:0007249; GO:0014067; GO:0031396; GO:0032088; GO:0032496; GO:0032687; GO:0032688; GO:0032691; GO:0032695; GO:0032715; GO:0032720; GO:0034451; GO:0035556; GO:0036312; GO:0042110; GO:0043124; GO:0043231; GO:0045824; GO:0048147; GO:0048471; GO:0050680; GO:0050728; GO:1900016; GO:1900226; GO:1901223
FUN_012084	GO:0005576; GO:0090729
FUN_012086	GO:0005102; GO:0005178; GO:0005615; GO:0007155; GO:0007158; GO:0007162; GO:0008306; GO:0009986; GO:0010977; GO:0022029; GO:0022408; GO:0030155; GO:0030198; GO:0030334; GO:0030517; GO:0031012; GO:0035249; GO:0035641; GO:0045121; GO:0045595; GO:0046625; GO:0048675; GO:0048677; GO:0048692; GO:0050804; GO:0050805; GO:0050808; GO:0050885; GO:0051968; GO:0051971; GO:0060291; GO:0062023; GO:0072534; GO:0090733; GO:0097402; GO:0098685; GO:0098686; GO:0098965; GO:0098966; GO:0098978
FUN_012088	GO:0005102; GO:0005615; GO:0007155; GO:0008061; GO:0016020; GO:0046872; GO:0062023
FUN_012091	GO:0008061; GO:0016020; GO:0046872
FUN_012092	GO:0005524; GO:0005737; GO:0005829; GO:0007249; GO:0014067; GO:0031396; GO:0032088; GO:0032496; GO:0032687; GO:0032688; GO:0032691; GO:0032695; GO:0032715; GO:0032720; GO:0034451; GO:0035556; GO:0036312; GO:0042110; GO:0043124; GO:0043231; GO:0045824; GO:0048147; GO:0048471; GO:0050680; GO:0050728; GO:1900016; GO:1900226; GO:1901223
FUN_012094	GO:0005576; GO:0090729
FUN_012095	GO:0008061; GO:0016020; GO:0046872
FUN_012096	GO:0008061; GO:0016020; GO:0046872
FUN_012101	GO:0004222; GO:0005758; GO:0005759; GO:0008270; GO:0016485; GO:0051603; GO:0097308
FUN_012109	GO:0000398; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005681; GO:0005783; GO:0006397; GO:0071013; GO:1990904
FUN_012110	GO:0003723; GO:0003729; GO:0003730; GO:0005634; GO:0005654; GO:0005737; GO:0005783; GO:0005829; GO:0006397; GO:0007623; GO:0008143; GO:0008380; GO:0016020; GO:0017148; GO:0043025; GO:0045727; GO:0048027; GO:0070934; GO:0070937; GO:0071013; GO:0071204; GO:0071346; GO:0090367; GO:0097452; GO:0106002; GO:1900152; GO:1990635; GO:1990904; GO:2000767
FUN_012115	GO:0008061; GO:0016020; GO:0046872
FUN_012116	GO:0008061; GO:0016020; GO:0046872
FUN_012117	GO:0008061; GO:0016020; GO:0046872
FUN_012120	GO:0001895; GO:0005337; GO:0005415; GO:0005886; GO:0015213; GO:0015293; GO:0015389; GO:0015390; GO:0015860; GO:0015862; GO:0015864; GO:0031526; GO:0072531; GO:1901642
FUN_012132	GO:0000139; GO:0001889; GO:0001965; GO:0001972; GO:0005520; GO:0005537; GO:0005615; GO:0005634; GO:0005641; GO:0005768; GO:0005769; GO:0005770; GO:0005794; GO:0005802; GO:0005886; GO:0007041; GO:0007186; GO:0007283; GO:0009791; GO:0009986; GO:0010008; GO:0016020; GO:0019899; GO:0030118; GO:0030139; GO:0030140; GO:0031100; GO:0031995; GO:0032526; GO:0038023; GO:0042802; GO:0042981; GO:0043065; GO:0044794; GO:0048471; GO:0051219; GO:1904772; GO:1905394
FUN_012144	GO:0004709; GO:0005524; GO:0006468; GO:0007147; GO:0007292; GO:0045930; GO:0106310
FUN_012151	GO:0005634; GO:0005680; GO:0007049; GO:0019903; GO:0030071; GO:0031145; GO:0034399; GO:0051301; GO:0070979
FUN_012177	GO:0000287; GO:0001501; GO:0002224; GO:0004672; GO:0004674; GO:0004711; GO:0005524; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0007049; GO:0007165; GO:0007268; GO:0007417; GO:0018105; GO:0019901; GO:0030307; GO:0032496; GO:0035556; GO:0043027; GO:0043066; GO:0043154; GO:0043555; GO:0043620; GO:0045202; GO:0045597; GO:0045944; GO:0106310
FUN_012178	GO:0000122; GO:0000976; GO:0005634; GO:0005667; GO:0005700; GO:0006325; GO:0006335; GO:0006338; GO:0006355; GO:0007307; GO:0007346; GO:0007379; GO:0016575; GO:0016581; GO:0016589; GO:0031507; GO:0031523; GO:0033186; GO:0034728; GO:0035097; GO:0035098; GO:0042393; GO:0042803; GO:0042826; GO:0045892; GO:0045893; GO:0070822; GO:0140718
FUN_012183	GO:0000077; GO:0000425; GO:0000723; GO:0000724; GO:0001541; GO:0001666; GO:0001756; GO:0002331; GO:0003677; GO:0004674; GO:0004677; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005782; GO:0005813; GO:0005819; GO:0005829; GO:0006302; GO:0006303; GO:0006468; GO:0006974; GO:0006977; GO:0007094; GO:0007095; GO:0007131; GO:0007140; GO:0007143; GO:0007165; GO:0007420; GO:0007507; GO:0008340; GO:0008630; GO:0009791; GO:0010212; GO:0010506; GO:0010628; GO:0016303; GO:0018105; GO:0030335; GO:0030889; GO:0031410; GO:0032210; GO:0032212; GO:0033151; GO:0035264; GO:0036289; GO:0042159; GO:0042770; GO:0042802; GO:0042981; GO:0043065; GO:0043231; GO:0043517; GO:0043525; GO:0044877; GO:0045141; GO:0045785; GO:0045944; GO:0046777; GO:0047485; GO:0048538; GO:0048599; GO:0051402; GO:0051726; GO:0071044; GO:0071300; GO:0071480; GO:0071481; GO:0071500; GO:0090398; GO:0090399; GO:0097694; GO:0097695; GO:0106310; GO:1900034; GO:1901796; GO:1903626; GO:1903978; GO:1904262; GO:1904354; GO:1904358; GO:1904884; GO:1905843; GO:1990391
FUN_012184	
FUN_012186	GO:0005615; GO:0005737; GO:0005739; GO:0005783; GO:0005790; GO:0005829; GO:0006979; GO:0007283; GO:0008584; GO:0018401; GO:0022417; GO:0030198; GO:0042802; GO:0045454; GO:0060090; GO:0072593; GO:0140313; GO:0140824; GO:2000255
FUN_012215	GO:0005759; GO:0006554; GO:0016310; GO:0019202; GO:0047992
FUN_012218	GO:0005085
FUN_012225	GO:0001501; GO:0001649; GO:0001958; GO:0003006; GO:0004035; GO:0004427; GO:0005509; GO:0005576; GO:0005758; GO:0005886; GO:0010259; GO:0016020; GO:0016311; GO:0016462; GO:0016887; GO:0019725; GO:0030282; GO:0031012; GO:0031966; GO:0032496; GO:0032868; GO:0033280; GO:0033883; GO:0034516; GO:0036005; GO:0042822; GO:0043262; GO:0046677; GO:0050187; GO:0051384; GO:0052732; GO:0055062; GO:0055074; GO:0070062; GO:0071407; GO:0071529; GO:0120162; GO:1904383
FUN_012226	GO:0004035; GO:0004427; GO:0005509; GO:0005758; GO:0005886; GO:0016311; GO:0016462; GO:0016887; GO:0030282; GO:0033883; GO:0043262; GO:0050187; GO:0052732; GO:0065010; GO:0120162
FUN_012229	GO:0000122; GO:0000978; GO:0001227; GO:0001228; GO:0001525; GO:0001662; GO:0002052; GO:0002118; GO:0004879; GO:0005634; GO:0005654; GO:0006357; GO:0006915; GO:0007405; GO:0007420; GO:0007601; GO:0008270; GO:0008283; GO:0008284; GO:0019899; GO:0021542; GO:0021764; GO:0021772; GO:0021819; GO:0021872; GO:0021895; GO:0021960; GO:0021987; GO:0030154; GO:0030182; GO:0030198; GO:0035019; GO:0035176; GO:0042826; GO:0043010; GO:0043066; GO:0043615; GO:0045165; GO:0045665; GO:0045766; GO:0045787; GO:0048708; GO:0048712; GO:0048814; GO:0048856; GO:0051128; GO:0060041; GO:0060164; GO:0060291; GO:0061351; GO:0090049; GO:1990837; GO:2000178; GO:2000179; GO:2000648
FUN_012230	GO:0001696; GO:0004969; GO:0004993; GO:0005886; GO:0007187; GO:0007268; GO:0030425; GO:0030594; GO:0045202; GO:0045907
FUN_012238	GO:0003723; GO:0003729; GO:0005654; GO:0005847; GO:0043231; GO:0098789
FUN_012241	GO:0003677; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0006338; GO:0006357; GO:0007270; GO:0016514; GO:0035060; GO:0045202; GO:0045893; GO:0060996; GO:0071565; GO:0097026
FUN_012252	GO:0000943; GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0004540; GO:0005524; GO:0005634; GO:0005737; GO:0006310; GO:0006508; GO:0008233; GO:0008270; GO:0015074; GO:0032197
FUN_012261	GO:0003676; GO:0005524; GO:0005634; GO:0005829; GO:0006307; GO:0008283; GO:0016607; GO:0016887; GO:0032508; GO:0043138; GO:0072344; GO:0099053; GO:1990116; GO:1990391
FUN_012264	GO:0000082; GO:0000209; GO:0000932; GO:0004842; GO:0008270; GO:0008543; GO:0010172; GO:0010586; GO:0017148; GO:0021915; GO:0030371; GO:0035198; GO:0035278; GO:0043161; GO:0051865; GO:0060964; GO:0061630; GO:0072089; GO:2000177
FUN_012266	GO:0005634; GO:0005654; GO:0005730; GO:0005829; GO:0006357; GO:0007010; GO:0008360
FUN_012278	GO:0005737; GO:0005813
FUN_012281	GO:0001947; GO:0005813; GO:0005814; GO:0005879; GO:0060271
FUN_012284	GO:0004930; GO:0005886; GO:0065008
FUN_012285	GO:0003676; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0006508; GO:0015074; GO:0042575
FUN_012301	GO:0001650; GO:0002218; GO:0003723; GO:0005634; GO:0005737; GO:0006355; GO:0016363; GO:0016607; GO:0042382; GO:0042752; GO:0045892; GO:0048511
FUN_012305	GO:0000978; GO:0003700; GO:0005634; GO:0006357; GO:0019827; GO:0021915; GO:0035115; GO:0046872
FUN_012317	GO:0005524; GO:0005739; GO:0005743; GO:0006879; GO:0010312; GO:0016020; GO:0016226; GO:0016887; GO:0042626; GO:0055085; GO:0070455; GO:0140466; GO:0140481; GO:1903427; GO:1990748
FUN_012328	GO:0016020; GO:0016042; GO:0017064
FUN_012329	GO:0005811; GO:0016020; GO:0016042; GO:0017064; GO:0019369
FUN_012331	GO:0003682; GO:0005634; GO:0005700; GO:0006357; GO:0007409; GO:0007419; GO:0008270; GO:0009948; GO:0022008; GO:0030708; GO:0030713; GO:0031507; GO:0042393; GO:0042802; GO:0043565; GO:0045892; GO:0045926; GO:0048749; GO:0140259
FUN_012333	GO:0003700; GO:0005634; GO:0005737; GO:0006355; GO:0007049; GO:0008285; GO:0019216; GO:0030154; GO:0030308; GO:0042593; GO:0043565; GO:0046627
FUN_012334	GO:0000166; GO:0000724; GO:0003677; GO:0003887; GO:0005634; GO:0005730; GO:0006260; GO:0006281; GO:0016035; GO:0042276; GO:0046872; GO:0051539
FUN_012336	GO:0003677; GO:0003682; GO:0003887; GO:0005524; GO:0005654; GO:0005694; GO:0005794; GO:0005829; GO:0006261; GO:0006281; GO:0006284; GO:0006302; GO:0006974; GO:0016446; GO:0017116; GO:0042802; GO:0051260; GO:0051575; GO:0097681; GO:2000042
FUN_012337	GO:0003677; GO:0003682; GO:0003887; GO:0005524; GO:0005654; GO:0005694; GO:0005794; GO:0005829; GO:0006261; GO:0006281; GO:0006284; GO:0006302; GO:0006974; GO:0016446; GO:0017116; GO:0042802; GO:0051260; GO:0051575; GO:0097681; GO:2000042
FUN_012347	GO:0001570; GO:0004830; GO:0005524; GO:0005654; GO:0005739; GO:0005759; GO:0005886; GO:0006418; GO:0006436; GO:0045766; GO:0070183
FUN_012349	GO:0000226; GO:0000922; GO:0005524; GO:0005737; GO:0005813; GO:0005819; GO:0005874; GO:0007283; GO:0008017; GO:0008352; GO:0008568; GO:0015630; GO:0016853; GO:0016887; GO:0042802; GO:0051013
FUN_012350	GO:0005783; GO:0005829; GO:0006888; GO:0006891; GO:0030008; GO:0033106
FUN_012352	GO:0005829; GO:0006986; GO:0051082; GO:0051085; GO:0051087
FUN_012353	GO:0000122; GO:0000380; GO:0000781; GO:0000785; GO:0002039; GO:0002052; GO:0003682; GO:0005634; GO:0005654; GO:0005667; GO:0006357; GO:0006482; GO:0010569; GO:0010976; GO:0016491; GO:0019899; GO:0021987; GO:0030374; GO:0031398; GO:0032091; GO:0032451; GO:0032452; GO:0032453; GO:0032454; GO:0032880; GO:0032991; GO:0034644; GO:0034720; GO:0035563; GO:0042551; GO:0043392; GO:0043426; GO:0043433; GO:0043518; GO:0045793; GO:0045892; GO:0045944; GO:0046098; GO:0050660; GO:0050681; GO:0051091; GO:0051572; GO:0051573; GO:0055001; GO:0060765; GO:0060992; GO:0061629; GO:0061752; GO:0071320; GO:0071480; GO:0090308; GO:0120162; GO:0140297; GO:0140682; GO:0140861; GO:1902166; GO:1990391; GO:1990841; GO:2000179; GO:2000648
FUN_012357	GO:0000122; GO:0005634; GO:0005829; GO:0051082; GO:0051085; GO:0051087
FUN_012358	GO:0000122; GO:0005829; GO:0006457; GO:0009408; GO:0042691; GO:0050821; GO:0051082; GO:0051085; GO:0051087; GO:0140297
FUN_012359	GO:0001671; GO:0005654; GO:0005829; GO:0005886; GO:0006986; GO:0009408; GO:0051082; GO:0051085; GO:0051087
FUN_012362	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0045944
FUN_012363	GO:0005737; GO:0006693; GO:0036132; GO:0047522
FUN_012366	GO:0005496; GO:0005886; GO:0038023
FUN_012368	GO:0000139; GO:0006486; GO:0006629; GO:0008194; GO:0008499; GO:0009617; GO:0016757
FUN_012374	GO:0000139; GO:0006486; GO:0006629; GO:0016758
FUN_012385	GO:0000943; GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0004540; GO:0005524; GO:0005634; GO:0005737; GO:0006310; GO:0006508; GO:0008233; GO:0008270; GO:0015074; GO:0032197
FUN_012386	GO:0005576; GO:0007218
FUN_012412	GO:0001640; GO:0001641; GO:0005246; GO:0005886; GO:0007216; GO:0010467; GO:0014069; GO:0019233; GO:0030424; GO:0035249; GO:0042734; GO:0043005; GO:0043197; GO:0045211; GO:0048786; GO:0050804; GO:0051930; GO:0051966; GO:0097110; GO:0097449; GO:0098978; GO:0099170
FUN_012414	GO:0000122; GO:0005634; GO:0007399; GO:0043565; GO:0045892
FUN_012416	GO:0000139; GO:0005109; GO:0005737; GO:0005794; GO:0005886; GO:0006914; GO:0007289; GO:0008022; GO:0010360; GO:0014069; GO:0015031; GO:0016020; GO:0019905; GO:0030140; GO:0030425; GO:0030695; GO:0032991; GO:0042802; GO:0042803; GO:0044325; GO:0045202; GO:0140313; GO:2000009
FUN_012418	GO:0005634; GO:0006935; GO:0007420; GO:0008017; GO:0023041; GO:0030424; GO:0030867; GO:0031965; GO:0043005; GO:0044306; GO:0045202
FUN_012430	GO:0016491; GO:0016746; GO:0031177; GO:0044550; GO:0046483; GO:1901360; GO:1901576
FUN_012436	GO:0005783; GO:0005789; GO:0005886; GO:0016020; GO:0097225
FUN_012440	GO:0005783; GO:0005789; GO:0005886; GO:0016020; GO:0097225
FUN_012442	GO:0004315; GO:0006633; GO:0016491; GO:0031177; GO:0044550; GO:0046483; GO:1901360
FUN_012445	GO:0005783; GO:0005789; GO:0005886; GO:0016020; GO:0097225
FUN_012457	GO:0004315; GO:0006633; GO:0016491; GO:0031177; GO:0044550; GO:0046483; GO:1901360
FUN_012461	GO:0005783; GO:0005789; GO:0005886; GO:0016020; GO:0097225
FUN_012466	GO:0001878; GO:0005886; GO:0015031; GO:0015293; GO:0015835; GO:0016020; GO:0022857; GO:0045087; GO:0055085; GO:0070424; GO:0071916; GO:0140206
FUN_012468	GO:0005576; GO:0016042; GO:0016787
FUN_012469	GO:0005576; GO:0016042; GO:0016787
FUN_012470	GO:0005576; GO:0016042; GO:0016787
FUN_012471	GO:0005576; GO:0016042; GO:0016787
FUN_012473	GO:0005576; GO:0016042; GO:0016787
FUN_012474	GO:0005576; GO:0016042; GO:0016787
FUN_012476	GO:0004602; GO:0005244; GO:0005254; GO:0005737; GO:0006821; GO:0010880; GO:0016020; GO:0034707; GO:0051099; GO:0060315
FUN_012490	GO:0000122; GO:0003677; GO:0003682; GO:0005634; GO:0010468; GO:0021979; GO:0022008; GO:0042054; GO:0046872; GO:0061629; GO:0097154
FUN_012518	GO:0004222; GO:0005737; GO:0008203; GO:0016020; GO:0031293; GO:0034976; GO:0046872; GO:0051091; GO:0070977; GO:1990440
FUN_012520	GO:0005737; GO:0005856; GO:0005929
FUN_012525	GO:0000122; GO:0003677; GO:0003682; GO:0005634; GO:0010468; GO:0021979; GO:0022008; GO:0042054; GO:0046872; GO:0061629; GO:0097154
FUN_012530	GO:0000049; GO:0001731; GO:0003743; GO:0003924; GO:0005525; GO:0005850
FUN_012531	GO:0001771; GO:0003779; GO:0005737; GO:0005856; GO:0005886; GO:0005902; GO:0005912; GO:0008360; GO:0016324; GO:0030175; GO:0031528; GO:0042098; GO:0045177; GO:0050839; GO:0070489; GO:0072678; GO:1902115; GO:1902966; GO:2000643
FUN_012542	GO:0016787
FUN_012545	GO:0008277; GO:0042734; GO:0042995; GO:0043235; GO:0045211; GO:0051260
FUN_012548	GO:0016020; GO:0022857
FUN_012550	GO:0006890; GO:0007030; GO:0017119; GO:0048213
FUN_012553	GO:0004930; GO:0005886; GO:0007186
FUN_012561	GO:0001750; GO:0005085; GO:0005737; GO:0005794; GO:0005813; GO:0005929; GO:0007601; GO:0032391; GO:0036064; GO:0036126; GO:0042073; GO:0042462; GO:0042995; GO:0060042; GO:0060271; GO:0071482; GO:0120206
FUN_012571	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0046872
FUN_012572	GO:0001581; GO:0005262; GO:0005509; GO:0005886; GO:0006812; GO:0016020; GO:0030246; GO:0034703; GO:0043235; GO:0050915; GO:0050982; GO:0071468
FUN_012573	GO:0001965; GO:0005262; GO:0005509; GO:0016020; GO:0030246; GO:0050982
FUN_012575	GO:0001581; GO:0005262; GO:0005509; GO:0005886; GO:0006812; GO:0016020; GO:0030246; GO:0034703; GO:0043235; GO:0050915; GO:0050982; GO:0071468
FUN_012579	GO:0001581; GO:0005262; GO:0005509; GO:0005886; GO:0006812; GO:0016020; GO:0030246; GO:0034703; GO:0043235; GO:0050915; GO:0050982; GO:0071468
FUN_012580	GO:0005262; GO:0005509; GO:0016020; GO:0030246; GO:0050982
FUN_012590	GO:0003960; GO:0005829; GO:0006739; GO:0016651; GO:0042803; GO:0048038; GO:0070402
FUN_012591	GO:0000122; GO:0000977; GO:0000981; GO:0001227; GO:0003723; GO:0005634; GO:0006357; GO:0006397; GO:0008380; GO:0009982; GO:0017148; GO:0031119; GO:1902036; GO:1990481; GO:2000380
FUN_012595	GO:0000082; GO:0004693; GO:0005524; GO:0005634; GO:0006468; GO:0008353; GO:0010508; GO:0016301; GO:0016592; GO:0022416; GO:0034472; GO:0036011; GO:0045498; GO:0106310
FUN_012596	GO:0000398; GO:0003723; GO:0005634; GO:0005681; GO:0005684; GO:0005689; GO:0048026; GO:0071005; GO:1990935
FUN_012599	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0006508; GO:0008270; GO:0015074
FUN_012624	GO:0005789; GO:0008521; GO:0015295
FUN_012628	GO:0005886; GO:0007338; GO:0015385; GO:0030317; GO:0034220; GO:0051453; GO:0097228
FUN_012639	GO:0006623; GO:0006869; GO:0007005; GO:0019898; GO:0045053; GO:0070062; GO:1901526
FUN_012648	GO:0005886; GO:0006865; GO:0015171; GO:0015174; GO:0016020
FUN_012654	GO:0005886; GO:0006865; GO:0015171; GO:0015174; GO:0016020
FUN_012655	GO:0000064; GO:0001618; GO:0005290; GO:0005886; GO:0006865; GO:0009925; GO:0015171; GO:0015174; GO:0015189; GO:0015807; GO:0015819; GO:0015822; GO:0016020; GO:0016323; GO:0016324; GO:0032991; GO:0042102; GO:0061459; GO:0089718; GO:0097638; GO:0150104; GO:1903352; GO:1903810; GO:1903826
FUN_012661	GO:0001510; GO:0005634; GO:0008171; GO:0008173; GO:0008757; GO:0016073; GO:0017069; GO:0040031; GO:1904871; GO:1905382; GO:1990276; GO:1990904
FUN_012662	GO:0003950; GO:0005634; GO:0016779; GO:0046872; GO:0070213; GO:0140803; GO:1990404
FUN_012666	GO:0003677; GO:0005634; GO:0046872; GO:0046983
FUN_012672	GO:0005654; GO:0005829; GO:0005847; GO:0006369; GO:0006378; GO:0008420; GO:0017018; GO:0070940
FUN_012676	GO:0000122; GO:0000785; GO:0000976; GO:0003677; GO:0003682; GO:0003723; GO:0004386; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005813; GO:0006338; GO:0006355; GO:0007051; GO:0007098; GO:0008270; GO:0016575; GO:0016581; GO:0016605; GO:0016887; GO:0034451; GO:0042393; GO:0042659; GO:0045892; GO:0045893; GO:0140658; GO:2000736
FUN_012678	GO:0000139; GO:0005768; GO:0005794; GO:0005802; GO:0016757; GO:0042802; GO:0052324; GO:2001009
FUN_012679	GO:0000139; GO:0005768; GO:0005794; GO:0005802; GO:0016757; GO:0042802; GO:0052324; GO:2001009
FUN_012682	GO:0000139; GO:0005768; GO:0005794; GO:0005802; GO:0016757; GO:0042802; GO:0052324; GO:2001009
