"","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"190","Cluster_1826","FUN_021020",0.960566003787893,0.00934446304885304,0.717681557663573,163,-20.28,"2 21","614 636",20,"70.00%","85.00%"
"191","Cluster_1862","FUN_034095",0.979159544197398,0.00360024762062114,0.545343267336266,173,-21.21,"2 23","973 998",23,"73.91%","82.61%"
"192","Cluster_10051","FUN_018974",0.972275921067839,0.00551829871221388,0.615122200582249,155,-23.11,"2 21","894 920",24,"62.50%","75.00%"
"193","Cluster_14402","FUN_027471",-0.88954103184429,0.0433316800971623,0.96546924320845,167,-20.73,"2 20","263 284",18,"77.78%","83.33%"
"194","Cluster_5981","FUN_006649",0.960485624156678,0.0093729338037559,0.717681557663573,164,-20.99,"2 21","741 763",19,"73.68%","78.95%"
"195","Cluster_2859","FUN_008226",0.895056470766271,0.040161512926661,0.96546924320845,147,-21.37,"2 22","216 241",23,"65.22%","69.57%"
"196","Cluster_10207","FUN_041591",-0.897545558605285,0.0387561505122677,0.96546924320845,152,-20.33,"2 17","688 708",15,"73.33%","80.00%"
"197","Cluster_3367","FUN_014272",-0.91834045230983,0.027666353073052,0.914225011702335,167,-21.86,"2 21","660 685",21,"76.19%","80.95%"
"198","Cluster_5899","FUN_022343",-0.909992510834645,0.0319742081854053,0.932459259600562,141,-20.02,"2 21","671 700",27,"59.26%","70.37%"
"199","Cluster_3367","FUN_033784",-0.91626070905909,0.0287207716793092,0.922979388371587,165,-20.2,"2 23","125 149",22,"68.18%","81.82%"
"200","Cluster_3367","FUN_033784",-0.91626070905909,0.0287207716793092,0.922979388371587,165,-20.2,"2 23","221 245",22,"68.18%","81.82%"
"201","Cluster_10051","FUN_025386",0.881625074602777,0.0480128801489673,0.96546924320845,163,-20.65,"2 21","501 524",21,"71.43%","80.95%"
"202","Cluster_18728","FUN_038206",-0.958719638413883,0.0100055624471572,0.717681557663573,166,-24.41,"2 21","39 59",19,"78.95%","84.21%"
"203","Cluster_18728","FUN_024038",-0.911178110011102,0.0313502797344718,0.927986962503855,148,-21.59,"2 21","309 330",19,"63.16%","68.42%"
"204","Cluster_4254","FUN_012901",0.988405531088292,0.00149607509505869,0.545343267336266,154,-20.34,"2 20","44 68",21,"66.67%","76.19%"
"205","Cluster_10051","FUN_025954",0.993639608434193,0.0006083378812905,0.5367636898854,157,-22.18,"2 21","349 368",19,"73.68%","78.95%"
"206","Cluster_15316","FUN_031240",0.987112716818925,0.00175280902511889,0.545343267336266,162,-20.32,"2 21","502 528",24,"75.00%","75.00%"
"207","Cluster_15928","FUN_016389",0.995492213564925,0.000363065499834431,0.404569712307988,161,-20.09,"2 20","379 399",18,"77.78%","83.33%"
"208","Cluster_10051","FUN_024899",0.915868778083621,0.0289208946311854,0.922979388371587,154,-22.44,"2 21","529 549",19,"63.16%","84.21%"
"209","Cluster_15340","FUN_035393",0.91524425740246,0.0292407010865815,0.922979388371587,167,-21.77,"2 20","389 410",18,"72.22%","88.89%"
"210","Cluster_3366","FUN_013441",0.979485291299236,0.00351634071926723,0.545343267336266,149,-20.43,"2 23","674 696",22,"63.64%","81.82%"
"211","Cluster_3367","FUN_008843",-0.91834045230983,0.027666353073052,0.914225011702335,159,-20.06,"2 19","819 842",18,"77.78%","88.89%"
"212","Cluster_10051","FUN_007609",0.978580789954302,0.00375092828341026,0.545343267336266,165,-22.11,"2 19","612 634",18,"77.78%","88.89%"
"213","Cluster_10207","FUN_002414",0.954522788231191,0.0115621781208051,0.756417382372095,158,-21.67,"2 20","966 987",19,"68.42%","84.21%"
"214","Cluster_10057","FUN_014681",0.895870705214726,0.0397000351374173,0.96546924320845,146,-26.12,"2 21","721 747",24,"62.50%","70.83%"
"215","Cluster_3366","FUN_004088",-0.966338509909935,0.00737613387218483,0.677079544727381,156,-20.9,"2 23","778 803",23,"60.87%","82.61%"
"216","Cluster_10051","FUN_002849",0.934958820164893,0.0197166645265629,0.868390424516277,158,-21.97,"2 21","278 301",21,"66.67%","85.71%"
"217","Cluster_10207","FUN_033146",0.887810016126512,0.0443422908372885,0.96546924320845,163,-20.26,"2 20","544 564",18,"72.22%","83.33%"
"218","Cluster_1862","FUN_042954",0.932985492712366,0.0206144935084305,0.878945978594776,181,-26.27,"2 23","489 513",22,"77.27%","90.91%"
"219","Cluster_18728","FUN_013759",-0.958719638413883,0.0100055624471573,0.717681557663573,158,-24.04,"2 19","277 298",17,"76.47%","76.47%"
"220","Cluster_5981","FUN_035870",0.916117604887988,0.0287937899747496,0.922979388371587,160,-24.02,"2 21","188 210",19,"63.16%","84.21%"
"221","Cluster_5900","FUN_043410",-0.983031019325006,0.00264672589177186,0.545343267336266,162,-22.31,"2 21","364 388",22,"77.27%","77.27%"
"222","Cluster_14768","FUN_009178",0.900311733131256,0.0372131918096321,0.96546924320845,150,-21.65,"2 17","304 323",15,"80.00%","80.00%"
"223","Cluster_19193","FUN_028837",0.887017169597595,0.0448076363337118,0.96546924320845,163,-24.66,"2 21","641 663",20,"70.00%","85.00%"
"224","Cluster_3250","FUN_006081",0.977388854104582,0.00406760929145233,0.545343267336266,175,-25.52,"2 21","845 867",20,"80.00%","90.00%"
"225","Cluster_10051","FUN_019442",0.972405796451194,0.00547967560671656,0.613503054224958,177,-24.59,"2 19","405 428",19,"89.47%","89.47%"
"226","Cluster_18728","FUN_028974",-0.976242455648011,0.00438008401342708,0.562617375579486,140,-21.49,"2 9","745 766",7,"100.00%","100.00%"
"227","Cluster_14768","FUN_004001",0.90728549040468,0.0334134693550686,0.945140915113237,141,-20.67,"2 20","11 30",18,"61.11%","72.22%"
"228","Cluster_1951","FUN_032813",-0.962521932705698,0.00866050057254566,0.701026172436446,171,-22.89,"2 21","848 871",21,"76.19%","85.71%"
"229","Cluster_10057","FUN_032813",-0.881994926886044,0.0477907964799245,0.96546924320845,163,-22.16,"2 21","157 180",21,"71.43%","80.95%"
"230","Cluster_4254","FUN_017754",0.886778167844242,0.0449482155556408,0.96546924320845,168,-22.69,"2 21","721 742",19,"68.42%","89.47%"
"231","Cluster_3250","FUN_022647",0.903449463979565,0.0354873946135757,0.957075830429796,145,-20.32,"2 15","98 124",18,"72.22%","72.22%"
"232","Cluster_1862","FUN_008116",0.91706870951821,0.0283096136141049,0.91953372332968,173,-23.1,"2 23","749 773",22,"72.73%","86.36%"
"233","Cluster_15775","FUN_014246",0.950621043656932,0.0130738520743087,0.766084851142397,160,-23.26,"2 22","494 519",23,"65.22%","78.26%"
"234","Cluster_15340","FUN_037537",-0.946073573195481,0.0149104864517547,0.804033725844593,147,-20.9,"2 18","863 889",21,"71.43%","71.43%"
"235","Cluster_4220","FUN_037094",-0.886999888942687,0.0448177960148634,0.96546924320845,171,-22.96,"2 21","293 315",20,"80.00%","85.00%"
"236","Cluster_3366","FUN_037096",0.904505747275725,0.0349123426242964,0.954386929517051,157,-20.21,"2 23","204 228",22,"59.09%","81.82%"
"237","Cluster_3366","FUN_033570",0.888310868864341,0.0440491206471639,0.96546924320845,166,-20.34,"2 19","448 471",17,"82.35%","82.35%"
"238","Cluster_14768","FUN_041715",-0.921640748295058,0.0260194246904613,0.914225011702335,161,-22.11,"2 19","50 71",18,"77.78%","83.33%"
"239","Cluster_5900","FUN_012178",0.881648160791344,0.0479990081541277,0.96546924320845,167,-21.27,"2 21","703 725",20,"75.00%","85.00%"
"240","Cluster_10228","FUN_020870",-0.953881825789136,0.0118063234017635,0.762650818673689,157,-22.53,"2 22","152 171",20,"70.00%","80.00%"
"241","Cluster_19193","FUN_022469",0.96824479400018,0.00676046735214234,0.666067915013961,169,-21.37,"2 18","178 199",16,"81.25%","93.75%"
"242","Cluster_17776","FUN_024551",0.932825108812303,0.0206880329376491,0.879870949718888,160,-24.25,"2 21","59 80",19,"68.42%","78.95%"
"243","Cluster_16409","FUN_022664",0.920139320216983,0.0267646365114796,0.914225011702335,158,-20.96,"2 21","335 358",21,"71.43%","80.95%"
"244","Cluster_3366","FUN_039988",0.888310868864341,0.0440491206471639,0.96546924320845,142,-20.37,"2 23","98 127",27,"59.26%","74.07%"
"245","Cluster_10419","FUN_024475",0.89396845619105,0.0407808022661076,0.96546924320845,156,-21.08,"2 21","665 686",19,"68.42%","73.68%"
"246","Cluster_5981","FUN_000484",0.965113242711184,0.00778106354057353,0.677079544727381,157,-20.81,"2 22","47 69",20,"60.00%","80.00%"
"247","Cluster_18728","FUN_000484",-0.958719638413883,0.0100055624471572,0.717681557663573,140,-20.11,"2 9","920 941",7,"100.00%","100.00%"
"248","Cluster_3367","FUN_005665",-0.91834045230983,0.027666353073052,0.914225011702335,152,-20.85,"2 21","339 362",19,"57.89%","78.95%"
"249","Cluster_1862","FUN_017622",0.995693532787135,0.000339027428145737,0.393371538720933,163,-20.35,"2 21","739 763",20,"70.00%","85.00%"
"250","Cluster_5981","FUN_018376",0.991502576852876,0.000939096871218252,0.545343267336266,150,-21.35,"2 22","580 600",20,"65.00%","75.00%"
"251","Cluster_18728","FUN_018376",-0.972117222602966,0.00556561459709215,0.617565644211579,159,-21.71,"2 20","264 285",18,"72.22%","77.78%"
"252","Cluster_3437","FUN_040150",-0.889776610742124,0.0431947159208035,0.96546924320845,170,-23.09,"2 22","707 731",23,"78.26%","82.61%"
"253","Cluster_17776","FUN_038158",0.963064629680728,0.00847377040471592,0.696194485773984,157,-21.61,"2 14","88 109",12,"83.33%","100.00%"
"254","Cluster_15340","FUN_016048",0.916573884352466,0.0285611834742794,0.921903701075914,155,-22.43,"2 21","46 64",19,"73.68%","84.21%"
"255","Cluster_10228","FUN_025704",-0.922782863821467,0.0254571137119184,0.914225011702335,148,-21.08,"2 22","575 593",20,"70.00%","70.00%"
"256","Cluster_16409","FUN_020627",0.912436100242777,0.0306925837127653,0.922979388371587,170,-23.37,"2 20","523 545",19,"78.95%","89.47%"
"257","Cluster_18728","FUN_031987",-0.917789916417764,0.0279442357385929,0.916241285095535,158,-20.9,"2 19","491 512",17,"76.47%","76.47%"
"258","Cluster_10228","FUN_014575",0.942458837384802,0.0164254553264028,0.834900929840595,157,-21.71,"2 20","704 725",18,"72.22%","83.33%"
"259","Cluster_18723","FUN_023141",-0.926481193360391,0.0236637382302026,0.911947326397717,158,-21.46,"2 20","196 221",22,"68.18%","77.27%"
"260","Cluster_1862","FUN_026831",0.997716478496002,0.000130946140340583,0.393371538720933,176,-23,"2 21","134 157",19,"68.42%","100.00%"
"261","Cluster_3366","FUN_026837",0.888310868864341,0.0440491206471639,0.96546924320845,160,-22.19,"2 18","650 674",17,"76.47%","88.24%"
"262","Cluster_3366","FUN_013919",0.888310868864341,0.0440491206471639,0.96546924320845,162,-24.19,"2 23","779 802",21,"66.67%","76.19%"
"263","Cluster_18728","FUN_018740",-0.958719638413883,0.0100055624471572,0.717681557663573,155,-25.54,"2 21","7 30",21,"66.67%","76.19%"
"264","Cluster_10051","FUN_025322",0.897880908055453,0.0385680315035593,0.96546924320845,158,-21.18,"2 21","727 750",21,"71.43%","80.95%"
"265","Cluster_3250","FUN_006054",0.977388854104582,0.00406760929145233,0.545343267336266,175,-25.52,"2 21","103 125",20,"80.00%","90.00%"
"266","Cluster_3250","FUN_032653",0.947230938750294,0.0144356099915736,0.79284365320448,154,-21.61,"2 17","838 858",15,"80.00%","86.67%"
