HOG	OG	Gene Tree Parent Clade	Apulchra-genome.pep	Pocillopora_meandrina_HIv1.genes.pep	Porites_evermanni_v1.annot.pep
N1.HOG0001464	OG0001180	n0		Pocillopora_meandrina_HIv1___RNAseq.g27091.t1	
N1.HOG0001465	OG0001181	n0		Pocillopora_meandrina_HIv1___RNAseq.g2831.t1, Pocillopora_meandrina_HIv1___RNAseq.g19724.t1, Pocillopora_meandrina_HIv1___RNAseq.g17647.t1, Pocillopora_meandrina_HIv1___RNAseq.g25066.t1, Pocillopora_meandrina_HIv1___RNAseq.g11354.t1, Pocillopora_meandrina_HIv1___RNAseq.g19250.t1	
N1.HOG0001466	OG0001182	n0		Pocillopora_meandrina_HIv1___RNAseq.g28939.t1	
N1.HOG0001467	OG0001183	n0		Pocillopora_meandrina_HIv1___RNAseq.g18412.t1	
N1.HOG0001468	OG0001203	n1	FUN_030471-T1		
N1.HOG0001469	OG0001203	n5	FUN_030211-T1		
N1.HOG0001470	OG0001203	n6	FUN_000133-T1		
N1.HOG0001471	OG0001203	n7	FUN_036140-T1		
N1.HOG0001472	OG0001204	n0	FUN_002386-T1, FUN_011388-T1, FUN_013728-T1, FUN_039667-T1, FUN_040412-T1, FUN_039680-T1, FUN_000256-T1, FUN_018978-T1, FUN_040413-T1		
N1.HOG0001473	OG0001205	n0	FUN_033118-T1, FUN_019340-T1, FUN_000367-T1, FUN_039553-T1, FUN_031439-T1, FUN_017257-T1	Pocillopora_meandrina_HIv1___TS.g20638.t1, Pocillopora_meandrina_HIv1___RNAseq.g17697.t1, Pocillopora_meandrina_HIv1___RNAseq.g2824.t1b	
N1.HOG0001474	OG0001206	n0	FUN_034073-T1, FUN_008784-T1, FUN_013518-T1, FUN_025085-T1, FUN_027089-T1, FUN_000377-T1, FUN_008138-T1, FUN_038882-T1, FUN_037558-T1		
N1.HOG0001475	OG0001207	n0	FUN_000407-T5, FUN_000407-T1, FUN_000407-T4, FUN_000407-T3, FUN_000407-T6, FUN_000407-T2	Pocillopora_meandrina_HIv1___RNAseq.g2545.t1, Pocillopora_meandrina_HIv1___RNAseq.g20498.t2	
N1.HOG0001476	OG0001208	n0	FUN_004075-T1, FUN_002108-T1, FUN_004074-T1, FUN_018210-T1, FUN_002109-T1, FUN_042143-T1, FUN_009662-T1, FUN_000906-T1	Pocillopora_meandrina_HIv1___RNAseq.g5038.t1	
N1.HOG0001477	OG0001209	n0	FUN_036698-T1, FUN_015966-T1, FUN_042473-T1, FUN_043783-T1, FUN_018064-T1, FUN_042251-T1, FUN_009688-T1, FUN_001203-T1		
N1.HOG0001478	OG0001210	n0	FUN_001288-T1, FUN_001288-T2, FUN_001286-T1	Pocillopora_meandrina_HIv1___RNAseq.g2201.t1, Pocillopora_meandrina_HIv1___TS.g4703.t1, Pocillopora_meandrina_HIv1___RNAseq.g2198.t1, Pocillopora_meandrina_HIv1___RNAseq.g2200.t1, Pocillopora_meandrina_HIv1___RNAseq.g2196.t1	
N1.HOG0001479	OG0001211	n0	FUN_001383-T1	Pocillopora_meandrina_HIv1___TS.g4638.t1, Pocillopora_meandrina_HIv1___RNAseq.g2135.t1	
N1.HOG0001480	OG0001212	n4	FUN_019056-T1, FUN_027027-T1	Pocillopora_meandrina_HIv1___RNAseq.g6096.t1	
N1.HOG0001481	OG0001212	n6	FUN_003657-T1	Pocillopora_meandrina_HIv1___RNAseq.g14597.t1, Pocillopora_meandrina_HIv1___RNAseq.g25623.t1	
N1.HOG0001482	OG0001213	n0	FUN_001808-T1, FUN_001809-T1	Pocillopora_meandrina_HIv1___RNAseq.g30106.t1, Pocillopora_meandrina_HIv1___RNAseq.g30107.t1, Pocillopora_meandrina_HIv1___RNAseq.g30111.t1, Pocillopora_meandrina_HIv1___RNAseq.g30110.t1	
N1.HOG0001483	OG0001214	n0	FUN_016726-T1, FUN_001828-T1, FUN_001835-T1, FUN_013109-T1	Pocillopora_meandrina_HIv1___TS.g10362.t1, Pocillopora_meandrina_HIv1___TS.g10365.t1, Pocillopora_meandrina_HIv1___RNAseq.g15342.t1, Pocillopora_meandrina_HIv1___RNAseq.g15345.t1	
N1.HOG0001484	OG0001215	n0	FUN_002021-T1, FUN_040177-T1, FUN_044849-T1, FUN_010049-T1, FUN_020738-T1, FUN_021185-T1, FUN_009551-T1, FUN_045586-T1	Pocillopora_meandrina_HIv1___RNAseq.g17012.t1	
N1.HOG0001485	OG0001216	n3	FUN_002041-T1, FUN_009076-T1	Pocillopora_meandrina_HIv1___TS.g17440.t1b, Pocillopora_meandrina_HIv1___RNAseq.g2580.t1	
N1.HOG0001486	OG0001216	n6	FUN_002042-T1	Pocillopora_meandrina_HIv1___TS.g10130.t1, Pocillopora_meandrina_HIv1___RNAseq.g22076.t1	
N1.HOG0001487	OG0001217	n0	FUN_018259-T1, FUN_027409-T1, FUN_028609-T1, FUN_003430-T1, FUN_002069-T1, FUN_039914-T1, FUN_017648-T1		
N1.HOG0001488	OG0001218	n0	FUN_009632-T1, FUN_030727-T1, FUN_029581-T1, FUN_006216-T1, FUN_002070-T1, FUN_026693-T1, FUN_019260-T1, FUN_028521-T1, FUN_013891-T1		
N1.HOG0001489	OG0001219	n5	FUN_010063-T1	Pocillopora_meandrina_HIv1___RNAseq.g3272.t1	
N1.HOG0001490	OG0001219	n6	FUN_002114-T1	Pocillopora_meandrina_HIv1___RNAseq.g15938.t1	
N1.HOG0001491	OG0001219	n7	FUN_010064-T1	Pocillopora_meandrina_HIv1___RNAseq.g16587.t1	
N1.HOG0001492	OG0001220	n0	FUN_021782-T1, FUN_002162-T1	Pocillopora_meandrina_HIv1___TS.g12421.t1, Pocillopora_meandrina_HIv1___RNAseq.g8405.t1, Pocillopora_meandrina_HIv1___RNAseq.g12148.t1, Pocillopora_meandrina_HIv1___RNAseq.g362.t1, Pocillopora_meandrina_HIv1___RNAseq.g4.t1, Pocillopora_meandrina_HIv1___RNAseq.g16839.t1, Pocillopora_meandrina_HIv1___RNAseq.g16335.t1b	
N1.HOG0001493	OG0001221	n1	FUN_002166-T1		
N1.HOG0001494	OG0001221	n2	FUN_044245-T1, FUN_044939-T1	Pocillopora_meandrina_HIv1___RNAseq.g361.t1, Pocillopora_meandrina_HIv1___RNAseq.g3.t1, Pocillopora_meandrina_HIv1___RNAseq.g12147.t1, Pocillopora_meandrina_HIv1___RNAseq.g3958.t1	
N1.HOG0001495	OG0001222	n0	FUN_003855-T1, FUN_002192-T1	Pocillopora_meandrina_HIv1___TS.g28616.t1, Pocillopora_meandrina_HIv1___TS.g14209.t1, Pocillopora_meandrina_HIv1___RNAseq.g27973.t1, Pocillopora_meandrina_HIv1___RNAseq.g1201.t1, Pocillopora_meandrina_HIv1___RNAseq.g13921.t1, Pocillopora_meandrina_HIv1___RNAseq.g11466.t1	
N1.HOG0001496	OG0001223	n0	FUN_012829-T1, FUN_003514-T1, FUN_002247-T1	Pocillopora_meandrina_HIv1___TS.g6887.t1, Pocillopora_meandrina_HIv1___RNAseq.g9468.t1	
N1.HOG0001497	OG0001224	n2	FUN_044503-T1	Pocillopora_meandrina_HIv1___RNAseq.g6109.t1	
N1.HOG0001498	OG0001224	n3	FUN_002891-T1	Pocillopora_meandrina_HIv1___TS.g2128.t1, Pocillopora_meandrina_HIv1___RNAseq.g24946.t1, Pocillopora_meandrina_HIv1___RNAseq.g26824.t1, Pocillopora_meandrina_HIv1___TS.g2127.t1, Pocillopora_meandrina_HIv1___TS.g5494.t1	
N1.HOG0001499	OG0001225	n0	FUN_021057-T1, FUN_003364-T1, FUN_003183-T1, FUN_005791-T1, FUN_003230-T1, FUN_019170-T1, FUN_012944-T1, FUN_012955-T1, FUN_025204-T1		
N1.HOG0001500	OG0001226	n0	FUN_021067-T1, FUN_025119-T1, FUN_045698-T1, FUN_019229-T1, FUN_003188-T1	Pocillopora_meandrina_HIv1___TS.g23755.t1, Pocillopora_meandrina_HIv1___RNAseq.g25086.t1, Pocillopora_meandrina_HIv1___RNAseq.g16029.t1	
N1.HOG0001501	OG0001227	n0	FUN_041132-T1, FUN_038971-T1, FUN_003392-T1, FUN_033565-T1, FUN_036607-T1, FUN_030159-T1, FUN_033302-T1, FUN_040447-T1, FUN_034656-T1		
N1.HOG0001502	OG0001228	n1	FUN_010193-T1	Pocillopora_meandrina_HIv1___RNAseq.g19314.t1, Pocillopora_meandrina_HIv1___RNAseq.g9249.t1	
N1.HOG0001503	OG0001228	n4	FUN_003408-T1, FUN_030855-T1, FUN_010192-T1	Pocillopora_meandrina_HIv1___RNAseq.g19315.t1	
N1.HOG0001504	OG0001229	n0	FUN_036603-T1, FUN_036601-T1, FUN_036568-T1, FUN_036566-T1, FUN_041005-T1, FUN_036605-T1, FUN_036604-T1, FUN_036611-T1, FUN_003439-T1		
N1.HOG0001505	OG0001230	n0	FUN_030077-T1, FUN_003544-T1	Pocillopora_meandrina_HIv1___TS.g11322.t1, Pocillopora_meandrina_HIv1___RNAseq.g8908.t1b, Pocillopora_meandrina_HIv1___RNAseq.g20157.t1, Pocillopora_meandrina_HIv1___RNAseq.g26870.t1	
N1.HOG0001506	OG0001231	n0	FUN_003762-T1, FUN_019477-T1, FUN_020888-T1, FUN_019547-T1, FUN_003737-T1	Pocillopora_meandrina_HIv1___RNAseq.g22064.t1	
N1.HOG0001507	OG0001232	n2	FUN_030734-T1	Pocillopora_meandrina_HIv1___TS.g13713.t1, Pocillopora_meandrina_HIv1___TS.g15638.t1, Pocillopora_meandrina_HIv1___RNAseq.g12880.t1, Pocillopora_meandrina_HIv1___TS.g24312.t1	
N1.HOG0001508	OG0001232	n6	FUN_003853-T1	Pocillopora_meandrina_HIv1___RNAseq.g11581.t1, Pocillopora_meandrina_HIv1___RNAseq.g11579.t1	
N1.HOG0001509	OG0001233	n0	FUN_004049-T1, FUN_004042-T1, FUN_004045-T1, FUN_004046-T1, FUN_004048-T1	Pocillopora_meandrina_HIv1___RNAseq.g12621.t1, Pocillopora_meandrina_HIv1___RNAseq.g12619.t1, Pocillopora_meandrina_HIv1___RNAseq.g7778.t1	
N1.HOG0001510	OG0001234	n0	FUN_004244-T1, FUN_004245-T1		
N1.HOG0001511	OG0001235	n0	FUN_004646-T1	Pocillopora_meandrina_HIv1___RNAseq.g17523.t1, Pocillopora_meandrina_HIv1___RNAseq.g8250.t1	
N1.HOG0001512	OG0001236	n0	FUN_004724-T1, FUN_004729-T1, FUN_004726-T1, FUN_004731-T1, FUN_004728-T1, FUN_004725-T1, FUN_004730-T1, FUN_004727-T1		
N1.HOG0001513	OG0001237	n1		Pocillopora_meandrina_HIv1___RNAseq.g8588.t1	
N1.HOG0001514	OG0001237	n2	FUN_004831-T2, FUN_004831-T1, FUN_004831-T3	Pocillopora_meandrina_HIv1___RNAseq.g8585.t1, Pocillopora_meandrina_HIv1___RNAseq.g8583.t1	
N1.HOG0001515	OG0001238	n0	FUN_004967-T1, FUN_004952-T1, FUN_004961-T1, FUN_004963-T1, FUN_004955-T1, FUN_004974-T1, FUN_004957-T1	Pocillopora_meandrina_HIv1___TS.g20135.t1	
N1.HOG0001516	OG0001239	n1	FUN_005003-T1, FUN_017988-T1		
N1.HOG0001517	OG0001239	n3	FUN_017987-T1, FUN_017989-T1		
N1.HOG0001518	OG0001240	n0	FUN_005079-T1	Pocillopora_meandrina_HIv1___RNAseq.g29576.t1, Pocillopora_meandrina_HIv1___RNAseq.g29563.t1, Pocillopora_meandrina_HIv1___TS.g6767.t1, Pocillopora_meandrina_HIv1___RNAseq.g29558.t1, Pocillopora_meandrina_HIv1___RNAseq.g29578.t1, Pocillopora_meandrina_HIv1___RNAseq.g29599.t1, Pocillopora_meandrina_HIv1___RNAseq.g29584.t1, Pocillopora_meandrina_HIv1___RNAseq.g29568.t1	
N1.HOG0001519	OG0001241	n0	FUN_005393-T1	Pocillopora_meandrina_HIv1___TS.g2866.t1, Pocillopora_meandrina_HIv1___TS.g2867.t2c, Pocillopora_meandrina_HIv1___RNAseq.g1209.t1, Pocillopora_meandrina_HIv1___RNAseq.g20891.t1, Pocillopora_meandrina_HIv1___RNAseq.g20898.t1, Pocillopora_meandrina_HIv1___RNAseq.g20894.t1, Pocillopora_meandrina_HIv1___RNAseq.g17089.t1, Pocillopora_meandrina_HIv1___RNAseq.g17083.t1	
N1.HOG0001520	OG0001242	n0	FUN_034171-T1, FUN_017992-T1, FUN_028408-T1, FUN_005424-T1, FUN_028439-T1, FUN_027205-T1, FUN_024889-T1, FUN_032340-T1		
N1.HOG0001521	OG0001243	n0	FUN_018482-T1, FUN_036444-T1, FUN_005433-T1, FUN_026884-T1, FUN_007592-T1, FUN_012851-T1, FUN_026885-T1, FUN_020892-T1, FUN_012852-T1		
N1.HOG0001522	OG0001244	n0	FUN_005549-T1, FUN_005563-T1, FUN_005521-T1, FUN_011637-T1, FUN_011654-T1, FUN_044629-T1, FUN_005512-T1, FUN_005574-T1, FUN_005442-T1		
N1.HOG0001523	OG0001245	n0	FUN_005529-T1, FUN_005645-T1, FUN_039495-T1, FUN_005645-T2, FUN_031003-T1	Pocillopora_meandrina_HIv1___RNAseq.g27274.t1b, Pocillopora_meandrina_HIv1___RNAseq.g21588.t1, Pocillopora_meandrina_HIv1___RNAseq.g9777.t1	
N1.HOG0001524	OG0001246	n0	FUN_005530-T1, FUN_005644-T1	Pocillopora_meandrina_HIv1___RNAseq.g14796.t1, Pocillopora_meandrina_HIv1___TS.g9629.t1b, Pocillopora_meandrina_HIv1___RNAseq.g21587.t1, Pocillopora_meandrina_HIv1___RNAseq.g12676.t1, Pocillopora_meandrina_HIv1___RNAseq.g8375.t1, Pocillopora_meandrina_HIv1___RNAseq.g9778.t1	
N1.HOG0001525	OG0001247	n0	FUN_031659-T1, FUN_005816-T1, FUN_035319-T1, FUN_027871-T1, FUN_039375-T1, FUN_009799-T1, FUN_035102-T1, FUN_018185-T1, FUN_023537-T1		
N1.HOG0001526	OG0001248	n0	FUN_006015-T1, FUN_006010-T2, FUN_006010-T1, FUN_006010-T3, FUN_006011-T2, FUN_006011-T3, FUN_006011-T1	Pocillopora_meandrina_HIv1___TS.g29304.t1	
N1.HOG0001527	OG0001249	n1	FUN_033089-T1, FUN_023536-T1, FUN_019011-T1	Pocillopora_meandrina_HIv1___RNAseq.g10230.t1	
N1.HOG0001528	OG0001249	n5	FUN_018548-T1, FUN_027682-T1, FUN_006390-T1		
N1.HOG0001529	OG0001250	n0	FUN_018239-T1, FUN_006468-T1, FUN_018235-T1, FUN_006499-T1, FUN_018232-T1, FUN_040318-T1, FUN_040312-T1		
N1.HOG0001530	OG0001251	n0	FUN_017771-T1, FUN_017769-T1, FUN_006536-T1, FUN_006542-T1	Pocillopora_meandrina_HIv1___RNAseq.g465.t2	
N1.HOG0001531	OG0001252	n0	FUN_006663-T1, FUN_038824-T1, FUN_016919-T1, FUN_028440-T1, FUN_030577-T1, FUN_024678-T1, FUN_035920-T1, FUN_015694-T1, FUN_038495-T1		
N1.HOG0001532	OG0001253	n0	FUN_006700-T1, FUN_006701-T1, FUN_006701-T2	Pocillopora_meandrina_HIv1___RNAseq.g19976.t1	
N1.HOG0001533	OG0001254	n0	FUN_018892-T1, FUN_042978-T1, FUN_010866-T1, FUN_026925-T1, FUN_027562-T1, FUN_023706-T1, FUN_037357-T1, FUN_006970-T1, FUN_015094-T1		
N1.HOG0001534	OG0001255	n0	FUN_006994-T1		
N1.HOG0001535	OG0001256	n0	FUN_007089-T1	Pocillopora_meandrina_HIv1___RNAseq.g6782.t1, Pocillopora_meandrina_HIv1___RNAseq.g6781.t1, Pocillopora_meandrina_HIv1___RNAseq.g6776.t1	
N1.HOG0001536	OG0001257	n0	FUN_007112-T1	Pocillopora_meandrina_HIv1___RNAseq.g19026.t1, Pocillopora_meandrina_HIv1___RNAseq.g19029.t1	
N1.HOG0001537	OG0001258	n0	FUN_007654-T1	Pocillopora_meandrina_HIv1___RNAseq.g5826.t1a, Pocillopora_meandrina_HIv1___TS.g24545.t1, Pocillopora_meandrina_HIv1___RNAseq.g5826.t1b, Pocillopora_meandrina_HIv1___RNAseq.g5824.t1b, Pocillopora_meandrina_HIv1___RNAseq.g5821.t1, Pocillopora_meandrina_HIv1___RNAseq.g5822.t1, Pocillopora_meandrina_HIv1___TS.g24535.t1, Pocillopora_meandrina_HIv1___RNAseq.g5815.t1	
N1.HOG0001538	OG0001259	n0	FUN_007812-T1	Pocillopora_meandrina_HIv1___RNAseq.g18377.t1, Pocillopora_meandrina_HIv1___RNAseq.g18364.t1, Pocillopora_meandrina_HIv1___TS.g21342.t1, Pocillopora_meandrina_HIv1___TS.g21347.t1, Pocillopora_meandrina_HIv1___TS.g21362.t1, Pocillopora_meandrina_HIv1___RNAseq.g18369.t1, Pocillopora_meandrina_HIv1___RNAseq.g18383.t1	
N1.HOG0001539	OG0001260	n0	FUN_008031-T1, FUN_008033-T1, FUN_008032-T1		
N1.HOG0001540	OG0001261	n2	FUN_008318-T1	Pocillopora_meandrina_HIv1___RNAseq.g18222.t1	
N1.HOG0001541	OG0001261	n3	FUN_008317-T1	Pocillopora_meandrina_HIv1___RNAseq.g5426.t1, Pocillopora_meandrina_HIv1___RNAseq.g5423.t1, Pocillopora_meandrina_HIv1___RNAseq.g5429.t1, Pocillopora_meandrina_HIv1___RNAseq.g5437.t1, Pocillopora_meandrina_HIv1___RNAseq.g5436.t1	
N1.HOG0001542	OG0001262	n0	FUN_008698-T1, FUN_008590-T1	Pocillopora_meandrina_HIv1___TS.g113.t1, Pocillopora_meandrina_HIv1___RNAseq.g12768.t1, Pocillopora_meandrina_HIv1___RNAseq.g12767.t1, Pocillopora_meandrina_HIv1___RNAseq.g12766.t1	
N1.HOG0001543	OG0001263	n0	FUN_008726-T1, FUN_008728-T1, FUN_041412-T1	Pocillopora_meandrina_HIv1___RNAseq.g20118.t1, Pocillopora_meandrina_HIv1___RNAseq.g20116.t1, Pocillopora_meandrina_HIv1___RNAseq.g20115.t1	
N1.HOG0001544	OG0001264	n4	FUN_045580-T1	Pocillopora_meandrina_HIv1___TS.g15566.t1, Pocillopora_meandrina_HIv1___RNAseq.g27657.t1, Pocillopora_meandrina_HIv1___RNAseq.g27656.t1	
N1.HOG0001545	OG0001264	n7	FUN_008733-T1	Pocillopora_meandrina_HIv1___RNAseq.g7913.t1	
N1.HOG0001546	OG0001265	n0	FUN_027468-T1, FUN_017215-T1, FUN_019148-T1, FUN_027702-T1, FUN_015743-T1, FUN_040587-T1, FUN_026551-T1, FUN_009214-T1		
N1.HOG0001547	OG0001266	n0	FUN_010790-T1, FUN_009299-T1, FUN_012748-T1	Pocillopora_meandrina_HIv1___TS.g22927.t1, Pocillopora_meandrina_HIv1___TS.g26823.t1, Pocillopora_meandrina_HIv1___TS.g17552.t1, Pocillopora_meandrina_HIv1___RNAseq.g24700.t1, Pocillopora_meandrina_HIv1___RNAseq.g21854.t1, Pocillopora_meandrina_HIv1___RNAseq.g24703.t2	
N1.HOG0001548	OG0001267	n0	FUN_009427-T1, FUN_033066-T1, FUN_033064-T1, FUN_022011-T1, FUN_009414-T1, FUN_009396-T1, FUN_009405-T1, FUN_009393-T1	Pocillopora_meandrina_HIv1___RNAseq.g12421.t1	
N1.HOG0001549	OG0001268	n0	FUN_009692-T1	Pocillopora_meandrina_HIv1___RNAseq.g4460.t1	
N1.HOG0001550	OG0001269	n1	FUN_031195-T1	Pocillopora_meandrina_HIv1___RNAseq.g19340.t1	
N1.HOG0001551	OG0001269	n3	FUN_010151-T1	Pocillopora_meandrina_HIv1___RNAseq.g28820.t1	
N1.HOG0001552	OG0001270	n0	FUN_017666-T1, FUN_010152-T1, FUN_011343-T1, FUN_010201-T1, FUN_010204-T1, FUN_010202-T1, FUN_010200-T1, FUN_010203-T1		
N1.HOG0001553	OG0001271	n0	FUN_010179-T1, FUN_019465-T1, FUN_010178-T1, FUN_021779-T1, FUN_021814-T1, FUN_019450-T1, FUN_015898-T1, FUN_019464-T1		
N1.HOG0001554	OG0001272	n0	FUN_041340-T1, FUN_027366-T1, FUN_010861-T1, FUN_019383-T1, FUN_022010-T1, FUN_030603-T1, FUN_041335-T1, FUN_013693-T1, FUN_025067-T1		
N1.HOG0001555	OG0001273	n0	FUN_011216-T1, FUN_011225-T1, FUN_019746-T1, FUN_020958-T1, FUN_023605-T1, FUN_011235-T1, FUN_027020-T1, FUN_027021-T1		
N1.HOG0001556	OG0001274	n1	FUN_011378-T1	Pocillopora_meandrina_HIv1___RNAseq.g6155.t1, Pocillopora_meandrina_HIv1___RNAseq.g16256.t1	
N1.HOG0001557	OG0001274	n3	FUN_039608-T1, FUN_039549-T1, FUN_015925-T1, FUN_020918-T1, FUN_034679-T1	Pocillopora_meandrina_HIv1___RNAseq.g9156.t1	
N1.HOG0001558	OG0001275	n0	FUN_026656-T1, FUN_026904-T1, FUN_011499-T1, FUN_029816-T1, FUN_023906-T1, FUN_023906-T2, FUN_019544-T1, FUN_021992-T1, FUN_044310-T1		
N1.HOG0001559	OG0001276	n1		Pocillopora_meandrina_HIv1___TS.g16802.t1	
N1.HOG0001560	OG0001276	n2	FUN_012114-T1, FUN_012114-T2	Pocillopora_meandrina_HIv1___RNAseq.g23923.t1, Pocillopora_meandrina_HIv1___TS.g16796.t1, Pocillopora_meandrina_HIv1___RNAseq.g23926.t1, Pocillopora_meandrina_HIv1___RNAseq.g23924.t1	
N1.HOG0001561	OG0001277	n0	FUN_012185-T1, FUN_012184-T1	Pocillopora_meandrina_HIv1___RNAseq.g23538.t1, Pocillopora_meandrina_HIv1___RNAseq.g23499.t1, Pocillopora_meandrina_HIv1___RNAseq.g23493.t1, Pocillopora_meandrina_HIv1___RNAseq.g23220.t1, Pocillopora_meandrina_HIv1___RNAseq.g23487.t1, Pocillopora_meandrina_HIv1___RNAseq.g23510.t1	
N1.HOG0001562	OG0001278	n0	FUN_033579-T1, FUN_043736-T1, FUN_037101-T1, FUN_037112-T1, FUN_034413-T1, FUN_012214-T1, FUN_041249-T1, FUN_041298-T1, FUN_014318-T1		
N1.HOG0001563	OG0001279	n0	FUN_012578-T1	Pocillopora_meandrina_HIv1___RNAseq.g24777.t1, Pocillopora_meandrina_HIv1___TS.g24538.t1, Pocillopora_meandrina_HIv1___RNAseq.g5823.t1, Pocillopora_meandrina_HIv1___RNAseq.g24779.t1, Pocillopora_meandrina_HIv1___TS.g24530.t1	
N1.HOG0001564	OG0001280	n0	FUN_040296-T1, FUN_027554-T1, FUN_021778-T1, FUN_012627-T1, FUN_017019-T1, FUN_034902-T1, FUN_022338-T1, FUN_038305-T1		
N1.HOG0001565	OG0001281	n1	FUN_012654-T2, FUN_012654-T1	Pocillopora_meandrina_HIv1___RNAseq.g22899.t1, Pocillopora_meandrina_HIv1___RNAseq.g22897.t1	
N1.HOG0001566	OG0001281	n5	FUN_012648-T1, FUN_012648-T2	Pocillopora_meandrina_HIv1___TS.g15783.t1	
N1.HOG0001567	OG0001282	n0	FUN_025341-T1, FUN_015937-T1, FUN_021033-T1, FUN_012761-T1, FUN_021941-T1	Pocillopora_meandrina_HIv1___RNAseq.g16072.t1	
N1.HOG0001568	OG0001283	n0	FUN_012803-T1	Pocillopora_meandrina_HIv1___RNAseq.g1234.t1, Pocillopora_meandrina_HIv1___RNAseq.g26767.t1, Pocillopora_meandrina_HIv1___RNAseq.g10241.t1, Pocillopora_meandrina_HIv1___RNAseq.g9428.t1, Pocillopora_meandrina_HIv1___TS.g3414.t1, Pocillopora_meandrina_HIv1___RNAseq.g11122.t1, Pocillopora_meandrina_HIv1___RNAseq.g27213.t1	
N1.HOG0001569	OG0001284	n0	FUN_037016-T1, FUN_037017-T1, FUN_022680-T1, FUN_022681-T1, FUN_012838-T1, FUN_012837-T1, FUN_024518-T1, FUN_028177-T1, FUN_028176-T1		
N1.HOG0001570	OG0001285	n2	FUN_012842-T1	Pocillopora_meandrina_HIv1___RNAseq.g8177.t1, Pocillopora_meandrina_HIv1___RNAseq.g24621.t1, Pocillopora_meandrina_HIv1___TS.g12563.t1	
N1.HOG0001571	OG0001285	n5	FUN_040584-T1	Pocillopora_meandrina_HIv1___RNAseq.g28857.t1, Pocillopora_meandrina_HIv1___RNAseq.g18278.t1, Pocillopora_meandrina_HIv1___RNAseq.g4501.t1	
N1.HOG0001572	OG0001286	n1	FUN_013015-T1	Pocillopora_meandrina_HIv1___TS.g27815.t1	
N1.HOG0001573	OG0001286	n3	FUN_043693-T1	Pocillopora_meandrina_HIv1___RNAseq.g27002.t1, Pocillopora_meandrina_HIv1___RNAseq.g2820.t1a, Pocillopora_meandrina_HIv1___TS.g11926.t1, Pocillopora_meandrina_HIv1___TS.g23741.t1	
N1.HOG0001574	OG0001287	n0	FUN_013649-T1, FUN_013650-T1, FUN_039272-T1	Pocillopora_meandrina_HIv1___RNAseq.g2586.t1, Pocillopora_meandrina_HIv1___RNAseq.g5287.t1, Pocillopora_meandrina_HIv1___TS.g23997.t1, Pocillopora_meandrina_HIv1___RNAseq.g5282.t1, Pocillopora_meandrina_HIv1___RNAseq.g5289.t1	
N1.HOG0001575	OG0001288	n0	FUN_013660-T1, FUN_014363-T1, FUN_025213-T1, FUN_039558-T1, FUN_023871-T1, FUN_027452-T1, FUN_044354-T1, FUN_017244-T1, FUN_027462-T1		
N1.HOG0001576	OG0001289	n0	FUN_013718-T1, FUN_013717-T1, FUN_013719-T1, FUN_013724-T1, FUN_013722-T1, FUN_013720-T1, FUN_013721-T1, FUN_013716-T1, FUN_013723-T1		
N1.HOG0001577	OG0001290	n0	FUN_013976-T1, FUN_027444-T1, FUN_028438-T1, FUN_020981-T1, FUN_013852-T1, FUN_013947-T1, FUN_015854-T1, FUN_042238-T1, FUN_042317-T1		
N1.HOG0001578	OG0001291	n1	FUN_017002-T1	Pocillopora_meandrina_HIv1___RNAseq.g28836.t1, Pocillopora_meandrina_HIv1___TS.g12872.t1	
N1.HOG0001579	OG0001291	n4	FUN_013861-T1	Pocillopora_meandrina_HIv1___RNAseq.g16286.t1	
N1.HOG0001580	OG0001292	n0	FUN_026700-T1, FUN_015754-T1, FUN_033193-T1, FUN_032943-T1, FUN_032949-T1, FUN_033158-T1, FUN_033181-T1, FUN_014045-T1, FUN_014226-T1		
N1.HOG0001581	OG0001293	n0	FUN_015110-T3, FUN_015110-T2, FUN_015110-T1	Pocillopora_meandrina_HIv1___RNAseq.g7729.t1, Pocillopora_meandrina_HIv1___RNAseq.g7728.t1	
N1.HOG0001582	OG0001294	n0	FUN_015437-T1, FUN_015439-T1	Pocillopora_meandrina_HIv1___TS.g27046.t1, Pocillopora_meandrina_HIv1___RNAseq.g22287.t1	
N1.HOG0001583	OG0001295	n0	FUN_042092-T1, FUN_042066-T1, FUN_042065-T1, FUN_042082-T1, FUN_015457-T1, FUN_042063-T1, FUN_042084-T2, FUN_042084-T1	Pocillopora_meandrina_HIv1___RNAseq.g27228.t1	
N1.HOG0001584	OG0001296	n0	FUN_042199-T1, FUN_028395-T1, FUN_028367-T1, FUN_015511-T1, FUN_015639-T1, FUN_042153-T1, FUN_015600-T1, FUN_042200-T1, FUN_015593-T1		
N1.HOG0001585	OG0001297	n1	FUN_015621-T1, FUN_015650-T1, FUN_042270-T1, FUN_042239-T1, FUN_015514-T1		
N1.HOG0001586	OG0001297	n6	FUN_015566-T1		
N1.HOG0001587	OG0001298	n1	FUN_042369-T1		
N1.HOG0001588	OG0001298	n5		Pocillopora_meandrina_HIv1___TS.g15619.t1	
N1.HOG0001589	OG0001298	n6		Pocillopora_meandrina_HIv1___RNAseq.g14484.t1	
