"","X","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"923",320595,"Cluster_5882","Peve_00005884",-0.47902401937587,0.681981349264998,0.978262075707395,160,-21.08,"2 21","86 107",19,"68.42%","78.95%"
"924",321398,"Cluster_2882","Peve_00007482",-0.948138976586998,0.205925761244801,0.978262075707395,159,-21.09,"2 16","368 389",14,"85.71%","85.71%"
"925",322158,"Cluster_796","Peve_00008939",0.898740270652305,0.288966974174018,0.978262075707395,158,-21.93,"2 21","836 856",19,"73.68%","78.95%"
"926",322337,"Cluster_589","Peve_00037184",-0.105208309949068,0.932898129820433,0.999448381576871,151,-22.37,"2 21","604 629",23,"60.87%","73.91%"
"927",322832,"Cluster_589","Peve_00037188",-0.957454284605807,0.186369555787961,0.978262075707395,169,-25.46,"2 18","515 536",16,"75.00%","100.00%"
"928",324145,"Cluster_4080","Peve_00012450",-0.931562206138298,0.236892681665284,0.978262075707395,162,-22.36,"2 21","886 906",19,"73.68%","84.21%"
"929",324894,"Cluster_13502","Peve_00017214",0.602457722162441,0.588376415962391,0.978262075707395,165,-23.3,"2 21","540 559",19,"78.95%","84.21%"
"930",325221,"Cluster_2787","Peve_00011900",-0.276822778728964,0.821437006983119,0.995934364227446,146,-20.08,"2 18","206 230",20,"70.00%","75.00%"
"931",325234,"Cluster_6906","Peve_00011900",0.999023739066517,0.0281328295255526,0.902005420309698,157,-22.41,"2 18","850 871",16,"75.00%","81.25%"
"932",325400,"Cluster_1167","Peve_00029710",0.979139029800053,0.130262755275379,0.978262075707395,157,-23.35,"2 16","735 755",14,"85.71%","92.86%"
"934",325881,"Cluster_11134","Peve_00034507",-0.886757558805676,0.305904564992255,0.978262075707395,161,-21.73,"2 21","898 917",19,"73.68%","84.21%"
"935",325949,"Cluster_5563","Peve_00013464",0.625839869282362,0.569512686565082,0.978262075707395,168,-20.8,"2 18","819 843",18,"83.33%","88.89%"
"936",325971,"Cluster_11134","Peve_00013464",0.680995118886432,0.523094953695145,0.978262075707395,152,-20.82,"2 13","353 374",11,"90.91%","90.91%"
"937",326079,"Cluster_4079","Peve_00013463",0.928877072377217,0.241550641272954,0.978262075707395,163,-22.63,"2 21","156 178",20,"70.00%","85.00%"
"938",326083,"Cluster_4735","Peve_00013463",0.713828651094728,0.493919056241006,0.978262075707395,168,-20.23,"2 21","51 72",19,"68.42%","89.47%"
"939",326872,"Cluster_11135","Peve_00044789",0.881821565207224,0.312634616741919,0.978262075707395,160,-21.12,"2 18","827 849",17,"82.35%","82.35%"
"940",326954,"Cluster_8988","Peve_00044780",0.575788762440147,0.609390128421735,0.978262075707395,177,-24.9,"2 20","595 615",18,"88.89%","94.44%"
"941",327558,"Cluster_796","Peve_00021796",0.840511273029264,0.36450946409411,0.978262075707395,147,-21.62,"2 12","86 107",10,"90.00%","90.00%"
"942",328446,"Cluster_11134","Peve_00026223",0.55949581200006,0.621989589422818,0.978262075707395,167,-23.83,"2 21","813 837",22,"72.73%","81.82%"
"943",329032,"Cluster_11135","Peve_00018552",0.454037721326328,0.699966259953284,0.978262075707395,168,-20.92,"2 21","724 743",19,"84.21%","89.47%"
"944",329442,"Cluster_15726","Peve_00039387",-0.285200383711484,0.81587970163528,0.995934364227446,150,-22.07,"2 21","128 148",19,"63.16%","78.95%"
"945",329677,"Cluster_2854","Peve_00011171",-0.507486347355159,0.661149542463894,0.978262075707395,157,-20.19,"2 21","966 988",21,"71.43%","80.95%"
"946",329903,"Cluster_2882","Peve_00039726",0.220525388897312,0.858445628039414,0.995934364227446,159,-22.66,"2 21","154 176",20,"70.00%","80.00%"
"949",331544,"Cluster_8988","Peve_00012059",0.544516361110454,0.633426448470097,0.978262075707395,158,-20.31,"2 21","743 766",21,"71.43%","80.95%"
"950",331707,"Cluster_4629","Peve_00032976",0.801351180379796,0.408229722430887,0.978262075707395,149,-20.61,"2 19","60 83",19,"63.16%","78.95%"
"954",332271,"Cluster_11134","Peve_00033373",0.932122562459955,0.235909571343465,0.978262075707395,171,-21.87,"2 21","6 28",20,"75.00%","90.00%"
"955",332760,"Cluster_9149","Peve_00032394",0.0209023133260384,0.98669220488429,0.999448381576871,144,-20.98,"2 13","90 111",11,"72.73%","90.91%"
"956",333452,"Cluster_589","Peve_00016315",-0.657209318403745,0.543473497407343,0.978262075707395,155,-23.93,"2 12","597 618",10,"100.00%","100.00%"
"957",333549,"Cluster_4079","Peve_00016317",-0.770183478659426,0.44032924516284,0.978262075707395,159,-24.46,"2 17","364 386",16,"75.00%","93.75%"
"958",333636,"Cluster_2787","Peve_00016319",0.575077094534184,0.609944096097967,0.978262075707395,165,-22.98,"2 18","377 398",16,"81.25%","87.50%"
"959",334347,"Cluster_15726","Peve_00004895",-0.4770981216957,0.683377259407516,0.978262075707395,170,-22.98,"2 21","790 810",19,"84.21%","84.21%"
"960",334965,"Cluster_9149","Peve_00029547",-0.546351443168337,0.632032611209059,0.978262075707395,158,-31.41,"2 20","11 38",24,"66.67%","75.00%"
"961",335908,"Cluster_8888","Peve_00008404",-0.926055154859667,0.246355500269697,0.978262075707395,154,-20.42,"2 20","806 823",18,"77.78%","83.33%"
"962",336162,"Cluster_4629","Peve_00023795",-0.365265234999543,0.761956593035188,0.988787276940888,155,-20.27,"2 12","839 860",10,"100.00%","100.00%"
"963",336170,"Cluster_6914","Peve_00023795",0.723505958309016,0.48505885924231,0.978262075707395,183,-24.94,"2 20","184 204",18,"88.89%","94.44%"
"964",337560,"Cluster_5882","Peve_00018755",-0.27814091057559,0.820563558554478,0.995934364227446,159,-24.05,"2 21","178 201",21,"66.67%","80.95%"
"965",337979,"Cluster_8988","Peve_00018750",0.508161140306551,0.660650870370508,0.978262075707395,155,-20.15,"2 21","25 50",23,"65.22%","73.91%"
"966",338007,"Cluster_4629","Peve_00005389",-0.668499081965284,0.5338741259949,0.978262075707395,145,-20.76,"2 16","639 659",14,"78.57%","78.57%"
"968",338625,"Cluster_16738","Peve_00036407",-0.845846441337952,0.358191791246106,0.978262075707395,160,-20.76,"2 13","545 566",11,"100.00%","100.00%"
"969",339135,"Cluster_5882","Peve_00022829",-0.943423574615029,0.215170147519037,0.978262075707395,170,-21.29,"2 21","401 424",21,"80.95%","85.71%"
"970",339319,"Cluster_6906","Peve_00022823",0.216311405733033,0.861194711463765,0.996439226369472,143,-20.59,"2 18","96 121",20,"70.00%","70.00%"
"971",339396,"Cluster_2787","Peve_00002381",0.919484934250533,0.257212237540664,0.978262075707395,170,-28.01,"2 19","181 202",17,"76.47%","94.12%"
"972",339627,"Cluster_4629","Peve_00021553",0.997938030915672,0.0408894104551393,0.909359886114279,150,-20.07,"2 20","95 120",22,"63.64%","72.73%"
"973",340417,"Cluster_11135","Peve_00036217",0.844443877729655,0.359862212804899,0.978262075707395,169,-23.48,"2 18","81 102",16,"81.25%","93.75%"
"974",341336,"Cluster_4115","Peve_00011377",-0.449040803998016,0.703531560333745,0.978262075707395,152,-20.23,"2 20","65 92",24,"70.83%","75.00%"
"975",341607,"Cluster_4629","Peve_00016242",-0.33931102186015,0.779612184808739,0.993433959658941,145,-20.4,"2 20","381 401",18,"66.67%","72.22%"
"976",341642,"Cluster_589","Peve_00016243",-0.927599765143479,0.243736657231869,0.978262075707395,158,-26.8,"2 20","643 668",22,"63.64%","81.82%"
"977",341743,"Cluster_4735","Peve_00013205",-0.999762368280092,0.013878928135551,0.720093853779252,158,-24.01,"2 21","196 221",23,"73.91%","73.91%"
"978",343150,"Cluster_8634","Peve_00024530",-0.0658041221572118,0.958077502184402,0.999448381576871,161,-22.3,"2 21","132 153",20,"75.00%","85.00%"
"979",345165,"Cluster_5882","Peve_00019415",-0.479523813239683,0.681618820820253,0.978262075707395,155,-21.09,"2 21","847 870",21,"71.43%","71.43%"
"980",345390,"Cluster_5882","Peve_00044592",-0.701460341253875,0.505063498655057,0.978262075707395,165,-23.1,"2 20","288 308",18,"77.78%","88.89%"
"982",346057,"Cluster_2854","Peve_00003036",-0.666929978893196,0.535216011119283,0.978262075707395,169,-20.9,"2 21","826 845",19,"84.21%","84.21%"
"983",346148,"Cluster_2882","Peve_00003033",-0.269974971976875,0.825969138398744,0.995934364227446,164,-20.11,"2 18","705 728",18,"83.33%","83.33%"
"985",346472,"Cluster_6904","Peve_00041418",0.826849537912348,0.380261594407369,0.978262075707395,155,-21,"2 21","163 185",20,"65.00%","80.00%"
"986",346474,"Cluster_6906","Peve_00041418",0.995403572861268,0.0610621091904624,0.978262075707395,155,-21,"2 21","163 185",20,"65.00%","80.00%"
"987",347312,"Cluster_589","Peve_00016665",0.159680919674548,0.897906931664995,0.999448381576871,150,-22.22,"2 20","832 854",19,"68.42%","73.68%"
"989",348492,"Cluster_4629","Peve_00004567",-0.273809878764517,0.823432185953861,0.995934364227446,159,-25.35,"2 21","71 89",19,"78.95%","84.21%"
"990",348741,"Cluster_11134","Peve_00010845",0.826087819759973,0.381122944340608,0.978262075707395,153,-20.19,"2 21","818 837",19,"68.42%","78.95%"
"992",349387,"Cluster_2854","Peve_00014066",-0.644258847250901,0.554331898847412,0.978262075707395,163,-22.85,"2 21","546 573",25,"68.00%","76.00%"
"993",350072,"Cluster_6904","Peve_00036814",0.256436619546399,0.834903018971818,0.995934364227446,155,-22.13,"2 21","307 329",20,"70.00%","75.00%"
"994",350430,"Cluster_5882","Peve_00036818",-0.27814091057559,0.820563558554478,0.995934364227446,150,-21.75,"2 21","21 45",22,"63.64%","77.27%"
"996",352533,"Cluster_796","Peve_00040733",0.189710775269486,0.878489934885364,0.998340606605112,148,-22.6,"2 18","838 856",16,"81.25%","81.25%"
"997",353320,"Cluster_8634","Peve_00030763",-0.403801111829881,0.735377550730334,0.985967377195944,170,-22.29,"2 15","99 120",13,"100.00%","100.00%"
"998",354817,"Cluster_11135","Peve_00033236",0.961396534375451,0.17746608502567,0.978262075707395,157,-22.11,"2 21","564 591",25,"72.00%","76.00%"
"999",355185,"Cluster_16738","Peve_00032724",0.999974190676381,0.00457387578916138,0.54328949385489,169,-21.23,"2 18","554 575",16,"87.50%","87.50%"
"1000",355413,"Cluster_796","Peve_00028537",0.513555769054642,0.656655896090086,0.978262075707395,153,-21.06,"2 21","913 938",23,"73.91%","73.91%"
"1001",355564,"Cluster_6906","Peve_00032729",-0.581826364675384,0.604676642318764,0.978262075707395,153,-20.83,"2 20","605 628",20,"70.00%","80.00%"
"1002",355597,"Cluster_2854","Peve_00032728",0.864446365173095,0.335338362258347,0.978262075707395,158,-21.1,"2 20","189 212",20,"70.00%","80.00%"
"1003",355621,"Cluster_9983","Peve_00032728",-0.859321332858956,0.341772584730946,0.978262075707395,162,-21.53,"2 20","320 344",22,"68.18%","81.82%"
"1004",356408,"Cluster_2882","Peve_00037809",-0.330762389592554,0.785388267121457,0.994828713796305,155,-21.25,"2 17","147 170",17,"76.47%","82.35%"
"1005",356715,"Cluster_16738","Peve_00037803",-0.742916462217786,0.466883893357769,0.978262075707395,167,-20.37,"2 21","875 897",20,"80.00%","80.00%"
"1006",357713,"Cluster_2882","Peve_00023189",-0.823226222719061,0.384343695755461,0.978262075707395,164,-21.12,"2 21","722 743",19,"68.42%","84.21%"
"1007",358116,"Cluster_2787","Peve_00003045",-0.854313083950712,0.347956334262764,0.978262075707395,153,-20.16,"2 19","711 736",21,"66.67%","76.19%"
"1008",358953,"Cluster_10061","Peve_00031409",0.999873400436456,0.0101301483856458,0.62545365403098,161,-20.62,"2 18","964 985",16,"75.00%","87.50%"
"1009",359942,"Cluster_10060","Peve_00020520",-0.110934140073418,0.929231472887504,0.999448381576871,188,-24.34,"2 21","305 326",19,"89.47%","94.74%"
"1010",360135,"Cluster_16738","Peve_00006598",-0.289651691686775,0.812921061503556,0.995934364227446,174,-24.09,"2 21","175 195",19,"84.21%","89.47%"
"1011",360225,"Cluster_16738","Peve_00006597",0.805262494474725,0.404048739350108,0.978262075707395,174,-24.09,"2 21","202 222",19,"84.21%","89.47%"
"1012",360936,"Cluster_11134","Peve_00013818",0.480424021751133,0.680965564410332,0.978262075707395,150,-20.18,"2 21","700 723",21,"66.67%","76.19%"
"1013",361086,"Cluster_2787","Peve_00013815",-0.00382968334855694,0.997561941898757,0.999448381576871,165,-23.01,"2 21","43 68",23,"78.26%","82.61%"
"1014",361187,"Cluster_6904","Peve_00044511",-0.968688158256394,0.159730997113641,0.978262075707395,157,-25.02,"2 21","925 946",20,"75.00%","80.00%"
"1015",361189,"Cluster_6906","Peve_00044511",-0.730117633489696,0.478930482330548,0.978262075707395,153,-22.73,"2 21","925 946",20,"70.00%","80.00%"
"1016",361431,"Cluster_11134","Peve_00039956",0.87229736245996,0.325258718232456,0.978262075707395,162,-24.26,"2 21","696 716",19,"73.68%","84.21%"
"1017",361892,"Cluster_589","Peve_00007316",-0.685119020931263,0.519500353454206,0.978262075707395,161,-24.9,"2 20","590 610",18,"77.78%","83.33%"
"1018",362066,"Cluster_14999","Peve_00007315",0.606565038869219,0.585093942447836,0.978262075707395,175,-23.07,"2 20","765 786",18,"77.78%","94.44%"
"1020",363302,"Cluster_6904","Peve_00017903",-0.840354913686006,0.364693148607936,0.978262075707395,154,-20.37,"2 21","222 246",22,"72.73%","72.73%"
"1021",363304,"Cluster_6906","Peve_00017903",-0.476386493936202,0.683892633824843,0.978262075707395,154,-21.41,"2 21","222 246",22,"72.73%","72.73%"
"1022",363314,"Cluster_8988","Peve_00017903",0.338803772638723,0.779955442320287,0.993510726390294,150,-20.19,"2 21","369 395",24,"62.50%","75.00%"
"1023",363425,"Cluster_1167","Peve_00023746",0.617110798528677,0.576606052398091,0.978262075707395,150,-20.56,"2 17","865 888",17,"76.47%","82.35%"
"1024",363480,"Cluster_5882","Peve_00034606",0.968541836544288,0.160105752350056,0.978262075707395,165,-23.83,"2 14","650 671",12,"100.00%","100.00%"
"1025",364632,"Cluster_15726","Peve_00032520",-0.868599123643031,0.330041616870159,0.978262075707395,158,-21.93,"2 19","143 163",18,"83.33%","83.33%"
"1026",365272,"Cluster_2854","Peve_00015430",-0.878215267357264,0.317468711502223,0.978262075707395,163,-20.34,"2 21","109 131",20,"70.00%","85.00%"
"1027",365790,"Cluster_9149","Peve_00032294",-0.346604909773926,0.774668930557993,0.992151563864281,154,-23.21,"2 21","873 893",19,"68.42%","78.95%"
"1028",366321,"Cluster_7053","Peve_00013596",0.999599711713374,0.0180134147972475,0.782669382293497,155,-20.38,"2 20","415 434",18,"72.22%","88.89%"
"1029",366807,"Cluster_4629","Peve_00043994",-0.367866012199436,0.760177013432938,0.988271762439196,149,-21.25,"2 20","374 398",21,"71.43%","71.43%"
"1030",366960,"Cluster_9149","Peve_00043997",-0.796998016865613,0.412840191451936,0.978262075707395,160,-20.15,"2 21","920 941",19,"73.68%","73.68%"
"1031",367080,"Cluster_5882","Peve_00043992",-0.499976775845693,0.666683738730963,0.978262075707395,160,-20.16,"2 21","362 383",19,"57.89%","89.47%"
"1032",367098,"Cluster_10061","Peve_00043992",-0.647341691061505,0.551761385309713,0.978262075707395,180,-21.44,"2 21","293 314",19,"78.95%","94.74%"
"1033",367302,"Cluster_4629","Peve_00015295",0.984592349072389,0.111898055440837,0.978262075707395,156,-21.43,"2 13","345 366",11,"90.91%","100.00%"
"1034",369009,"Cluster_4079","Peve_00036992",-0.980601874009695,0.12559708513348,0.978262075707395,162,-22.52,"2 21","428 448",19,"73.68%","84.21%"
"1035",369183,"Cluster_796","Peve_00036996",0.900663418778519,0.286162131590773,0.978262075707395,160,-20.94,"2 18","123 145",17,"82.35%","82.35%"
"1036",369276,"Cluster_2787","Peve_00036998",0.826314634207763,0.380866641634401,0.978262075707395,151,-21.64,"2 21","445 470",23,"60.87%","73.91%"
"1037",369300,"Cluster_9149","Peve_00036998",-0.430551692447647,0.716638033068977,0.980647121511795,161,-22.41,"2 21","340 359",19,"78.95%","78.95%"
"1038",369692,"Cluster_6904","Peve_00015518",-0.226328022711406,0.854655744837047,0.995934364227446,158,-20.52,"2 21","974 994",19,"68.42%","84.21%"
"1039",369694,"Cluster_6906","Peve_00015518",0.269709324526725,0.826144769946046,0.995934364227446,158,-20.32,"2 21","974 994",19,"68.42%","84.21%"
"1040",370533,"Cluster_796","Peve_00000521",-0.818441955581773,0.389676330062044,0.978262075707395,167,-23.6,"2 20","660 681",18,"77.78%","83.33%"
"1041",370920,"Cluster_9149","Peve_00035217",0.859831520858028,0.341136985289496,0.978262075707395,156,-22.6,"2 18","556 578",17,"76.47%","82.35%"
"1042",371567,"Cluster_589","Peve_00003958",-0.0839757229912827,0.946476360773452,0.999448381576871,161,-27.28,"2 20","947 967",18,"77.78%","83.33%"
"1043",372354,"Cluster_7855","Peve_00006206",0.15368468138024,0.901771999371963,0.999448381576871,166,-20.41,"2 21","514 534",19,"78.95%","84.21%"
"1044",372857,"Cluster_10060","Peve_00021903",-0.509953560482644,0.659325150230544,0.978262075707395,162,-20.17,"2 21","476 500",22,"68.18%","86.36%"
"1045",373595,"Cluster_1167","Peve_00022288",0.433768525737431,0.714367120936195,0.979921586797081,160,-21.94,"2 21","533 555",21,"80.95%","80.95%"
"1046",374012,"Cluster_6904","Peve_00037107",-0.951310992493219,0.199475076059675,0.978262075707395,147,-20.21,"2 13","787 809",12,"83.33%","91.67%"
"1047",374853,"Cluster_796","Peve_00028705",0.898740270652305,0.288966974174018,0.978262075707395,148,-20.55,"2 19","35 55",17,"70.59%","76.47%"
"1048",374925,"Cluster_9149","Peve_00016035",0.625144212109638,0.570080299760181,0.978262075707395,145,-21.13,"2 10","923 944",8,"100.00%","100.00%"
"1049",375130,"Cluster_4080","Peve_00023889",0.674673440334274,0.528568932175891,0.978262075707395,160,-21.85,"2 21","511 533",21,"76.19%","85.71%"
"1050",375195,"Cluster_9149","Peve_00016036",0.388837034524102,0.745753826329117,0.987481572123537,145,-21.13,"2 10","207 228",8,"100.00%","100.00%"
"1051",376112,"Cluster_589","Peve_00024142",-0.762298342062948,0.448141825073086,0.978262075707395,159,-22.23,"2 20","3 24",18,"61.11%","88.89%"
"1052",376950,"Cluster_9149","Peve_00031231",-0.5,0.666666666666667,0.978262075707395,162,-24.74,"2 15","818 839",13,"84.62%","100.00%"
"1053",377020,"Cluster_4080","Peve_00030751",-0.164371176656228,0.894881035560243,0.999448381576871,156,-20.13,"2 18","100 122",17,"70.59%","88.24%"
"1054",377602,"Cluster_2854","Peve_00021242",-0.492476100688936,0.672183790869439,0.978262075707395,160,-20.7,"2 18","170 192",17,"76.47%","88.24%"
"1055",377652,"Cluster_4629","Peve_00021243",0.993932333921704,0.0701658511452049,0.978262075707395,142,-20.11,"2 21","626 646",19,"63.16%","68.42%"
"1056",377923,"Cluster_4735","Peve_00005278",0.0322561884631155,0.979461510007308,0.999448381576871,165,-23.53,"2 18","368 389",16,"81.25%","87.50%"
"1058",379722,"Cluster_4629","Peve_00003537",-0.989612639465616,0.0918384135101435,0.978262075707395,158,-25.25,"2 21","36 59",21,"76.19%","76.19%"
"1059",379805,"Cluster_1167","Peve_00043468",0.999909726776791,0.00855416971793915,0.573710369894872,155,-21.49,"2 21","742 764",20,"70.00%","75.00%"
"1060",380406,"Cluster_7053","Peve_00024802",0.496350667543253,0.669346062435359,0.978262075707395,173,-20.38,"2 18","324 345",16,"87.50%","93.75%"
"1061",380660,"Cluster_1167","Peve_00035057",0.0248103733236768,0.984203604908919,0.999448381576871,154,-20.3,"2 21","448 468",19,"68.42%","78.95%"
"1062",380843,"Cluster_2882","Peve_00044876",-0.898389711968954,0.289475524970989,0.978262075707395,147,-22.19,"2 16","584 605",14,"64.29%","85.71%"
"1063",380991,"Cluster_7053","Peve_00040347",0.992895983108058,0.0759284530899831,0.978262075707395,169,-20.69,"2 20","477 497",18,"83.33%","88.89%"
"1064",382186,"Cluster_29","Peve_00033048",-0.368569774287229,0.759695126986102,0.988219883885475,161,-25.02,"2 21","65 89",22,"77.27%","81.82%"
"1065",382312,"Cluster_11135","Peve_00029014",0.992681180276387,0.0770692049392397,0.978262075707395,159,-21.82,"2 21","550 572",20,"70.00%","80.00%"
"1066",384558,"Cluster_10061","Peve_00040834",-0.579715070531236,0.606327725401748,0.978262075707395,169,-20.12,"2 18","856 877",16,"81.25%","93.75%"
"1067",384722,"Cluster_6904","Peve_00004817",0.659907128668835,0.541191219096573,0.978262075707395,164,-23.76,"2 18","497 519",17,"82.35%","88.24%"
"1068",384724,"Cluster_6906","Peve_00004817",0.217544263742227,0.860390704313479,0.996303012730569,164,-24.59,"2 18","497 519",17,"82.35%","88.24%"
"1069",384981,"Cluster_2787","Peve_00042477",0.952962429313652,0.196035526222913,0.978262075707395,150,-20.33,"2 21","627 653",24,"66.67%","70.83%"
"1070",385260,"Cluster_5882","Peve_00016977",0.0604458734571421,0.961495490135897,0.999448381576871,156,-20.39,"2 13","950 971",11,"90.91%","100.00%"
"1071",385433,"Cluster_2882","Peve_00003455",-0.967963360807899,0.161578998183906,0.978262075707395,167,-20.71,"2 20","390 411",18,"77.78%","83.33%"
"1072",385482,"Cluster_4629","Peve_00003454",-0.443383362280846,0.707556077121805,0.978262075707395,151,-20.18,"2 20","643 661",18,"72.22%","77.78%"
"1073",385641,"Cluster_11134","Peve_00016978",0.98920628098729,0.0936207439507944,0.978262075707395,157,-24.23,"2 15","461 483",14,"85.71%","92.86%"
"1074",387110,"Cluster_6914","Peve_00008487",0.857503374968476,0.344028809467992,0.978262075707395,159,-24.84,"2 17","694 715",16,"81.25%","87.50%"
"1075",388469,"Cluster_8988","Peve_00004104",-0.176644118188749,0.886951668419015,0.999448381576871,171,-25.18,"2 21","787 811",22,"77.27%","81.82%"
"1076",388875,"Cluster_9149","Peve_00014532",0.0306231621661092,0.980501641140313,0.999448381576871,162,-21.97,"2 21","346 370",22,"77.27%","77.27%"
"1077",389100,"Cluster_9149","Peve_00031039",-0.0718032485127076,0.954249261799908,0.999448381576871,173,-29.43,"2 18","759 780",16,"87.50%","93.75%"
"1078",389911,"Cluster_9983","Peve_00000485",0.681888788557642,0.522317594016363,0.978262075707395,174,-21.71,"2 20","590 611",19,"84.21%","89.47%"
"1081",392544,"Cluster_4079","Peve_00027215",-0.886171394401763,0.306710889228692,0.978262075707395,151,-21.27,"2 19","496 517",18,"72.22%","83.33%"
"1082",392752,"Cluster_11135","Peve_00027622",0.846390280819749,0.357542218424973,0.978262075707395,156,-20.36,"2 18","81 103",17,"76.47%","82.35%"
"1083",392855,"Cluster_1167","Peve_00027217",-0.196890868723889,0.873831065608176,0.997476741937264,152,-20.56,"2 21","465 486",19,"63.16%","73.68%"
"1085",394956,"Cluster_11134","Peve_00039881",0.744343263206493,0.465525320150176,0.978262075707395,162,-26.61,"2 21","288 314",24,"70.83%","79.17%"
"1086",395331,"Cluster_2787","Peve_00017086",0.325966548218066,0.788620630009186,0.995556400176012,157,-20.78,"2 19","959 981",18,"77.78%","77.78%"
"1087",395812,"Cluster_11135","Peve_00013705",0.535499914736697,0.640246436090277,0.978262075707395,157,-21.68,"2 18","232 253",16,"75.00%","81.25%"
"1088",395854,"Cluster_10934","Peve_00013706",0.962628300031342,0.17459364744368,0.978262075707395,169,-22.1,"2 20","312 332",18,"83.33%","88.89%"
"1089",395916,"Cluster_2787","Peve_00041326",-0.519564188512295,0.652188637062884,0.978262075707395,153,-21.51,"2 21","776 795",19,"73.68%","73.68%"
"1090",397396,"Cluster_29","Peve_00041798",-0.90149143119521,0.284946588709919,0.978262075707395,160,-22.47,"2 20","751 775",21,"76.19%","85.71%"
"1091",397533,"Cluster_796","Peve_00041795",0.64693749988835,0.552098905919193,0.978262075707395,167,-23.61,"2 21","930 953",21,"76.19%","80.95%"
"1092",397949,"Cluster_5563","Peve_00041791",0.953705339843735,0.194469024212578,0.978262075707395,150,-21.87,"2 21","273 300",24,"62.50%","75.00%"
"1093",398310,"Cluster_5882","Peve_00026506",0.0402610511311349,0.974362089305134,0.999448381576871,150,-21.39,"2 20","386 411",22,"63.64%","72.73%"
"1094",399162,"Cluster_4629","Peve_00015938",-0.61833765580439,0.575612859377394,0.978262075707395,152,-20.39,"2 21","238 259",19,"63.16%","73.68%"
"1095",399471,"Cluster_2787","Peve_00039774",-0.788720221725601,0.42148806045497,0.978262075707395,160,-20.16,"2 21","267 288",19,"68.42%","78.95%"
"1096",400053,"Cluster_796","Peve_00043237",0.971577670972831,0.152145458355826,0.978262075707395,152,-23.53,"2 13","330 351",11,"90.91%","90.91%"
"1097",400620,"Cluster_9149","Peve_00038061",-0.668782604183555,0.533631388812197,0.978262075707395,156,-22.24,"2 18","60 84",19,"73.68%","78.95%"
"1102",402194,"Cluster_8988","Peve_00012487",-0.905823201447666,0.278506848201881,0.978262075707395,150,-20.6,"2 20","574 597",20,"65.00%","75.00%"
"1103",402663,"Cluster_796","Peve_00028244",0.914552419472341,0.265086172849999,0.978262075707395,155,-20.23,"2 20","270 291",18,"72.22%","72.22%"
"1104",402915,"Cluster_9149","Peve_00034190",-0.498345080479903,0.667882536987427,0.978262075707395,152,-26.28,"2 21","732 753",19,"57.89%","78.95%"
"1105",403252,"Cluster_2854","Peve_00035575",-0.32423124356237,0.789788815269255,0.995841163676664,167,-20.54,"2 21","451 473",20,"75.00%","85.00%"
"1106",403297,"Cluster_2854","Peve_00035574",-0.525111933052067,0.648046901813849,0.978262075707395,167,-20.54,"2 21","490 512",20,"75.00%","85.00%"
"1107",403473,"Cluster_796","Peve_00035579",-0.818121918319766,0.390030776851777,0.978262075707395,151,-24.46,"2 21","73 97",22,"68.18%","68.18%"
"1108",403506,"Cluster_11134","Peve_00035579",0.177370737293809,0.886481666764417,0.999448381576871,160,-23.15,"2 19","3 26",19,"78.95%","84.21%"
"1109",403845,"Cluster_5882","Peve_00041861",-0.61492777317909,0.578370307248233,0.978262075707395,161,-24.9,"2 16","533 553",14,"92.86%","92.86%"
"1110",404120,"Cluster_6914","Peve_00044307",-0.449774257208956,0.703008872768505,0.978262075707395,150,-22.07,"2 20","38 59",19,"68.42%","73.68%"
"1111",404172,"Cluster_8887","Peve_00034221",0.947643204241301,0.206916422778752,0.978262075707395,165,-20.01,"2 19","609 630",18,"83.33%","83.33%"
"1112",404326,"Cluster_29","Peve_00044309",-0.995182938890722,0.0625116105373675,0.978262075707395,167,-24.21,"2 21","946 968",20,"75.00%","85.00%"
"1113",404525,"Cluster_6914","Peve_00006982",-0.0117248538898032,0.992535555153361,0.999448381576871,157,-20.21,"2 20","142 165",21,"71.43%","80.95%"
"1114",406116,"Cluster_11134","Peve_00042887",-0.680183125878477,0.523800502185814,0.978262075707395,152,-20.18,"2 21","330 349",19,"63.16%","89.47%"
"1116",406316,"Cluster_4115","Peve_00037550",0.938713208041894,0.224038140573558,0.978262075707395,167,-21.08,"2 21","755 777",20,"70.00%","90.00%"
"1118",406752,"Cluster_15726","Peve_00008728",-0.906573455635303,0.277377312240604,0.978262075707395,164,-23.2,"2 21","905 924",19,"84.21%","84.21%"
"1119",406851,"Cluster_2787","Peve_00008723",0.990183461160617,0.0892750760694426,0.978262075707395,158,-22.37,"2 21","17 37",19,"68.42%","84.21%"
"1120",407061,"Cluster_11134","Peve_00015587",0.660128931495733,0.54100326021175,0.978262075707395,173,-31.45,"2 19","295 317",18,"83.33%","94.44%"
"1121",407490,"Cluster_5882","Peve_00037887",-0.188470122822619,0.879294269276386,0.998547984197839,162,-22.35,"2 19","540 561",17,"76.47%","82.35%"
"1122",410133,"Cluster_796","Peve_00002955",-0.236662942603704,0.84789257952564,0.995934364227446,147,-20.11,"2 21","918 941",21,"61.90%","71.43%"
"1123",410522,"Cluster_10060","Peve_00029973",-0.732992461699907,0.47624607954137,0.978262075707395,167,-21.66,"2 21","359 381",20,"75.00%","85.00%"
