,source,target,region,Alignment,energy,total_bp_shared,query_similar,subject_similar,PCC.cor,PCC_magnitude,PCC_direction,p_value
456,apul-mir-novel-4,FUN_002646,CDS,FUN_002646;2 20;18504 18527,-27.49,21,66.67%,80.95%,0.976473755665439,0.976473755665439,1,0.00431642508902756
457,apul-mir-novel-4,FUN_006488,CDS,FUN_006488;2 17;226 248,-23.2,17,82.35%,88.24%,0.970398484687404,0.970398484687404,1,0.00608649070563876
458,apul-mir-novel-4,FUN_006542,CDS,FUN_006542;2 17;225 247,-21.79,17,82.35%,88.24%,0.949697840874719,0.949697840874719,1,0.013440316732388
459,apul-mir-novel-4,FUN_009685,CDS,FUN_009685;2 18;365 389,-22.07,20,65.00%,75.00%,0.890439789585319,0.890439789585319,1,0.0428098880008314
460,apul-mir-novel-4,FUN_009685,CDS,FUN_009685;2 18;605 629,-22.38,20,65.00%,75.00%,0.890439789585319,0.890439789585319,1,0.0428098880008314
461,apul-mir-novel-4,FUN_010939,CDS,FUN_010939;2 19;30027 30047,-21.02,17,70.59%,88.24%,0.905607338091432,0.905607338091432,1,0.0343158347101029
462,apul-mir-novel-4,FUN_010990,CDS,FUN_010990;2 20;8049 8072,-21.01,21,71.43%,76.19%,-0.897013613529995,0.897013613529995,-1,0.0390551502612732
463,apul-mir-novel-4,FUN_018194,CDS,FUN_018194;2 20;10440 10458,-21.56,18,77.78%,83.33%,-0.897596926608571,0.897596926608571,-1,0.0387273159874254
464,apul-mir-novel-4,FUN_022527,CDS,FUN_022527;2 20;16150 16174,-23.63,22,72.73%,77.27%,-0.913079543803525,0.913079543803525,-1,0.0303579162035216
465,apul-mir-novel-4,FUN_022912,CDS,FUN_022912;2 19;140 160,-22.35,17,70.59%,88.24%,0.902945909200035,0.902945909200035,1,0.0357625902381589
466,apul-mir-novel-4,FUN_025476,CDS,FUN_025476;2 20;12526 12550,-22.2,22,68.18%,77.27%,0.907267718719072,0.907267718719072,1,0.033422985044171
467,apul-mir-novel-4,FUN_029368,CDS,FUN_029368;2 20;5557 5580,-21.26,21,71.43%,76.19%,-0.911136312456013,0.911136312456013,-1,0.0313722088085375
468,apul-mir-novel-4,FUN_031513,CDS,FUN_031513;2 20;5281 5306,-22.01,23,60.87%,69.57%,-0.976904487025009,0.976904487025009,-1,0.00419870148827339
469,apul-mir-novel-4,FUN_032162,CDS,FUN_032162;2 20;1699 1720,-21.66,19,63.16%,78.95%,-0.970090512303536,0.970090512303536,-1,0.00618143417402044
470,apul-mir-novel-4,FUN_034062,CDS,FUN_034062;2 19;22456 22479,-20.07,20,60.00%,80.00%,0.949373824541247,0.949373824541247,1,0.0135697166477634
471,apul-mir-novel-4,FUN_036560,CDS,FUN_036560;2 15;74 94,-20.35,13,69.23%,76.92%,0.974492254868024,0.974492254868024,1,0.00487161854311547
472,apul-mir-novel-4,FUN_038134,CDS,FUN_038134;2 20;5447 5470,-21.39,21,71.43%,76.19%,0.927666397999815,0.927666397999815,1,0.0230980291465569
473,apul-mir-2022,FUN_001256,CDS,FUN_001256;2 21;1724 1743,-21.47,19,78.95%,84.21%,-0.911107501148855,0.911107501148855,-1,0.0313873275151818
474,apul-mir-2022,FUN_000420,CDS,FUN_000420;2 18;1144 1166,-22.28,16,81.25%,93.75%,0.97161195715853,0.97161195715853,1,0.00571714276917764
475,apul-mir-2022,FUN_004037,CDS,FUN_004037;2 22;1626 1648,-26.94,20,75.00%,95.00%,-0.898178428420286,0.898178428420286,-1,0.0384013777160507
476,apul-mir-2022,FUN_002566,CDS,FUN_002566;2 22;1786 1808,-25.15,20,75.00%,85.00%,0.986949430054417,0.986949430054417,1,0.00178618352147705
477,apul-mir-2022,FUN_002583,CDS,FUN_002583;2 21;1737 1759,-28.11,19,68.42%,84.21%,-0.942254854658705,0.942254854658705,-1,0.0165123597389469
478,apul-mir-2022,FUN_002376,CDS,FUN_002376;2 22;4982 5008,-21.87,24,66.67%,75.00%,-0.980880235753916,0.980880235753916,-1,0.00316452248438938
479,apul-mir-2022,FUN_003209,CDS,FUN_003209;2 20;1194 1216,-24.8,18,83.33%,94.44%,-0.97498753788204,0.97498753788204,-1,0.00473077586237476
480,apul-mir-2022,FUN_007133,CDS,FUN_007133;2 20;2511 2533,-24.8,18,83.33%,94.44%,-0.934595231617919,0.934595231617919,-1,0.0198811153009932
481,apul-mir-2022,FUN_006021,CDS,FUN_006021;2 22;5387 5415,-23.19,26,65.38%,69.23%,-0.970633007728153,0.970633007728153,-1,0.00601451592242376
482,apul-mir-2022,FUN_006026,CDS,FUN_006026;2 22;15247 15275,-23.19,26,65.38%,69.23%,-0.993628388742328,0.993628388742328,-1,0.000609947218731425
483,apul-mir-2022,FUN_006036,CDS,FUN_006036;2 22;2390 2418,-23.19,26,65.38%,69.23%,-0.990692235828071,0.990692235828071,-1,0.00107645192407542
484,apul-mir-2022,FUN_007758,CDS,FUN_007758;2 22;8715 8738,-21.92,21,80.95%,85.71%,0.958666458014883,0.958666458014883,1,0.0100248224553294
485,apul-mir-2022,FUN_008126,CDS,FUN_008126;2 19;21656 21677,-21.03,17,76.47%,94.12%,-0.988202091483297,0.988202091483297,-1,0.00153557606807976
486,apul-mir-2022,FUN_010709,CDS,FUN_010709;2 20;1074 1100,-23.76,22,72.73%,81.82%,-0.942478739871791,0.942478739871791,-1,0.0164169841007451
487,apul-mir-2022,FUN_012731,CDS,FUN_012731;2 22;3216 3236,-24.05,20,85.00%,90.00%,-0.927532977353592,0.927532977353592,-1,0.0231614908587837
488,apul-mir-2022,FUN_012763,CDS,FUN_012763;2 22;90617 90645,-23.59,26,61.54%,76.92%,-0.949353154151641,0.949353154151641,-1,0.013577985344798
489,apul-mir-2022,FUN_012145,CDS,FUN_012145;2 22;7069 7094,-24.41,23,69.57%,78.26%,-0.901317910907149,0.901317910907149,-1,0.0366569320841015
490,apul-mir-2022,FUN_015485,CDS,FUN_015485;2 20;2243 2264,-20.14,18,77.78%,88.89%,0.937443800681907,0.937443800681907,1,0.0186046590730334
491,apul-mir-2022,FUN_015891,CDS,FUN_015891;2 20;1091 1113,-24.8,18,83.33%,94.44%,-0.953005814497786,0.953005814497786,-1,0.0121426856721263
492,apul-mir-2022,FUN_022426,CDS,FUN_022426;2 20;2810 2837,-21.53,23,73.91%,78.26%,-0.943218616755512,0.943218616755512,-1,0.0161030768110677
493,apul-mir-2022,FUN_023589,CDS,FUN_023589;2 21;4144 4167,-23.74,21,71.43%,80.95%,-0.964770210565201,0.964770210565201,-1,0.00789569784214632
494,apul-mir-2022,FUN_024295,CDS,FUN_024295;2 22;3095 3124,-27.67,27,62.96%,70.37%,0.894838695885963,0.894838695885963,1,0.0402852271135673
495,apul-mir-2022,FUN_024416,CDS,FUN_024416;2 21;14676 14702,-20.41,23,69.57%,73.91%,-0.881047559754226,0.881047559754226,-1,0.048360308522703
496,apul-mir-2022,FUN_025749,CDS,FUN_025749;2 22;3819 3849,-23.34,28,67.86%,71.43%,-0.909733358006645,0.909733358006645,-1,0.0321111130367183
497,apul-mir-2022,FUN_028246,CDS,FUN_028246;2 21;540 564,-23.03,21,66.67%,80.95%,0.946964051919962,0.946964051919962,1,0.0145446708990684
498,apul-mir-2022,FUN_027701,CDS,FUN_027701;2 22;1271 1297,-24.27,24,58.33%,79.17%,-0.926021935735986,0.926021935735986,-1,0.0238841319487084
499,apul-mir-2022,FUN_030681,CDS,FUN_030681;2 22;97034 97057,-29.6,21,80.95%,85.71%,-0.948246198404904,0.948246198404904,-1,0.0140231883666624
500,apul-mir-2022,FUN_031078,CDS,FUN_031078;2 22;1435 1455,-22.25,20,75.00%,80.00%,-0.982163379555072,0.982163379555072,-1,0.00285192002534465
501,apul-mir-2022,FUN_031510,CDS,FUN_031510;2 20;3442 3465,-24.53,19,78.95%,94.74%,-0.935983701180255,0.935983701180255,-1,0.0192555038132354
502,apul-mir-2022,FUN_032240,CDS,FUN_032240;2 22;357 377,-20.32,20,75.00%,85.00%,-0.951349527103224,0.951349527103224,-1,0.0127870257601197
503,apul-mir-2022,FUN_032607,CDS,FUN_032607;2 20;6662 6684,-30.4,18,83.33%,100.00%,-0.975958718540844,0.975958718540844,-1,0.0044585937900913
504,apul-mir-2022,FUN_033039,CDS,FUN_033039;2 22;8027 8050,-21.89,21,66.67%,80.95%,0.921708900624982,0.921708900624982,1,0.0259857594701203
505,apul-mir-2022,FUN_035382,CDS,FUN_035382;2 22;14 36,-38.67,20,95.00%,95.00%,-0.898351247140424,0.898351247140424,-1,0.0383046803084148
506,apul-mir-2022,FUN_035430,CDS,FUN_035430;2 22;26486 26509,-21.56,21,66.67%,80.95%,0.982929482755966,0.982929482755966,1,0.00267047614304092
507,apul-mir-2022,FUN_036746,CDS,FUN_036746;2 22;582 606,-20.07,22,59.09%,81.82%,-0.930289166274304,0.930289166274304,-1,0.0218620130241501
508,apul-mir-2022,FUN_042118,CDS,FUN_042118;2 22;17349 17372,-29.33,21,80.95%,90.48%,-0.933850226451485,0.933850226451485,-1,0.0202194604462242
509,apul-mir-2022,FUN_044177,CDS,FUN_044177;2 21;5361 5387,-20.8,23,65.22%,78.26%,-0.914961885724364,0.914961885724364,-1,0.0293856694593683
510,apul-mir-2022,FUN_044180,CDS,FUN_044180;2 21;5361 5387,-20.8,23,65.22%,78.26%,-0.943643720074303,0.943643720074303,-1,0.0159236127340614
511,apul-mir-2022,FUN_044182,CDS,FUN_044182;2 21;5361 5387,-20.8,23,65.22%,78.26%,-0.890646308634531,0.890646308634531,-1,0.0426902731298845
512,apul-mir-2022,FUN_044256,CDS,FUN_044256;2 21;5361 5387,-20.8,23,65.22%,78.26%,-0.898147415043621,0.898147415043621,-1,0.0384187388816748
513,apul-mir-2022,FUN_044253,CDS,FUN_044253;2 21;3104 3130,-20.8,23,65.22%,78.26%,-0.881317732593067,0.881317732593067,-1,0.0481976760750671
514,apul-mir-novel-14,FUN_004078,CDS,FUN_004078;2 21;1515 1542,-20.09,25,68.00%,68.00%,-0.951828602853249,0.951828602853249,-1,0.0125995350452551
515,apul-mir-novel-14,FUN_005951,CDS,FUN_005951;2 17;410 431,-21.59,15,80.00%,93.33%,-0.911459476837608,0.911459476837608,-1,0.0312027888015098
516,apul-mir-novel-14,FUN_008520,CDS,FUN_008520;2 18;3286 3307,-22.47,16,87.50%,93.75%,-0.900912734750441,0.900912734750441,-1,0.0368806097624446
517,apul-mir-novel-14,FUN_008019,CDS,FUN_008019;2 19;965 987,-22.39,18,94.44%,94.44%,-0.886676439517907,0.886676439517907,-1,0.0450080938195929
518,apul-mir-novel-14,FUN_008019,CDS,FUN_008019;2 21;866 888,-22.42,20,90.00%,90.00%,-0.886676439517907,0.886676439517907,-1,0.0450080938195929
519,apul-mir-novel-14,FUN_008288,CDS,FUN_008288;2 21;3761 3786,-21.04,23,69.57%,69.57%,-0.920556062653652,0.920556062653652,-1,0.0265571132288215
520,apul-mir-novel-14,FUN_010691,CDS,FUN_010691;2 16;12989 13011,-20.93,15,93.33%,93.33%,-0.933277777628406,0.933277777628406,-1,0.0204806930827768
521,apul-mir-novel-14,FUN_013505,CDS,FUN_013505;2 21;2519 2541,-21.77,20,75.00%,80.00%,-0.896731756723325,0.896731756723325,-1,0.0392138749758406
522,apul-mir-novel-14,FUN_018764,CDS,FUN_018764;2 21;4265 4285,-22.17,19,73.68%,84.21%,-0.977116218498568,0.977116218498568,-1,0.00414122823627968
523,apul-mir-novel-14,FUN_018349,CDS,FUN_018349;2 16;15099 15121,-21.18,15,86.67%,93.33%,0.932736186897333,0.932736186897333,1,0.0207288420701154
524,apul-mir-novel-14,FUN_022145,CDS,FUN_022145;2 16;4321 4341,-20.74,14,85.71%,85.71%,0.908709108411204,0.908709108411204,1,0.0326540326797903
525,apul-mir-novel-14,FUN_022341,CDS,FUN_022341;2 21;4587 4610,-20.37,21,71.43%,76.19%,-0.878565015008816,0.878565015008816,-1,0.0498627668770586
526,apul-mir-novel-14,FUN_023565,CDS,FUN_023565;2 17;2513 2536,-20.13,17,76.47%,76.47%,0.975834806636505,0.975834806636505,1,0.00449302425141202
527,apul-mir-novel-14,FUN_027244,CDS,FUN_027244;2 16;704 724,-20.46,14,85.71%,92.86%,0.969676623158723,0.969676623158723,1,0.00630978991962067
528,apul-mir-novel-14,FUN_037790,CDS,FUN_037790;2 16;6548 6569,-21.52,14,92.86%,92.86%,0.918175568971474,0.918175568971474,1,0.0277494840687487
529,apul-mir-novel-14,FUN_038834,CDS,FUN_038834;2 16;8464 8484,-20.99,14,78.57%,85.71%,0.962016304038225,0.962016304038225,1,0.00883567420059776
530,apul-mir-novel-14,FUN_042269,CDS,FUN_042269;2 21;413 435,-21.41,20,75.00%,80.00%,-0.928840495799963,0.928840495799963,-1,0.0225420024186021
531,apul-mir-novel-22,FUN_001500,CDS,FUN_001500;2 19;5921 5942,-20.9,17,88.24%,88.24%,0.882364515864912,0.882364515864912,1,0.0475691965349656
532,apul-mir-novel-22,FUN_005153,CDS,FUN_005153;2 17;40593 40614,-20.96,15,86.67%,93.33%,0.947087837855072,0.947087837855072,1,0.0144940536109944
533,apul-mir-novel-22,FUN_006286,CDS,FUN_006286;2 21;28740 28760,-22.45,19,57.89%,84.21%,-0.934716071952229,0.934716071952229,-1,0.0198264101937691
534,apul-mir-novel-22,FUN_006425,CDS,FUN_006425;2 18;1741 1761,-24.75,16,68.75%,87.50%,0.905658990907276,0.905658990907276,1,0.0342879456764622
535,apul-mir-novel-22,FUN_007153,CDS,FUN_007153;2 21;1857 1879,-21.35,20,70.00%,85.00%,0.882165233837686,0.882165233837686,1,0.0476886425403596
536,apul-mir-novel-22,FUN_005858,CDS,FUN_005858;2 20;15889 15911,-29.13,19,63.16%,89.47%,0.926368402957091,0.926368402957091,1,0.0237178042025414
537,apul-mir-novel-22,FUN_005858,CDS,FUN_005858;2 21;11150 11172,-23.24,20,65.00%,85.00%,0.926368402957091,0.926368402957091,1,0.0237178042025414
538,apul-mir-novel-22,FUN_005921,CDS,FUN_005921;2 20;5967 5990,-23.1,20,65.00%,85.00%,0.956226102917959,0.956226102917959,1,0.0109215516287866
539,apul-mir-novel-22,FUN_007607,CDS,FUN_007607;2 21;6384 6408,-21.96,22,77.27%,81.82%,0.913737402232006,0.913737402232006,1,0.0300169715989997
540,apul-mir-novel-22,FUN_008289,CDS,FUN_008289;2 18;175 197,-25.78,17,70.59%,94.12%,0.945381271191268,0.945381271191268,1,0.0151969280937344
541,apul-mir-novel-22,FUN_009676,CDS,FUN_009676;2 21;633 660,-22.63,25,60.00%,72.00%,-0.942108613053445,0.942108613053445,-1,0.0165747559901862
542,apul-mir-novel-22,FUN_009778,CDS,FUN_009778;2 21;7320 7345,-26.2,23,73.91%,82.61%,0.900131815383233,0.900131815383233,1,0.0373129397972094
543,apul-mir-novel-22,FUN_010074,CDS,FUN_010074;2 21;7334 7356,-22.09,20,80.00%,85.00%,0.984545294603385,0.984545294603385,1,0.00230099462489003
544,apul-mir-novel-22,FUN_009049,CDS,FUN_009049;2 12;56044 56065,-21.35,10,80.00%,100.00%,0.918826974623507,0.918826974623507,1,0.0274215264015788
545,apul-mir-novel-22,FUN_009157,CDS,FUN_009157;2 19;1296 1320,-21.21,20,80.00%,80.00%,0.901651553332413,0.901651553332413,1,0.0364730711241453
546,apul-mir-novel-22,FUN_009350,CDS,FUN_009350;2 21;10097 10118,-26.24,19,68.42%,73.68%,0.959737955116664,0.959737955116664,1,0.00963911695210919
547,apul-mir-novel-22,FUN_010736,CDS,FUN_010736;2 21;45457 45476,-21.06,19,73.68%,84.21%,0.905956231213981,0.905956231213981,1,0.0341275970647572
548,apul-mir-novel-22,FUN_012767,CDS,FUN_012767;2 21;53678 53703,-20.25,23,60.87%,78.26%,0.972134602139404,0.972134602139404,1,0.00556042640609856
549,apul-mir-novel-22,FUN_012968,CDS,FUN_012968;2 21;6537 6557,-24.41,19,73.68%,84.21%,0.888153357392958,0.888153357392958,1,0.0441412522245395
550,apul-mir-novel-22,FUN_011851,CDS,FUN_011851;2 20;723 746,-20.81,20,80.00%,90.00%,-0.889321922640054,0.889321922640054,-1,0.0434591923876754
551,apul-mir-novel-22,FUN_013639,CDS,FUN_013639;2 21;4000 4018,-20.36,19,73.68%,78.95%,0.908718443748873,0.908718443748873,1,0.0326490711777368
552,apul-mir-novel-22,FUN_012135,CDS,FUN_012135;2 21;3975 3999,-20.03,22,68.18%,77.27%,0.884326710356361,0.884326710356361,1,0.0463981712366602
553,apul-mir-novel-22,FUN_015282,CDS,FUN_015282;2 21;9608 9632,-20.72,22,72.73%,81.82%,0.923403779779549,0.923403779779549,1,0.0251530778394427
554,apul-mir-novel-22,FUN_016366,CDS,FUN_016366;2 19;3890 3914,-20.28,20,75.00%,80.00%,0.902786331830359,0.902786331830359,1,0.0358499418436667
555,apul-mir-novel-22,FUN_016180,CDS,FUN_016180;2 21;1571 1594,-21.81,21,61.90%,80.95%,0.92863657455259,0.92863657455259,1,0.022638260368812
556,apul-mir-novel-22,FUN_017936,CDS,FUN_017936;2 18;2971 2992,-22.63,16,62.50%,87.50%,0.926410622932996,0.926410622932996,1,0.0236975614299394
557,apul-mir-novel-22,FUN_019559,CDS,FUN_019559;2 17;52875 52896,-22.97,15,73.33%,93.33%,0.906530990549987,0.906530990549987,1,0.033818221789399
558,apul-mir-novel-22,FUN_020835,CDS,FUN_020835;2 21;796 818,-20.47,20,60.00%,80.00%,0.964019217812085,0.964019217812085,1,0.00814857837336875
559,apul-mir-novel-22,FUN_022227,CDS,FUN_022227;2 19;587 608,-20.02,17,76.47%,82.35%,-0.946588742621984,0.946588742621984,-1,0.0146984896837044
560,apul-mir-novel-22,FUN_022232,CDS,FUN_022232;2 19;587 608,-20.02,17,76.47%,82.35%,-0.944782832796455,0.944782832796455,-1,0.0154459600694302
561,apul-mir-novel-22,FUN_022454,CDS,FUN_022454;2 21;7804 7825,-24.72,19,78.95%,89.47%,0.93270692803742,0.93270692803742,1,0.0207422755994276
562,apul-mir-novel-22,FUN_025144,CDS,FUN_025144;2 20;56833 56857,-23.38,21,71.43%,85.71%,0.91053822108471,0.91053822108471,1,0.0316865352894553
563,apul-mir-novel-22,FUN_026471,CDS,FUN_026471;2 15;4119 4140,-22.71,13,92.31%,92.31%,-0.94455678584556,0.94455678584556,-1,0.0155403689202904
564,apul-mir-novel-22,FUN_029040,CDS,FUN_029040;2 21;2294 2324,-24.7,28,60.71%,67.86%,0.980540926489906,0.980540926489906,1,0.0032489675916029
565,apul-mir-novel-22,FUN_028524,CDS,FUN_028524;2 21;1661 1684,-26.76,21,71.43%,80.95%,0.970341584440232,0.970341584440232,1,0.00610399577048419
566,apul-mir-novel-22,FUN_031199,CDS,FUN_031199;2 19;24039 24059,-20.7,17,82.35%,88.24%,-0.973861900542159,0.973861900542159,-1,0.00505283091134499
567,apul-mir-novel-22,FUN_031590,CDS,FUN_031590;2 21;9118 9147,-23.07,27,66.67%,70.37%,0.97804322405839,0.97804322405839,1,0.00389270211019557
568,apul-mir-novel-22,FUN_031622,CDS,FUN_031622;2 18;918 939,-23.11,16,75.00%,87.50%,-0.951785080540232,0.951785080540232,-1,0.0126165305158745
569,apul-mir-novel-22,FUN_029285,CDS,FUN_029285;2 16;607 629,-21.97,15,80.00%,86.67%,-0.971919078765793,0.971919078765793,-1,0.00562487766295811
570,apul-mir-novel-22,FUN_030068,CDS,FUN_030068;2 9;1359 1380,-20.67,7,100.00%,100.00%,0.933336203023882,0.933336203023882,1,0.0204539813325871
571,apul-mir-novel-22,FUN_034419,CDS,FUN_034419;2 20;2820 2840,-20.68,18,83.33%,88.89%,0.95406411175884,0.95406411175884,1,0.0117367202277362
572,apul-mir-novel-22,FUN_036228,CDS,FUN_036228;2 21;9774 9803,-23.07,27,66.67%,70.37%,0.895014003553928,0.895014003553928,1,0.0401856283161638
573,apul-mir-novel-22,FUN_035174,CDS,FUN_035174;2 18;6190 6212,-20.3,17,76.47%,88.24%,0.907052654668822,0.907052654668822,1,0.0335382078980154
574,apul-mir-novel-22,FUN_037782,CDS,FUN_037782;2 21;6249 6269,-20.56,19,73.68%,84.21%,0.95172992630799,0.95172992630799,1,0.0126380790023771
575,apul-mir-novel-22,FUN_037287,CDS,FUN_037287;2 18;828 850,-21.22,17,76.47%,88.24%,0.951179804315303,0.951179804315303,1,0.0128536650380784
576,apul-mir-novel-22,FUN_038167,CDS,FUN_038167;2 21;28081 28105,-22.18,22,68.18%,77.27%,0.906080219886414,0.906080219886414,1,0.0340607815275169
577,apul-mir-novel-22,FUN_038564,CDS,FUN_038564;2 21;5124 5150,-20.7,24,58.33%,75.00%,-0.949347800928876,0.949347800928876,-1,0.0135801270420362
578,apul-mir-novel-22,FUN_038659,CDS,FUN_038659;2 21;22428 22448,-28.36,19,73.68%,89.47%,0.961236360392008,0.961236360392008,1,0.00910813008835252
579,apul-mir-novel-22,FUN_039882,CDS,FUN_039882;2 20;23287 23308,-24.23,18,72.22%,94.44%,0.893192982357228,0.893192982357228,1,0.0412240321866756
580,apul-mir-novel-22,FUN_039817,CDS,FUN_039817;2 21;90 114,-20.27,22,68.18%,81.82%,0.910845616658968,0.910845616658968,1,0.0315248582370282
581,apul-mir-novel-22,FUN_041545,CDS,FUN_041545;2 21;3595 3616,-21.58,19,52.63%,78.95%,0.909643376419732,0.909643376419732,1,0.0321586922065575
582,apul-mir-novel-22,FUN_041813,CDS,FUN_041813;2 21;4436 4458,-21.54,20,75.00%,85.00%,0.945927798696516,0.945927798696516,1,0.0149706532993165
583,apul-mir-novel-22,FUN_043151,CDS,FUN_043151;2 21;14984 15007,-21.94,21,71.43%,85.71%,0.918775095795482,0.918775095795482,1,0.027447599370768
584,apul-mir-novel-22,FUN_043151,CDS,FUN_043151;2 21;23685 23705,-24.56,19,73.68%,89.47%,0.918775095795482,0.918775095795482,1,0.027447599370768
585,apul-mir-novel-26,FUN_003588,CDS,FUN_003588;2 20;14590 14612,-27.01,20,80.00%,85.00%,-0.890215031293788,0.890215031293788,-1,0.0429401876914392
586,apul-mir-novel-26,FUN_006853,CDS,FUN_006853;2 17;2474 2495,-20.85,16,75.00%,81.25%,-0.95166727969643,0.95166727969643,-1,0.0126625692918211
587,apul-mir-novel-26,FUN_005720,CDS,FUN_005720;2 20;24864 24885,-21.46,19,73.68%,78.95%,-0.965575277319015,0.965575277319015,-1,0.00762753444260831
588,apul-mir-novel-26,FUN_005813,CDS,FUN_005813;2 19;7236 7256,-21.28,17,58.82%,82.35%,-0.917870563967212,0.917870563967212,-1,0.0279034730914748
589,apul-mir-novel-26,FUN_013106,CDS,FUN_013106;2 20;3364 3383,-24.04,19,73.68%,84.21%,-0.936698961611501,0.936698961611501,-1,0.018935766410365
590,apul-mir-novel-26,FUN_013474,CDS,FUN_013474;2 20;8109 8128,-23.17,18,66.67%,83.33%,0.956802677270164,0.956802677270164,1,0.0107074209403053
591,apul-mir-novel-26,FUN_012027,CDS,FUN_012027;2 17;3001 3023,-22.12,17,70.59%,76.47%,0.963534110239027,0.963534110239027,1,0.00831331402608571
592,apul-mir-novel-26,FUN_012311,CDS,FUN_012311;2 18;504 526,-24.33,18,83.33%,83.33%,0.920922342593406,0.920922342593406,1,0.0263751487714226
593,apul-mir-novel-26,FUN_014965,CDS,FUN_014965;2 19;5592 5611,-21.24,17,76.47%,82.35%,0.960085883492961,0.960085883492961,1,0.00951494442404758
594,apul-mir-novel-26,FUN_016752,CDS,FUN_016752;2 19;6015 6034,-23.12,17,70.59%,82.35%,0.981298410562805,0.981298410562805,1,0.00306146695552082
595,apul-mir-novel-26,FUN_025138,CDS,FUN_025138;2 20;1101 1124,-23.68,21,57.14%,80.95%,0.900520733552651,0.900520733552651,1,0.0370974271768241
596,apul-mir-novel-26,FUN_028253,CDS,FUN_028253;2 13;131 151,-21.38,11,81.82%,90.91%,0.881422892568936,0.881422892568936,1,0.0481344211378839
597,apul-mir-novel-26,FUN_028645,CDS,FUN_028645;2 18;2921 2941,-22.32,16,75.00%,81.25%,0.978720297419459,0.978720297419459,1,0.00371442051152876
598,apul-mir-novel-26,FUN_031305,CDS,FUN_031305;2 20;2274 2295,-23.6,19,68.42%,78.95%,0.987524147414034,0.987524147414034,1,0.00166964756894663
599,apul-mir-novel-26,FUN_031305,CDS,FUN_031305;2 19;14349 14369,-22.7,17,76.47%,82.35%,0.987524147414034,0.987524147414034,1,0.00166964756894663
600,apul-mir-novel-26,FUN_032001,CDS,FUN_032001;2 20;62945 62965,-21.64,18,66.67%,77.78%,-0.926714839973362,0.926714839973362,-1,0.023551866846242
601,apul-mir-novel-26,FUN_033202,CDS,FUN_033202;2 20;12747 12768,-24.53,19,73.68%,78.95%,-0.891429243577695,0.891429243577695,-1,0.0422377678870576
602,apul-mir-novel-26,FUN_033292,CDS,FUN_033292;2 19;11709 11731,-24.3,19,68.42%,78.95%,0.99309788161826,0.99309788161826,1,0.000687633964364169
603,apul-mir-novel-26,FUN_029346,CDS,FUN_029346;2 20;2070 2093,-20.25,21,57.14%,71.43%,0.936028222559823,0.936028222559823,1,0.0192355511058936
604,apul-mir-novel-26,FUN_034076,CDS,FUN_034076;2 19;3006 3025,-22.11,17,76.47%,82.35%,0.951727442887962,0.951727442887962,1,0.0126390495449429
605,apul-mir-novel-26,FUN_035024,CDS,FUN_035024;2 20;11467 11485,-20.6,18,72.22%,83.33%,0.910808611107481,0.910808611107481,1,0.0315443075429578
606,apul-mir-novel-26,FUN_035176,CDS,FUN_035176;2 20;17176 17194,-20.86,19,78.95%,78.95%,0.916721414644943,0.916721414644943,1,0.0284861039741167
607,apul-mir-novel-26,FUN_035176,CDS,FUN_035176;2 20;17681 17701,-23.96,18,66.67%,77.78%,0.916721414644943,0.916721414644943,1,0.0284861039741167
608,apul-mir-novel-26,FUN_038708,CDS,FUN_038708;2 19;12583 12603,-20.18,17,76.47%,76.47%,-0.958974430220758,0.958974430220758,-1,0.0099134546857663
609,apul-mir-novel-26,FUN_038179,CDS,FUN_038179;2 17;17003 17024,-21.11,16,87.50%,87.50%,-0.944000325285908,0.944000325285908,-1,0.0157735720934121
610,apul-mir-novel-26,FUN_038254,CDS,FUN_038254;2 18;2322 2343,-20.35,17,70.59%,82.35%,0.946542628205582,0.946542628205582,1,0.0147174258249784
611,apul-mir-novel-26,FUN_042308,CDS,FUN_042308;2 15;1622 1642,-21.65,13,84.62%,84.62%,-0.927017989649479,0.927017989649479,-1,0.0234069725202261
612,apul-mir-novel-26,FUN_042308,CDS,FUN_042308;2 15;31623 31643,-21.65,13,84.62%,84.62%,-0.927017989649479,0.927017989649479,-1,0.0234069725202261
613,apul-mir-novel-26,FUN_044292,CDS,FUN_044292;2 20;4553 4574,-27.66,19,68.42%,78.95%,0.959217550034693,0.959217550034693,1,0.00982582704747661
614,apul-mir-2025,FUN_004759,CDS,FUN_004759;2 21;54463 54484,-21.19,19,73.68%,84.21%,0.983047003339369,0.983047003339369,1,0.0026429935003153
615,apul-mir-2025,FUN_004759,CDS,FUN_004759;2 21;8357 8378,-21.19,19,73.68%,84.21%,0.983047003339369,0.983047003339369,1,0.0026429935003153
616,apul-mir-2025,FUN_004767,CDS,FUN_004767;2 15;5687 5708,-28.8,13,92.31%,100.00%,0.878997837951651,0.878997837951651,1,0.0495997745727207
617,apul-mir-2025,FUN_002515,CDS,FUN_002515;2 20;58528 58549,-25.83,18,88.89%,94.44%,0.912636579861521,0.912636579861521,1,0.0305881840750372
618,apul-mir-2025,FUN_002810,CDS,FUN_002810;2 21;29172 29193,-23.84,19,73.68%,78.95%,0.951487344142915,0.951487344142915,1,0.0127329971311614
619,apul-mir-2025,FUN_006467,CDS,FUN_006467;2 14;10581 10603,-20.45,13,92.31%,92.31%,0.956977777705001,0.956977777705001,1,0.0106426666775712
