"X.1","miRNA","lncRNA","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","X","PCC.cor","p_value","adjusted_p_value","species"
1564,"Cluster_14768","lncRNA_17272",152,-23.53,"2 13","33084 33104",11,"90.91%","90.91%",673554,-0.633143436597745,0.251537298590554,0.999980945197546,"A. pulchra"
1565,"Cluster_14768","lncRNA_17272",152,-23.53,"2 13","45017 45037",11,"90.91%","90.91%",673554,-0.633143436597745,0.251537298590554,0.999980945197546,"A. pulchra"
1566,"Cluster_14768","lncRNA_17272",152,-23.53,"2 13","85291 85311",11,"90.91%","90.91%",673554,-0.633143436597745,0.251537298590554,0.999980945197546,"A. pulchra"
1567,"Cluster_14768","lncRNA_17272",160,-27.69,"2 13","12388 12408",11,"100.00%","100.00%",673554,-0.633143436597745,0.251537298590554,0.999980945197546,"A. pulchra"
1568,"Cluster_14768","lncRNA_17273",152,-23.53,"2 13","2547 2567",11,"90.91%","90.91%",673593,-0.401009209565845,0.50345416837733,0.999980945197546,"A. pulchra"
1569,"Cluster_14768","lncRNA_17273",152,-23.53,"2 13","33069 33089",11,"90.91%","90.91%",673593,-0.401009209565845,0.50345416837733,0.999980945197546,"A. pulchra"
1570,"Cluster_14768","lncRNA_17273",152,-23.53,"2 13","45002 45022",11,"90.91%","90.91%",673593,-0.401009209565845,0.50345416837733,0.999980945197546,"A. pulchra"
1571,"Cluster_14768","lncRNA_17273",160,-27.69,"2 13","12373 12393",11,"100.00%","100.00%",673593,-0.401009209565845,0.50345416837733,0.999980945197546,"A. pulchra"
1572,"Cluster_14768","lncRNA_17274",152,-23.53,"2 13","1323 1343",11,"90.91%","90.91%",673632,-0.507641634564389,0.382597720498612,0.999980945197546,"A. pulchra"
1573,"Cluster_14768","lncRNA_17336",157,-24.74,"2 20","38 60",20,"70.00%","85.00%",676050,0.317421462871763,0.602739738656426,0.999980945197546,"A. pulchra"
1574,"Cluster_14768","lncRNA_1751",154,-22.81,"2 16","3130 3151",15,"80.00%","86.67%",68274,0.490678035627518,0.40131283211828,0.999980945197546,"A. pulchra"
1575,"Cluster_14768","lncRNA_17520",152,-23.53,"2 13","740 760",11,"90.91%","90.91%",683226,-0.42778707317361,0.472426139273131,0.999980945197546,"A. pulchra"
1576,"Cluster_14768","lncRNA_1752",166,-25.19,"2 19","156 176",17,"82.35%","82.35%",68313,0.390380343159487,0.515882636249118,0.999980945197546,"A. pulchra"
1577,"Cluster_14768","lncRNA_1753",166,-25.19,"2 19","150 170",17,"82.35%","82.35%",68352,0.390380343159487,0.515882636249118,0.999980945197546,"A. pulchra"
1578,"Cluster_14768","lncRNA_17627",161,-24.68,"2 20","235 257",20,"75.00%","85.00%",687399,-0.546866782187251,0.340165986449857,0.999980945197546,"A. pulchra"
1579,"Cluster_14768","lncRNA_18193",155,-22.15,"2 19","547 565",17,"76.47%","82.35%",709473,-0.419805545558909,0.481630770118649,0.999980945197546,"A. pulchra"
1580,"Cluster_14768","lncRNA_18893",150,-22.29,"2 11","8928 8948",9,"100.00%","100.00%",736773,0.635736893226549,0.248984876370626,0.999980945197546,"A. pulchra"
1581,"Cluster_14768","lncRNA_19095",143,-20.98,"2 13","42 64",13,"76.92%","84.62%",744651,-0.291676483892202,0.633961080025657,0.999980945197546,"A. pulchra"
1582,"Cluster_14768","lncRNA_19478",141,-24.4,"2 12","152 171",10,"90.00%","90.00%",759588,-0.487059539117072,0.405331964225784,0.999980945197546,"A. pulchra"
1583,"Cluster_14768","lncRNA_1967",146,-21.85,"2 17","2320 2339",15,"66.67%","86.67%",76698,0.394477212816606,0.511084783288789,0.999980945197546,"A. pulchra"
1584,"Cluster_14768","lncRNA_19773",149,-23.91,"2 19","72 95",20,"60.00%","80.00%",771093,-0.444201278513367,0.453618223056852,0.999980945197546,"A. pulchra"
1585,"Cluster_14768","lncRNA_19912",163,-21.74,"2 20","3963 3983",18,"72.22%","83.33%",776514,-0.490541432850756,0.401464389447269,0.999980945197546,"A. pulchra"
1586,"Cluster_14768","lncRNA_19939",152,-23.74,"2 19","1887 1906",17,"70.59%","82.35%",777567,-0.105890848946173,0.865427970668939,0.999980945197546,"A. pulchra"
1587,"Cluster_14768","lncRNA_19976",153,-20.93,"2 20","369 388",18,"66.67%","83.33%",779010,-0.594815238919742,0.290050911666997,0.999980945197546,"A. pulchra"
1588,"Cluster_14768","lncRNA_20155",163,-28.98,"2 20","389 409",18,"72.22%","83.33%",785991,-0.433067989856639,0.466357014046479,0.999980945197546,"A. pulchra"
1589,"Cluster_14768","lncRNA_2028",153,-20.7,"2 20","26163 26187",22,"68.18%","77.27%",79077,-0.419855369899854,0.481573193336656,0.999980945197546,"A. pulchra"
1590,"Cluster_14768","lncRNA_2029",153,-20.7,"2 20","26163 26187",22,"68.18%","77.27%",79116,-0.411740525232276,0.490969793906594,0.999980945197546,"A. pulchra"
1591,"Cluster_14768","lncRNA_20355",150,-20.32,"2 15","36 56",13,"76.92%","84.62%",793791,-0.518905307728122,0.370289730203897,0.999980945197546,"A. pulchra"
1592,"Cluster_14768","lncRNA_20390",151,-21.67,"2 16","15970 15990",14,"71.43%","85.71%",795156,-0.306436362330518,0.616028462651402,0.999980945197546,"A. pulchra"
1593,"Cluster_14768","lncRNA_20391",151,-21.67,"2 16","9795 9815",14,"71.43%","85.71%",795195,-0.564698117620876,0.321292408823452,0.999980945197546,"A. pulchra"
1594,"Cluster_14768","lncRNA_20445",161,-24.24,"2 20","10679 10698",18,"77.78%","83.33%",797301,-0.667358575044223,0.218445677562511,0.999980945197546,"A. pulchra"
1595,"Cluster_14768","lncRNA_20548",151,-20.02,"2 19","9756 9774",17,"76.47%","76.47%",801318,-0.757329427116866,0.138160068108142,0.999980945197546,"A. pulchra"
1596,"Cluster_14768","lncRNA_20549",151,-20.02,"2 19","4569 4587",17,"76.47%","76.47%",801357,-0.666418843667564,0.21933726055115,0.999980945197546,"A. pulchra"
1597,"Cluster_14768","lncRNA_2064",148,-23.36,"2 20","7609 7627",18,"72.22%","72.22%",80481,-0.139344911913044,0.823156390818871,0.999980945197546,"A. pulchra"
1598,"Cluster_14768","lncRNA_20648",146,-22.52,"2 19","471 488",17,"70.59%","76.47%",805218,0.454960472540555,0.441381798117326,0.999980945197546,"A. pulchra"
1599,"Cluster_14768","lncRNA_20804",160,-22.44,"2 17","6231 6251",15,"80.00%","86.67%",811302,0.833446886166979,0.0795250736159415,0.999980945197546,"A. pulchra"
1600,"Cluster_14768","lncRNA_20909",158,-24.53,"2 20","16098 16119",19,"73.68%","78.95%",815397,-0.436332201894998,0.462614114192269,0.999980945197546,"A. pulchra"
1601,"Cluster_14768","lncRNA_2091",164,-22.88,"2 19","12947 12966",17,"82.35%","88.24%",81534,-0.359905604286979,0.551848591865267,0.999980945197546,"A. pulchra"
1602,"Cluster_14768","lncRNA_20989",151,-21.67,"2 16","10039 10059",14,"71.43%","85.71%",818517,-0.521289780460622,0.367696658651928,0.999980945197546,"A. pulchra"
1603,"Cluster_14768","lncRNA_21007",150,-23.53,"2 20","14471 14488",18,"72.22%","83.33%",819219,0.591207190400041,0.293749896623811,0.999980945197546,"A. pulchra"
1604,"Cluster_14768","lncRNA_21015",155,-23.92,"2 20","1645 1665",18,"66.67%","77.78%",819531,0.0812592460097331,0.896651489234264,0.999980945197546,"A. pulchra"
1605,"Cluster_14768","lncRNA_21119",166,-26.09,"2 20","647 668",19,"73.68%","89.47%",823587,0.852781024732432,0.0662901257164499,0.979970045615968,"A. pulchra"
1606,"Cluster_14768","lncRNA_21195",155,-22.15,"2 19","3219 3237",17,"76.47%","82.35%",826551,-0.712455500043414,0.176892880252717,0.999980945197546,"A. pulchra"
1607,"Cluster_14768","lncRNA_21391",153,-21.82,"2 19","51691 51715",21,"61.90%","80.95%",834195,-0.186658750173534,0.763726080750362,0.999980945197546,"A. pulchra"
1608,"Cluster_14768","lncRNA_2140",159,-20.75,"2 20","7506 7524",18,"77.78%","88.89%",83445,-0.288064330281139,0.638362754217052,0.999980945197546,"A. pulchra"
1609,"Cluster_14768","lncRNA_2141",159,-20.75,"2 20","7506 7524",18,"77.78%","88.89%",83484,-0.288064330281139,0.638362754217052,0.999980945197546,"A. pulchra"
1610,"Cluster_14768","lncRNA_21535",148,-24.3,"2 19","16727 16749",19,"68.42%","78.95%",839811,0.992631755225489,0.000758401781207876,0.572743866580232,"A. pulchra"
1611,"Cluster_14768","lncRNA_21551",148,-22.43,"2 19","1905 1924",17,"58.82%","88.24%",840435,-0.586466805997222,0.298628206823231,0.999980945197546,"A. pulchra"
1612,"Cluster_14768","lncRNA_21640",165,-20.44,"2 18","166 186",16,"81.25%","87.50%",843906,-0.227044414100277,0.713421296172556,0.999980945197546,"A. pulchra"
1613,"Cluster_14768","lncRNA_2164",147,-23.46,"2 12","1 21",10,"90.00%","90.00%",84381,-0.740540048088018,0.152324475411776,0.999980945197546,"A. pulchra"
1614,"Cluster_14768","lncRNA_2164",147,-23.46,"2 12","4050 4070",10,"90.00%","90.00%",84381,-0.740540048088018,0.152324475411776,0.999980945197546,"A. pulchra"
1615,"Cluster_14768","lncRNA_21671",153,-23.4,"2 19","143 160",17,"82.35%","82.35%",845115,0.097420928041371,0.876156309733307,0.999980945197546,"A. pulchra"
1616,"Cluster_14768","lncRNA_2167",155,-20.5,"2 20","289 309",18,"66.67%","77.78%",84498,0.76699300690387,0.130194757963116,0.999980945197546,"A. pulchra"
1617,"Cluster_14768","lncRNA_21926",156,-21.81,"2 14","161 182",13,"92.31%","92.31%",855060,-0.21159210457885,0.732616569409724,0.999980945197546,"A. pulchra"
1618,"Cluster_14768","lncRNA_22821",158,-24.29,"2 20","128 149",19,"73.68%","78.95%",889965,-0.585824459046786,0.299290842887968,0.999980945197546,"A. pulchra"
1619,"Cluster_14768","lncRNA_23109",157,-22.56,"2 20","411 437",24,"70.83%","75.00%",901197,-0.547303469931654,0.339700564873964,0.999980945197546,"A. pulchra"
1620,"Cluster_14768","lncRNA_23186",141,-20.24,"2 20","298 314",18,"72.22%","72.22%",904200,-0.390538059522398,0.515697765846797,0.999980945197546,"A. pulchra"
1621,"Cluster_14768","lncRNA_23539",156,-21.58,"2 19","6817 6840",20,"75.00%","80.00%",917967,-0.366249077374285,0.544323014007428,0.999980945197546,"A. pulchra"
1622,"Cluster_14768","lncRNA_24169",149,-20.86,"2 20","9714 9732",19,"78.95%","78.95%",942537,0.840996535352858,0.0742684802681009,0.993035084729257,"A. pulchra"
1623,"Cluster_14768","lncRNA_24169",155,-23.96,"2 20","10219 10239",18,"66.67%","77.78%",942537,0.840996535352858,0.0742684802681009,0.993035084729257,"A. pulchra"
1624,"Cluster_14768","lncRNA_24240",152,-20.93,"2 18","2324 2345",17,"70.59%","82.35%",945306,0.493684112864285,0.397981060888204,0.999980945197546,"A. pulchra"
1625,"Cluster_14768","lncRNA_24329",148,-21.19,"2 20","5803 5825",21,"61.90%","80.95%",948777,-0.698822149063467,0.189192259437941,0.999980945197546,"A. pulchra"
1626,"Cluster_14768","lncRNA_24508",140,-21.42,"2 9","633 653",7,"100.00%","100.00%",955758,-0.471215646598388,0.423038359178485,0.999980945197546,"A. pulchra"
1627,"Cluster_14768","lncRNA_24509",140,-21.42,"2 9","633 653",7,"100.00%","100.00%",955797,-0.322942106673256,0.596080686332253,0.999980945197546,"A. pulchra"
1628,"Cluster_14768","lncRNA_2454",151,-20.84,"2 17","214 235",16,"75.00%","81.25%",95691,0.897168620386847,0.0389679472374493,0.972855157123468,"A. pulchra"
1629,"Cluster_14768","lncRNA_24876",155,-25.7,"2 20","69 88",19,"73.68%","84.21%",970110,-0.581162349814526,0.304111549821228,0.999980945197546,"A. pulchra"
1630,"Cluster_14768","lncRNA_25041",146,-25.88,"2 20","305 327",20,"60.00%","75.00%",976545,-0.463883963656183,0.431290148301733,0.999980945197546,"A. pulchra"
1631,"Cluster_14768","lncRNA_25098",151,-21.78,"2 19","209 227",17,"70.59%","82.35%",978768,-0.543839542758533,0.343396767403037,0.999980945197546,"A. pulchra"
1632,"Cluster_14768","lncRNA_25099",151,-21.78,"2 19","63 81",17,"70.59%","82.35%",978807,-0.547464182950758,0.339529316980321,0.999980945197546,"A. pulchra"
1633,"Cluster_14768","lncRNA_25245",141,-20.24,"2 20","8748 8764",18,"72.22%","72.22%",984501,0.622949173595957,0.261637700121257,0.999980945197546,"A. pulchra"
1634,"Cluster_14768","lncRNA_25246",141,-20.24,"2 20","8623 8639",18,"72.22%","72.22%",984540,0.586856853014674,0.298226025390391,0.999980945197546,"A. pulchra"
1635,"Cluster_14768","lncRNA_25253",160,-20.28,"2 19","504 523",17,"76.47%","88.24%",984813,-0.330372841777661,0.587138616193556,0.999980945197546,"A. pulchra"
1636,"Cluster_14768","lncRNA_25304",157,-22.02,"2 19","2277 2298",18,"77.78%","77.78%",986802,0.00382137461354668,0.995134486568611,0.999980945197546,"A. pulchra"
1637,"Cluster_14768","lncRNA_25431",160,-20.28,"2 19","3007 3026",17,"76.47%","88.24%",991755,0.439303459078735,0.459212848292516,0.999980945197546,"A. pulchra"
1638,"Cluster_14768","lncRNA_25432",160,-20.28,"2 19","595 614",17,"76.47%","88.24%",991794,-0.335925802369781,0.580472272499831,0.999980945197546,"A. pulchra"
1639,"Cluster_14768","lncRNA_26021",154,-25.07,"2 19","2629 2647",17,"82.35%","82.35%",1014765,-0.160388529073991,0.796665937761174,0.999980945197546,"A. pulchra"
1640,"Cluster_14768","lncRNA_26055",153,-23.59,"2 14","42309 42329",12,"83.33%","91.67%",1016091,0.0682259246102712,0.913199493758392,0.999980945197546,"A. pulchra"
1641,"Cluster_14768","lncRNA_26114",154,-22.42,"2 16","781 802",15,"80.00%","86.67%",1018392,-0.694150191652045,0.193460726240985,0.999980945197546,"A. pulchra"
1642,"Cluster_14768","lncRNA_26115",154,-22.42,"2 16","735 756",15,"80.00%","86.67%",1018431,-0.688330835074881,0.19881493970966,0.999980945197546,"A. pulchra"
1643,"Cluster_14768","lncRNA_26170",154,-25.07,"2 19","8131 8149",17,"82.35%","82.35%",1020576,-0.501981595177115,0.388818643416093,0.999980945197546,"A. pulchra"
1644,"Cluster_14768","lncRNA_26794",158,-22.45,"2 20","113 135",20,"75.00%","75.00%",1044912,-0.424726397253323,0.475951348243474,0.999980945197546,"A. pulchra"
1645,"Cluster_14768","lncRNA_27177",151,-20.85,"2 17","1388 1409",16,"75.00%","81.25%",1059849,-0.592677023533036,0.292241545033855,0.999980945197546,"A. pulchra"
1646,"Cluster_14768","lncRNA_27223",155,-20.35,"2 16","226 246",14,"78.57%","85.71%",1061643,0.241113459288665,0.69600586583299,0.999980945197546,"A. pulchra"
1647,"Cluster_14768","lncRNA_27347",151,-20.85,"2 17","1310 1331",16,"75.00%","81.25%",1066479,-0.568554830197828,0.317246270476237,0.999980945197546,"A. pulchra"
1648,"Cluster_14768","lncRNA_27347",151,-20.85,"2 17","5047 5068",16,"75.00%","81.25%",1066479,-0.568554830197828,0.317246270476237,0.999980945197546,"A. pulchra"
1649,"Cluster_14768","lncRNA_27348",151,-20.85,"2 17","1310 1331",16,"75.00%","81.25%",1066518,-0.544579409575417,0.342606453902785,0.999980945197546,"A. pulchra"
1650,"Cluster_14768","lncRNA_27348",151,-20.85,"2 17","5047 5068",16,"75.00%","81.25%",1066518,-0.544579409575417,0.342606453902785,0.999980945197546,"A. pulchra"
1651,"Cluster_14768","lncRNA_27348",151,-20.85,"2 17","8812 8833",16,"75.00%","81.25%",1066518,-0.544579409575417,0.342606453902785,0.999980945197546,"A. pulchra"
1652,"Cluster_14768","lncRNA_27380",147,-20.54,"2 19","4329 4347",17,"70.59%","76.47%",1067766,-0.132331569320725,0.832003268324119,0.999980945197546,"A. pulchra"
1653,"Cluster_14768","lncRNA_27380",153,-20.76,"2 20","5880 5899",18,"66.67%","83.33%",1067766,-0.132331569320725,0.832003268324119,0.999980945197546,"A. pulchra"
1654,"Cluster_14768","lncRNA_27390",167,-25.53,"2 20","11959 11979",18,"77.78%","83.33%",1068156,0.450318011949546,0.446652560559946,0.999980945197546,"A. pulchra"
1655,"Cluster_14768","lncRNA_27391",167,-25.53,"2 20","5430 5450",18,"77.78%","83.33%",1068195,-0.223610617067689,0.717680904438112,0.999980945197546,"A. pulchra"
1656,"Cluster_14768","lncRNA_27407",153,-23.21,"2 20","338 360",20,"70.00%","80.00%",1068819,-0.0216186426141889,0.972476433566,0.999980945197546,"A. pulchra"
1657,"Cluster_14768","lncRNA_27512",164,-25.77,"2 20","934 957",21,"80.95%","85.71%",1072914,-0.721380201537767,0.168970991923629,0.999980945197546,"A. pulchra"
1658,"Cluster_14768","lncRNA_27513",164,-25.77,"2 20","786 809",21,"80.95%","85.71%",1072953,-0.468124447824728,0.426513078796447,0.999980945197546,"A. pulchra"
1659,"Cluster_14768","lncRNA_27514",164,-25.77,"2 20","720 743",21,"80.95%","85.71%",1072992,-0.713670134510362,0.175808614680792,0.999980945197546,"A. pulchra"
1660,"Cluster_14768","lncRNA_27585",155,-22.15,"2 19","18763 18781",17,"76.47%","82.35%",1075761,-0.673249867712479,0.212879294006324,0.999980945197546,"A. pulchra"
1661,"Cluster_14768","lncRNA_27621",151,-20.85,"2 17","2685 2706",16,"75.00%","81.25%",1077165,-0.440816841508451,0.457482554909573,0.999980945197546,"A. pulchra"
1662,"Cluster_14768","lncRNA_27984",162,-25.8,"2 19","8 28",17,"76.47%","82.35%",1091322,-0.502869745144719,0.387840906803068,0.999980945197546,"A. pulchra"
1663,"Cluster_14768","lncRNA_28052",154,-20.37,"2 20","665 687",20,"70.00%","75.00%",1093974,-0.657173147397036,0.228162430359116,0.999980945197546,"A. pulchra"
1664,"Cluster_14768","lncRNA_28393",146,-25.88,"2 20","362 384",20,"60.00%","75.00%",1107273,-0.60491918004491,0.279757947577294,0.999980945197546,"A. pulchra"
1665,"Cluster_14768","lncRNA_28951",147,-22.79,"2 18","14625 14644",16,"68.75%","81.25%",1129035,-0.44666287292728,0.45081212616296,0.999980945197546,"A. pulchra"
1666,"Cluster_14768","lncRNA_28951",153,-21.46,"2 19","39091 39112",18,"72.22%","77.78%",1129035,-0.44666287292728,0.45081212616296,0.999980945197546,"A. pulchra"
1667,"Cluster_14768","lncRNA_29002",154,-20.6,"2 20","1315 1337",20,"60.00%","85.00%",1131024,-0.555357685488834,0.331145045939152,0.999980945197546,"A. pulchra"
1668,"Cluster_14768","lncRNA_29030",149,-22.71,"2 20","18373 18397",22,"68.18%","72.73%",1132116,0.448580485496476,0.448628809475601,0.999980945197546,"A. pulchra"
1669,"Cluster_14768","lncRNA_29030",149,-22.71,"2 20","9632 9656",22,"68.18%","72.73%",1132116,0.448580485496476,0.448628809475601,0.999980945197546,"A. pulchra"
1670,"Cluster_14768","lncRNA_29079",167,-23.93,"2 20","898 918",18,"77.78%","83.33%",1134027,0.445384845046293,0.452268536191116,0.999980945197546,"A. pulchra"
1671,"Cluster_14768","lncRNA_29519",157,-23.01,"2 19","80 101",18,"77.78%","77.78%",1151187,-0.555681318816014,0.330802414320275,0.999980945197546,"A. pulchra"
1672,"Cluster_14768","lncRNA_29553",154,-20.7,"2 18","5960 5980",17,"82.35%","82.35%",1152513,0.403580831364052,0.500456523515902,0.999980945197546,"A. pulchra"
1673,"Cluster_14768","lncRNA_29554",154,-20.7,"2 18","5960 5980",17,"82.35%","82.35%",1152552,0.403580831364052,0.500456523515902,0.999980945197546,"A. pulchra"
1674,"Cluster_14768","lncRNA_29555",154,-20.7,"2 18","4547 4567",17,"82.35%","82.35%",1152591,0.461197678042635,0.434322564682675,0.999980945197546,"A. pulchra"
1675,"Cluster_14768","lncRNA_29578",148,-22.32,"2 13","42677 42697",11,"81.82%","90.91%",1153488,-0.559633434670063,0.326625509749208,0.999980945197546,"A. pulchra"
1676,"Cluster_14768","lncRNA_29600",148,-22.32,"2 13","23555 23575",11,"81.82%","90.91%",1154346,-0.589415712480131,0.295591047789353,0.999980945197546,"A. pulchra"
1677,"Cluster_14768","lncRNA_29600",148,-22.32,"2 13","44742 44762",11,"81.82%","90.91%",1154346,-0.589415712480131,0.295591047789353,0.999980945197546,"A. pulchra"
1678,"Cluster_14768","lncRNA_29601",148,-22.32,"2 13","18696 18716",11,"81.82%","90.91%",1154385,-0.590217215389011,0.294766951798028,0.999980945197546,"A. pulchra"
1679,"Cluster_14768","lncRNA_29605",148,-22.32,"2 13","26916 26936",11,"81.82%","90.91%",1154541,-0.624327697019552,0.260265645278664,0.999980945197546,"A. pulchra"
1680,"Cluster_14768","lncRNA_29661",148,-22.32,"2 13","196 216",11,"81.82%","90.91%",1156725,-0.576874036039295,0.308563201255178,0.999980945197546,"A. pulchra"
1681,"Cluster_14768","lncRNA_29678",155,-20.8,"2 20","10467 10487",18,"55.56%","88.89%",1157388,0.301191040669663,0.622391319407889,0.999980945197546,"A. pulchra"
1682,"Cluster_14768","lncRNA_29688",148,-22.32,"2 13","5369 5389",11,"81.82%","90.91%",1157778,-0.00198740624141806,0.997469557447759,0.999980945197546,"A. pulchra"
1683,"Cluster_14768","lncRNA_29733",148,-22.32,"2 13","3063 3083",11,"81.82%","90.91%",1159533,-0.655516297082593,0.229754016368884,0.999980945197546,"A. pulchra"
1684,"Cluster_14768","lncRNA_29914",142,-21.6,"2 20","948 970",20,"60.00%","70.00%",1166592,-0.486775536459238,0.405647805983236,0.999980945197546,"A. pulchra"
1685,"Cluster_14768","lncRNA_30151",148,-22.32,"2 13","183 203",11,"81.82%","90.91%",1175835,-0.552178870438647,0.334515189057948,0.999980945197546,"A. pulchra"
1686,"Cluster_14768","lncRNA_30269",149,-20.08,"2 19","1304 1327",20,"70.00%","70.00%",1180437,-0.646230172908359,0.238730130032112,0.999980945197546,"A. pulchra"
1687,"Cluster_14768","lncRNA_30269",149,-20.08,"2 19","191 214",20,"70.00%","70.00%",1180437,-0.646230172908359,0.238730130032112,0.999980945197546,"A. pulchra"
1688,"Cluster_14768","lncRNA_30270",149,-20.08,"2 19","1300 1323",20,"70.00%","70.00%",1180476,-0.646230172908359,0.238730130032112,0.999980945197546,"A. pulchra"
1689,"Cluster_14768","lncRNA_30270",149,-20.08,"2 19","187 210",20,"70.00%","70.00%",1180476,-0.646230172908359,0.238730130032112,0.999980945197546,"A. pulchra"
1690,"Cluster_14768","lncRNA_30271",149,-20.08,"2 19","1305 1328",20,"70.00%","70.00%",1180515,-0.655402653879833,0.229863294438576,0.999980945197546,"A. pulchra"
1691,"Cluster_14768","lncRNA_30271",149,-20.08,"2 19","192 215",20,"70.00%","70.00%",1180515,-0.655402653879833,0.229863294438576,0.999980945197546,"A. pulchra"
1692,"Cluster_14768","lncRNA_30272",157,-23.01,"2 19","68 89",18,"77.78%","77.78%",1180554,-0.57473321077849,0.310791768167726,0.999980945197546,"A. pulchra"
1693,"Cluster_14768","lncRNA_30273",157,-22.02,"2 19","429 450",18,"77.78%","77.78%",1180593,-0.570552409441992,0.315155715534525,0.999980945197546,"A. pulchra"
1694,"Cluster_14768","lncRNA_30273",157,-23.01,"2 19","31 52",18,"77.78%","77.78%",1180593,-0.570552409441992,0.315155715534525,0.999980945197546,"A. pulchra"
1695,"Cluster_14768","lncRNA_30274",157,-22.02,"2 19","460 481",18,"77.78%","77.78%",1180632,-0.557831139291483,0.328528658810409,0.999980945197546,"A. pulchra"
1696,"Cluster_14768","lncRNA_30274",157,-23.01,"2 19","61 82",18,"77.78%","77.78%",1180632,-0.557831139291483,0.328528658810409,0.999980945197546,"A. pulchra"
1697,"Cluster_14768","lncRNA_30300",158,-24.09,"2 19","815 835",17,"70.59%","82.35%",1181646,-0.66952673498087,0.216392454542697,0.999980945197546,"A. pulchra"
1698,"Cluster_14768","lncRNA_30304",154,-21.53,"2 20","1705 1722",18,"77.78%","83.33%",1181802,-0.400048424105573,0.504575067933793,0.999980945197546,"A. pulchra"
1699,"Cluster_14768","lncRNA_30313",161,-22.66,"2 19","1297 1319",19,"73.68%","84.21%",1182153,-0.0835941635149112,0.893688697040882,0.999980945197546,"A. pulchra"
1700,"Cluster_14768","lncRNA_30314",161,-22.66,"2 19","1132 1154",19,"73.68%","84.21%",1182192,-0.0864757987969194,0.890032975614297,0.999980945197546,"A. pulchra"
1701,"Cluster_14768","lncRNA_30495",154,-20.51,"2 20","2308 2329",19,"73.68%","73.68%",1189251,-0.396542474086948,0.508669622329721,0.999980945197546,"A. pulchra"
1702,"Cluster_14768","lncRNA_30527",145,-20.43,"2 19","3319 3341",19,"63.16%","73.68%",1190499,0.514901460421497,0.374653713130082,0.999980945197546,"A. pulchra"
1703,"Cluster_14768","lncRNA_30528",145,-20.43,"2 19","3319 3341",19,"63.16%","73.68%",1190538,0.514901460421497,0.374653713130082,0.999980945197546,"A. pulchra"
1704,"Cluster_14768","lncRNA_30558",147,-21.88,"2 16","1952 1972",14,"71.43%","78.57%",1191708,0.226695820484615,0.713853566145883,0.999980945197546,"A. pulchra"
1705,"Cluster_14768","lncRNA_30802",157,-23.01,"2 19","81 102",18,"77.78%","77.78%",1201224,-0.564559459779704,0.321438119060452,0.999980945197546,"A. pulchra"
1706,"Cluster_14768","lncRNA_30804",157,-23.01,"2 19","50 71",18,"77.78%","77.78%",1201302,-0.556658675065616,0.329768225534129,0.999980945197546,"A. pulchra"
1707,"Cluster_14768","lncRNA_31311",157,-23.01,"2 19","62 83",18,"77.78%","77.78%",1221075,-0.549328364321378,0.337544511406923,0.999980945197546,"A. pulchra"
1708,"Cluster_14768","lncRNA_31312",157,-22.02,"2 19","480 501",18,"77.78%","77.78%",1221114,-0.533989576224889,0.353961033824747,0.999980945197546,"A. pulchra"
1709,"Cluster_14768","lncRNA_31312",157,-23.01,"2 19","82 103",18,"77.78%","77.78%",1221114,-0.533989576224889,0.353961033824747,0.999980945197546,"A. pulchra"
1710,"Cluster_14768","lncRNA_31320",147,-20.72,"2 19","9431 9449",17,"64.71%","82.35%",1221426,0.231680671546363,0.707675605062034,0.999980945197546,"A. pulchra"
1711,"Cluster_14768","lncRNA_31321",147,-20.72,"2 19","1214 1232",17,"64.71%","82.35%",1221465,0.189502218137155,0.7601702775027,0.999980945197546,"A. pulchra"
1712,"Cluster_14768","lncRNA_31322",147,-20.72,"2 19","1214 1232",17,"64.71%","82.35%",1221504,0.189502218137155,0.7601702775027,0.999980945197546,"A. pulchra"
1713,"Cluster_14768","lncRNA_31323",147,-20.72,"2 19","10313 10331",17,"64.71%","82.35%",1221543,0.110477169609136,0.859622763642485,0.999980945197546,"A. pulchra"
1714,"Cluster_14768","lncRNA_31325",147,-20.72,"2 19","10283 10301",17,"64.71%","82.35%",1221621,0.199955544130183,0.747115537720652,0.999980945197546,"A. pulchra"
1715,"Cluster_14768","lncRNA_31326",147,-20.72,"2 19","10270 10288",17,"64.71%","82.35%",1221660,0.199955544130183,0.747115537720652,0.999980945197546,"A. pulchra"
1716,"Cluster_14768","lncRNA_31327",147,-20.72,"2 19","27050 27068",17,"64.71%","82.35%",1221699,0.136198529743728,0.827124285202274,0.999980945197546,"A. pulchra"
1717,"Cluster_14768","lncRNA_31328",147,-20.72,"2 19","1180 1198",17,"64.71%","82.35%",1221738,0.207085473572274,0.738227448694231,0.999980945197546,"A. pulchra"
1718,"Cluster_14768","lncRNA_31328",147,-20.72,"2 19","32701 32719",17,"64.71%","82.35%",1221738,0.207085473572274,0.738227448694231,0.999980945197546,"A. pulchra"
1719,"Cluster_14768","lncRNA_31328",147,-20.72,"2 19","45429 45447",17,"64.71%","82.35%",1221738,0.207085473572274,0.738227448694231,0.999980945197546,"A. pulchra"
1720,"Cluster_14768","lncRNA_31329",147,-20.72,"2 19","21060 21078",17,"64.71%","82.35%",1221777,0.189091175704599,0.760684170677889,0.999980945197546,"A. pulchra"
