"","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","region","V1","V3","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"3608","Cluster_15316","FUN_031240",0.987112716818925,0.00175280902511889,0.545343267336266,162,-20.32,"2 21","502 528",24,"75.00%","75.00%","3UTR",NA,NA,NA,NA,NA,NA
"3622","Cluster_15928","FUN_016389",0.995492213564925,0.000363065499834431,0.404569712307988,161,-20.09,"2 20","379 399",18,"77.78%","83.33%","3UTR",NA,NA,NA,NA,NA,NA
"3642","Cluster_10051","FUN_024899",0.915868778083621,0.0289208946311854,0.922979388371587,154,-22.44,"2 21","529 549",19,"63.16%","84.21%","3UTR",NA,NA,NA,NA,NA,NA
"3646","Cluster_15340","FUN_035393",0.91524425740246,0.0292407010865815,0.922979388371587,167,-21.77,"2 20","389 410",18,"72.22%","88.89%","3UTR",NA,NA,NA,NA,NA,NA
"3672","Cluster_3366","FUN_013441",0.979485291299236,0.00351634071926723,0.545343267336266,149,-20.43,"2 23","674 696",22,"63.64%","81.82%","3UTR",NA,NA,NA,NA,NA,NA
"3676","Cluster_3367","FUN_008843",-0.91834045230983,0.027666353073052,0.914225011702335,159,-20.06,"2 19","819 842",18,"77.78%","88.89%","3UTR",NA,NA,NA,NA,NA,NA
"3725","Cluster_10051","FUN_007609",0.978580789954302,0.00375092828341026,0.545343267336266,165,-22.11,"2 19","612 634",18,"77.78%","88.89%","3UTR",NA,NA,NA,NA,NA,NA
"3737","Cluster_10207","FUN_002414",0.954522788231191,0.0115621781208051,0.756417382372095,158,-21.67,"2 20","966 987",19,"68.42%","84.21%","3UTR",NA,NA,NA,NA,NA,NA
"3747","Cluster_10057","FUN_014681",0.895870705214726,0.0397000351374173,0.96546924320845,146,-26.12,"2 21","721 747",24,"62.50%","70.83%","3UTR",NA,NA,NA,NA,NA,NA
"3765","Cluster_3366","FUN_004088",-0.966338509909935,0.00737613387218483,0.677079544727381,156,-20.9,"2 23","778 803",23,"60.87%","82.61%","3UTR","ntLink_8:19080122-19105550","Q0KIA2","PP2C-like domain-containing protein CG9801","Drosophila melanogaster (Fruit fly)","",""
"3777","Cluster_10051","FUN_002849",0.934958820164893,0.0197166645265629,0.868390424516277,158,-21.97,"2 21","278 301",21,"66.67%","85.71%","3UTR",NA,NA,NA,NA,NA,NA
"3787","Cluster_10207","FUN_033146",0.887810016126512,0.0443422908372885,0.96546924320845,163,-20.26,"2 20","544 564",18,"72.22%","83.33%","3UTR",NA,NA,NA,NA,NA,NA
"3789","Cluster_1862","FUN_042954",0.932985492712366,0.0206144935084305,0.878945978594776,181,-26.27,"2 23","489 513",22,"77.27%","90.91%","3UTR",NA,NA,NA,NA,NA,NA
"3793","Cluster_18728","FUN_013759",-0.958719638413883,0.0100055624471573,0.717681557663573,158,-24.04,"2 19","277 298",17,"76.47%","76.47%","3UTR",NA,NA,NA,NA,NA,NA
"3820","Cluster_5981","FUN_035870",0.916117604887988,0.0287937899747496,0.922979388371587,160,-24.02,"2 21","188 210",19,"63.16%","84.21%","3UTR",NA,NA,NA,NA,NA,NA
"3825","Cluster_5900","FUN_043410",-0.983031019325006,0.00264672589177186,0.545343267336266,162,-22.31,"2 21","364 388",22,"77.27%","77.27%","3UTR","ptg000047l:8148819-8149947","P53454","D(5)-like dopamine receptor","Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)","regulation of biological quality [GO:0065008]","GO:0004930; GO:0005886; GO:0065008"
"3832","Cluster_14768","FUN_009178",0.900311733131256,0.0372131918096321,0.96546924320845,150,-21.65,"2 17","304 323",15,"80.00%","80.00%","3UTR","ptg000004l:3601615-3605818","Q96AY4","Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301"
"3841","Cluster_19193","FUN_028837",0.887017169597595,0.0448076363337118,0.96546924320845,163,-24.66,"2 21","641 663",20,"70.00%","85.00%","3UTR",NA,NA,NA,NA,NA,NA
"3873","Cluster_3250","FUN_006081",0.977388854104582,0.00406760929145233,0.545343267336266,175,-25.52,"2 21","845 867",20,"80.00%","90.00%","3UTR",NA,NA,NA,NA,NA,NA
"3903","Cluster_10051","FUN_019442",0.972405796451194,0.00547967560671656,0.613503054224958,177,-24.59,"2 19","405 428",19,"89.47%","89.47%","3UTR",NA,NA,NA,NA,NA,NA
"3911","Cluster_18728","FUN_028974",-0.976242455648011,0.00438008401342708,0.562617375579486,140,-21.49,"2 9","745 766",7,"100.00%","100.00%","3UTR",NA,NA,NA,NA,NA,NA
"3920","Cluster_14768","FUN_004001",0.90728549040468,0.0334134693550686,0.945140915113237,141,-20.67,"2 20","11 30",18,"61.11%","72.22%","3UTR","ntLink_8:17923962-17928036","P83852","Carboxypeptidase D (EC 3.4.17.22) (CPD-2) (Metallocarboxypeptidase D)","Lophonetta specularioides (Crested duck) (Anas specularioides)","proteolysis [GO:0006508]","GO:0004181; GO:0006508; GO:0008270; GO:0016020"
"3941","Cluster_1951","FUN_032813",-0.962521932705698,0.00866050057254566,0.701026172436446,171,-22.89,"2 21","848 871",21,"76.19%","85.71%","3UTR",NA,NA,NA,NA,NA,NA
"3942","Cluster_10057","FUN_032813",-0.881994926886044,0.0477907964799245,0.96546924320845,163,-22.16,"2 21","157 180",21,"71.43%","80.95%","3UTR",NA,NA,NA,NA,NA,NA
"3955","Cluster_4254","FUN_017754",0.886778167844242,0.0449482155556408,0.96546924320845,168,-22.69,"2 21","721 742",19,"68.42%","89.47%","3UTR",NA,NA,NA,NA,NA,NA
"3972","Cluster_3250","FUN_022647",0.903449463979565,0.0354873946135757,0.957075830429796,145,-20.32,"2 15","98 124",18,"72.22%","72.22%","3UTR",NA,NA,NA,NA,NA,NA
"3974","Cluster_1862","FUN_008116",0.91706870951821,0.0283096136141049,0.91953372332968,173,-23.1,"2 23","749 773",22,"72.73%","86.36%","3UTR","ptg000002l:8212899-8216363","Q71MM5","Doublesex- and mab-3-related transcription factor 1","Danio rerio (Zebrafish) (Brachydanio rerio)","germ cell development [GO:0007281]; male germ cell proliferation [GO:0002176]; male gonad development [GO:0008584]; male sex determination [GO:0030238]; regulation of transcription by RNA polymerase II [GO:0006357]; sex differentiation [GO:0007548]","GO:0000978; GO:0000981; GO:0002176; GO:0005634; GO:0006357; GO:0007281; GO:0007548; GO:0008584; GO:0030238; GO:0046872"
"3979","Cluster_15775","FUN_014246",0.950621043656932,0.0130738520743087,0.766084851142397,160,-23.26,"2 22","494 519",23,"65.22%","78.26%","3UTR",NA,NA,NA,NA,NA,NA
"3984","Cluster_15340","FUN_037537",-0.946073573195481,0.0149104864517547,0.804033725844593,147,-20.9,"2 18","863 889",21,"71.43%","71.43%","3UTR",NA,NA,NA,NA,NA,NA
"4049","Cluster_4220","FUN_037094",-0.886999888942687,0.0448177960148634,0.96546924320845,171,-22.96,"2 21","293 315",20,"80.00%","85.00%","3UTR",NA,NA,NA,NA,NA,NA
"4050","Cluster_3366","FUN_037096",0.904505747275725,0.0349123426242964,0.954386929517051,157,-20.21,"2 23","204 228",22,"59.09%","81.82%","3UTR",NA,NA,NA,NA,NA,NA
"4055","Cluster_3366","FUN_033570",0.888310868864341,0.0440491206471639,0.96546924320845,166,-20.34,"2 19","448 471",17,"82.35%","82.35%","3UTR",NA,NA,NA,NA,NA,NA
"4060","Cluster_14768","FUN_041715",-0.921640748295058,0.0260194246904613,0.914225011702335,161,-22.11,"2 19","50 71",18,"77.78%","83.33%","3UTR",NA,NA,NA,NA,NA,NA
"4087","Cluster_5900","FUN_012178",0.881648160791344,0.0479990081541277,0.96546924320845,167,-21.27,"2 21","703 725",20,"75.00%","85.00%","3UTR","ptg000008l:6082979-6095721","Q24572","Chromatin assembly factor 1 p55 subunit (CAF-1 p55 subunit) (CAF-1) (Nucleosome-remodeling factor 55 kDa subunit) (NURF-55)","Drosophila melanogaster (Fruit fly)","chromatin organization [GO:0006325]; chromatin remodeling [GO:0006338]; DNA replication-dependent chromatin assembly [GO:0006335]; eggshell chorion gene amplification [GO:0007307]; facultative heterochromatin formation [GO:0140718]; heterochromatin formation [GO:0031507]; histone deacetylation [GO:0016575]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nucleosome organization [GO:0034728]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of DNA-templated transcription [GO:0006355]; regulation of mitotic cell cycle [GO:0007346]; segment specification [GO:0007379]","GO:0000122; GO:0000976; GO:0005634; GO:0005667; GO:0005700; GO:0006325; GO:0006335; GO:0006338; GO:0006355; GO:0007307; GO:0007346; GO:0007379; GO:0016575; GO:0016581; GO:0016589; GO:0031507; GO:0031523; GO:0033186; GO:0034728; GO:0035097; GO:0035098; GO:0042393; GO:0042803; GO:0042826; GO:0045892; GO:0045893; GO:0070822; GO:0140718"
"4089","Cluster_10228","FUN_020870",-0.953881825789136,0.0118063234017635,0.762650818673689,157,-22.53,"2 22","152 171",20,"70.00%","80.00%","3UTR",NA,NA,NA,NA,NA,NA
"4098","Cluster_19193","FUN_022469",0.96824479400018,0.00676046735214234,0.666067915013961,169,-21.37,"2 18","178 199",16,"81.25%","93.75%","3UTR",NA,NA,NA,NA,NA,NA
"4119","Cluster_17776","FUN_024551",0.932825108812303,0.0206880329376491,0.879870949718888,160,-24.25,"2 21","59 80",19,"68.42%","78.95%","3UTR",NA,NA,NA,NA,NA,NA
"4143","Cluster_16409","FUN_022664",0.920139320216983,0.0267646365114796,0.914225011702335,158,-20.96,"2 21","335 358",21,"71.43%","80.95%","3UTR",NA,NA,NA,NA,NA,NA
"4156","Cluster_3366","FUN_039988",0.888310868864341,0.0440491206471639,0.96546924320845,142,-20.37,"2 23","98 127",27,"59.26%","74.07%","3UTR",NA,NA,NA,NA,NA,NA
"4168","Cluster_10419","FUN_024475",0.89396845619105,0.0407808022661076,0.96546924320845,156,-21.08,"2 21","665 686",19,"68.42%","73.68%","3UTR","ptg000018l:6800864-6805190","P20965","Polyadenylate-binding protein 1-A (PABP-1-A) (Poly(A)-binding protein 1-A) (xPABP1-A) (Cytoplasmic poly(A)-binding protein 1-A)","Xenopus laevis (African clawed frog)","mRNA processing [GO:0006397]; mRNA stabilization [GO:0048255]; negative regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060212]; positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900153]; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060213]; RNA-mediated gene silencing [GO:0031047]; translation [GO:0006412]","GO:0005737; GO:0005844; GO:0006397; GO:0006412; GO:0008143; GO:0031047; GO:0031370; GO:0043621; GO:0048255; GO:0060212; GO:0060213; GO:1900153"
"4194","Cluster_5981","FUN_000484",0.965113242711184,0.00778106354057353,0.677079544727381,157,-20.81,"2 22","47 69",20,"60.00%","80.00%","3UTR",NA,NA,NA,NA,NA,NA
"4195","Cluster_18728","FUN_000484",-0.958719638413883,0.0100055624471572,0.717681557663573,140,-20.11,"2 9","920 941",7,"100.00%","100.00%","3UTR",NA,NA,NA,NA,NA,NA
"4238","Cluster_3367","FUN_005665",-0.91834045230983,0.027666353073052,0.914225011702335,152,-20.85,"2 21","339 362",19,"57.89%","78.95%","3UTR",NA,NA,NA,NA,NA,NA
"4286","Cluster_1862","FUN_017622",0.995693532787135,0.000339027428145737,0.393371538720933,163,-20.35,"2 21","739 763",20,"70.00%","85.00%","3UTR",NA,NA,NA,NA,NA,NA
"4311","Cluster_5981","FUN_018376",0.991502576852876,0.000939096871218252,0.545343267336266,150,-21.35,"2 22","580 600",20,"65.00%","75.00%","3UTR","ptg000012l:8649063-8658841","Q96AY4","Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301"
"4312","Cluster_18728","FUN_018376",-0.972117222602966,0.00556561459709215,0.617565644211579,159,-21.71,"2 20","264 285",18,"72.22%","77.78%","3UTR","ptg000012l:8649063-8658841","Q96AY4","Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301"
"4389","Cluster_3437","FUN_040150",-0.889776610742124,0.0431947159208035,0.96546924320845,170,-23.09,"2 22","707 731",23,"78.26%","82.61%","3UTR",NA,NA,NA,NA,NA,NA
"4414","Cluster_17776","FUN_038158",0.963064629680728,0.00847377040471592,0.696194485773984,157,-21.61,"2 14","88 109",12,"83.33%","100.00%","3UTR",NA,NA,NA,NA,NA,NA
"4442","Cluster_15340","FUN_016048",0.916573884352466,0.0285611834742794,0.921903701075914,155,-22.43,"2 21","46 64",19,"73.68%","84.21%","3UTR",NA,NA,NA,NA,NA,NA
"4448","Cluster_10228","FUN_025704",-0.922782863821467,0.0254571137119184,0.914225011702335,148,-21.08,"2 22","575 593",20,"70.00%","70.00%","3UTR",NA,NA,NA,NA,NA,NA
"4457","Cluster_16409","FUN_020627",0.912436100242777,0.0306925837127653,0.922979388371587,170,-23.37,"2 20","523 545",19,"78.95%","89.47%","3UTR",NA,NA,NA,NA,NA,NA
"4472","Cluster_18728","FUN_031987",-0.917789916417764,0.0279442357385929,0.916241285095535,158,-20.9,"2 19","491 512",17,"76.47%","76.47%","3UTR",NA,NA,NA,NA,NA,NA
"4506","Cluster_10228","FUN_014575",0.942458837384802,0.0164254553264028,0.834900929840595,157,-21.71,"2 20","704 725",18,"72.22%","83.33%","3UTR",NA,NA,NA,NA,NA,NA
"4520","Cluster_18723","FUN_023141",-0.926481193360391,0.0236637382302026,0.911947326397717,158,-21.46,"2 20","196 221",22,"68.18%","77.27%","3UTR","ptg000017l:4112911-4113943","E7F7V7","Galanin receptor 2b","Danio rerio (Zebrafish) (Brachydanio rerio)","adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; neuropeptide signaling pathway [GO:0007218]","GO:0004966; GO:0005886; GO:0007188; GO:0007218; GO:0008528"
"4527","Cluster_1862","FUN_026831",0.997716478496002,0.000130946140340583,0.393371538720933,176,-23,"2 21","134 157",19,"68.42%","100.00%","3UTR",NA,NA,NA,NA,NA,NA
"4530","Cluster_3366","FUN_026837",0.888310868864341,0.0440491206471639,0.96546924320845,160,-22.19,"2 18","650 674",17,"76.47%","88.24%","3UTR",NA,NA,NA,NA,NA,NA
"4557","Cluster_3366","FUN_013919",0.888310868864341,0.0440491206471639,0.96546924320845,162,-24.19,"2 23","779 802",21,"66.67%","76.19%","3UTR",NA,NA,NA,NA,NA,NA
"4584","Cluster_18728","FUN_018740",-0.958719638413883,0.0100055624471572,0.717681557663573,155,-25.54,"2 21","7 30",21,"66.67%","76.19%","3UTR",NA,NA,NA,NA,NA,NA
"4586","Cluster_10051","FUN_025322",0.897880908055453,0.0385680315035593,0.96546924320845,158,-21.18,"2 21","727 750",21,"71.43%","80.95%","3UTR",NA,NA,NA,NA,NA,NA
"4595","Cluster_3250","FUN_006054",0.977388854104582,0.00406760929145233,0.545343267336266,175,-25.52,"2 21","103 125",20,"80.00%","90.00%","3UTR",NA,NA,NA,NA,NA,NA
"4602","Cluster_3250","FUN_032653",0.947230938750294,0.0144356099915736,0.79284365320448,154,-21.61,"2 17","838 858",15,"80.00%","86.67%","3UTR","ptg000023l:34565271-34571367","Q8N2S1","Latent-transforming growth factor beta-binding protein 4 (LTBP-4)","Homo sapiens (Human)","elastic fiber assembly [GO:0048251]; hormone secretion [GO:0046879]; protein folding [GO:0006457]; regulation of cell growth [GO:0001558]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]; transforming growth factor beta receptor signaling pathway [GO:0007179]","GO:0001527; GO:0001558; GO:0005024; GO:0005178; GO:0005509; GO:0005539; GO:0005576; GO:0005615; GO:0006457; GO:0007179; GO:0017015; GO:0031012; GO:0046879; GO:0048251; GO:0050431; GO:0062023"
"4634","Cluster_10051","FUN_001853",-0.911598560263343,0.0311299644953076,0.926337549274273,172,-29.89,"2 21","5619 5640",19,"73.68%","89.47%","CDS",NA,NA,NA,NA,NA,NA
"4637","Cluster_10051","FUN_001948",0.979680269937281,0.00346643137529996,0.545343267336266,145,-21.88,"2 21","13634 13655",20,"60.00%","80.00%","CDS","ntLink_6:18174033-18200319","Q6ZQB6","Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 (EC 2.7.4.24) (Diphosphoinositol pentakisphosphate kinase 2) (Histidine acid phosphatase domain-containing protein 1) (InsP6 and PP-IP5 kinase 2) (VIP1 homolog 2) (mmVIP2)","Mus musculus (Mouse)","inositol metabolic process [GO:0006020]; inositol phosphate biosynthetic process [GO:0032958]; phosphorylation [GO:0016310]; sensory perception of sound [GO:0007605]","GO:0000827; GO:0000828; GO:0000829; GO:0000832; GO:0005524; GO:0005829; GO:0006020; GO:0007605; GO:0016310; GO:0032958; GO:0033857; GO:0052723; GO:0052724"
"4638","Cluster_10051","FUN_001948",0.979680269937281,0.00346643137529996,0.545343267336266,159,-24.71,"2 21","5724 5746",20,"70.00%","80.00%","CDS","ntLink_6:18174033-18200319","Q6ZQB6","Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 (EC 2.7.4.24) (Diphosphoinositol pentakisphosphate kinase 2) (Histidine acid phosphatase domain-containing protein 1) (InsP6 and PP-IP5 kinase 2) (VIP1 homolog 2) (mmVIP2)","Mus musculus (Mouse)","inositol metabolic process [GO:0006020]; inositol phosphate biosynthetic process [GO:0032958]; phosphorylation [GO:0016310]; sensory perception of sound [GO:0007605]","GO:0000827; GO:0000828; GO:0000829; GO:0000832; GO:0005524; GO:0005829; GO:0006020; GO:0007605; GO:0016310; GO:0032958; GO:0033857; GO:0052723; GO:0052724"
"4640","Cluster_10051","FUN_002098",0.94667207225362,0.0146642918761404,0.798812522398142,150,-20.1,"2 11","4980 5001",9,"100.00%","100.00%","CDS",NA,NA,NA,NA,NA,NA
"4645","Cluster_10051","FUN_000607",0.975751510133819,0.00451621830381497,0.568957598775243,168,-24.5,"2 18","2753 2776",18,"83.33%","88.89%","CDS",NA,NA,NA,NA,NA,NA
"4646","Cluster_10051","FUN_000634",0.978580789954303,0.00375092828341024,0.545343267336266,162,-22.68,"2 21","1967 1987",19,"73.68%","84.21%","CDS",NA,NA,NA,NA,NA,NA
"4649","Cluster_10051","FUN_000185",0.92342976870302,0.0251403778916514,0.914225011702335,154,-20.44,"2 20","5812 5834",19,"68.42%","78.95%","CDS","ntLink_6:68889-102137","P04323","Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]","Drosophila melanogaster (Fruit fly)","DNA integration [GO:0015074]; proteolysis [GO:0006508]","GO:0003676; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0006508; GO:0015074; GO:0042575"
"4663","Cluster_10051","FUN_003924",0.9785058578063,0.00377058596288974,0.545343267336266,155,-21.19,"2 21","2127 2150",21,"66.67%","76.19%","CDS",NA,NA,NA,NA,NA,NA
"4677","Cluster_10051","FUN_004350",0.893857185974053,0.0408443061796801,0.96546924320845,161,-21.3,"2 21","11336 11357",20,"80.00%","80.00%","CDS",NA,NA,NA,NA,NA,NA
"4685","Cluster_10051","FUN_004630",0.945427801458537,0.0151776204665744,0.809961631599194,153,-24.89,"2 21","18495 18516",20,"65.00%","85.00%","CDS","ntLink_8:25088249-25117435","D8VNT0","Ryncolin-4","Cerberus rynchops (Dog-faced water snake)","","GO:0005576; GO:0090729"
"4688","Cluster_10051","FUN_004695",0.924456922184046,0.0246401022955009,0.911947326397717,152,-21.44,"2 20","8958 8979",19,"68.42%","84.21%","CDS",NA,NA,NA,NA,NA,NA
"4698","Cluster_10051","FUN_004887",0.921538726197288,0.0260698468160098,0.914225011702335,159,-20.28,"2 21","7118 7140",20,"70.00%","80.00%","CDS","ntLink_8:28386241-28400792","A0A0R4IBK5","E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (E3 ubiquitin-lipopolysaccharide ligase rnf213-alpha) (EC 2.3.2.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha)","Danio rerio (Zebrafish) (Brachydanio rerio)","blood circulation [GO:0008015]; defense response to bacterium [GO:0042742]; immune system process [GO:0002376]; lipid droplet formation [GO:0140042]; lipid ubiquitination [GO:0120323]; negative regulation of non-canonical Wnt signaling pathway [GO:2000051]; protein K63-linked ubiquitination [GO:0070534]; regulation of lipid metabolic process [GO:0019216]; sprouting angiogenesis [GO:0002040]; ubiquitin-dependent protein catabolic process [GO:0006511]; xenophagy [GO:0098792]","GO:0002040; GO:0002376; GO:0004842; GO:0005524; GO:0005730; GO:0005811; GO:0005829; GO:0006511; GO:0008015; GO:0016887; GO:0019216; GO:0042742; GO:0046872; GO:0061630; GO:0070534; GO:0098792; GO:0120323; GO:0140042; GO:2000051"
"4699","Cluster_10051","FUN_004905",0.92146101214084,0.0261082763450531,0.914225011702335,154,-20.56,"2 21","30000 30024",22,"68.18%","77.27%","CDS",NA,NA,NA,NA,NA,NA
"4712","Cluster_10051","FUN_002363",0.919479933980937,0.0270940488508446,0.914225011702335,154,-22.29,"2 21","15128 15154",24,"66.67%","75.00%","CDS",NA,NA,NA,NA,NA,NA
"4720","Cluster_10051","FUN_006513",0.986343585700007,0.00191182107517003,0.545343267336266,160,-20.85,"2 20","158 179",19,"78.95%","84.21%","CDS",NA,NA,NA,NA,NA,NA
"4732","Cluster_10051","FUN_006955",0.895440583760492,0.0399436003967228,0.96546924320845,156,-20.73,"2 21","1633 1654",19,"68.42%","73.68%","CDS","ptg000001l:18762219-18765460","Q9U6Y6","GFP-like fluorescent chromoprotein amFP486","Anemonia manjano (Sea anemone)","bioluminescence [GO:0008218]; generation of precursor metabolites and energy [GO:0006091]","GO:0006091; GO:0008218"
"4741","Cluster_10051","FUN_007037",0.978255057697467,0.00383662722599413,0.545343267336266,152,-20.86,"2 21","1457 1478",19,"63.16%","73.68%","CDS","ptg000001l:19602915-19702038","Q96MB7","Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease)","Homo sapiens (Human)","","GO:0004518; GO:0005634; GO:0005829; GO:0005886; GO:0034451; GO:0046872"
"4742","Cluster_10051","FUN_007037",0.978255057697467,0.00383662722599413,0.545343267336266,152,-20.86,"2 21","20175 20196",19,"63.16%","73.68%","CDS","ptg000001l:19602915-19702038","Q96MB7","Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease)","Homo sapiens (Human)","","GO:0004518; GO:0005634; GO:0005829; GO:0005886; GO:0034451; GO:0046872"
"4743","Cluster_10051","FUN_007037",0.978255057697467,0.00383662722599413,0.545343267336266,152,-20.86,"2 21","35118 35139",19,"63.16%","73.68%","CDS","ptg000001l:19602915-19702038","Q96MB7","Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease)","Homo sapiens (Human)","","GO:0004518; GO:0005634; GO:0005829; GO:0005886; GO:0034451; GO:0046872"
"4744","Cluster_10051","FUN_007037",0.978255057697467,0.00383662722599413,0.545343267336266,152,-20.86,"2 21","50475 50496",19,"63.16%","73.68%","CDS","ptg000001l:19602915-19702038","Q96MB7","Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease)","Homo sapiens (Human)","","GO:0004518; GO:0005634; GO:0005829; GO:0005886; GO:0034451; GO:0046872"
"4745","Cluster_10051","FUN_007037",0.978255057697467,0.00383662722599413,0.545343267336266,152,-20.86,"2 21","68356 68377",19,"63.16%","73.68%","CDS","ptg000001l:19602915-19702038","Q96MB7","Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease)","Homo sapiens (Human)","","GO:0004518; GO:0005634; GO:0005829; GO:0005886; GO:0034451; GO:0046872"
"4746","Cluster_10051","FUN_007037",0.978255057697467,0.00383662722599413,0.545343267336266,155,-20.58,"2 19","93201 93220",17,"76.47%","82.35%","CDS","ptg000001l:19602915-19702038","Q96MB7","Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease)","Homo sapiens (Human)","","GO:0004518; GO:0005634; GO:0005829; GO:0005886; GO:0034451; GO:0046872"
"4747","Cluster_10051","FUN_007038",0.978580789954302,0.00375092828341026,0.545343267336266,152,-20.86,"2 21","286 307",19,"63.16%","73.68%","CDS",NA,NA,NA,NA,NA,NA
"4766","Cluster_10051","FUN_005890",0.899363123057674,0.0377400677348616,0.96546924320845,170,-22.02,"2 19","21924 21945",17,"82.35%","88.24%","CDS",NA,NA,NA,NA,NA,NA
"4769","Cluster_10051","FUN_006140",0.900195191214334,0.0372777939564538,0.96546924320845,151,-20.67,"2 21","16646 16669",21,"61.90%","76.19%","CDS","ptg000001l:8276165-8310705","B8V7S0","CUB and peptidase domain-containing protein 1","Acropora millepora (Staghorn coral) (Heteropora millepora)","proteolysis [GO:0006508]","GO:0004252; GO:0005576; GO:0006508"
"4772","Cluster_10051","FUN_008324",0.96755942484353,0.00697978447307705,0.676835217909263,161,-21.21,"2 21","1279 1300",20,"80.00%","80.00%","CDS",NA,NA,NA,NA,NA,NA
"4785","Cluster_10051","FUN_008755",0.923318615101228,0.025194709564171,0.914225011702335,160,-20.37,"2 21","1219 1239",20,"80.00%","80.00%","CDS",NA,NA,NA,NA,NA,NA
"4793","Cluster_10051","FUN_007895",0.897809910821938,0.0386078340541554,0.96546924320845,159,-20.09,"2 16","2981 3002",14,"78.57%","92.86%","CDS",NA,NA,NA,NA,NA,NA
"4795","Cluster_10051","FUN_008023",0.985965668756982,0.00199161354692373,0.545343267336266,155,-20.47,"2 21","2687 2705",19,"73.68%","84.21%","CDS",NA,NA,NA,NA,NA,NA
"4802","Cluster_10051","FUN_008973",0.989250151196218,0.00133578284446748,0.545343267336266,158,-23.7,"2 21","14716 14740",22,"63.64%","86.36%","CDS",NA,NA,NA,NA,NA,NA
"4808","Cluster_10051","FUN_010134",0.949326545430932,0.0135886319495017,0.776980128461315,156,-23.87,"2 13","41 62",11,"90.91%","100.00%","CDS",NA,NA,NA,NA,NA,NA
"4814","Cluster_10051","FUN_009363",0.966011128896181,0.00748363036526953,0.677079544727381,147,-20.85,"2 13","13603 13625",12,"83.33%","91.67%","CDS",NA,NA,NA,NA,NA,NA
"4822","Cluster_10051","FUN_009518",0.890418895569101,0.0428219956381823,0.96546924320845,170,-21.68,"2 21","1257 1277",19,"78.95%","89.47%","CDS",NA,NA,NA,NA,NA,NA
"4832","Cluster_10051","FUN_011644",0.924582651133568,0.0245790891884275,0.911947326397717,164,-22.97,"2 21","619 638",19,"78.95%","89.47%","CDS",NA,NA,NA,NA,NA,NA
