V1	GO_terms
Pocillopora_meandrina_HIv1___RNAseq.g11657.t1	GO:0005739; GO:0033615
Pocillopora_meandrina_HIv1___RNAseq.g11659.t2	GO:0005829; GO:0019430; GO:0045321; GO:0045454; GO:0140824
Pocillopora_meandrina_HIv1___RNAseq.g11660.t1	GO:0004435; GO:0004629; GO:0005509; GO:0005737; GO:0005886; GO:0016042; GO:0046488; GO:0048015; GO:0004435; GO:0004629; GO:0005509; GO:0005737; GO:0005886; GO:0016042; GO:0046488; GO:0048015
Pocillopora_meandrina_HIv1___RNAseq.g11664.t1	GO:0005737; GO:0005829; GO:0006749; GO:0009235; GO:0016491; GO:0016740; GO:0031419; GO:0032451; GO:0033787; GO:0043295; GO:0070988; GO:0071949
Pocillopora_meandrina_HIv1___RNAseq.g11665.t1	GO:0000287; GO:0004614; GO:0005737; GO:0006006
Pocillopora_meandrina_HIv1___RNAseq.g11667.t1	GO:0005520; GO:0007155; GO:0007411; GO:0008201; GO:0042567; GO:0048495; GO:0050919
Pocillopora_meandrina_HIv1___RNAseq.g11674.t1	GO:0004386; GO:0005524; GO:0005634; GO:0005654; GO:0006281; GO:0006310; GO:0007131; GO:0008340; GO:0009410; GO:0010212; GO:0015616; GO:0016887; GO:0032991; GO:0036310; GO:0045003; GO:0046872; GO:0051276; GO:0051321; GO:0140658
Pocillopora_meandrina_HIv1___RNAseq.g11675.t1	GO:0005739; GO:0005759; GO:0006631; GO:0006974; GO:0010883; GO:0046872; GO:0051213; GO:1902445
Pocillopora_meandrina_HIv1___RNAseq.g11677.t1	GO:0005737; GO:0005868; GO:0007018; GO:0045505; GO:0060271
Pocillopora_meandrina_HIv1___RNAseq.g11679.t1	GO:0005886; GO:0008519; GO:0016323; GO:0016324; GO:0031410; GO:0072488; GO:0097272
Pocillopora_meandrina_HIv1___RNAseq.g11680.t2	GO:0008519; GO:0016323; GO:0030659
Pocillopora_meandrina_HIv1___RNAseq.g11681.t1	GO:0005737; GO:0006099; GO:0030060
Pocillopora_meandrina_HIv1___RNAseq.g11683.t1	GO:0005385; GO:0005794; GO:0006882; GO:0030001; GO:0031410; GO:0032119; GO:0046873; GO:0048471; GO:0062111; GO:1904257; GO:1990674; GO:0005385; GO:0005794; GO:0006882; GO:0030001; GO:0031410; GO:0032119; GO:0046873; GO:0048471; GO:0062111; GO:1904257; GO:1990674
Pocillopora_meandrina_HIv1___RNAseq.g11686.t1	GO:0003347; GO:0004714; GO:0005007; GO:0005524; GO:0005634; GO:0005829; GO:0005886; GO:0007169; GO:0008201; GO:0008284; GO:0010863; GO:0017134; GO:0018108; GO:0031410; GO:0033674; GO:0043235; GO:0043406; GO:0045597; GO:0045893
Pocillopora_meandrina_HIv1___RNAseq.g11687.t1	GO:0000460; GO:0000470; GO:0003723; GO:0005730; GO:0006364; GO:0030687; GO:0042134
Pocillopora_meandrina_HIv1___RNAseq.g11690.t1	GO:0000165; GO:0000281; GO:0003924; GO:0003925; GO:0004860; GO:0005525; GO:0005811; GO:0005829; GO:0005886; GO:0006935; GO:0007265; GO:0009617; GO:0019003; GO:0019887; GO:0042331; GO:0043052; GO:0140582
Pocillopora_meandrina_HIv1___RNAseq.g11691.t1	GO:0003723; GO:0004386; GO:0005524; GO:0005634; GO:0005829; GO:0016787; GO:0035194; GO:0043186; GO:0046872
Pocillopora_meandrina_HIv1___RNAseq.g11693.t1	GO:0005507; GO:0005576; GO:0007596; GO:0008015; GO:0031091
Pocillopora_meandrina_HIv1___RNAseq.g11694.t1	GO:0005507; GO:0005576; GO:0007596; GO:0008015; GO:0031091
Pocillopora_meandrina_HIv1___RNAseq.g11696.t2	GO:0005507; GO:0005576; GO:0007596; GO:0008015; GO:0031091
Pocillopora_meandrina_HIv1___RNAseq.g11697.t1	GO:0005507; GO:0005576; GO:0010952; GO:0016504; GO:0032991; GO:0035807; GO:0044469; GO:0090729
Pocillopora_meandrina_HIv1___RNAseq.g11698.t1	GO:0001525; GO:0002080; GO:0005576; GO:0007155; GO:0007338
Pocillopora_meandrina_HIv1___RNAseq.g11699.t1	GO:0004181; GO:0006508; GO:0008270; GO:0016020
Pocillopora_meandrina_HIv1___RNAseq.g1170.t1	GO:0003924; GO:0005525; GO:0005940; GO:0015630; GO:0031105; GO:0032153; GO:0043005; GO:0060090; GO:0061640; GO:0098793; GO:0099569
Pocillopora_meandrina_HIv1___RNAseq.g11700.t1	GO:0004181; GO:0006508; GO:0008270; GO:0016020
Pocillopora_meandrina_HIv1___RNAseq.g11702.t1	GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0005634; GO:0005654; GO:0005829; GO:0006357; GO:0007409; GO:0007411; GO:0008270; GO:0042593; GO:0045604; GO:0045944; GO:0048813; GO:0061179; GO:1904178
Pocillopora_meandrina_HIv1___RNAseq.g11703.t1a	GO:0005509; GO:0060170
Pocillopora_meandrina_HIv1___RNAseq.g11703.t1b	GO:0005545; GO:0005769; GO:0005829; GO:0006897; GO:0007179; GO:0016197; GO:0019904; GO:0031901; GO:0032991; GO:0043231; GO:0046872; GO:0005545; GO:0005769; GO:0005829; GO:0006897; GO:0007179; GO:0016197; GO:0019904; GO:0031901; GO:0032991; GO:0043231; GO:0046872
Pocillopora_meandrina_HIv1___RNAseq.g11704.t1	GO:0005747; GO:0005758
Pocillopora_meandrina_HIv1___RNAseq.g11707.t1	GO:0004133; GO:0004134; GO:0004135; GO:0005576; GO:0005634; GO:0005737; GO:0005829; GO:0005978; GO:0005980; GO:0007584; GO:0016234; GO:0016529; GO:0030247; GO:0031593; GO:0034774; GO:0043033; GO:0051384; GO:0102500; GO:1904813
Pocillopora_meandrina_HIv1___RNAseq.g11708.t1	GO:0004725; GO:0005886; GO:0006470; GO:0008201; GO:0030424; GO:0030426; GO:0030517; GO:0030672; GO:0035335; GO:0042803; GO:0043204; GO:0043395; GO:0048671; GO:0048681; GO:0061000; GO:0098839; GO:0099560
Pocillopora_meandrina_HIv1___RNAseq.g1171.t1	GO:0000122; GO:0000976; GO:0000978; GO:0001227; GO:0003700; GO:0005654; GO:0005829; GO:0006357; GO:0007411; GO:0008285; GO:0021537; GO:0021772; GO:0021797; GO:0030182; GO:0030900; GO:0043565; GO:0043697; GO:0045666; GO:0045893; GO:0046872; GO:0050767; GO:1904936
Pocillopora_meandrina_HIv1___RNAseq.g11714.t1	GO:0004725; GO:0005001; GO:0005886; GO:0006470; GO:0007155; GO:0007156; GO:0007165; GO:0007169; GO:0008013; GO:0009986; GO:0016020; GO:0016790; GO:0019903; GO:0030336; GO:0035335; GO:0042803; GO:0045294; GO:0045295; GO:0045296; GO:0051393; GO:0070097; GO:0071354; GO:0097677; GO:1904893; GO:1990264
Pocillopora_meandrina_HIv1___RNAseq.g11718.t1	GO:0004725; GO:0005001; GO:0005886; GO:0005925; GO:0006468; GO:0006470; GO:0007229; GO:0008286; GO:0016020; GO:0043235; GO:0050804; GO:0051893; GO:0070062; GO:0097060; GO:0098685; GO:0004725; GO:0005001; GO:0005886; GO:0005925; GO:0006468; GO:0006470; GO:0007229; GO:0008286; GO:0016020; GO:0043235; GO:0050804; GO:0051893; GO:0070062; GO:0097060; GO:0098685
Pocillopora_meandrina_HIv1___RNAseq.g1173.t1	GO:0000027; GO:0000055; GO:0000447; GO:0000794; GO:0005730; GO:0007080; GO:0008097; GO:0030687; GO:0042273; GO:1901796; GO:1902570
Pocillopora_meandrina_HIv1___RNAseq.g1174.t1	GO:0005509; GO:0008270; GO:0035064; GO:0070577; GO:0140566
Pocillopora_meandrina_HIv1___RNAseq.g1175.t1	GO:0005737; GO:0006805; GO:0008119; GO:0032259; GO:1904047
Pocillopora_meandrina_HIv1___RNAseq.g11751.t1	GO:0005576; GO:0005595; GO:0005615; GO:0005788; GO:0007155; GO:0030020; GO:0030199; GO:0035987; GO:0062023; GO:0070062; GO:1903561; GO:0005576; GO:0005595; GO:0005615; GO:0005788; GO:0007155; GO:0030020; GO:0030199; GO:0035987; GO:0062023; GO:0070062; GO:1903561
Pocillopora_meandrina_HIv1___RNAseq.g11752.t1	GO:0005789; GO:0044183; GO:0045048
Pocillopora_meandrina_HIv1___RNAseq.g11753.t1	GO:0005509; GO:0005615; GO:0009374; GO:0031410; GO:0032579
Pocillopora_meandrina_HIv1___RNAseq.g11754.t1	GO:0000209; GO:0000502; GO:0006511; GO:0035519; GO:0061630; GO:0070936
Pocillopora_meandrina_HIv1___RNAseq.g11757.t1	GO:0006511; GO:0016567; GO:0042802; GO:0042826; GO:0045879; GO:0051260; GO:0097602
Pocillopora_meandrina_HIv1___RNAseq.g1176.t1	GO:0001934; GO:0003847; GO:0004622; GO:0005516; GO:0005615; GO:0005739; GO:0005829; GO:0005886; GO:0006935; GO:0007204; GO:0007613; GO:0014832; GO:0016290; GO:0017171; GO:0019731; GO:0019901; GO:0031143; GO:0032049; GO:0034451; GO:0034638; GO:0034976; GO:0035774; GO:0035965; GO:0042311; GO:0042802; GO:0043008; GO:0045921; GO:0046338; GO:0046469; GO:0046473; GO:0047499; GO:0051967; GO:0060135; GO:0090037; GO:0090200; GO:0090238; GO:0102545; GO:0102991; GO:1901339; GO:2000304
Pocillopora_meandrina_HIv1___RNAseq.g11761.t1	GO:0000794; GO:0001520; GO:0005634; GO:0005829; GO:0007286; GO:0031514; GO:0035082; GO:0051321; GO:0072687
Pocillopora_meandrina_HIv1___RNAseq.g11765.t1	GO:0005730; GO:0030692; GO:0031965; GO:0032040; GO:0042254
Pocillopora_meandrina_HIv1___RNAseq.g11768.t1	GO:0001503; GO:0004930; GO:0005509; GO:0005513; GO:0005886; GO:0006816; GO:0006874; GO:0007186; GO:0007254; GO:0008284; GO:0010628; GO:0016597; GO:0032781; GO:0042311; GO:0042803; GO:0043679; GO:0051924; GO:0070509
Pocillopora_meandrina_HIv1___RNAseq.g11769.t1	GO:0000978; GO:0003712; GO:0006357; GO:0016567; GO:0016592; GO:0070847
Pocillopora_meandrina_HIv1___RNAseq.g11770.t1	GO:0000139; GO:0005794; GO:0035269; GO:0120053
Pocillopora_meandrina_HIv1___RNAseq.g11771.t1	GO:0005765; GO:0005777; GO:0007417; GO:0009791; GO:0021540; GO:0031667; GO:0034198; GO:0042149; GO:0043473; GO:0061462; GO:0061700; GO:0140007; GO:1901668; GO:1904262; GO:1990130; GO:0005765; GO:0005777; GO:0007417; GO:0009791; GO:0021540; GO:0031667; GO:0034198; GO:0042149; GO:0043473; GO:0061462; GO:0061700; GO:0140007; GO:1901668; GO:1904262; GO:1990130; GO:0005765; GO:0005777; GO:0007417; GO:0009791; GO:0021540; GO:0031667; GO:0034198; GO:0042149; GO:0043473; GO:0061462; GO:0061700; GO:0140007; GO:1901668; GO:1904262; GO:1990130
Pocillopora_meandrina_HIv1___RNAseq.g11773.t1	GO:0003924; GO:0005525; GO:0005768; GO:0005886; GO:0006904; GO:0007269; GO:0008021; GO:0009306; GO:0016192; GO:0017157; GO:0031489; GO:0031630; GO:0031982; GO:0032482; GO:0043231; GO:0045202; GO:0046718; GO:0046928; GO:0048172; GO:0048786; GO:0048789; GO:0048790; GO:0072659
Pocillopora_meandrina_HIv1___RNAseq.g11774.t1	GO:0005524; GO:0005634; GO:0005694; GO:0005829; GO:0007049; GO:0016887; GO:0030261; GO:0051301
Pocillopora_meandrina_HIv1___RNAseq.g11775.t1	GO:0004180; GO:0004181; GO:0005886; GO:0006508; GO:0006760; GO:0008233; GO:0009986; GO:0016020; GO:0016805; GO:0030163; GO:0035609; GO:0043065; GO:0046872; GO:1904492; GO:1904493
Pocillopora_meandrina_HIv1___RNAseq.g11777.t1	GO:0005737; GO:0005813; GO:0005874; GO:0008017; GO:0015031; GO:0030705; GO:0031122; GO:0051959
Pocillopora_meandrina_HIv1___RNAseq.g11779.t1	GO:0005737; GO:0015035
Pocillopora_meandrina_HIv1___RNAseq.g1178.t1	GO:0000978; GO:0000981; GO:0001947; GO:0003146; GO:0005634; GO:0006357; GO:0007368; GO:0060088; GO:0060271
Pocillopora_meandrina_HIv1___RNAseq.g11782.t1	GO:0005506; GO:0005737; GO:0005743; GO:0005789; GO:0006082; GO:0006805; GO:0008395; GO:0016712; GO:0020037; GO:0043231; GO:0052869; GO:0097267; GO:0102033
Pocillopora_meandrina_HIv1___RNAseq.g11783.t1	GO:0004508; GO:0005506; GO:0006694; GO:0016020; GO:0020037; GO:0047442; GO:0004508; GO:0005506; GO:0006694; GO:0016020; GO:0020037; GO:0047442
Pocillopora_meandrina_HIv1___RNAseq.g11785.t1	GO:0004222; GO:0005080; GO:0005178; GO:0005518; GO:0005615; GO:0005925; GO:0006509; GO:0007155; GO:0007160; GO:0007179; GO:0007229; GO:0008237; GO:0009897; GO:0009986; GO:0010042; GO:0016477; GO:0016485; GO:0017124; GO:0030216; GO:0030335; GO:0031293; GO:0033627; GO:0033630; GO:0033631; GO:0034241; GO:0034612; GO:0042117; GO:0042542; GO:0042987; GO:0043236; GO:0043406; GO:0046872; GO:0050714; GO:0051044; GO:0051384; GO:0051549; GO:0051592; GO:0070062; GO:0071222; GO:1902945
Pocillopora_meandrina_HIv1___RNAseq.g11786.t1	GO:0005509; GO:0005829; GO:0016460; GO:0017022; GO:0030048; GO:0031475; GO:0031476; GO:0031477; GO:0032036
Pocillopora_meandrina_HIv1___RNAseq.g11789.t1	GO:0005007; GO:0005524; GO:0005768; GO:0005783; GO:0005886; GO:0008284
Pocillopora_meandrina_HIv1___RNAseq.g1179.t1	GO:0005737; GO:0005876; GO:0007052; GO:0008017; GO:0051315; GO:0097431
Pocillopora_meandrina_HIv1___RNAseq.g11790.t1	GO:0001756; GO:0005003; GO:0005524; GO:0005886; GO:0070121
Pocillopora_meandrina_HIv1___RNAseq.g11791.t1	GO:0003404; GO:0004714; GO:0005005; GO:0005524; GO:0005769; GO:0005886; GO:0007169; GO:0007411; GO:0009952; GO:0009988; GO:0021654; GO:0030517; GO:0030900; GO:0031641; GO:0033674; GO:0043005; GO:0043197; GO:0043235; GO:0048685; GO:0061053
Pocillopora_meandrina_HIv1___RNAseq.g11792.t1a	GO:0005524; GO:0005737; GO:0005874; GO:0005929; GO:0007399; GO:0018095; GO:0030154; GO:0030425; GO:0043204; GO:0046872; GO:0070740; GO:0005524; GO:0005737; GO:0005874; GO:0005929; GO:0007399; GO:0018095; GO:0030154; GO:0030425; GO:0043204; GO:0046872; GO:0070740
Pocillopora_meandrina_HIv1___RNAseq.g11796.t1	GO:0000723; GO:0000781; GO:0001701; GO:0001832; GO:0006302; GO:0007095; GO:0016605; GO:0030870; GO:0042405; GO:0045190; GO:0047485; GO:0048145; GO:0051321; GO:0140297
Pocillopora_meandrina_HIv1___RNAseq.g1180.t1	GO:0001042; GO:0001164; GO:0001181; GO:0001701; GO:0005634; GO:0005654; GO:0005730; GO:0006361; GO:0007000; GO:0007028; GO:0042254; GO:0045893; GO:0048144; GO:0048872; GO:0072332; GO:1902254; GO:2000142
Pocillopora_meandrina_HIv1___RNAseq.g11803.t1	GO:0000287; GO:0005737; GO:0006021; GO:0008934; GO:0030145; GO:0031403; GO:0046854; GO:0046855; GO:0052832; GO:0052833; GO:0052834
Pocillopora_meandrina_HIv1___RNAseq.g11804.t1a	GO:0001917; GO:0004067; GO:0005737; GO:0006508; GO:0008798; GO:0033345
Pocillopora_meandrina_HIv1___RNAseq.g11805.t1	GO:0003723; GO:0003779; GO:0005198; GO:0005516; GO:0005654; GO:0005737; GO:0005794; GO:0005874; GO:0005886; GO:0005925; GO:0016010; GO:0016020; GO:0030658; GO:0032991; GO:0045202
Pocillopora_meandrina_HIv1___RNAseq.g11806.t1	GO:0001649; GO:0005109; GO:0005576; GO:0005581; GO:0005615; GO:0016477; GO:0016528; GO:0017147; GO:0032092; GO:0033687; GO:0033690; GO:0043932; GO:0045669; GO:0060071; GO:0060122; GO:0062023; GO:0090090; GO:0090103; GO:0090177
Pocillopora_meandrina_HIv1___RNAseq.g1181.t1	GO:0004416; GO:0005739; GO:0005759; GO:0006749; GO:0019243; GO:0046872
Pocillopora_meandrina_HIv1___RNAseq.g11812.t1	GO:0004021; GO:0006103; GO:0009058; GO:0030170; GO:0042851; GO:0042853
Pocillopora_meandrina_HIv1___RNAseq.g11813.t1	GO:0006606; GO:0042273; GO:0051082
Pocillopora_meandrina_HIv1___RNAseq.g11819.t1	GO:0006606; GO:0042273; GO:0051082
Pocillopora_meandrina_HIv1___RNAseq.g1182.t1	GO:0001501; GO:0004197; GO:0004843; GO:0005634; GO:0005654; GO:0005829; GO:0006281; GO:0006282; GO:0006511; GO:0008233; GO:0009411; GO:0016579; GO:0035520
Pocillopora_meandrina_HIv1___RNAseq.g11821.t1	GO:0006606; GO:0042273; GO:0051082
Pocillopora_meandrina_HIv1___RNAseq.g11822.t1	GO:0004021; GO:0006103; GO:0009058; GO:0030170; GO:0042851; GO:0042853
Pocillopora_meandrina_HIv1___RNAseq.g11824.t1	GO:0001650; GO:0005164; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005856; GO:0005886; GO:0005923; GO:0006915; GO:0007250; GO:0007585; GO:0008270; GO:0016740; GO:0019901; GO:0030323; GO:0031625; GO:0031996; GO:0042802; GO:0042981; GO:0043122; GO:0043161; GO:0045087; GO:0045860; GO:0046330; GO:0048471; GO:0050699
Pocillopora_meandrina_HIv1___RNAseq.g11825.t1	GO:0004021; GO:0006103; GO:0009058; GO:0030170; GO:0042851; GO:0042853
Pocillopora_meandrina_HIv1___RNAseq.g11828.t1	GO:0004021; GO:0006103; GO:0009058; GO:0030170; GO:0042851; GO:0042853
Pocillopora_meandrina_HIv1___RNAseq.g1183.t1	GO:0003677; GO:0005634; GO:0005654; GO:0006260; GO:0006261; GO:0006271; GO:0016035; GO:0042276; GO:0042575; GO:0043625; GO:0071897
Pocillopora_meandrina_HIv1___RNAseq.g11834.t1	GO:0004021; GO:0006103; GO:0009058; GO:0030170; GO:0042851; GO:0042853
Pocillopora_meandrina_HIv1___RNAseq.g1184.t1	GO:0003779; GO:0005737; GO:0005829; GO:0005856
Pocillopora_meandrina_HIv1___RNAseq.g11845.t1	GO:0000281; GO:0000815; GO:0005635; GO:0005829; GO:0007034; GO:0010458; GO:0015031; GO:0030496; GO:0031468; GO:0031902; GO:0090148
Pocillopora_meandrina_HIv1___RNAseq.g11846.t1	GO:0005737; GO:0005975; GO:0006098; GO:0009051; GO:0017057; GO:0048029
Pocillopora_meandrina_HIv1___RNAseq.g1185.t2	GO:0000165; GO:0001649; GO:0002931; GO:0004674; GO:0004708; GO:0004713; GO:0005524; GO:0005654; GO:0005829; GO:0005856; GO:0006915; GO:0007165; GO:0009410; GO:0019211; GO:0019901; GO:0022602; GO:0032308; GO:0038066; GO:0042770; GO:0042802; GO:0043065; GO:0043406; GO:0043539; GO:0051403; GO:0051726; GO:0051770; GO:0060048; GO:0060348; GO:0070423; GO:0072709; GO:0090398; GO:0106310; GO:0120163; GO:0140537; GO:1901796
Pocillopora_meandrina_HIv1___RNAseq.g11850.t2	GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0006397; GO:0008380; GO:0016604; GO:0042669; GO:0043484; GO:1990904
Pocillopora_meandrina_HIv1___RNAseq.g11851.t1	GO:0005634; GO:0005739; GO:0005829; GO:0006476; GO:0008270; GO:0010566; GO:0016740; GO:0034979; GO:0036046; GO:0036047; GO:0036048; GO:0036049; GO:0036054; GO:0036055; GO:0061697; GO:0061698; GO:0070403
Pocillopora_meandrina_HIv1___RNAseq.g11852.t1	GO:0003677; GO:0003682; GO:0003712; GO:0003724; GO:0004518; GO:0004527; GO:0005524; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0006302; GO:0006388; GO:0006397; GO:0008143; GO:0016887; GO:0032508; GO:0033677; GO:0072669
Pocillopora_meandrina_HIv1___RNAseq.g11853.t1	GO:0000122; GO:0000209; GO:0001503; GO:0001701; GO:0001843; GO:0002223; GO:0002637; GO:0002726; GO:0002753; GO:0002755; GO:0004842; GO:0005164; GO:0005634; GO:0005737; GO:0005811; GO:0005829; GO:0005886; GO:0005938; GO:0006974; GO:0007249; GO:0007250; GO:0008270; GO:0009898; GO:0010008; GO:0019886; GO:0019901; GO:0030316; GO:0031398; GO:0031435; GO:0031624; GO:0031625; GO:0031663; GO:0031666; GO:0031996; GO:0032147; GO:0032735; GO:0032743; GO:0032755; GO:0032813; GO:0032991; GO:0033209; GO:0035631; GO:0038095; GO:0042088; GO:0042102; GO:0042475; GO:0042802; GO:0042826; GO:0042981; GO:0043011; GO:0043122; GO:0043123; GO:0043422; GO:0043507; GO:0045453; GO:0045672; GO:0045892; GO:0045944; GO:0046330; GO:0047485; GO:0048471; GO:0050852; GO:0051091; GO:0051092; GO:0051865; GO:0061630; GO:0070498; GO:0070534; GO:0070555; GO:0071222; GO:0071345; GO:0097400; GO:1901224; GO:1904996; GO:2000679
Pocillopora_meandrina_HIv1___RNAseq.g11858.t1a	GO:0005302; GO:0015173; GO:0015192; GO:0015196; GO:0015349; GO:0015801; GO:0016020; GO:0016323; GO:0070327
Pocillopora_meandrina_HIv1___RNAseq.g11858.t1b	GO:0008836; GO:0009089; GO:0030170
Pocillopora_meandrina_HIv1___RNAseq.g11859.t1	GO:0004197; GO:0005615; GO:0005764; GO:0006508; GO:0006955; GO:0007586; GO:0008233; GO:0008234; GO:0045169; GO:0051603
Pocillopora_meandrina_HIv1___RNAseq.g1186.t1	GO:0000122; GO:0000380; GO:0000381; GO:0000956; GO:0001837; GO:0003712; GO:0003723; GO:0003724; GO:0003730; GO:0005516; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0006357; GO:0006606; GO:0007623; GO:0009299; GO:0016607; GO:0016887; GO:0019899; GO:0030509; GO:0030520; GO:0030521; GO:0031053; GO:0035500; GO:0036002; GO:0043021; GO:0043517; GO:0045069; GO:0045445; GO:0045667; GO:0045893; GO:0046332; GO:0048306; GO:0050681; GO:0060765; GO:0061614; GO:0070412; GO:0070878; GO:0071013; GO:0072332; GO:1990841; GO:1990904; GO:2001014
Pocillopora_meandrina_HIv1___RNAseq.g11860.t1	GO:0004197; GO:0005615; GO:0005764; GO:0016324; GO:0016540; GO:0030574; GO:0031638; GO:0034230; GO:0042583; GO:0043373; GO:0046718; GO:0048002; GO:0060309
Pocillopora_meandrina_HIv1___RNAseq.g11861.t1	GO:0005764; GO:0005769; GO:0005770; GO:0005829; GO:0006622; GO:0008333; GO:0031313; GO:0031901; GO:0031902; GO:0035091; GO:0042802; GO:0043231; GO:0045022
Pocillopora_meandrina_HIv1___RNAseq.g11862.t1	GO:0005764; GO:0005769; GO:0005770; GO:0005829; GO:0006622; GO:0008333; GO:0031313; GO:0031901; GO:0031902; GO:0035091; GO:0045022
Pocillopora_meandrina_HIv1___RNAseq.g11863.t1	GO:0005741; GO:0008270; GO:0010637; GO:0016491
Pocillopora_meandrina_HIv1___RNAseq.g11864.t1	GO:0003677; GO:0004386; GO:0005524; GO:0005654; GO:0005829; GO:0016887; GO:0140658
Pocillopora_meandrina_HIv1___RNAseq.g11866.t1	GO:0005737; GO:0005739; GO:0005783; GO:0005794; GO:0032977; GO:0045050; GO:0071816; GO:0072546
Pocillopora_meandrina_HIv1___RNAseq.g1187.t1	GO:0000325; GO:0004364; GO:0004601; GO:0005737; GO:0005739; GO:0005829; GO:0005886; GO:0006749; GO:0006979; GO:0009407; GO:0009507; GO:0009570; GO:0042631; GO:0043295
Pocillopora_meandrina_HIv1___RNAseq.g11870.t1	GO:0003676; GO:0003887; GO:0005737; GO:0008270; GO:0015074; GO:0019899; GO:0042575
Pocillopora_meandrina_HIv1___RNAseq.g11872.t1	GO:0002218; GO:0003723; GO:0004386; GO:0005741; GO:0008270; GO:0010494; GO:0031048; GO:0031380; GO:0042742; GO:0045071; GO:0045087; GO:0051607; GO:0002218; GO:0003723; GO:0004386; GO:0005741; GO:0008270; GO:0010494; GO:0031048; GO:0031380; GO:0042742; GO:0045071; GO:0045087; GO:0051607; GO:0002218; GO:0003723; GO:0004386; GO:0005741; GO:0008270; GO:0010494; GO:0031048; GO:0031380; GO:0042742; GO:0045071; GO:0045087; GO:0051607
Pocillopora_meandrina_HIv1___RNAseq.g11873.t1	GO:0002218; GO:0003723; GO:0004386; GO:0005741; GO:0008270; GO:0010494; GO:0031048; GO:0031380; GO:0042742; GO:0045071; GO:0045087; GO:0051607; GO:0002218; GO:0003723; GO:0004386; GO:0005741; GO:0008270; GO:0010494; GO:0031048; GO:0031380; GO:0042742; GO:0045071; GO:0045087; GO:0051607; GO:0002218; GO:0003723; GO:0004386; GO:0005741; GO:0008270; GO:0010494; GO:0031048; GO:0031380; GO:0042742; GO:0045071; GO:0045087; GO:0051607
Pocillopora_meandrina_HIv1___RNAseq.g11876.t1	GO:0000122; GO:0003677; GO:0003714; GO:0005634; GO:0007507; GO:1990112
Pocillopora_meandrina_HIv1___RNAseq.g11877.t1	GO:0004561; GO:0005764; GO:0007040; GO:0007399; GO:0021680; GO:0030200; GO:0042474; GO:0043202; GO:0045475; GO:0046548; GO:0060119; GO:0070062
Pocillopora_meandrina_HIv1___RNAseq.g11878.t1	GO:0000785; GO:0000977; GO:0005654; GO:0005667; GO:0005694; GO:0005730; GO:0005829; GO:0006325; GO:0006357; GO:0007049; GO:0010629; GO:0030154; GO:0043550; GO:0070062; GO:1990841; GO:2000134
Pocillopora_meandrina_HIv1___RNAseq.g11879.t1	GO:0003677; GO:0005634; GO:0005654; GO:0006355
Pocillopora_meandrina_HIv1___RNAseq.g1188.t1	GO:0004364; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0006749; GO:0009407; GO:0009507; GO:0009629; GO:0019899; GO:0043295; GO:0048046; GO:2000030
Pocillopora_meandrina_HIv1___RNAseq.g11880.t1	GO:0000122; GO:0000785; GO:0000977; GO:0005654; GO:0005667; GO:0006325; GO:0007049; GO:0010629; GO:0030154; GO:0043550; GO:1990841; GO:2000134; GO:2000773
Pocillopora_meandrina_HIv1___RNAseq.g11883.t1	GO:0001764; GO:0005783; GO:0005789; GO:0006493; GO:0008375; GO:0035269
Pocillopora_meandrina_HIv1___RNAseq.g11884.t1	GO:0000209; GO:0004842; GO:0005829; GO:0009898; GO:0016567; GO:0023035; GO:0031625; GO:0035631; GO:0036435; GO:0042742; GO:0042802; GO:0043123; GO:0043130; GO:0046872; GO:0050852; GO:0051092; GO:0060546; GO:0061630; GO:0070530; GO:0071797; GO:0097039; GO:1904417; GO:1990450
Pocillopora_meandrina_HIv1___RNAseq.g11889.t1	GO:0000122; GO:0000978; GO:0000981; GO:0001227; GO:0005634; GO:0006357; GO:0009653; GO:0030154; GO:0031069; GO:0043524; GO:1990837
Pocillopora_meandrina_HIv1___RNAseq.g11890.t1	GO:0000122; GO:0000978; GO:0000981; GO:0001227; GO:0005634; GO:0006357; GO:0009653; GO:0030154; GO:0031069; GO:0043524; GO:1990837
Pocillopora_meandrina_HIv1___RNAseq.g11892.t1	GO:0007219; GO:0008446; GO:0019673; GO:0042351; GO:0042802; GO:0070401
Pocillopora_meandrina_HIv1___RNAseq.g11894.t1	GO:0000785; GO:0003677; GO:0003678; GO:0003682; GO:0005524; GO:0006268; GO:0006270; GO:0007049; GO:0016887; GO:0030174; GO:0042555; GO:0046872; GO:0071162
Pocillopora_meandrina_HIv1___RNAseq.g11895.t1	GO:0000785; GO:0005634; GO:0005737; GO:0006606; GO:0008139; GO:0016020; GO:0031267; GO:0032991; GO:0034504; GO:0061608
Pocillopora_meandrina_HIv1___RNAseq.g11896.t1	GO:0005794; GO:0005829; GO:0009000; GO:0016740
Pocillopora_meandrina_HIv1___RNAseq.g11897.t1	GO:0005085
Pocillopora_meandrina_HIv1___RNAseq.g11898.t1	
