transcript_id,RNA-POC-47,RNA-POC-48,RNA-POC-50,RNA-POC-53,RNA-POC-57
Pocillopora_meandrina_HIv1___RNAseq.g23787.t1,440,325,555,413,167
Pocillopora_meandrina_HIv1___RNAseq.g12650.t1,0,1,1,0,0
Pocillopora_meandrina_HIv1___RNAseq.g30396.t1,416,949,542,772,890
Pocillopora_meandrina_HIv1___RNAseq.g1923.t1,144,156,268,260,276
Pocillopora_meandrina_HIv1___RNAseq.g19979.t1,1837,5072,7103,1444,2321
Pocillopora_meandrina_HIv1___RNAseq.g21530.t1,2513,927,2340,1436,821
Pocillopora_meandrina_HIv1___RNAseq.g9884.t1,0,63,25,8,20
Pocillopora_meandrina_HIv1___RNAseq.g20373.t1a,25,51,42,47,53
Pocillopora_meandrina_HIv1___RNAseq.g9723.t1,31,131,86,338,144
Pocillopora_meandrina_HIv1___RNAseq.g20373.t1b,303,194,278,631,0
Pocillopora_meandrina_HIv1___RNAseq.g7933.t1,720,399,452,526,126
Pocillopora_meandrina_HIv1___TS.g8443.t1a,0,30,103,18,25
Pocillopora_meandrina_HIv1___RNAseq.g3508.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g8443.t1b,0,40,69,46,18
Pocillopora_meandrina_HIv1___RNAseq.g3195.t1,3673,1657,3834,3453,894
Pocillopora_meandrina_HIv1___TS.g16479.t1,54,0,3,11,0
Pocillopora_meandrina_HIv1___TS.g505.t1,1095,885,1534,831,331
Pocillopora_meandrina_HIv1___TS.g29850.t1,3629,4051,4062,4069,2974
Pocillopora_meandrina_HIv1___RNAseq.g1584.t1,154,57,92,75,30
Pocillopora_meandrina_HIv1___RNAseq.g1214.t1,34,71,26,27,0
Pocillopora_meandrina_HIv1___RNAseq.g28512.t1,25,62,103,58,135
Pocillopora_meandrina_HIv1___RNAseq.g29094.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g24727.t1,72,89,55,74,64
Pocillopora_meandrina_HIv1___RNAseq.g27791.t1,192,1031,782,1975,628
Pocillopora_meandrina_HIv1___RNAseq.g24090.t1,86,38,59,78,0
Pocillopora_meandrina_HIv1___RNAseq.g5785.t1,31798,25657,31370,26516,13131
Pocillopora_meandrina_HIv1___RNAseq.g22077.t1,0,0,0,1,0
Pocillopora_meandrina_HIv1___RNAseq.g16095.t1,2417,1983,4121,2248,905
Pocillopora_meandrina_HIv1___RNAseq.g28121.t1,1555,590,1311,1214,721
Pocillopora_meandrina_HIv1___TS.g23795.t1,395,518,199,219,276
Pocillopora_meandrina_HIv1___RNAseq.g2096.t1,2228,1994,2717,2449,1332
Pocillopora_meandrina_HIv1___RNAseq.g19153.t1,891,1056,846,1408,573
Pocillopora_meandrina_HIv1___RNAseq.g17436.t1,26,99,173,110,55
Pocillopora_meandrina_HIv1___RNAseq.g27793.t1,0,0,0,38,0
Pocillopora_meandrina_HIv1___RNAseq.g8940.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g5845.t1,0,0,23,42,0
Pocillopora_meandrina_HIv1___RNAseq.g14826.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g28571.t1,5,0,0,0,9
Pocillopora_meandrina_HIv1___RNAseq.g23241.t1,29,38,0,65,0
Pocillopora_meandrina_HIv1___RNAseq.g20157.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g23566.t1,1625,2703,2946,2008,969
Pocillopora_meandrina_HIv1___RNAseq.g1.t1,0,61,61,29,14
Pocillopora_meandrina_HIv1___RNAseq.g3384.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g9911.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g3122.t1,195,432,213,217,161
Pocillopora_meandrina_HIv1___RNAseq.g14689.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g15768.t1,7986,537,4466,2723,1740
Pocillopora_meandrina_HIv1___RNAseq.g10667.t1,32,129,52,66,42
Pocillopora_meandrina_HIv1___RNAseq.g13270.t1,7027,1844,20275,1596,2104
Pocillopora_meandrina_HIv1___TS.g5803.t1,14,9,51,59,0
Pocillopora_meandrina_HIv1___RNAseq.g19480.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g22075.t1,2,0,0,1,0
Pocillopora_meandrina_HIv1___RNAseq.g5109.t1,5,14,236,24,109
Pocillopora_meandrina_HIv1___RNAseq.11314_t,601,441,1225,846,412
Pocillopora_meandrina_HIv1___TS.g8948.t1d,25,13,0,2,0
Pocillopora_meandrina_HIv1___RNAseq.g13221.t1,67,73,170,30,32
Pocillopora_meandrina_HIv1___RNAseq.g29941.t1,1985,1163,2354,2740,1274
Pocillopora_meandrina_HIv1___RNAseq.g17029.t1,177,128,514,131,121
Pocillopora_meandrina_HIv1___RNAseq.g21642.t1b,57,559,93,75,357
Pocillopora_meandrina_HIv1___RNAseq.g19151.t1,0,0,38,0,2
Pocillopora_meandrina_HIv1___RNAseq.g19310.t1,74,0,90,367,0
Pocillopora_meandrina_HIv1___RNAseq.g17434.t1,0,0,39,14,41
Pocillopora_meandrina_HIv1___RNAseq.g15012.t1,418,153,146,1006,2232
Pocillopora_meandrina_HIv1___TS.g23718.t1b,164,166,187,0,4
Pocillopora_meandrina_HIv1___RNAseq.g6357.t1,0,0,10,0,0
Pocillopora_meandrina_HIv1___TS.g23718.t1a,62,3,6,2,0
Pocillopora_meandrina_HIv1___RNAseq.g3120.t1,130,283,891,170,102
Pocillopora_meandrina_HIv1___RNAseq.g4346.t1,117,23,227,166,38
Pocillopora_meandrina_HIv1___TS.g174.t1,0,34,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g29176.t1,484,539,948,539,96
Pocillopora_meandrina_HIv1___RNAseq.g25384.t1a,40,152,74,55,97
Pocillopora_meandrina_HIv1___TS.g24698.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g28916.t1,916,583,601,657,204
Pocillopora_meandrina_HIv1___RNAseq.g17927.t1,37,118,120,131,96
Pocillopora_meandrina_HIv1___RNAseq.g28329.t1,613,500,723,535,465
Pocillopora_meandrina_HIv1___RNAseq.g9438.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g13272.t1,1534,624,582,177,99
Pocillopora_meandrina_HIv1___TS.g9515.t1,25,12,45,16,19
Pocillopora_meandrina_HIv1___RNAseq.g2882.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g12979.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g17042.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g4069.t1,261,1791,623,69,161
Pocillopora_meandrina_HIv1___RNAseq.g2857.t1,23,0,0,0,28
Pocillopora_meandrina_HIv1___RNAseq.g2533.t1b,57,37,50,47,8
Pocillopora_meandrina_HIv1___RNAseq.g2533.t1c,620,165,369,333,159
Pocillopora_meandrina_HIv1___RNAseq.g2533.t1a,688,505,546,739,301
Pocillopora_meandrina_HIv1___RNAseq.g14180.t1,311,833,1148,169,78
Pocillopora_meandrina_HIv1___RNAseq.g25854.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g16081.t1,0,23,0,1,0
Pocillopora_meandrina_HIv1___TS.g26413.t3,319,323,93,171,822
Pocillopora_meandrina_HIv1___RNAseq.g19174.t1,63,583,43,93,228
Pocillopora_meandrina_HIv1___RNAseq.g25779.t1,1056,915,1716,1233,335
Pocillopora_meandrina_HIv1___RNAseq.g11262.t1,391,142,445,584,62
Pocillopora_meandrina_HIv1___RNAseq.g11207.t1,85,18,189,289,108
Pocillopora_meandrina_HIv1___RNAseq.g6194.t1,13,17,0,20,4
Pocillopora_meandrina_HIv1___RNAseq.g2359.t1,0,0,12,8,15
Pocillopora_meandrina_HIv1___RNAseq.g30220.t1,34,13,28,89,0
Pocillopora_meandrina_HIv1___RNAseq.g1895.t1,149,980,301,1427,661
Pocillopora_meandrina_HIv1___TS.g490.t1,1044,592,1147,649,484
Pocillopora_meandrina_HIv1___RNAseq.g11467.t1,6,1,0,0,3
Pocillopora_meandrina_HIv1___RNAseq.g410.t1,218,620,387,603,106
Pocillopora_meandrina_HIv1___RNAseq.g1776.t1,10,0,0,13,9
Pocillopora_meandrina_HIv1___TS.g22737.t1,0,222,45,96,34
Pocillopora_meandrina_HIv1___RNAseq.g13335.t1,203,139,194,296,61
Pocillopora_meandrina_HIv1___RNAseq.g12929.t1,0,3,0,1,0
Pocillopora_meandrina_HIv1___TS.g14209.t1,93,436,246,1121,0
Pocillopora_meandrina_HIv1___RNAseq.g13084.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g16586.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g6714.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g19738.t2,2213,2710,2496,3597,1114
Pocillopora_meandrina_HIv1___RNAseq.g5575.t1,487,475,672,413,351
Pocillopora_meandrina_HIv1___RNAseq.g23346.t1,714,465,627,331,450
Pocillopora_meandrina_HIv1___RNAseq.g6196.t1,151,56,189,131,72
Pocillopora_meandrina_HIv1___TS.g8573.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g15353.t1,1746,721,1858,1078,426
Pocillopora_meandrina_HIv1___RNAseq.g20657.t1,214,156,231,138,133
Pocillopora_meandrina_HIv1___RNAseq.g6370.t1,181,36,0,43,0
Pocillopora_meandrina_HIv1___TS.g6302.t1,21,23,0,138,0
Pocillopora_meandrina_HIv1___RNAseq.g4167.t1,0,112,0,28,0
Pocillopora_meandrina_HIv1___RNAseq.g4527.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g13912.t1,178,199,88,147,75
Pocillopora_meandrina_HIv1___RNAseq.g30222.t1,0,23,28,0,35
Pocillopora_meandrina_HIv1___RNAseq.g5570.t1,123,0,0,35,96
Pocillopora_meandrina_HIv1___RNAseq.g17363.t1,731,492,1009,611,281
Pocillopora_meandrina_HIv1___RNAseq.g10055.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g29426.t1,354,298,596,344,210
Pocillopora_meandrina_HIv1___RNAseq.g8099.t1,1643,366,1149,361,419
Pocillopora_meandrina_HIv1___RNAseq.g11383.t1,0,0,7,0,0
Pocillopora_meandrina_HIv1___RNAseq.g19636.t1,0,0,2,0,0
Pocillopora_meandrina_HIv1___RNAseq.g11719.t1,79,157,62,111,27
Pocillopora_meandrina_HIv1___RNAseq.g29980.t1,9,14,13,24,8
Pocillopora_meandrina_HIv1___RNAseq.g24966.t1,56,62,26,26,0
Pocillopora_meandrina_HIv1___TS.g17895.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g21998.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g18744.t1,0,0,16,0,36
Pocillopora_meandrina_HIv1___RNAseq.g19039.t1,0,0,13,44,0
Pocillopora_meandrina_HIv1___RNAseq.g717.t1,3194,2191,4692,2983,2561
Pocillopora_meandrina_HIv1___RNAseq.g38.t1,5,53,36,74,35
Pocillopora_meandrina_HIv1___TS.g4663.t2,0,0,0,54,36
Pocillopora_meandrina_HIv1___RNAseq.g26670.t1,327,97,417,490,258
Pocillopora_meandrina_HIv1___RNAseq.g24903.t1,20,11,61,16,0
Pocillopora_meandrina_HIv1___RNAseq.g19559.t1,176,151,286,46,159
Pocillopora_meandrina_HIv1___RNAseq.g23052.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g24014.t1,108,242,355,206,185
Pocillopora_meandrina_HIv1___RNAseq.g29556.t1b,92,221,30,46,59
Pocillopora_meandrina_HIv1___RNAseq.g29556.t1a,24,59,11,43,52
Pocillopora_meandrina_HIv1___RNAseq.g12568.t1,0,0,0,15,0
Pocillopora_meandrina_HIv1___RNAseq.g28892.t1,18,73,191,14,10
Pocillopora_meandrina_HIv1___TS.g26345.t1,100,316,386,909,229
Pocillopora_meandrina_HIv1___RNAseq.g17323.t1,5765,5182,6892,5081,2717
Pocillopora_meandrina_HIv1___RNAseq.g13432.t1,42,0,82,0,0
Pocillopora_meandrina_HIv1___RNAseq.g11381.t1,19,99,326,156,136
Pocillopora_meandrina_HIv1___RNAseq.g10057.t1,0,0,15,76,12
Pocillopora_meandrina_HIv1___RNAseq.g5133.t1,46,17,41,24,56
Pocillopora_meandrina_HIv1___TS.g17426.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g28582.t1b,31,40,14,35,17
Pocillopora_meandrina_HIv1___RNAseq.g28582.t1a,19,246,45,0,0
Pocillopora_meandrina_HIv1___RNAseq.g13106.t1,14,0,4,0,0
Pocillopora_meandrina_HIv1___RNAseq.g24964.t1,6,61,6,3,4
Pocillopora_meandrina_HIv1___TS.g8150.t1,0,0,0,4,0
Pocillopora_meandrina_HIv1___RNAseq.g25231.t1,927,544,724,716,688
Pocillopora_meandrina_HIv1___RNAseq.g26961.t1a,170,26,163,198,65
Pocillopora_meandrina_HIv1___RNAseq.g26961.t1b,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g3589.t1,750,223,578,593,112
Pocillopora_meandrina_HIv1___RNAseq.g26672.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g11033.t1,6,0,0,1,0
Pocillopora_meandrina_HIv1___TS.g24166.t1,2430,3317,3135,1968,1810
Pocillopora_meandrina_HIv1___TS.g7921.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g27877.t1,820,873,1320,1111,261
Pocillopora_meandrina_HIv1___RNAseq.g7243.t1,459,487,318,597,299
Pocillopora_meandrina_HIv1___RNAseq.g28890.t1,1055,886,1065,745,373
Pocillopora_meandrina_HIv1___RNAseq.26407_t,0,86,20,84,68
Pocillopora_meandrina_HIv1___TS.g1286.t1,0,0,4,7,11
Pocillopora_meandrina_HIv1___RNAseq.g9.t1,5010,4045,3548,5053,3752
Pocillopora_meandrina_HIv1___RNAseq.g21258.t1,206,488,398,281,412
Pocillopora_meandrina_HIv1___RNAseq.g12661.t1,0,0,5,0,0
Pocillopora_meandrina_HIv1___RNAseq.g24607.t1,1,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g15196.t1,458,486,517,359,212
Pocillopora_meandrina_HIv1___RNAseq.g17000.t1,0,212,0,17,0
Pocillopora_meandrina_HIv1___RNAseq.g6534.t1,395,308,601,467,223
Pocillopora_meandrina_HIv1___RNAseq.g15850.t2,627,713,767,127,654
Pocillopora_meandrina_HIv1___RNAseq.g16321.t1,996,0,688,223,29
Pocillopora_meandrina_HIv1___TS.g153.t1,101,13,145,87,70
Pocillopora_meandrina_HIv1___RNAseq.g11761.t1,254,84,168,210,156
Pocillopora_meandrina_HIv1___RNAseq.g450.t1,377,82,20,20,573
Pocillopora_meandrina_HIv1___RNAseq.g26735.t1,545,351,410,664,494
Pocillopora_meandrina_HIv1___RNAseq.g12173.t1,82,128,294,116,112
Pocillopora_meandrina_HIv1___RNAseq.g1396.t1,0,35,50,34,0
Pocillopora_meandrina_HIv1___RNAseq.g16898.t1,940,459,919,722,428
Pocillopora_meandrina_HIv1___RNAseq.g7567.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g15760.t1,11,1,54,5,20
Pocillopora_meandrina_HIv1___RNAseq.g27834.t1,14,92,44,92,0
Pocillopora_meandrina_HIv1___RNAseq.g597.t1,0,0,0,9,0
Pocillopora_meandrina_HIv1___RNAseq.g28111.t1,307,220,302,260,182
Pocillopora_meandrina_HIv1___RNAseq.g19122.t1,458,554,464,651,203
Pocillopora_meandrina_HIv1___TS.g24272.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g4364.t1,4,57,0,0,12
Pocillopora_meandrina_HIv1___RNAseq.g20276.t1,603,464,810,666,137
Pocillopora_meandrina_HIv1___RNAseq.g3301.t1,5,5,0,4,12
Pocillopora_meandrina_HIv1___RNAseq.g5439.t1a,0,0,0,21,27
Pocillopora_meandrina_HIv1___RNAseq.g25905.t1,2303,1110,1246,814,3105
Pocillopora_meandrina_HIv1___RNAseq.g7997.t1,146,178,141,98,0
Pocillopora_meandrina_HIv1___RNAseq.g5049.t1,93,405,358,280,174
Pocillopora_meandrina_HIv1___RNAseq.g6506.t1,4127,10149,12066,12416,7584
Pocillopora_meandrina_HIv1___RNAseq.g15762.t1,0,0,7,6,6
Pocillopora_meandrina_HIv1___RNAseq.g16323.t1,69,90,84,51,135
Pocillopora_meandrina_HIv1___RNAseq.g9852.t1,0,0,8,47,0
Pocillopora_meandrina_HIv1___TS.g24096.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g15907.t1b,18,23,17,20,0
Pocillopora_meandrina_HIv1___RNAseq.g15907.t1c,294,1828,532,1003,161
Pocillopora_meandrina_HIv1___RNAseq.g15907.t1a,395,1051,605,954,817
Pocillopora_meandrina_HIv1___RNAseq.g21193.t1,2825,790,4579,2547,401
Pocillopora_meandrina_HIv1___TS.g5408.t1,245,153,195,142,54
Pocillopora_meandrina_HIv1___RNAseq.g286.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g26737.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g840.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g29797.t1b,1310,0,1536,428,533
Pocillopora_meandrina_HIv1___TS.g29797.t1a,8,0,26,27,76
Pocillopora_meandrina_HIv1___RNAseq.g5875.t1,462,752,556,355,148
Pocillopora_meandrina_HIv1___RNAseq.g1906.t1,164,93,193,93,71
Pocillopora_meandrina_HIv1___RNAseq.g22767.t1,3407,1390,4539,2744,806
Pocillopora_meandrina_HIv1___TS.g8633.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g455.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g23327.t1,37,60,0,180,36
Pocillopora_meandrina_HIv1___RNAseq.g15687.t1,59,150,34,77,56
Pocillopora_meandrina_HIv1___RNAseq.g19120.t1,1,44,8,0,6
Pocillopora_meandrina_HIv1___TS.g23948.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g16732.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g28082.t1,595,1229,1659,1256,1633
Pocillopora_meandrina_HIv1___RNAseq.g20274.t1,201,616,492,553,625
Pocillopora_meandrina_HIv1___RNAseq.g27988.t1,15,42,62,52,127
Pocillopora_meandrina_HIv1___RNAseq.g12904.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g4975.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g16473.t1,172,541,233,788,111
Pocillopora_meandrina_HIv1___RNAseq.g4401.t1,528,890,442,1108,268
Pocillopora_meandrina_HIv1___TS.g18604.t2,1832,905,3336,1957,2369
Pocillopora_meandrina_HIv1___TS.g6889.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g15013.t1,0,35,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g10787.t1,27,12,13,0,41
Pocillopora_meandrina_HIv1___RNAseq.g21330.t1,25,194,30,139,24
Pocillopora_meandrina_HIv1___TS.g27427.t1,2,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g14036.t1,45,15,10,433,48
Pocillopora_meandrina_HIv1___RNAseq.g26032.t1,158,117,330,158,33
Pocillopora_meandrina_HIv1___RNAseq.g13261.t1,365,17,27,142,172
Pocillopora_meandrina_HIv1___RNAseq.g24781.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g25457.t1,6956,9358,6477,19347,3982
Pocillopora_meandrina_HIv1___RNAseq.g5760.t1,207,348,219,361,210
Pocillopora_meandrina_HIv1___RNAseq.g2065.t1,37,108,21,62,47
Pocillopora_meandrina_HIv1___RNAseq.g23754.t1,2475,2480,3186,4716,996
Pocillopora_meandrina_HIv1___RNAseq.g13068.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g28452.t1,20,25,25,68,31
Pocillopora_meandrina_HIv1___TS.g23667.t1,12,4,39,3,27
Pocillopora_meandrina_HIv1___RNAseq.g1190.t1,742,540,823,726,1568
Pocillopora_meandrina_HIv1___RNAseq.g4977.t1,0,0,0,19,0
Pocillopora_meandrina_HIv1___RNAseq.g23804.t1,246,69,242,64,72
Pocillopora_meandrina_HIv1___RNAseq.g24984.t1,205,191,126,225,318
Pocillopora_meandrina_HIv1___TS.g739.t1,243,172,323,146,112
Pocillopora_meandrina_HIv1___RNAseq.g9089.t1,8,10,0,22,19
Pocillopora_meandrina_HIv1___RNAseq.g2634.t1,201,168,249,203,187
Pocillopora_meandrina_HIv1___TS.g960.t1b,44,0,0,36,0
Pocillopora_meandrina_HIv1___TS.g23408.t1,0,0,0,7,4
Pocillopora_meandrina_HIv1___RNAseq.g9719.t1,171,195,283,249,148
Pocillopora_meandrina_HIv1___RNAseq.g9173.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g10576.t1,27,0,0,36,11
Pocillopora_meandrina_HIv1___RNAseq.g5103.t1,2,8,13,20,0
Pocillopora_meandrina_HIv1___RNAseq.g4328.t1,71,84,8,48,9
Pocillopora_meandrina_HIv1___RNAseq.g2067.t1,52845,39710,40611,45586,27869
Pocillopora_meandrina_HIv1___TS.g14848.t1,35,17,39,38,18
Pocillopora_meandrina_HIv1___RNAseq.g15443.t1,1590,0,1033,0,428
Pocillopora_meandrina_HIv1___RNAseq.g28450.t1,175,446,540,378,209
Pocillopora_meandrina_HIv1___RNAseq.g29513.t1,784,499,1079,658,142
Pocillopora_meandrina_HIv1___RNAseq.g1869.t1,67,124,75,37,15
Pocillopora_meandrina_HIv1___RNAseq.g27628.t1,116,113,218,181,43
Pocillopora_meandrina_HIv1___RNAseq.g17705.t1,45,0,0,88,28
Pocillopora_meandrina_HIv1___RNAseq.g15932.t1,32,73,84,4,2
Pocillopora_meandrina_HIv1___RNAseq.g24361.t1,0,36,6,0,0
Pocillopora_meandrina_HIv1___RNAseq.g10769.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g27187.t1,978,553,1072,991,497
Pocillopora_meandrina_HIv1___RNAseq.g8153.t1,2722,1291,4871,2820,2936
Pocillopora_meandrina_HIv1___RNAseq.g22679.t1,39,10,20,40,0
Pocillopora_meandrina_HIv1___RNAseq.g19634.t1,0,0,10,0,0
Pocillopora_meandrina_HIv1___RNAseq.g30108.t1,19,2,3,0,0
Pocillopora_meandrina_HIv1___TS.g558.t1,313,333,459,403,214
Pocillopora_meandrina_HIv1___RNAseq.g17487.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g13871.t1,6703,1867,7758,4816,1256
Pocillopora_meandrina_HIv1___TS.g6754.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g21313.t1,129234,108627,103927,82185,73413
Pocillopora_meandrina_HIv1___RNAseq.g8176.t1,319,225,496,196,201
Pocillopora_meandrina_HIv1___RNAseq.g1052.t1,0,10,25,0,30
Pocillopora_meandrina_HIv1___RNAseq.g10797.t1,1172,3316,1923,2891,3628
Pocillopora_meandrina_HIv1___RNAseq.g13259.t1,867,442,1666,461,1281
Pocillopora_meandrina_HIv1___TS.g20821.t1,121,161,149,98,34
Pocillopora_meandrina_HIv1___TS.g19998.t1a,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g19998.t1b,2566,7963,1668,825,1127
Pocillopora_meandrina_HIv1___RNAseq.g15422.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g17707.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g23384.t1,52,22,100,0,30
Pocillopora_meandrina_HIv1___TS.g24984.t1,193,230,233,203,149
Pocillopora_meandrina_HIv1___TS.g4670.t3,145,184,215,43,59
Pocillopora_meandrina_HIv1___RNAseq.g22657.t1,0,16,21,0,7
Pocillopora_meandrina_HIv1___RNAseq.g26663.t1,338,309,209,328,91
Pocillopora_meandrina_HIv1___RNAseq.g21050.t1,538,641,335,411,336
Pocillopora_meandrina_HIv1___RNAseq.g8151.t1,181,314,428,274,257
Pocillopora_meandrina_HIv1___TS.g16671.t1,0,26,19,74,74
Pocillopora_meandrina_HIv1___RNAseq.g1757.t1,2008,2784,1655,3704,1591
Pocillopora_meandrina_HIv1___RNAseq.g19679.t1,2064,359,1870,942,254
Pocillopora_meandrina_HIv1___RNAseq.g12941.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g28755.t1,1420,1401,2205,1837,477
Pocillopora_meandrina_HIv1___TS.g14261.t1,0,9,0,0,0
Pocillopora_meandrina_HIv1___TS.g13902.t1,316,429,432,545,7
Pocillopora_meandrina_HIv1___RNAseq.g27563.t1,760,411,1076,500,241
Pocillopora_meandrina_HIv1___TS.g5024.t2,0,0,18,0,0
Pocillopora_meandrina_HIv1___RNAseq.g12541.t1,658,207,537,308,307
Pocillopora_meandrina_HIv1___RNAseq.g28641.t1,0,0,2,0,0
Pocillopora_meandrina_HIv1___RNAseq.g12312.t1,842,729,1082,657,725
Pocillopora_meandrina_HIv1___RNAseq.g8986.t1,2723,4406,2527,4031,2477
Pocillopora_meandrina_HIv1___RNAseq.g1755.t1,1345,1011,3977,2497,665
Pocillopora_meandrina_HIv1___RNAseq.g426.t1,1218,1545,1950,1757,1271
Pocillopora_meandrina_HIv1___RNAseq.g18403.t1a,0,7,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g18403.t1b,0,21,2,0,0
Pocillopora_meandrina_HIv1___RNAseq.g16425.t1,72,406,108,271,291
Pocillopora_meandrina_HIv1___RNAseq.g30080.t1,1783,1725,1695,1720,1286
Pocillopora_meandrina_HIv1___RNAseq.g5792.t1,0,0,14,0,0
Pocillopora_meandrina_HIv1___RNAseq.g17956.t1,1104,928,973,827,192
Pocillopora_meandrina_HIv1___RNAseq.g24973.t1,1841,2014,2935,2385,395
Pocillopora_meandrina_HIv1___RNAseq.g15420.t1,8836,8426,7213,6401,2899
Pocillopora_meandrina_HIv1___TS.g17526.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g27273.t1,0,0,0,26,0
Pocillopora_meandrina_HIv1___RNAseq.g25387.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g13046.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g15386.t1,737,19034,1414,575,5284
Pocillopora_meandrina_HIv1___RNAseq.g12543.t1,365,348,564,589,507
Pocillopora_meandrina_HIv1___RNAseq.g15246.t1,428,762,446,203,334
Pocillopora_meandrina_HIv1___RNAseq.g525.t1,2216,4462,3540,4299,3886
Pocillopora_meandrina_HIv1___RNAseq.g10336.t1,17431,20546,22800,23450,10079
Pocillopora_meandrina_HIv1___RNAseq.g9121.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g8631.t2,154,113,220,160,112
Pocillopora_meandrina_HIv1___RNAseq.g20599.t1,0,8,0,6,92
Pocillopora_meandrina_HIv1___RNAseq.g21052.t1,209,74,39,110,100
Pocillopora_meandrina_HIv1___RNAseq.g26661.t1,178,579,90,141,290
Pocillopora_meandrina_HIv1___TS.g13243.t1,184,210,325,0,125
Pocillopora_meandrina_HIv1___RNAseq.g23018.t1,0,0,0,3,0
Pocillopora_meandrina_HIv1___TS.g25478.t1,2036,753,1796,1580,223
Pocillopora_meandrina_HIv1___RNAseq.g923.t1,3860,2192,5481,3224,2152
Pocillopora_meandrina_HIv1___TS.g11042.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g13044.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g22990.t1,0,0,0,0,0
