Orthogroup	Apulchra-genome.pep	Porites_evermanni_v1.annot.pep
OG0000581	FUN_032868-T1, FUN_032866-T1, FUN_032863-T1, FUN_032870-T1, FUN_032871-T1, FUN_032861-T1, FUN_032837-T1, FUN_032855-T1, FUN_032859-T1, FUN_032860-T1, FUN_032856-T1, FUN_032857-T1, FUN_032858-T1	Peve_00014571
OG0000582	FUN_033930-T1	Peve_00027614, Peve_00012725, Peve_00018117, Peve_00011697, Peve_00018120, Peve_00012729, Peve_00018121, Peve_00009821, Peve_00021337, Peve_00021336, Peve_00021339, Peve_00021342, Peve_00040888
OG0000583	FUN_034673-T1, FUN_034660-T1	Peve_00043446, Peve_00026983, Peve_00035960, Peve_00043443, Peve_00043444, Peve_00036584, Peve_00036585
OG0000584	FUN_044971-T1	Peve_00015457
OG0000584	FUN_045436-T1	Peve_00027090, Peve_00010822, Peve_00017564, Peve_00039997, Peve_00038190, Peve_00040649
OG0000584	FUN_036775-T1	Peve_00031218
OG0000585	FUN_037716-T1, FUN_037726-T1	Peve_00029482, Peve_00029481, Peve_00018881, Peve_00031297, Peve_00031296, Peve_00018335, Peve_00009806, Peve_00009807, Peve_00018880, Peve_00029486
OG0000586	FUN_038494-T1	Peve_00037772, Peve_00037761, Peve_00037769
OG0000588	FUN_044897-T1, FUN_045604-T1	Peve_00005394
OG0000590	FUN_045478-T1	Peve_00022520, Peve_00011351
OG0000591	FUN_045515-T1	Peve_00009195, Peve_00010231, Peve_00032995, Peve_00001807, Peve_00023676, Peve_00008900, Peve_00010966, Peve_00030705, Peve_00021589
OG0000614	FUN_000108-T1, FUN_000075-T1	Peve_00014934, Peve_00008655, Peve_00008657, Peve_00024901, Peve_00007762, Peve_00004153, Peve_00018786, Peve_00007207, Peve_00014933, Peve_00004155, Peve_00043172
OG0000616	FUN_006900-T1, FUN_001125-T1, FUN_001128-T1, FUN_001126-T1, FUN_001123-T1, FUN_001124-T1	Peve_00023615, Peve_00023614, Peve_00013191, Peve_00012028, Peve_00013195, Peve_00013194
OG0000618	FUN_016880-T1, FUN_040294-T1	Peve_00027105
OG0000618	FUN_001435-T1, FUN_001440-T1, FUN_001429-T1, FUN_001430-T1, FUN_001443-T1, FUN_001439-T1, FUN_001445-T1, FUN_001433-T1	Peve_00018453
OG0000619	FUN_005973-T1, FUN_005982-T1, FUN_005974-T1, FUN_005987-T1, FUN_007106-T1, FUN_001521-T1	Peve_00041910, Peve_00013080, Peve_00029800, Peve_00011051, Peve_00041914
OG0000621	FUN_019614-T1, FUN_001980-T1, FUN_026667-T1, FUN_042256-T1, FUN_002034-T1	Peve_00037570, Peve_00000489, Peve_00001971, Peve_00001781, Peve_00035544, Peve_00037048
OG0000622	FUN_030883-T1, FUN_027694-T1, FUN_036947-T1, FUN_002138-T1, FUN_033304-T1, FUN_033303-T1, FUN_043796-T1, FUN_033629-T1, FUN_003444-T1	Peve_00037342, Peve_00043919
OG0000625	FUN_002177-T1	Peve_00004302
OG0000625	FUN_026500-T1	Peve_00011707, Peve_00009357, Peve_00032202, Peve_00031711, Peve_00010010, Peve_00017891, Peve_00012156, Peve_00035327, Peve_00034613, Peve_00042178
OG0000626	FUN_002414-T1, FUN_002374-T1, FUN_002371-T1, FUN_002415-T1, FUN_002418-T1, FUN_002417-T1, FUN_002366-T1, FUN_002363-T1, FUN_002363-T2, FUN_002410-T1	Peve_00014903, Peve_00029562
OG0000627	FUN_038052-T1	Peve_00034004
OG0000627	FUN_002435-T1, FUN_037939-T1, FUN_038124-T1, FUN_037940-T1	Peve_00003034
OG0000628	FUN_007580-T1, FUN_010118-T1, FUN_033557-T1, FUN_026843-T1, FUN_017196-T1	Peve_00000255
OG0000628	FUN_040651-T1, FUN_033552-T1, FUN_002459-T1	Peve_00032755
OG0000628	FUN_002458-T1	Peve_00006328
OG0000634	FUN_042277-T1, FUN_023767-T1, FUN_023775-T1, FUN_020812-T1, FUN_008696-T1, FUN_042275-T1, FUN_017692-T1, FUN_023766-T1, FUN_042276-T1, FUN_016900-T1, FUN_003788-T2, FUN_003788-T1	Peve_00037521
OG0000635	FUN_024882-T1, FUN_006490-T1, FUN_021106-T1, FUN_003873-T1, FUN_044480-T2, FUN_011485-T1	Peve_00008347
OG0000635	FUN_033643-T1, FUN_026625-T1	Peve_00032440
OG0000636	FUN_003930-T1, FUN_003928-T1, FUN_003987-T1, FUN_003882-T1	Peve_00003887, Peve_00003882, Peve_00002496, Peve_00002497, Peve_00006587, Peve_00028983, Peve_00028764, Peve_00037176
OG0000637	FUN_021950-T1, FUN_019040-T1, FUN_018769-T1, FUN_012850-T1, FUN_043296-T1, FUN_039418-T1, FUN_011087-T1, FUN_018770-T1, FUN_013528-T1, FUN_045676-T1, FUN_004103-T1, FUN_014270-T1	Peve_00011782
OG0000638	FUN_005094-T1, FUN_031045-T1, FUN_026276-T1, FUN_013875-T1, FUN_039572-T1, FUN_018263-T1, FUN_015756-T1	Peve_00024887
OG0000639	FUN_030030-T1	Peve_00022895
OG0000639	FUN_005486-T1, FUN_036680-T1, FUN_036640-T1, FUN_036718-T1, FUN_005482-T1, FUN_036718-T2, FUN_036640-T2	Peve_00019019, Peve_00009409
OG0000640	FUN_010479-T1, FUN_022143-T1, FUN_011438-T1, FUN_005493-T1, FUN_023520-T1, FUN_009965-T1, FUN_025069-T1, FUN_036309-T1, FUN_036482-T1, FUN_040925-T1, FUN_014383-T1, FUN_021050-T1	Peve_00024192
OG0000643	FUN_045680-T1	Peve_00027537
OG0000643	FUN_015576-T1, FUN_019641-T1, FUN_006380-T1	Peve_00041744, Peve_00041740, Peve_00011587, Peve_00040076, Peve_00002042, Peve_00019726, Peve_00016290, Peve_00039227
OG0000646	FUN_025244-T1, FUN_007108-T1, FUN_039303-T1, FUN_007111-T1	Peve_00017835, Peve_00023729, Peve_00035647, Peve_00032967, Peve_00024345, Peve_00034569, Peve_00029642, Peve_00034572
OG0000647	FUN_007633-T1, FUN_017657-T1	Peve_00020204
OG0000647	FUN_017658-T1, FUN_017659-T1, FUN_031690-T1	Peve_00039840
OG0000648	FUN_011523-T1, FUN_039475-T1, FUN_008155-T1, FUN_028350-T1, FUN_045297-T1, FUN_008154-T1, FUN_024655-T1, FUN_024643-T1, FUN_040276-T1, FUN_011721-T1, FUN_040275-T1, FUN_024656-T1	Peve_00014016
OG0000649	FUN_008339-T1, FUN_008337-T1	Peve_00018859, Peve_00034650, Peve_00043358, Peve_00032943, Peve_00003278, Peve_00020758, Peve_00000732, Peve_00012070, Peve_00023022, Peve_00037495
OG0000650	FUN_043292-T1	Peve_00019859, Peve_00044347
OG0000650	FUN_009001-T1	Peve_00033890, Peve_00033892, Peve_00044351, Peve_00023421, Peve_00033888, Peve_00019858, Peve_00044346, Peve_00044344, Peve_00023429
OG0000651	FUN_017646-T1, FUN_039543-T1, FUN_039599-T1, FUN_044626-T1, FUN_034695-T1, FUN_011347-T1, FUN_045787-T1, FUN_011648-T1, FUN_009103-T1, FUN_045339-T1, FUN_030715-T1	Peve_00018715
OG0000652	FUN_029223-T1	Peve_00002311
OG0000652	FUN_029213-T1, FUN_029222-T1, FUN_029218-T1, FUN_018458-T1, FUN_018486-T1	Peve_00026351
OG0000652	FUN_020012-T1, FUN_024851-T1, FUN_026520-T1, FUN_009255-T1	Peve_00027036
OG0000653	FUN_010799-T1	Peve_00007037, Peve_00006499, Peve_00007030, Peve_00007032, Peve_00006496, Peve_00031931, Peve_00007034, Peve_00006495, Peve_00040654, Peve_00007033, Peve_00006516
OG0000656	FUN_014066-T1	Peve_00042292
OG0000656	FUN_015873-T1	Peve_00007710
OG0000656	FUN_015635-T1	Peve_00005702
OG0000658	FUN_033347-T1	Peve_00044427
OG0000658	FUN_015888-T1, FUN_042339-T1	Peve_00013149, Peve_00014953, Peve_00001184, Peve_00009953, Peve_00035270, Peve_00037782, Peve_00025347
OG0000660	FUN_035505-T1, FUN_020095-T1	Peve_00008021, Peve_00017272
OG0000660	FUN_018262-T1	Peve_00020908, Peve_00008941, Peve_00011585, Peve_00022875, Peve_00012194, Peve_00003597, Peve_00042355, Peve_00003250
OG0000661	FUN_042131-T1, FUN_020798-T1	Peve_00043431
OG0000662	FUN_022296-T1	Peve_00003691
OG0000665	FUN_025493-T1	Peve_00032048, Peve_00026325, Peve_00040079, Peve_00023253, Peve_00034609, Peve_00037839, Peve_00028328, Peve_00034788, Peve_00040074, Peve_00034875, Peve_00032210, Peve_00035310
OG0000666	FUN_025575-T1, FUN_025574-T1	Peve_00001261, Peve_00001258, Peve_00001259, Peve_00001257, Peve_00037573
OG0000667	FUN_027425-T1	Peve_00002370, Peve_00039414, Peve_00039524, Peve_00045163, Peve_00015669, Peve_00030711, Peve_00029930
OG0000667	FUN_041081-T1	Peve_00037533
OG0000668	FUN_028328-T1, FUN_028324-T1, FUN_028336-T1, FUN_028319-T1, FUN_028320-T1, FUN_027788-T1	Peve_00024457, Peve_00040900, Peve_00002320, Peve_00006565, Peve_00038166, Peve_00006557
OG0000669	FUN_028322-T1	Peve_00039313
OG0000670	FUN_030177-T1, FUN_030176-T1, FUN_028695-T1, FUN_028729-T1, FUN_028766-T1, FUN_028588-T1, FUN_028565-T1, FUN_028597-T1, FUN_028624-T1, FUN_028692-T1, FUN_028564-T1	Peve_00027675
OG0000671	FUN_030644-T1	Peve_00010522
OG0000671	FUN_045540-T1, FUN_044606-T1, FUN_045430-T1, FUN_045413-T1, FUN_044586-T1, FUN_045238-T1, FUN_045705-T1, FUN_045476-T1, FUN_044812-T1, FUN_044946-T1	Peve_00005029
OG0000672	FUN_032327-T1, FUN_032328-T1	Peve_00019872, Peve_00019874, Peve_00001503, Peve_00023602, Peve_00005013, Peve_00031985, Peve_00000702, Peve_00044431, Peve_00044425
OG0000673	FUN_044696-T1, FUN_045033-T1, FUN_045033-T2, FUN_033541-T1	Peve_00031262
OG0000674	FUN_034402-T1, FUN_034414-T1	Peve_00005236, Peve_00004215, Peve_00007394, Peve_00015797, Peve_00021453, Peve_00028948, Peve_00040351, Peve_00041105, Peve_00005232
OG0000676	FUN_035176-T1, FUN_043364-T1	Peve_00036190, Peve_00036191, Peve_00036187
OG0000677	FUN_035747-T1, FUN_035744-T1, FUN_035746-T1	Peve_00015973, Peve_00026222, Peve_00026483, Peve_00015969, Peve_00015971, Peve_00027273, Peve_00016723, Peve_00033312
OG0000678	FUN_036431-T1, FUN_044730-T1	Peve_00034158
OG0000681	FUN_043576-T1	Peve_00016923, Peve_00031291, Peve_00005330, Peve_00011686, Peve_00016924, Peve_00005326, Peve_00019916, Peve_00038961, Peve_00009444, Peve_00036296, Peve_00038031
OG0000682	FUN_044990-T1, FUN_045713-T1, FUN_044445-T1	Peve_00011515
OG0000683	FUN_044552-T1	Peve_00011312
OG0000683	FUN_045534-T1, FUN_045627-T1	Peve_00004980
OG0000684	FUN_045250-T1	Peve_00043643
OG0000685	FUN_045340-T1	Peve_00020459, Peve_00018728, Peve_00018727, Peve_00004647, Peve_00004648, Peve_00038758, Peve_00030996, Peve_00030314, Peve_00030312, Peve_00030997
OG0000686	FUN_045780-T1	Peve_00003923
OG0000725	FUN_005931-T1	Peve_00011544
OG0000725	FUN_001280-T1, FUN_001284-T1	Peve_00019054, Peve_00035924, Peve_00032775
OG0000728	FUN_015709-T1, FUN_025401-T1	Peve_00001785
OG0000728	FUN_001821-T1, FUN_001838-T1, FUN_001746-T1, FUN_001743-T1, FUN_001744-T1, FUN_001742-T1	Peve_00035576
OG0000729	FUN_014327-T1, FUN_014326-T1, FUN_001762-T1, FUN_001755-T1, FUN_001763-T1, FUN_014278-T1	Peve_00019401, Peve_00031948, Peve_00019398
OG0000730	FUN_018224-T1, FUN_037267-T1, FUN_011211-T1, FUN_001997-T1	Peve_00028392
OG0000733	FUN_002369-T1, FUN_045369-T1	Peve_00005037, Peve_00039115, Peve_00014744
OG0000733	FUN_044664-T1	Peve_00030600, Peve_00010985, Peve_00036652, Peve_00015459, Peve_00030603, Peve_00015790
OG0000734	FUN_012750-T1, FUN_007709-T1, FUN_018795-T1, FUN_027164-T1, FUN_002618-T1, FUN_027369-T1, FUN_030695-T1, FUN_042343-T1, FUN_042344-T1, FUN_042345-T1, FUN_020924-T1	Peve_00008558
OG0000735	FUN_002681-T1, FUN_008758-T2, FUN_008758-T1, FUN_002682-T1, FUN_002684-T1, FUN_002683-T1, FUN_002680-T1	Peve_00007262
OG0000736	FUN_002708-T1	Peve_00019116
OG0000736	FUN_002704-T1, FUN_002710-T1, FUN_002711-T1, FUN_002701-T1, FUN_002706-T1	Peve_00019117, Peve_00005217, Peve_00005189
OG0000739	FUN_040681-T1	Peve_00028179, Peve_00044376, Peve_00022180
OG0000739	FUN_021998-T1	Peve_00034301
OG0000739	FUN_003381-T1, FUN_027771-T1	Peve_00005102, Peve_00026271
OG0000740	FUN_003465-T1, FUN_022002-T1, FUN_013345-T1, FUN_038941-T1, FUN_017297-T1, FUN_012408-T1, FUN_020919-T1, FUN_017298-T1, FUN_003798-T1, FUN_017684-T1, FUN_036447-T1	Peve_00045351
OG0000743	FUN_027700-T1	Peve_00042333, Peve_00001002
OG0000743	FUN_003679-T1, FUN_014277-T1, FUN_026428-T1, FUN_018679-T1, FUN_018131-T1, FUN_023201-T1	Peve_00024579
OG0000744	FUN_003986-T1, FUN_003926-T1	Peve_00002495, Peve_00003884, Peve_00028744
OG0000744	FUN_003927-T1	Peve_00036516, Peve_00036934, Peve_00032524, Peve_00036618, Peve_00028069
OG0000745	FUN_029612-T1, FUN_032950-T1, FUN_009792-T1, FUN_035507-T1, FUN_013957-T1, FUN_032368-T1, FUN_011752-T1, FUN_043692-T1, FUN_013956-T1, FUN_020817-T1, FUN_004532-T1	Peve_00040349
OG0000746	FUN_045361-T1, FUN_040539-T1, FUN_015701-T1, FUN_008723-T1, FUN_005086-T1, FUN_045809-T1, FUN_045367-T1, FUN_044416-T1, FUN_045308-T1, FUN_044577-T1, FUN_044994-T1	Peve_00042497
OG0000748	FUN_005928-T1, FUN_027728-T1, FUN_014187-T1, FUN_027647-T1, FUN_024659-T1, FUN_027729-T1, FUN_005927-T1	Peve_00012849
OG0000749	FUN_005958-T1, FUN_005967-T1	Peve_00003395, Peve_00003394
OG0000750	FUN_034266-T1	Peve_00028863
OG0000750	FUN_045061-T1, FUN_006154-T1	Peve_00003461
OG0000752	FUN_018855-T1, FUN_018858-T1, FUN_018850-T1, FUN_018851-T1, FUN_007107-T1, FUN_018859-T1, FUN_018848-T1, FUN_018856-T1, FUN_018848-T2, FUN_018853-T1, FUN_018857-T1	Peve_00034556
OG0000753	FUN_020903-T1, FUN_026964-T1, FUN_007636-T1	Peve_00026933, Peve_00033628
OG0000753	FUN_018665-T1, FUN_018665-T2	Peve_00037810
OG0000754	FUN_008102-T1, FUN_008057-T1	Peve_00014700, Peve_00038886, Peve_00038882, Peve_00038871, Peve_00021235
OG0000755	FUN_008282-T1	Peve_00001954, Peve_00023971, Peve_00022943, Peve_00023970, Peve_00038051, Peve_00022944, Peve_00022945, Peve_00023969
OG0000756	FUN_008777-T1, FUN_008727-T1	Peve_00043618, Peve_00039500, Peve_00039509, Peve_00039505, Peve_00039502, Peve_00039504, Peve_00039511, Peve_00039512
OG0000757	FUN_008938-T1	Peve_00007199
OG0000758	FUN_009171-T1, FUN_016936-T1, FUN_043054-T1, FUN_033315-T1, FUN_009612-T1, FUN_009697-T1, FUN_009751-T1	Peve_00027965, Peve_00018805, Peve_00022947, Peve_00004675
OG0000759	FUN_010138-T1	Peve_00001766, Peve_00002722, Peve_00012737, Peve_00036708
OG0000760	FUN_010569-T1	Peve_00034937, Peve_00013893, Peve_00014948, Peve_00014947, Peve_00014950
OG0000762	FUN_010923-T1, FUN_010924-T1, FUN_010921-T1, FUN_010925-T2, FUN_010925-T1	Peve_00021180, Peve_00005955, Peve_00029610, Peve_00021181, Peve_00021178
OG0000763	FUN_015037-T1, FUN_011257-T1, FUN_011850-T1	Peve_00022293, Peve_00024713
OG0000764	FUN_011270-T1	Peve_00010348
OG0000764	FUN_021993-T1, FUN_019525-T1	Peve_00022477
OG0000764	FUN_028758-T1, FUN_015962-T1, FUN_042468-T1, FUN_026771-T1	Peve_00021349
OG0000765	FUN_011409-T1, FUN_011408-T1, FUN_011346-T1	Peve_00015000, Peve_00039402
OG0000765	FUN_011341-T1	Peve_00008276, Peve_00013284, Peve_00039427
OG0000769	FUN_015455-T1	Peve_00000317
OG0000769	FUN_019052-T1, FUN_019053-T1, FUN_039654-T1	Peve_00034506
OG0000769	FUN_028407-T1	Peve_00035051
OG0000770	FUN_045207-T1, FUN_027822-T1, FUN_015616-T1	Peve_00003109, Peve_00041953
OG0000771	FUN_033906-T1	Peve_00032075
OG0000771	FUN_016190-T1	Peve_00032071, Peve_00032070, Peve_00040588, Peve_00032079, Peve_00040592, Peve_00032077, Peve_00028590, Peve_00025990
OG0000772	FUN_016849-T1, FUN_045552-T1, FUN_044444-T1, FUN_045171-T1, FUN_045833-T1, FUN_044529-T1, FUN_026849-T1, FUN_045244-T1, FUN_045324-T1, FUN_045260-T1	Peve_00034850
OG0000773	FUN_017837-T1	Peve_00027713
OG0000774	FUN_017909-T1, FUN_017911-T1, FUN_017912-T1, FUN_017910-T1, FUN_017907-T1, FUN_017908-T1, FUN_017913-T1	Peve_00019402, Peve_00023226
OG0000775	FUN_018168-T1	Peve_00027599
OG0000776	FUN_027590-T1, FUN_044754-T1, FUN_027590-T2, FUN_018435-T1, FUN_044516-T1	Peve_00018934, Peve_00007119, Peve_00039926
OG0000776	FUN_039644-T1	Peve_00007125
OG0000777	FUN_018777-T1, FUN_032492-T1	Peve_00023723, Peve_00020090
OG0000778	FUN_020883-T1, FUN_021137-T1, FUN_018996-T1, FUN_045520-T2, FUN_028754-T1, FUN_045520-T1, FUN_045801-T1, FUN_036441-T1, FUN_045555-T1, FUN_045801-T2, FUN_045801-T3	Peve_00004399
OG0000779	FUN_041623-T1, FUN_041598-T1, FUN_019427-T1, FUN_019430-T1, FUN_041624-T1, FUN_041625-T1, FUN_041626-T1, FUN_041627-T1	Peve_00019199, Peve_00038545, Peve_00019697
OG0000781	FUN_023670-T1, FUN_026822-T1, FUN_026912-T1, FUN_026825-T1, FUN_026894-T1, FUN_026975-T1, FUN_026911-T1, FUN_026824-T1, FUN_022579-T1, FUN_022587-T1	Peve_00012776
OG0000782	FUN_023149-T1, FUN_023146-T1, FUN_023143-T1	Peve_00042475, Peve_00014160
OG0000782	FUN_023147-T1, FUN_023151-T1	Peve_00023492, Peve_00024813, Peve_00016397, Peve_00016385
OG0000783	FUN_023171-T1	Peve_00010030, Peve_00010031, Peve_00009972, Peve_00009973, Peve_00009971, Peve_00010036, Peve_00010032, Peve_00010035, Peve_00035621
OG0000784	FUN_024546-T1, FUN_024542-T1, FUN_024539-T1, FUN_038906-T1	Peve_00034566, Peve_00015353, Peve_00034565, Peve_00024443, Peve_00016109
OG0000785	FUN_024697-T1, FUN_024691-T1, FUN_024698-T1, FUN_024699-T1, FUN_024705-T1, FUN_024687-T1, FUN_024701-T1, FUN_024696-T1	Peve_00045193, Peve_00045231, Peve_00045224, Peve_00045217
OG0000786	FUN_025270-T1, FUN_025270-T2, FUN_025276-T1, FUN_025284-T1, FUN_025274-T1, FUN_025286-T1, FUN_025280-T1, FUN_025278-T1, FUN_025283-T1, FUN_025283-T2	Peve_00029242
OG0000787	FUN_025336-T1	Peve_00032236
OG0000788	FUN_025587-T1, FUN_025586-T1	Peve_00044692, Peve_00044691, Peve_00044690, Peve_00021944, Peve_00021939, Peve_00021945, Peve_00024234, Peve_00044699, Peve_00044687
OG0000789	FUN_025621-T1, FUN_025610-T1	Peve_00019532, Peve_00019537, Peve_00044228, Peve_00042396, Peve_00044237, Peve_00042398, Peve_00044229, Peve_00033131, Peve_00009537
OG0000790	FUN_025634-T1	Peve_00031145, Peve_00038338, Peve_00011833, Peve_00024203, Peve_00034248, Peve_00033149, Peve_00038349
OG0000791	FUN_026676-T2, FUN_026676-T1	Peve_00009442, Peve_00042465, Peve_00042464, Peve_00025343, Peve_00042471, Peve_00009443, Peve_00042466, Peve_00042472
OG0000793	FUN_029466-T1, FUN_029468-T1, FUN_029460-T1, FUN_029465-T1, FUN_029467-T1, FUN_029469-T1, FUN_029459-T1, FUN_029454-T1, FUN_029462-T1	Peve_00024858, Peve_00012824
OG0000794	FUN_029739-T1, FUN_029740-T1, FUN_029729-T1, FUN_029731-T1, FUN_029731-T2, FUN_029745-T1	Peve_00020200
OG0000795	FUN_043912-T1, FUN_029773-T1, FUN_043907-T1, FUN_029775-T1	Peve_00005755
OG0000798	FUN_031188-T1, FUN_031203-T2, FUN_031203-T1, FUN_031198-T1, FUN_031197-T1, FUN_031191-T1, FUN_031196-T1, FUN_031187-T1, FUN_045392-T1	Peve_00041876, Peve_00035348, Peve_00035349
OG0000799	FUN_031260-T1, FUN_031262-T1, FUN_031253-T1, FUN_031257-T1, FUN_031259-T1	Peve_00043068, Peve_00001469, Peve_00020560, Peve_00001461, Peve_00001460
OG0000801	FUN_031832-T1, FUN_031833-T1, FUN_031831-T1, FUN_031835-T1, FUN_031836-T1	Peve_00030276
OG0000802	FUN_032418-T1, FUN_032416-T1, FUN_032407-T1, FUN_032410-T1, FUN_032408-T1, FUN_032411-T1, FUN_032406-T1, FUN_032412-T3, FUN_032412-T1, FUN_032412-T2	Peve_00029330
OG0000803	FUN_032552-T1, FUN_032561-T1, FUN_032565-T1, FUN_032549-T1, FUN_032559-T1, FUN_032557-T1, FUN_032563-T1, FUN_032555-T1	Peve_00010107
OG0000804	FUN_032901-T1	Peve_00016967, Peve_00037214
OG0000806	FUN_043725-T1, FUN_033520-T1, FUN_043675-T1	Peve_00008189, Peve_00042500
OG0000808	FUN_037446-T1	Peve_00004209, Peve_00011572, Peve_00004195, Peve_00004190, Peve_00004201, Peve_00004205, Peve_00004208, Peve_00011575, Peve_00011574, Peve_00004721
OG0000809	FUN_038190-T1, FUN_038200-T1, FUN_038201-T1, FUN_045002-T1, FUN_038194-T1	Peve_00003230, Peve_00003231, Peve_00003234
OG0000810	FUN_038357-T1, FUN_038350-T1, FUN_038354-T1, FUN_038348-T1, FUN_038349-T1, FUN_038358-T1, FUN_038364-T1, FUN_038351-T1	Peve_00000084
OG0000811	FUN_041956-T1	Peve_00032068
OG0000812	FUN_042078-T1	Peve_00016298
OG0000813	FUN_043795-T1	Peve_00030767
OG0000814	FUN_044496-T1	Peve_00026247, Peve_00040850, Peve_00023038, Peve_00014001, Peve_00013527, Peve_00030128, Peve_00042233, Peve_00021273, Peve_00016448, Peve_00043591, Peve_00006741
OG0000815	FUN_044505-T1	Peve_00041950, Peve_00008351, Peve_00019710
OG0000816	FUN_045854-T1, FUN_044673-T1	Peve_00040279, Peve_00040277, Peve_00010699, Peve_00020757, Peve_00030137, Peve_00023895, Peve_00032833, Peve_00040282, Peve_00010450, Peve_00010704
OG0000817	FUN_044825-T1, FUN_045589-T1, FUN_045007-T1, FUN_045368-T1, FUN_044969-T1	Peve_00038938, Peve_00002109, Peve_00000719, Peve_00018404, Peve_00002580, Peve_00028454, Peve_00019918
OG0000818	FUN_045201-T1	Peve_00028831, Peve_00001646, Peve_00028726, Peve_00019737, Peve_00032104, Peve_00029272, Peve_00043277, Peve_00034254, Peve_00022122, Peve_00004787, Peve_00005220
OG0000819	FUN_045317-T1	Peve_00003862
OG0000820	FUN_045381-T1	Peve_00007972, Peve_00041638, Peve_00007900, Peve_00000561, Peve_00018023, Peve_00041589, Peve_00038933, Peve_00001410, Peve_00017222, Peve_00010583, Peve_00039526
OG0000854	FUN_038845-T1, FUN_038836-T1, FUN_038841-T1, FUN_038883-T1, FUN_038883-T2, FUN_038883-T3, FUN_000248-T1	Peve_00027787, Peve_00011325
OG0000856	FUN_000416-T1, FUN_000417-T1, FUN_000414-T1, FUN_033487-T1	Peve_00019371, Peve_00000050, Peve_00034120, Peve_00000054, Peve_00000053, Peve_00000052, Peve_00000056
OG0000857	FUN_035059-T1	Peve_00005859
OG0000857	FUN_001043-T1	Peve_00035617
OG0000857	FUN_025636-T1, FUN_021128-T1, FUN_030149-T1, FUN_040342-T1	Peve_00036954
OG0000858	FUN_001245-T3	Peve_00037038
OG0000858	FUN_001246-T1	Peve_00037027
OG0000860	FUN_001991-T1	Peve_00014286, Peve_00042200
OG0000860	FUN_027061-T1	Peve_00022496
OG0000860	FUN_040635-T1	Peve_00030067
OG0000860	FUN_012808-T1	Peve_00036135
OG0000861	FUN_039453-T1	Peve_00001392
OG0000861	FUN_002014-T1, FUN_041058-T1, FUN_042341-T1, FUN_005957-T1	Peve_00037194, Peve_00019486, Peve_00000258, Peve_00011717, Peve_00031187
OG0000862	FUN_002065-T1	Peve_00000324, Peve_00042570, Peve_00008360, Peve_00008337
OG0000862	FUN_027028-T1	Peve_00025618
OG0000863	FUN_030620-T1	Peve_00044871
OG0000863	FUN_002090-T1, FUN_005805-T1	Peve_00039328, Peve_00008991
OG0000863	FUN_034624-T1	Peve_00021716
OG0000864	FUN_043704-T1, FUN_017631-T1, FUN_017630-T1, FUN_042397-T1, FUN_002460-T1, FUN_040652-T1, FUN_019047-T1	Peve_00006327, Peve_00032756
OG0000865	FUN_022919-T1	Peve_00001838, Peve_00023078, Peve_00001819, Peve_00023074, Peve_00001734
OG0000865	FUN_002555-T1, FUN_002574-T2, FUN_002574-T1	Peve_00001737
OG0000867	FUN_002734-T1	Peve_00023542, Peve_00035987, Peve_00035990
OG0000868	FUN_025423-T1, FUN_026085-T1, FUN_006961-T1, FUN_002741-T1, FUN_026648-T1, FUN_038856-T1, FUN_006964-T1, FUN_026084-T1, FUN_006960-T1, FUN_038855-T1	Peve_00022098
OG0000869	FUN_016917-T1, FUN_021168-T1, FUN_003551-T1, FUN_003643-T1, FUN_022014-T1, FUN_016918-T1, FUN_004386-T1, FUN_004531-T1, FUN_024931-T1, FUN_003412-T1	Peve_00016272
OG0000871	FUN_003648-T1	Peve_00015622
OG0000872	FUN_003786-T1, FUN_003792-T1, FUN_003792-T2	Peve_00008593, Peve_00008595, Peve_00021191, Peve_00032240, Peve_00021189, Peve_00019676, Peve_00037661, Peve_00022138
OG0000873	FUN_004194-T1, FUN_004194-T2	Peve_00030928, Peve_00030925, Peve_00030931, Peve_00041006, Peve_00030934, Peve_00004862, Peve_00030924
OG0000874	FUN_004421-T1	Peve_00028681
OG0000875	FUN_017794-T1	Peve_00034852
OG0000875	FUN_004513-T1, FUN_004513-T2, FUN_017796-T1, FUN_023939-T1, FUN_017795-T1	Peve_00026432, Peve_00040531, Peve_00026431
OG0000876	FUN_004621-T1	Peve_00031118, Peve_00029181, Peve_00030570, Peve_00039259, Peve_00039258, Peve_00030568, Peve_00030567, Peve_00036226, Peve_00039261, Peve_00039256
OG0000878	FUN_027202-T1, FUN_033560-T1, FUN_036779-T1, FUN_012626-T1, FUN_012549-T1, FUN_005938-T1, FUN_030860-T1, FUN_029979-T1, FUN_017616-T1	Peve_00002232, Peve_00041708
OG0000879	FUN_005942-T2, FUN_005942-T1, FUN_014699-T1, FUN_030872-T1, FUN_024935-T1, FUN_026272-T1, FUN_023562-T1, FUN_042207-T1	Peve_00029968
OG0000880	FUN_005947-T1, FUN_027147-T1, FUN_007327-T1	Peve_00027356
OG0000880	FUN_027207-T1, FUN_007861-T1, FUN_019282-T1	Peve_00036801, Peve_00035687
OG0000882	FUN_010608-T1, FUN_006153-T1, FUN_010607-T1, FUN_028194-T1, FUN_028196-T1	Peve_00003658, Peve_00003647, Peve_00003668, Peve_00043342, Peve_00003657, Peve_00003666
OG0000883	FUN_006156-T1	Peve_00029238, Peve_00032220, Peve_00032217, Peve_00031979, Peve_00034472, Peve_00031977, Peve_00029239
