Orthogroup	Porites_evermanni_v1.annot.pep	Apulchra-genome.pep
OG0001485	Peve_00043450	FUN_001950-T4, FUN_001950-T6, FUN_001950-T3, FUN_001950-T2, FUN_001950-T5, FUN_001950-T1
OG0001487	Peve_00002551	FUN_017655-T1, FUN_027446-T1, FUN_001976-T1, FUN_040802-T1, FUN_045764-T2, FUN_045764-T3, FUN_045764-T1
OG0001488	Peve_00027933	FUN_022144-T1
OG0001488	Peve_00011779, Peve_00022560, Peve_00022561	FUN_001992-T1
OG0001488	Peve_00031433	FUN_019039-T1
OG0001489	Peve_00041978	FUN_013097-T1, FUN_028347-T1, FUN_005162-T1, FUN_005779-T1, FUN_002106-T1, FUN_041164-T1, FUN_028281-T1
OG0001491	Peve_00026234	FUN_002163-T1, FUN_009791-T1, FUN_003632-T1, FUN_011366-T1, FUN_010174-T1, FUN_042486-T1, FUN_002164-T1
OG0001496	Peve_00001722	FUN_032885-T1, FUN_032902-T1, FUN_032899-T1, FUN_002855-T1
OG0001497	Peve_00013279, Peve_00005135, Peve_00014438	FUN_022458-T1, FUN_022460-T1, FUN_002909-T1
OG0001498	Peve_00030720, Peve_00034717, Peve_00024540, Peve_00025569	FUN_003219-T1, FUN_003212-T1
OG0001500	Peve_00035332, Peve_00026718, Peve_00032878, Peve_00034277, Peve_00044356	FUN_003596-T1
OG0001502	Peve_00038529, Peve_00009360	FUN_003642-T1, FUN_010023-T1, FUN_027185-T1, FUN_020877-T1
OG0001503	Peve_00003197	FUN_004063-T1
OG0001503	Peve_00007128, Peve_00003201, Peve_00007127	FUN_004064-T1, FUN_004065-T1
OG0001504	Peve_00019549, Peve_00019548, Peve_00012990	FUN_004083-T1
OG0001505	Peve_00017988	FUN_040470-T1, FUN_040646-T1, FUN_017622-T1, FUN_006474-T1, FUN_004104-T1, FUN_007713-T1, FUN_027827-T1
OG0001507	Peve_00019597, Peve_00024171, Peve_00025628, Peve_00014461, Peve_00031172, Peve_00022881	FUN_004174-T1
OG0001508	Peve_00024323	FUN_004449-T1
OG0001509	Peve_00024322	FUN_004450-T1
OG0001511	Peve_00034773	FUN_004932-T1
OG0001511	Peve_00034776	FUN_004933-T1, FUN_004934-T1
OG0001514	Peve_00022508	FUN_005070-T1, FUN_026923-T1
OG0001515	Peve_00018801, Peve_00014254	FUN_033788-T1, FUN_033788-T3, FUN_033788-T2, FUN_005203-T1, FUN_035927-T1
OG0001516	Peve_00034124, Peve_00034125, Peve_00006831, Peve_00006824	FUN_005301-T1, FUN_005299-T1, FUN_014702-T1, FUN_014696-T1
OG0001517	Peve_00035747	FUN_019117-T1, FUN_017746-T1, FUN_017746-T2, FUN_005397-T1
OG0001518	Peve_00041404	FUN_007596-T1, FUN_005738-T1, FUN_036460-T1
OG0001518	Peve_00042260	FUN_020859-T1
OG0001519	Peve_00042969	FUN_011425-T1, FUN_045065-T1, FUN_006345-T1
OG0001520	Peve_00039236, Peve_00039237, Peve_00039238, Peve_00039243, Peve_00004969	FUN_006464-T1, FUN_006476-T1, FUN_006500-T1
OG0001522	Peve_00023739	FUN_006811-T1, FUN_006815-T1, FUN_006806-T1, FUN_006818-T1, FUN_006809-T1, FUN_006817-T1
OG0001523	Peve_00035009	FUN_011380-T1, FUN_006808-T1, FUN_033111-T1, FUN_007584-T1, FUN_044304-T1, FUN_019292-T1, FUN_010079-T1
OG0001524	Peve_00024778, Peve_00008647, Peve_00026398, Peve_00008651, Peve_00033063, Peve_00009368	FUN_006893-T1
OG0001526	Peve_00037977, Peve_00022100, Peve_00022099	FUN_038857-T1, FUN_006963-T1, FUN_026086-T1, FUN_025422-T1, FUN_006962-T1
OG0001527	Peve_00023845	FUN_016179-T1, FUN_007045-T1, FUN_013878-T1, FUN_016180-T1, FUN_007044-T1, FUN_034672-T1, FUN_034659-T1
OG0001528	Peve_00001280	FUN_007131-T1
OG0001529	Peve_00035370, Peve_00039714, Peve_00031853	FUN_007610-T1
OG0001530	Peve_00007721	FUN_042450-T1, FUN_026239-T1
OG0001530	Peve_00008339	FUN_026877-T1, FUN_044489-T1, FUN_007743-T1, FUN_007731-T1
OG0001531	Peve_00009876	FUN_007887-T1
OG0001533	Peve_00041867	FUN_008065-T1
OG0001534	Peve_00019079, Peve_00037867, Peve_00037119, Peve_00019080, Peve_00037872, Peve_00022349	FUN_008123-T1
OG0001537	Peve_00027619	FUN_042380-T1, FUN_030154-T1, FUN_021821-T1, FUN_031006-T1, FUN_008343-T2, FUN_008343-T1, FUN_031038-T1
OG0001538	Peve_00024683, Peve_00042635, Peve_00024686, Peve_00024685	FUN_008378-T1, FUN_008377-T1
OG0001540	Peve_00016267, Peve_00025159, Peve_00016265, Peve_00024596	FUN_040269-T1, FUN_008747-T1, FUN_008745-T1
OG0001541	Peve_00036725	FUN_008757-T1
OG0001541	Peve_00036729, Peve_00036726, Peve_00036730	FUN_008755-T1
OG0001543	Peve_00013416	FUN_045646-T1, FUN_045056-T2, FUN_009104-T1, FUN_045056-T1, FUN_045056-T3
OG0001544	Peve_00020708, Peve_00014038, Peve_00020701, Peve_00014043, Peve_00020706	FUN_009300-T1
OG0001545	Peve_00009669, Peve_00009670	FUN_009670-T1, FUN_009670-T2
OG0001548	Peve_00021307, Peve_00008008, Peve_00013782, Peve_00032492, Peve_00000420, Peve_00033862	FUN_009865-T1
OG0001550	Peve_00007709	FUN_020895-T1, FUN_038958-T1, FUN_026791-T1, FUN_015871-T1, FUN_010062-T1, FUN_014067-T1, FUN_015538-T1
OG0001554	Peve_00025382, Peve_00025380, Peve_00040614, Peve_00040613, Peve_00025381, Peve_00029935, Peve_00040620	FUN_010590-T1
OG0001555	Peve_00010094	FUN_010750-T2, FUN_010750-T1, FUN_010751-T1
OG0001556	Peve_00007585, Peve_00032987, Peve_00032986, Peve_00007160, Peve_00014208	FUN_010787-T1
OG0001557	Peve_00024824, Peve_00035774, Peve_00030156, Peve_00036615, Peve_00024823	FUN_010843-T1
OG0001560	Peve_00000323, Peve_00000325, Peve_00042569	FUN_011237-T1, FUN_044469-T1
OG0001561	Peve_00032369, Peve_00016431, Peve_00019683, Peve_00016430, Peve_00019681, Peve_00019684, Peve_00019682	FUN_011281-T1
OG0001562	Peve_00041886, Peve_00035181, Peve_00021588, Peve_00025316	FUN_011476-T1, FUN_044549-T1, FUN_027098-T1
OG0001565	Peve_00042804	FUN_011903-T1, FUN_011903-T2
OG0001566	Peve_00007104, Peve_00000763, Peve_00007074, Peve_00000761, Peve_00010931	FUN_011918-T1
OG0001567	Peve_00020511	FUN_012182-T1
OG0001569	Peve_00007945	FUN_012470-T1, FUN_012469-T1, FUN_012468-T1, FUN_023361-T1, FUN_012471-T1, FUN_012473-T1
OG0001570	Peve_00022892, Peve_00031499, Peve_00020495, Peve_00025331, Peve_00022891	FUN_012662-T1
OG0001571	Peve_00044336	FUN_012678-T1, FUN_012679-T1, FUN_012682-T1
OG0001571	Peve_00034992	FUN_026396-T1
OG0001572	Peve_00020935, Peve_00013152	FUN_012720-T1, FUN_012733-T1
OG0001573	Peve_00033083	FUN_041654-T1, FUN_012889-T1, FUN_041656-T1
OG0001574	Peve_00011640	FUN_013011-T1, FUN_020789-T1, FUN_020790-T1
OG0001577	Peve_00007746	FUN_013132-T1
OG0001578	Peve_00022450	FUN_013153-T1, FUN_013302-T1, FUN_013300-T1, FUN_013303-T1, FUN_013148-T1, FUN_013149-T1
OG0001579	Peve_00044235, Peve_00042390, Peve_00042389	FUN_013337-T1, FUN_013332-T1, FUN_013344-T1, FUN_013333-T1, FUN_013340-T1
OG0001580	Peve_00021304, Peve_00042289	FUN_025994-T1, FUN_045285-T1, FUN_043050-T1, FUN_013539-T1, FUN_043050-T2, FUN_027721-T1
OG0001581	Peve_00005292, Peve_00002074, Peve_00002076, Peve_00013111, Peve_00039331, Peve_00010598	FUN_021013-T1, FUN_013565-T1
OG0001583	Peve_00043093, Peve_00019300, Peve_00004557	FUN_030158-T1, FUN_037178-T1, FUN_040869-T1, FUN_040799-T1, FUN_013921-T1
OG0001584	Peve_00002282	FUN_038902-T1, FUN_014097-T1
OG0001585	Peve_00024142	FUN_014118-T1, FUN_014117-T1, FUN_014114-T1, FUN_014112-T1, FUN_014110-T1
OG0001586	Peve_00035867	FUN_014250-T1
OG0001588	Peve_00002398	FUN_014617-T2, FUN_014617-T1
OG0001589	Peve_00040970	FUN_014663-T1
OG0001589	Peve_00040979	FUN_031234-T1
OG0001590	Peve_00006843, Peve_00006845, Peve_00006844	FUN_014720-T1, FUN_014723-T1, FUN_014722-T1
OG0001591	Peve_00026729	FUN_026024-T1
OG0001591	Peve_00038826	FUN_014822-T1
OG0001593	Peve_00017625	FUN_015121-T1, FUN_015120-T1, FUN_015130-T1, FUN_015132-T1, FUN_015126-T1, FUN_015128-T1, FUN_015123-T1
OG0001594	Peve_00037140, Peve_00034026, Peve_00000027	FUN_015374-T1, FUN_015376-T1, FUN_015375-T1
OG0001595	Peve_00028109, Peve_00007823, Peve_00033478, Peve_00029585, Peve_00010540, Peve_00010539	FUN_015460-T1
OG0001596	Peve_00001243	FUN_045728-T1, FUN_015724-T1
OG0001596	Peve_00019639	FUN_042362-T1
OG0001597	Peve_00004210, Peve_00007485, Peve_00017875, Peve_00020648, Peve_00023502, Peve_00000213, Peve_00038830	FUN_015752-T1
OG0001598	Peve_00004535, Peve_00004539, Peve_00027525, Peve_00004536, Peve_00027523	FUN_016016-T1, FUN_016016-T2
OG0001599	Peve_00023271, Peve_00035725	FUN_016194-T1, FUN_042851-T3, FUN_042851-T1, FUN_042851-T2, FUN_016192-T1
OG0001600	Peve_00007858, Peve_00016633, Peve_00013803, Peve_00023859, Peve_00027920, Peve_00002602	FUN_016298-T1
OG0001601	Peve_00035253, Peve_00001993, Peve_00003526, Peve_00036869, Peve_00021980, Peve_00024748	FUN_044909-T1, FUN_016544-T1
OG0001602	Peve_00032299	FUN_016784-T1, FUN_016784-T2, FUN_016780-T1, FUN_016787-T1, FUN_016787-T3, FUN_016787-T2
OG0001603	Peve_00018609, Peve_00025623	FUN_016836-T1, FUN_016816-T1, FUN_016837-T1, FUN_016803-T1, FUN_016803-T2, FUN_016835-T1
OG0001604	Peve_00001665, Peve_00020503	FUN_016868-T1
OG0001606	Peve_00000189	FUN_024109-T1, FUN_024104-T1, FUN_024099-T1, FUN_024105-T1, FUN_024097-T1, FUN_024096-T1, FUN_017006-T1
OG0001607	Peve_00029798, Peve_00034579, Peve_00011674, Peve_00029777, Peve_00030889, Peve_00033134, Peve_00001818	FUN_017203-T1
OG0001608	Peve_00045355, Peve_00030688, Peve_00004460	FUN_040579-T1, FUN_017686-T1
OG0001610	Peve_00000235	FUN_017894-T2, FUN_017894-T1
OG0001611	Peve_00027237	FUN_017985-T2, FUN_017985-T1, FUN_017983-T1, FUN_017981-T1, FUN_017978-T1, FUN_017984-T1
OG0001612	Peve_00035783, Peve_00031488	FUN_018822-T1
OG0001613	Peve_00042256, Peve_00011980, Peve_00030612, Peve_00011423	FUN_019059-T1, FUN_042351-T1
OG0001614	Peve_00010052, Peve_00010051	FUN_019311-T2, FUN_045009-T1, FUN_019259-T1, FUN_028524-T1, FUN_045009-T2, FUN_019311-T1
OG0001615	Peve_00042029	FUN_019271-T1, FUN_019581-T1, FUN_019741-T1, FUN_019771-T1, FUN_019697-T1, FUN_019653-T1, FUN_019622-T1
OG0001618	Peve_00035042	FUN_019652-T1, FUN_019696-T1, FUN_019580-T1, FUN_019621-T1, FUN_019877-T1, FUN_019770-T1, FUN_019833-T1
OG0001619	Peve_00002238	FUN_019818-T1
OG0001620	Peve_00045352	FUN_044476-T1, FUN_019876-T1, FUN_023286-T1
OG0001621	Peve_00023591	FUN_040836-T1, FUN_020603-T1, FUN_027079-T1
OG0001622	Peve_00034963, Peve_00016353, Peve_00009467	FUN_022560-T1
OG0001622	Peve_00038341, Peve_00011830	FUN_022556-T1
OG0001623	Peve_00019502, Peve_00031235, Peve_00019498	FUN_022656-T1
OG0001624	Peve_00017631, Peve_00025488, Peve_00011239, Peve_00017627, Peve_00019615	FUN_022816-T1
OG0001625	Peve_00012308, Peve_00012307, Peve_00025613, Peve_00025616	FUN_022867-T2, FUN_022867-T1, FUN_022867-T3
OG0001626	Peve_00025716	FUN_023125-T2, FUN_023126-T1, FUN_023125-T1
OG0001627	Peve_00009999	FUN_023196-T1, FUN_023197-T1
OG0001627	Peve_00010002	FUN_023205-T1
OG0001628	Peve_00043532, Peve_00004284, Peve_00043533, Peve_00011528, Peve_00004286, Peve_00019827	FUN_023311-T1
OG0001630	Peve_00014143, Peve_00014142	FUN_023687-T1, FUN_023684-T1, FUN_023683-T1, FUN_023683-T2
OG0001631	Peve_00017429, Peve_00017428, Peve_00005191, Peve_00017431	FUN_023695-T1
OG0001632	Peve_00026029	FUN_041931-T1, FUN_024062-T1
OG0001633	Peve_00023674, Peve_00016292, Peve_00016295, Peve_00031644, Peve_00001222, Peve_00016843, Peve_00017978	FUN_024488-T1
OG0001634	Peve_00021075	FUN_024572-T1, FUN_024568-T2, FUN_024573-T1, FUN_024568-T1, FUN_024576-T1
OG0001635	Peve_00006124, Peve_00024373, Peve_00027769	FUN_037410-T1
OG0001635	Peve_00026364	FUN_024574-T1
OG0001636	Peve_00043152, Peve_00043151	FUN_024692-T1, FUN_024702-T1
OG0001638	Peve_00027053	FUN_025335-T1
OG0001639	Peve_00026690, Peve_00017050	FUN_025395-T1, FUN_025403-T1, FUN_025399-T1
OG0001640	Peve_00027653	FUN_026743-T1, FUN_043833-T1
OG0001640	Peve_00037206	FUN_025462-T1
OG0001641	Peve_00002568, Peve_00045244, Peve_00039839	FUN_025532-T1, FUN_025534-T1
OG0001642	Peve_00039309, Peve_00004689	FUN_025694-T2, FUN_025694-T1
OG0001643	Peve_00017925	FUN_025796-T1
OG0001643	Peve_00017931, Peve_00017921	FUN_025797-T1
OG0001644	Peve_00022031, Peve_00014422, Peve_00012628, Peve_00022029	FUN_026114-T1, FUN_026099-T1
OG0001645	Peve_00044671	FUN_026204-T1
OG0001645	Peve_00044667, Peve_00044670, Peve_00044669, Peve_00044668	FUN_026208-T1
OG0001646	Peve_00030617, Peve_00030627, Peve_00030266	FUN_026297-T1, FUN_026297-T3, FUN_026297-T2, FUN_026297-T4
OG0001647	Peve_00026497, Peve_00034539	FUN_026402-T1
OG0001648	Peve_00021565, Peve_00040218	FUN_026527-T1, FUN_026522-T1, FUN_026527-T2
OG0001649	Peve_00041501	FUN_026600-T1
OG0001650	Peve_00005475, Peve_00014792	FUN_026816-T1, FUN_039144-T1
OG0001651	Peve_00039610	FUN_027213-T1
OG0001652	Peve_00022548	FUN_027816-T1
OG0001653	Peve_00020552, Peve_00020553	FUN_027929-T1, FUN_027928-T2, FUN_027928-T4, FUN_027928-T3, FUN_027928-T1
OG0001654	Peve_00044200, Peve_00015258, Peve_00044198, Peve_00041132, Peve_00000029	FUN_028027-T1, FUN_028028-T1
OG0001655	Peve_00019018	FUN_035580-T1
OG0001655	Peve_00009307	FUN_030987-T1, FUN_043786-T1, FUN_028217-T1, FUN_035579-T1, FUN_033622-T1
OG0001656	Peve_00031682, Peve_00024573	FUN_028821-T2, FUN_028821-T1, FUN_028831-T2, FUN_028831-T1, FUN_028831-T3
OG0001657	Peve_00012543, Peve_00026318, Peve_00026320, Peve_00035858	FUN_029200-T1
OG0001658	Peve_00005681	FUN_034038-T1, FUN_030092-T1, FUN_031951-T1, FUN_029982-T1, FUN_029950-T1
OG0001660	Peve_00026519, Peve_00026520	FUN_031295-T1, FUN_031296-T1
OG0001661	Peve_00045254, Peve_00045255, Peve_00045251, Peve_00045250, Peve_00019602	FUN_031516-T1, FUN_031513-T1, FUN_031512-T1
OG0001663	Peve_00026341, Peve_00012839	FUN_031670-T1
OG0001664	Peve_00026503, Peve_00026504	FUN_031682-T1
OG0001668	Peve_00009248, Peve_00040502, Peve_00027034	FUN_032454-T1, FUN_032448-T1, FUN_032450-T1, FUN_032447-T1
OG0001669	Peve_00029929, Peve_00034624, Peve_00029913, Peve_00029931, Peve_00037467	FUN_032745-T1, FUN_032745-T2
OG0001671	Peve_00016294, Peve_00017974, Peve_00007969, Peve_00001230, Peve_00025385	FUN_033043-T1, FUN_033043-T2
OG0001672	Peve_00005883, Peve_00000706	FUN_033300-T1
OG0001673	Peve_00041413	FUN_033306-T1, FUN_045510-T1, FUN_045257-T1, FUN_045353-T2, FUN_045353-T1
OG0001674	Peve_00004926, Peve_00027605, Peve_00027603	FUN_033995-T1, FUN_033994-T1, FUN_033993-T1
OG0001675	Peve_00023261, Peve_00043233	FUN_042866-T2, FUN_042866-T3, FUN_042866-T1, FUN_042870-T1, FUN_034075-T1
OG0001676	Peve_00027526	FUN_034221-T1, FUN_034222-T1
OG0001676	Peve_00034544	FUN_034224-T1
OG0001677	Peve_00024654, Peve_00024648, Peve_00024647, Peve_00024653	FUN_035014-T1
OG0001678	Peve_00025171, Peve_00027358	FUN_035120-T1
OG0001679	Peve_00003091, Peve_00010660, Peve_00044075, Peve_00006324, Peve_00029503	FUN_035161-T1, FUN_035164-T1
OG0001680	Peve_00024935, Peve_00017567, Peve_00017566, Peve_00027778	FUN_035178-T1
OG0001681	Peve_00020297, Peve_00016227, Peve_00016229, Peve_00008445	FUN_035357-T1
OG0001682	Peve_00016223, Peve_00008437	FUN_035360-T1, FUN_035360-T2
OG0001683	Peve_00007634, Peve_00007637, Peve_00007635, Peve_00007636, Peve_00039833	FUN_035422-T1, FUN_035421-T1
OG0001684	Peve_00040302, Peve_00040304, Peve_00000030, Peve_00000028, Peve_00029009, Peve_00028031	FUN_035540-T1
OG0001685	Peve_00038556, Peve_00020778, Peve_00038555, Peve_00038550	FUN_035657-T2, FUN_035657-T1
OG0001686	Peve_00040160, Peve_00019276	FUN_035835-T1
OG0001687	Peve_00029866	FUN_036048-T1, FUN_036049-T1, FUN_036051-T2, FUN_036050-T1, FUN_036051-T1, FUN_036052-T1
OG0001688	Peve_00004234, Peve_00018987, Peve_00007956, Peve_00000564	FUN_036062-T1, FUN_036061-T1, FUN_036064-T1
OG0001689	Peve_00032558	FUN_036479-T1
OG0001689	Peve_00012313	FUN_045731-T1, FUN_040923-T2, FUN_036480-T1, FUN_040923-T1
OG0001690	Peve_00002366, Peve_00002367, Peve_00002365	FUN_036890-T1, FUN_036890-T2, FUN_036891-T1
OG0001692	Peve_00009282, Peve_00038847	FUN_037012-T1
OG0001693	Peve_00004738, Peve_00018398	FUN_037066-T1, FUN_045576-T1, FUN_037067-T1, FUN_037070-T1
OG0001694	Peve_00027035, Peve_00038177, Peve_00027242	FUN_037445-T1
OG0001695	Peve_00036472, Peve_00040389	FUN_037520-T1, FUN_037522-T1, FUN_037521-T1, FUN_037524-T1, FUN_037523-T1
OG0001696	Peve_00037928, Peve_00004122	FUN_037736-T1, FUN_037735-T1, FUN_037723-T1, FUN_037720-T1, FUN_037724-T1, FUN_037730-T1
OG0001697	Peve_00026138	FUN_037791-T1, FUN_037790-T1, FUN_037789-T1, FUN_037793-T1
OG0001698	Peve_00012005, Peve_00012000, Peve_00024190, Peve_00012010, Peve_00012006, Peve_00034862, Peve_00034866	FUN_037928-T1
OG0001699	Peve_00002243, Peve_00002171, Peve_00025361	FUN_038116-T1, FUN_038105-T1
OG0001700	Peve_00007201	FUN_038817-T1
OG0001701	Peve_00002531	FUN_038944-T1
OG0001702	Peve_00003611	FUN_044611-T3, FUN_039639-T1, FUN_044611-T2, FUN_039538-T1, FUN_044611-T1
OG0001703	Peve_00010154, Peve_00006584, Peve_00010145, Peve_00010160	FUN_039930-T2, FUN_039930-T1
OG0001704	Peve_00038103	FUN_040147-T1
OG0001705	Peve_00044067, Peve_00044066	FUN_040415-T1
OG0001706	Peve_00009202, Peve_00008352	FUN_040821-T1
OG0001708	Peve_00028474	FUN_041586-T1, FUN_041586-T2
OG0001709	Peve_00036097	FUN_041591-T1, FUN_041591-T2
OG0001712	Peve_00025226, Peve_00025223, Peve_00027043, Peve_00036063	FUN_042987-T1
OG0001713	Peve_00025778	FUN_043307-T1
OG0001713	Peve_00031794	FUN_043304-T1
OG0001716	Peve_00002477, Peve_00002359, Peve_00019822, Peve_00039294, Peve_00030823, Peve_00024035	FUN_044684-T1
OG0001717	Peve_00005239, Peve_00038184, Peve_00026509, Peve_00025085	FUN_044745-T1
OG0001718	Peve_00015674	FUN_045494-T1, FUN_045835-T1, FUN_044767-T1
OG0001719	Peve_00023855, Peve_00042851, Peve_00004719, Peve_00030028, Peve_00038935, Peve_00032066	FUN_045716-T1, FUN_044786-T1
OG0001721	Peve_00036115, Peve_00003678, Peve_00023448, Peve_00023449, Peve_00022251, Peve_00007856	FUN_045045-T1
OG0001722	Peve_00040044, Peve_00043923, Peve_00007787, Peve_00029003, Peve_00017297, Peve_00023155, Peve_00008576	FUN_045271-T1
OG0001723	Peve_00011482	FUN_045306-T1
OG0001724	Peve_00016877, Peve_00036657, Peve_00015796, Peve_00001378, Peve_00013830, Peve_00001969, Peve_00011427	FUN_045473-T1
OG0001725	Peve_00017038	FUN_045736-T1
OG0001825	Peve_00006442	FUN_000042-T1, FUN_002313-T1, FUN_002317-T1, FUN_044249-T1, FUN_044269-T1, FUN_008503-T1
OG0001827	Peve_00026728	FUN_026023-T1, FUN_000365-T1, FUN_030646-T1, FUN_043820-T1, FUN_026643-T1
OG0001828	Peve_00034761, Peve_00034711, Peve_00034725	FUN_036988-T1, FUN_000441-T1, FUN_000441-T2
OG0001829	Peve_00023257, Peve_00033946, Peve_00030481, Peve_00023266, Peve_00023272	FUN_000858-T1
OG0001830	Peve_00028299	FUN_012843-T1, FUN_020767-T1, FUN_028417-T1, FUN_027232-T1, FUN_034714-T1, FUN_000917-T1
OG0001832	Peve_00004381, Peve_00025993	FUN_000976-T1
OG0001833	Peve_00015278	FUN_001006-T3, FUN_001006-T4, FUN_001006-T2, FUN_000999-T1, FUN_001006-T1
OG0001834	Peve_00029365	FUN_001116-T5, FUN_001116-T1, FUN_001116-T3, FUN_001116-T4, FUN_001116-T2
OG0001835	Peve_00000209, Peve_00017515	FUN_015352-T1
OG0001835	Peve_00036957	FUN_001327-T1
OG0001836	Peve_00005010	FUN_001363-T1
OG0001837	Peve_00020523, Peve_00014373, Peve_00014377, Peve_00005167, Peve_00007800, Peve_00005170	FUN_001419-T1
OG0001839	Peve_00002873, Peve_00029345, Peve_00002870, Peve_00021118, Peve_00005338, Peve_00041539	FUN_001485-T1
OG0001840	Peve_00002884, Peve_00002882	FUN_001489-T1, FUN_001488-T1, FUN_001488-T3, FUN_001488-T2
OG0001841	Peve_00030001	FUN_001689-T1, FUN_001695-T1, FUN_003217-T1, FUN_003216-T1, FUN_003214-T1
OG0001842	Peve_00002223	FUN_005472-T1, FUN_029371-T1, FUN_015580-T1
OG0001842	Peve_00004609	FUN_001829-T1
OG0001846	Peve_00024479	FUN_001932-T1, FUN_001921-T2, FUN_001921-T1, FUN_001921-T3, FUN_001921-T4
OG0001848	Peve_00029126, Peve_00032877	FUN_001971-T1
OG0001850	Peve_00042296	FUN_002013-T1, FUN_041057-T1, FUN_039452-T1
OG0001851	Peve_00021131	FUN_017608-T1, FUN_002015-T1
OG0001851	Peve_00044259	FUN_019519-T1
OG0001855	Peve_00003328	FUN_012994-T1, FUN_007712-T1, FUN_013003-T1, FUN_015648-T1, FUN_002068-T1
OG0001856	Peve_00013323, Peve_00030262, Peve_00030261, Peve_00030260, Peve_00013322	FUN_002073-T1
OG0001859	Peve_00001824, Peve_00026214, Peve_00003376	FUN_002249-T1, FUN_012830-T1, FUN_003513-T1
OG0001862	Peve_00032432, Peve_00005461, Peve_00019621	FUN_022573-T1, FUN_002413-T1, FUN_025121-T1
OG0001865	Peve_00011540, Peve_00025528, Peve_00034484	FUN_002579-T1, FUN_002578-T1
OG0001867	Peve_00040090	FUN_002646-T1, FUN_002648-T1, FUN_002648-T2
OG0001868	Peve_00040096	FUN_002650-T1, FUN_002650-T3, FUN_002650-T4, FUN_002650-T2
OG0001869	Peve_00005218, Peve_00005210	FUN_044462-T1, FUN_002703-T1
OG0001869	Peve_00015409	FUN_040613-T1
OG0001870	Peve_00019120	FUN_002727-T1, FUN_002769-T1, FUN_002743-T1
OG0001872	Peve_00030437	FUN_002927-T1, FUN_002882-T1, FUN_002928-T1, FUN_002922-T1, FUN_002873-T1
OG0001873	Peve_00011430	FUN_002946-T1, FUN_003440-T1, FUN_034749-T1, FUN_043478-T1, FUN_021040-T1, FUN_030024-T1
OG0001876	Peve_00014360	FUN_039016-T1, FUN_007628-T1
OG0001876	Peve_00001329	FUN_003499-T1, FUN_030851-T1, FUN_003500-T1
OG0001878	Peve_00023201	FUN_015865-T1
OG0001878	Peve_00034627	FUN_038988-T1, FUN_011483-T1, FUN_003590-T1
OG0001879	Peve_00032443	FUN_036528-T1, FUN_013017-T1, FUN_011335-T1, FUN_003600-T1, FUN_009737-T1, FUN_023467-T1
OG0001880	Peve_00005644	FUN_003774-T1, FUN_030696-T1, FUN_003601-T1, FUN_029957-T1, FUN_013769-T1, FUN_013925-T1
OG0001885	Peve_00013444	FUN_027868-T1, FUN_027860-T1, FUN_027861-T1, FUN_027867-T1, FUN_003768-T1, FUN_027866-T1
OG0001890	Peve_00002696	FUN_034690-T1, FUN_016952-T1, FUN_016947-T1, FUN_006661-T1, FUN_003862-T1, FUN_029463-T1
OG0001891	Peve_00038212	FUN_044022-T1, FUN_003956-T1, FUN_020744-T1, FUN_039725-T1
OG0001891	Peve_00011533	FUN_017013-T1
OG0001892	Peve_00044899, Peve_00044901	FUN_032401-T1, FUN_003998-T1, FUN_004011-T1
OG0001893	Peve_00001681, Peve_00016682, Peve_00043453, Peve_00008750, Peve_00001675, Peve_00009288	FUN_004019-T1
OG0001894	Peve_00044909	FUN_004034-T1
OG0001894	Peve_00033223, Peve_00033222	FUN_004033-T1
OG0001897	Peve_00044390	FUN_004273-T1, FUN_004274-T1
OG0001898	Peve_00026931, Peve_00034977	FUN_004419-T1, FUN_033290-T1, FUN_033292-T1
OG0001899	Peve_00008398	FUN_004488-T1, FUN_004488-T2
OG0001899	Peve_00003218, Peve_00008399	FUN_004489-T1
OG0001900	Peve_00024330	FUN_004502-T2, FUN_004502-T1
OG0001900	Peve_00026072	FUN_004501-T1
OG0001902	Peve_00032586, Peve_00015876	FUN_004609-T2, FUN_004600-T1, FUN_005017-T1, FUN_004609-T1
OG0001903	Peve_00006066, Peve_00011021, Peve_00003277, Peve_00030167, Peve_00003276	FUN_004693-T1
OG0001904	Peve_00036067, Peve_00044684, Peve_00044682, Peve_00036066, Peve_00044683	FUN_004703-T1
OG0001905	Peve_00016033	FUN_005360-T1, FUN_004773-T1, FUN_029406-T1, FUN_038732-T1, FUN_005361-T1
OG0001906	Peve_00023849, Peve_00027910, Peve_00027909, Peve_00014467	FUN_004803-T2, FUN_004803-T1
OG0001909	Peve_00004276, Peve_00026997, Peve_00002308, Peve_00011874, Peve_00002306	FUN_005175-T1
OG0001911	Peve_00034258	FUN_005213-T1, FUN_005204-T1, FUN_005205-T1, FUN_005214-T1
OG0001912	Peve_00025048	FUN_005345-T1
OG0001912	Peve_00026940, Peve_00026936	FUN_018065-T1, FUN_018074-T1
OG0001913	Peve_00032571	FUN_008161-T1, FUN_008147-T1, FUN_005374-T1, FUN_008134-T1, FUN_034597-T1
OG0001916	Peve_00007490, Peve_00007479, Peve_00007493	FUN_005860-T1, FUN_005863-T1
OG0001917	Peve_00034001, Peve_00034002, Peve_00003128, Peve_00033999, Peve_00034000, Peve_00035452	FUN_006191-T1
OG0001918	Peve_00008334, Peve_00026872	FUN_006200-T1, FUN_045725-T1, FUN_044429-T1
