Orthogroup	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1.genes.pep
OG0002729	Peve_00018118, Peve_00018116	Pocillopora_meandrina_HIv1___RNAseq.g18948.t1
OG0002730	Peve_00043324, Peve_00043325, Peve_00043291	Pocillopora_meandrina_HIv1___RNAseq.g2118.t1
OG0002731	Peve_00007311, Peve_00007310	Pocillopora_meandrina_HIv1___RNAseq.g22868.t1, Pocillopora_meandrina_HIv1___RNAseq.g22870.t1, Pocillopora_meandrina_HIv1___RNAseq.g22869.t1
OG0002732	Peve_00003009	Pocillopora_meandrina_HIv1___RNAseq.g28334.t1, Pocillopora_meandrina_HIv1___RNAseq.g28335.t1, Pocillopora_meandrina_HIv1___RNAseq.g28332.t1, Pocillopora_meandrina_HIv1___RNAseq.g28333.t1
OG0002733	Peve_00034306, Peve_00038378	Pocillopora_meandrina_HIv1___RNAseq.g3126.t1, Pocillopora_meandrina_HIv1___RNAseq.g3128.t1, Pocillopora_meandrina_HIv1___TS.g18234.t1
OG0002734	Peve_00044662	Pocillopora_meandrina_HIv1___RNAseq.g19913.t1, Pocillopora_meandrina_HIv1___RNAseq.g20327.t1
OG0002735	Peve_00000059	Pocillopora_meandrina_HIv1___RNAseq.g14203.t1, Pocillopora_meandrina_HIv1___TS.g25199.t1
OG0002738	Peve_00027066	Pocillopora_meandrina_HIv1___RNAseq.g13416.t1, Pocillopora_meandrina_HIv1___TS.g7631.t1, Pocillopora_meandrina_HIv1___TS.g2412.t1, Pocillopora_meandrina_HIv1___RNAseq.g13418.t1
OG0002739	Peve_00010651, Peve_00027416, Peve_00022368, Peve_00010650	Pocillopora_meandrina_HIv1___RNAseq.g23112.t1
OG0002740	Peve_00022290, Peve_00035724, Peve_00026251	Pocillopora_meandrina_HIv1___RNAseq.g13128.t2, Pocillopora_meandrina_HIv1___RNAseq.g13159.t1
OG0002741	Peve_00004692, Peve_00026328	Pocillopora_meandrina_HIv1___RNAseq.g13829.t1
OG0002742	Peve_00008538, Peve_00008535	Pocillopora_meandrina_HIv1___TS.g13844.t2
OG0002743	Peve_00017923	Pocillopora_meandrina_HIv1___RNAseq.g10369.t1, Pocillopora_meandrina_HIv1___RNAseq.g10385.t1, Pocillopora_meandrina_HIv1___RNAseq.g10384.t1
OG0002744	Peve_00017944, Peve_00009843	Pocillopora_meandrina_HIv1___TS.g19642.t2
OG0002746	Peve_00006894, Peve_00006892	Pocillopora_meandrina_HIv1___TS.g18306.t1, Pocillopora_meandrina_HIv1___RNAseq.g3202.t1
OG0002747	Peve_00006891	Pocillopora_meandrina_HIv1___RNAseq.g3174.t1
OG0002748	Peve_00004859, Peve_00037187, Peve_00024548, Peve_00030359	Pocillopora_meandrina_HIv1___TS.g18166.t1
OG0002750	Peve_00036849	Pocillopora_meandrina_HIv1___RNAseq.g3084.t1
OG0002750	Peve_00036851	Pocillopora_meandrina_HIv1___RNAseq.g3082.t1, Pocillopora_meandrina_HIv1___RNAseq.g3083.t1
OG0002752	Peve_00004984	Pocillopora_meandrina_HIv1___RNAseq.g3118.t1
OG0002753	Peve_00031862	Pocillopora_meandrina_HIv1___RNAseq.g3014.t1, Pocillopora_meandrina_HIv1___RNAseq.g3016.t1
OG0002754	Peve_00015944	Pocillopora_meandrina_HIv1___RNAseq.g3019.t1
OG0002755	Peve_00043077, Peve_00043078	Pocillopora_meandrina_HIv1___RNAseq.g4475.t1
OG0002756	Peve_00043079	Pocillopora_meandrina_HIv1___RNAseq.g4518.t1, Pocillopora_meandrina_HIv1___RNAseq.g4517.t1
OG0002757	Peve_00018522	Pocillopora_meandrina_HIv1___TS.g19675.t2
OG0002758	Peve_00013325	Pocillopora_meandrina_HIv1___RNAseq.g26939.t1
OG0002758	Peve_00004301, Peve_00012662	Pocillopora_meandrina_HIv1___RNAseq.g22067.t1
OG0002760	Peve_00000859	Pocillopora_meandrina_HIv1___RNAseq.g16332.t1
OG0002761	Peve_00011637	Pocillopora_meandrina_HIv1___TS.g18662.t1, Pocillopora_meandrina_HIv1___RNAseq.g19793.t1, Pocillopora_meandrina_HIv1___RNAseq.g25075.t1, Pocillopora_meandrina_HIv1___RNAseq.g18231.t1
OG0002766	Peve_00039612	Pocillopora_meandrina_HIv1___RNAseq.g15328.t1, Pocillopora_meandrina_HIv1___RNAseq.g15327.t1
OG0002771	Peve_00023424, Peve_00023423, Peve_00023422	Pocillopora_meandrina_HIv1___RNAseq.g29757.t1, Pocillopora_meandrina_HIv1___RNAseq.g29756.t1
OG0002774	Peve_00023122, Peve_00023121	Pocillopora_meandrina_HIv1___RNAseq.g14016.t1
OG0002775	Peve_00028496	Pocillopora_meandrina_HIv1___RNAseq.g23215.t1
OG0002776	Peve_00020100	Pocillopora_meandrina_HIv1___TS.g1951.t2b, Pocillopora_meandrina_HIv1___RNAseq.g15825.t1, Pocillopora_meandrina_HIv1___RNAseq.g15824.t1
OG0002777	Peve_00037719	Pocillopora_meandrina_HIv1___RNAseq.g16432.t1, Pocillopora_meandrina_HIv1___RNAseq.g16428.t1, Pocillopora_meandrina_HIv1___TS.g11435.t1, Pocillopora_meandrina_HIv1___TS.g16964.t1
OG0002778	Peve_00001294	Pocillopora_meandrina_HIv1___RNAseq.g16508.t1
OG0002778	Peve_00001287	Pocillopora_meandrina_HIv1___RNAseq.g16513.t1
OG0002779	Peve_00008530	Pocillopora_meandrina_HIv1___RNAseq.g28615.t2, Pocillopora_meandrina_HIv1___RNAseq.g6923.t1, Pocillopora_meandrina_HIv1___RNAseq.g26999.t1, Pocillopora_meandrina_HIv1___TS.g17980.t1
OG0002781	Peve_00025072, Peve_00025105	Pocillopora_meandrina_HIv1___RNAseq.g25530.t1
OG0002782	Peve_00013633, Peve_00028907, Peve_00028908	Pocillopora_meandrina_HIv1___RNAseq.g25538.t1
OG0002783	Peve_00024515	Pocillopora_meandrina_HIv1___RNAseq.g25545.t1
OG0002784	Peve_00002159	Pocillopora_meandrina_HIv1___RNAseq.g27847.t1, Pocillopora_meandrina_HIv1___TS.g24130.t1
OG0002785	Peve_00040799, Peve_00040806	Pocillopora_meandrina_HIv1___RNAseq.g12583.t1
OG0002786	Peve_00031600	Pocillopora_meandrina_HIv1___RNAseq.g11792.t1a, Pocillopora_meandrina_HIv1___RNAseq.g17087.t1, Pocillopora_meandrina_HIv1___RNAseq.g20889.t1
OG0002787	Peve_00026023, Peve_00045168, Peve_00021239, Peve_00010682	Pocillopora_meandrina_HIv1___TS.g2875.t1
OG0002788	Peve_00023350, Peve_00023348	Pocillopora_meandrina_HIv1___RNAseq.g17270.t1
OG0002790	Peve_00011716	Pocillopora_meandrina_HIv1___RNAseq.g15400.t1, Pocillopora_meandrina_HIv1___RNAseq.g15404.t1, Pocillopora_meandrina_HIv1___RNAseq.g15407.t1, Pocillopora_meandrina_HIv1___RNAseq.g15411.t1
OG0002792	Peve_00027504	Pocillopora_meandrina_HIv1___TS.g16963.t1b, Pocillopora_meandrina_HIv1___RNAseq.g11469.t1, Pocillopora_meandrina_HIv1___RNAseq.g11472.t1, Pocillopora_meandrina_HIv1___RNAseq.g699.t1
OG0002793	Peve_00008851, Peve_00008865	Pocillopora_meandrina_HIv1___RNAseq.g21768.t1
OG0002794	Peve_00030965	Pocillopora_meandrina_HIv1___RNAseq.g10111.t1
OG0002795	Peve_00013557, Peve_00001468, Peve_00012526, Peve_00013555	Pocillopora_meandrina_HIv1___RNAseq.g5922.t1
OG0002796	Peve_00031208, Peve_00031207, Peve_00029317, Peve_00031206	Pocillopora_meandrina_HIv1___RNAseq.g25502.t1
OG0002797	Peve_00016089, Peve_00038986, Peve_00016088	Pocillopora_meandrina_HIv1___RNAseq.g5223.t1, Pocillopora_meandrina_HIv1___RNAseq.g5966.t1
OG0002798	Peve_00021549	Pocillopora_meandrina_HIv1___RNAseq.g535.t1, Pocillopora_meandrina_HIv1___RNAseq.g24072.t1, Pocillopora_meandrina_HIv1___RNAseq.g24071.t1, Pocillopora_meandrina_HIv1___RNAseq.g5196.t1
OG0002799	Peve_00015903, Peve_00017059	Pocillopora_meandrina_HIv1___RNAseq.g5190.t1, Pocillopora_meandrina_HIv1___RNAseq.g5189.t1
OG0002800	Peve_00015905, Peve_00017063	Pocillopora_meandrina_HIv1___RNAseq.g5183.t1
OG0002801	Peve_00045249	Pocillopora_meandrina_HIv1___TS.g23839.t1
OG0002803	Peve_00038736	Pocillopora_meandrina_HIv1___RNAseq.g5996.t1a, Pocillopora_meandrina_HIv1___RNAseq.g5995.t1, Pocillopora_meandrina_HIv1___RNAseq.g5992.t1, Pocillopora_meandrina_HIv1___RNAseq.g5991.t1
OG0002804	Peve_00012837, Peve_00026339, Peve_00012835	Pocillopora_meandrina_HIv1___RNAseq.g5747.t1, Pocillopora_meandrina_HIv1___TS.g24462.t1
OG0002805	Peve_00039103, Peve_00039101, Peve_00039098, Peve_00039102	Pocillopora_meandrina_HIv1___RNAseq.g5470.t1
OG0002806	Peve_00040627, Peve_00039104	Pocillopora_meandrina_HIv1___RNAseq.g5473.t1, Pocillopora_meandrina_HIv1___RNAseq.g5471.t1, Pocillopora_meandrina_HIv1___RNAseq.g5482.t1
OG0002807	Peve_00023210	Pocillopora_meandrina_HIv1___RNAseq.g5542.t1
OG0002807	Peve_00010421	Pocillopora_meandrina_HIv1___RNAseq.g5543.t1, Pocillopora_meandrina_HIv1___RNAseq.g5539.t1
OG0002808	Peve_00031829	Pocillopora_meandrina_HIv1___TS.g24767.t1, Pocillopora_meandrina_HIv1___TS.g24763.t1c
OG0002809	Peve_00036229, Peve_00043672, Peve_00043668	Pocillopora_meandrina_HIv1___RNAseq.g17912.t1, Pocillopora_meandrina_HIv1___TS.g20897.t1
OG0002810	Peve_00019086	Pocillopora_meandrina_HIv1___RNAseq.g5908.t1, Pocillopora_meandrina_HIv1___RNAseq.g5910.t1, Pocillopora_meandrina_HIv1___RNAseq.g5911.t1
OG0002811	Peve_00029139, Peve_00037984, Peve_00029142	Pocillopora_meandrina_HIv1___RNAseq.g5353.t1
OG0002812	Peve_00008075	Pocillopora_meandrina_HIv1___RNAseq.g5329.t1, Pocillopora_meandrina_HIv1___RNAseq.g5331.t1
OG0002813	Peve_00042068, Peve_00043848, Peve_00023702	Pocillopora_meandrina_HIv1___RNAseq.g24825.t1
OG0002814	Peve_00020147	Pocillopora_meandrina_HIv1___RNAseq.g29820.t1, Pocillopora_meandrina_HIv1___RNAseq.g29821.t1
OG0002815	Peve_00033689, Peve_00017211, Peve_00033694, Peve_00033695	Pocillopora_meandrina_HIv1___RNAseq.g24117.t1
OG0002818	Peve_00015577	Pocillopora_meandrina_HIv1___RNAseq.g24902.t1
OG0002819	Peve_00029776, Peve_00026821, Peve_00021578, Peve_00016926	Pocillopora_meandrina_HIv1___RNAseq.g23611.t1
OG0002820	Peve_00020848, Peve_00017511, Peve_00017512	Pocillopora_meandrina_HIv1___RNAseq.g24458.t1
OG0002821	Peve_00041772	Pocillopora_meandrina_HIv1___RNAseq.g24351.t1
OG0002823	Peve_00041994, Peve_00011655	Pocillopora_meandrina_HIv1___RNAseq.g16140.t1, Pocillopora_meandrina_HIv1___RNAseq.g17460.t1
OG0002824	Peve_00039881	Pocillopora_meandrina_HIv1___TS.g18883.t1, Pocillopora_meandrina_HIv1___RNAseq.g26133.t1
OG0002825	Peve_00043300, Peve_00022664	Pocillopora_meandrina_HIv1___TS.g8205.t2
OG0002826	Peve_00022627, Peve_00020979	Pocillopora_meandrina_HIv1___RNAseq.g26585.t1, Pocillopora_meandrina_HIv1___RNAseq.g26584.t1
OG0002827	Peve_00015223	Pocillopora_meandrina_HIv1___RNAseq.g26370.t1, Pocillopora_meandrina_HIv1___RNAseq.g26368.t1
OG0002828	Peve_00045147	Pocillopora_meandrina_HIv1___RNAseq.g7572.t1, Pocillopora_meandrina_HIv1___RNAseq.g8410.t1, Pocillopora_meandrina_HIv1___RNAseq.g12361.t1, Pocillopora_meandrina_HIv1___RNAseq.g8416.t1
OG0002829	Peve_00004922	Pocillopora_meandrina_HIv1___RNAseq.g26102.t1
OG0002830	Peve_00034858	Pocillopora_meandrina_HIv1___RNAseq.g25953.t1, Pocillopora_meandrina_HIv1___RNAseq.g25954.t1
OG0002831	Peve_00006384, Peve_00006377	Pocillopora_meandrina_HIv1___RNAseq.g26666.t1, Pocillopora_meandrina_HIv1___RNAseq.g7012.t1
OG0002832	Peve_00026010	Pocillopora_meandrina_HIv1___TS.g23718.t1b
OG0002833	Peve_00028319, Peve_00039724	Pocillopora_meandrina_HIv1___RNAseq.g26284.t1, Pocillopora_meandrina_HIv1___RNAseq.g26283.t1
OG0002834	Peve_00019096, Peve_00035596, Peve_00019095	Pocillopora_meandrina_HIv1___RNAseq.g26301.t1
OG0002835	Peve_00000646	Pocillopora_meandrina_HIv1___RNAseq.g28448.t1, Pocillopora_meandrina_HIv1___TS.g8226.t1, Pocillopora_meandrina_HIv1___RNAseq.g28445.t1, Pocillopora_meandrina_HIv1___RNAseq.g28443.t1
OG0002836	Peve_00003147	Pocillopora_meandrina_HIv1___RNAseq.g26606.t3
OG0002837	Peve_00028579, Peve_00004435, Peve_00031516	Pocillopora_meandrina_HIv1___RNAseq.g26612.t1
OG0002839	Peve_00040353	Pocillopora_meandrina_HIv1___RNAseq.g12918.t1
OG0002840	Peve_00008670, Peve_00022409, Peve_00020650, Peve_00034400	Pocillopora_meandrina_HIv1___RNAseq.g21910.t1b
OG0002841	Peve_00014500	Pocillopora_meandrina_HIv1___RNAseq.10273_t, Pocillopora_meandrina_HIv1___RNAseq.g27190.t1, Pocillopora_meandrina_HIv1___RNAseq.g27191.t1, Pocillopora_meandrina_HIv1___RNAseq.g27189.t1
OG0002842	Peve_00037379	Pocillopora_meandrina_HIv1___RNAseq.g27193.t1
OG0002842	Peve_00014501	Pocillopora_meandrina_HIv1___RNAseq.g27192.t1
OG0002843	Peve_00005769, Peve_00042507	Pocillopora_meandrina_HIv1___RNAseq.g27155.t1, Pocillopora_meandrina_HIv1___RNAseq.g27159.t1
OG0002845	Peve_00039142, Peve_00039139	Pocillopora_meandrina_HIv1___RNAseq.g12138.t1, Pocillopora_meandrina_HIv1___RNAseq.g12137.t1
OG0002846	Peve_00036663, Peve_00036664	Pocillopora_meandrina_HIv1___RNAseq.g27857.t1
OG0002847	Peve_00001114, Peve_00001105, Peve_00001113	Pocillopora_meandrina_HIv1___RNAseq.g27738.t1
OG0002849	Peve_00044663	Pocillopora_meandrina_HIv1___RNAseq.g27959.t1
OG0002850	Peve_00008436, Peve_00016232	Pocillopora_meandrina_HIv1___RNAseq.g12245.t1
OG0002851	Peve_00011118	Pocillopora_meandrina_HIv1___RNAseq.g12316.t1
OG0002851	Peve_00005177	Pocillopora_meandrina_HIv1___RNAseq.g12208.t1, Pocillopora_meandrina_HIv1___RNAseq.g12209.t1
OG0002852	Peve_00012135	Pocillopora_meandrina_HIv1___TS.g20833.t1, Pocillopora_meandrina_HIv1___TS.g20834.t1, Pocillopora_meandrina_HIv1___TS.g14389.t1b
OG0002853	Peve_00036927	Pocillopora_meandrina_HIv1___TS.g15360.t1
OG0002854	Peve_00039971	Pocillopora_meandrina_HIv1___TS.g14356.t2
OG0002856	Peve_00031576, Peve_00025644	Pocillopora_meandrina_HIv1___RNAseq.g28044.t1
OG0002857	Peve_00029651, Peve_00029649	Pocillopora_meandrina_HIv1___RNAseq.g28076.t1, Pocillopora_meandrina_HIv1___RNAseq.g28074.t1b, Pocillopora_meandrina_HIv1___RNAseq.g28075.t1
OG0002858	Peve_00020460	Pocillopora_meandrina_HIv1___TS.g15442.t1, Pocillopora_meandrina_HIv1___RNAseq.g28094.t1
OG0002859	Peve_00022823, Peve_00031849, Peve_00026378, Peve_00033246	Pocillopora_meandrina_HIv1___RNAseq.g12089.t1
OG0002861	Peve_00002591, Peve_00032501	Pocillopora_meandrina_HIv1___TS.g15296.t1, Pocillopora_meandrina_HIv1___RNAseq.g11961.t1, Pocillopora_meandrina_HIv1___RNAseq.g11960.t1
OG0002862	Peve_00021013, Peve_00035389	Pocillopora_meandrina_HIv1___RNAseq.g11944.t1
OG0002863	Peve_00045078	Pocillopora_meandrina_HIv1___RNAseq.g12046.t1, Pocillopora_meandrina_HIv1___RNAseq.g12039.t1, Pocillopora_meandrina_HIv1___RNAseq.g12038.t1, Pocillopora_meandrina_HIv1___RNAseq.g12036.t1
OG0002864	Peve_00001714, Peve_00041839	Pocillopora_meandrina_HIv1___RNAseq.g12323.t1
OG0002866	Peve_00018989, Peve_00018990	Pocillopora_meandrina_HIv1___RNAseq.g27413.t1
OG0002868	Peve_00015591	Pocillopora_meandrina_HIv1___RNAseq.g27516.t1, Pocillopora_meandrina_HIv1___TS.g14885.t1, Pocillopora_meandrina_HIv1___RNAseq.g27526.t1, Pocillopora_meandrina_HIv1___RNAseq.g27514.t1
OG0002871	Peve_00009281	Pocillopora_meandrina_HIv1___TS.g14409.t1
OG0002872	Peve_00018084, Peve_00044166	Pocillopora_meandrina_HIv1___RNAseq.g12115.t1
OG0002874	Peve_00014826, Peve_00014831, Peve_00021188, Peve_00021187	Pocillopora_meandrina_HIv1___RNAseq.g11671.t1
OG0002875	Peve_00044051	Pocillopora_meandrina_HIv1___RNAseq.g28987.t1
OG0002875	Peve_00012018, Peve_00012022	Pocillopora_meandrina_HIv1___RNAseq.g28989.t1
OG0002876	Peve_00018378	Pocillopora_meandrina_HIv1___RNAseq.g10789.t1, Pocillopora_meandrina_HIv1___RNAseq.g10790.t1
OG0002878	Peve_00003608, Peve_00003613	Pocillopora_meandrina_HIv1___TS.g9462.t1, Pocillopora_meandrina_HIv1___TS.g14143.t1, Pocillopora_meandrina_HIv1___RNAseq.g26802.t1
OG0002879	Peve_00004759, Peve_00004763, Peve_00004761, Peve_00004765	Pocillopora_meandrina_HIv1___RNAseq.g11098.t1
OG0002880	Peve_00045277, Peve_00003510, Peve_00003519, Peve_00003506	Pocillopora_meandrina_HIv1___RNAseq.g10686.t1
OG0002881	Peve_00006204, Peve_00006168	Pocillopora_meandrina_HIv1___RNAseq.g10990.t1, Pocillopora_meandrina_HIv1___RNAseq.g10992.t1
OG0002882	Peve_00014718	Pocillopora_meandrina_HIv1___RNAseq.g26893.t1, Pocillopora_meandrina_HIv1___TS.g14235.t1
OG0002883	Peve_00014719	Pocillopora_meandrina_HIv1___RNAseq.g26892.t1
OG0002884	Peve_00007928, Peve_00042437, Peve_00042690	Pocillopora_meandrina_HIv1___RNAseq.g24153.t1, Pocillopora_meandrina_HIv1___RNAseq.g14862.t1
OG0002885	Peve_00036017	Pocillopora_meandrina_HIv1___RNAseq.g1379.t1
OG0002886	Peve_00020422	Pocillopora_meandrina_HIv1___RNAseq.g1397.t1
OG0002887	Peve_00028563	Pocillopora_meandrina_HIv1___RNAseq.g1314.t1
OG0002888	Peve_00000438	Pocillopora_meandrina_HIv1___RNAseq.g23032.t1, Pocillopora_meandrina_HIv1___RNAseq.g15650.t1
OG0002890	Peve_00020853	Pocillopora_meandrina_HIv1___RNAseq.g1600.t1, Pocillopora_meandrina_HIv1___RNAseq.g1607.t1, Pocillopora_meandrina_HIv1___RNAseq.g1603.t1, Pocillopora_meandrina_HIv1___RNAseq.g1606.t1
OG0002892	Peve_00044195, Peve_00013865, Peve_00040512, Peve_00014056	Pocillopora_meandrina_HIv1___RNAseq.g10007.t1
OG0002893	Peve_00040701	Pocillopora_meandrina_HIv1___RNAseq.g1518.t1
OG0002894	Peve_00024517, Peve_00018231	Pocillopora_meandrina_HIv1___RNAseq.g29952.t1, Pocillopora_meandrina_HIv1___RNAseq.g1423.t1
OG0002895	Peve_00024516, Peve_00019306, Peve_00022154	Pocillopora_meandrina_HIv1___RNAseq.g1424.t1
OG0002896	Peve_00004463	Pocillopora_meandrina_HIv1___RNAseq.g26251.t1
OG0002897	Peve_00003016, Peve_00002241	Pocillopora_meandrina_HIv1___RNAseq.g28338.t1, Pocillopora_meandrina_HIv1___TS.g19303.t1
OG0002898	Peve_00015894	Pocillopora_meandrina_HIv1___TS.g5289.t1
OG0002898	Peve_00015893, Peve_00015892	Pocillopora_meandrina_HIv1___RNAseq.g757.t1
OG0002899	Peve_00038320, Peve_00038314, Peve_00038316, Peve_00029427	Pocillopora_meandrina_HIv1___RNAseq.g1149.t1
OG0002900	Peve_00004597, Peve_00008322	Pocillopora_meandrina_HIv1___RNAseq.g940.t1, Pocillopora_meandrina_HIv1___RNAseq.g3263.t1
OG0002901	Peve_00010027	Pocillopora_meandrina_HIv1___TS.g6442.t1
OG0002902	Peve_00000014, Peve_00000016	Pocillopora_meandrina_HIv1___RNAseq.g28284.t1, Pocillopora_meandrina_HIv1___RNAseq.g28280.t1
OG0002905	Peve_00035828, Peve_00029670, Peve_00027376	Pocillopora_meandrina_HIv1___RNAseq.g1030.t1
OG0002906	Peve_00009270, Peve_00025574	Pocillopora_meandrina_HIv1___RNAseq.g26433.t2
OG0002908	Peve_00028734	Pocillopora_meandrina_HIv1___RNAseq.g28686.t1, Pocillopora_meandrina_HIv1___TS.g8477.t1b, Pocillopora_meandrina_HIv1___RNAseq.g28685.t1
OG0002909	Peve_00004511, Peve_00006150, Peve_00039310	Pocillopora_meandrina_HIv1___RNAseq.g1076.t1
OG0002911	Peve_00024663	Pocillopora_meandrina_HIv1___RNAseq.g1734.t1, Pocillopora_meandrina_HIv1___RNAseq.g1736.t1, Pocillopora_meandrina_HIv1___RNAseq.g1733.t3, Pocillopora_meandrina_HIv1___RNAseq.g1735.t1
OG0002912	Peve_00025774, Peve_00038698, Peve_00025775	Pocillopora_meandrina_HIv1___RNAseq.g28450.t1, Pocillopora_meandrina_HIv1___RNAseq.g28449.t1
OG0002913	Peve_00014198	Pocillopora_meandrina_HIv1___RNAseq.g25893.t1, Pocillopora_meandrina_HIv1___RNAseq.g25896.t1, Pocillopora_meandrina_HIv1___RNAseq.g25892.t1
OG0002914	Peve_00020641, Peve_00020635	Pocillopora_meandrina_HIv1___TS.g1038.t1, Pocillopora_meandrina_HIv1___RNAseq.g7287.t1a
OG0002915	Peve_00006916, Peve_00011731	Pocillopora_meandrina_HIv1___RNAseq.g7379.t1
OG0002916	Peve_00025996, Peve_00036243	Pocillopora_meandrina_HIv1___RNAseq.g7332.t1
OG0002917	Peve_00039033	Pocillopora_meandrina_HIv1___TS.g1268.t2, Pocillopora_meandrina_HIv1___RNAseq.g7515.t1
OG0002918	Peve_00000408, Peve_00029897	Pocillopora_meandrina_HIv1___RNAseq.g7542.t1, Pocillopora_meandrina_HIv1___RNAseq.g7545.t1
OG0002919	Peve_00004419, Peve_00004421, Peve_00004420	Pocillopora_meandrina_HIv1___RNAseq.g7563.t1
OG0002921	Peve_00043013, Peve_00041157	Pocillopora_meandrina_HIv1___RNAseq.g7618.t1
OG0002922	Peve_00037198	Pocillopora_meandrina_HIv1___TS.g1362.t1, Pocillopora_meandrina_HIv1___RNAseq.g7609.t1
OG0002923	Peve_00038137	Pocillopora_meandrina_HIv1___RNAseq.g8483.t1, Pocillopora_meandrina_HIv1___RNAseq.g8481.t1, Pocillopora_meandrina_HIv1___TS.g20223.t1, Pocillopora_meandrina_HIv1___RNAseq.g8484.t1
OG0002924	Peve_00026441, Peve_00010290, Peve_00026442, Peve_00009657	Pocillopora_meandrina_HIv1___TS.g27324.t1a
OG0002925	Peve_00019869, Peve_00024059, Peve_00019868, Peve_00011129	Pocillopora_meandrina_HIv1___RNAseq.g28906.t1
OG0002928	Peve_00032513, Peve_00022796	Pocillopora_meandrina_HIv1___RNAseq.g11947.t1
OG0002929	Peve_00039430, Peve_00001558, Peve_00021949, Peve_00010875	Pocillopora_meandrina_HIv1___RNAseq.g16222.t1
OG0002932	Peve_00036074	Pocillopora_meandrina_HIv1___RNAseq.g15292.t1, Pocillopora_meandrina_HIv1___RNAseq.g15291.t1
OG0002933	Peve_00036082	Pocillopora_meandrina_HIv1___RNAseq.g15287.t1, Pocillopora_meandrina_HIv1___RNAseq.g15929.t1, Pocillopora_meandrina_HIv1___RNAseq.g15928.t1, Pocillopora_meandrina_HIv1___RNAseq.g15927.t1
OG0002934	Peve_00000466, Peve_00012480	Pocillopora_meandrina_HIv1___RNAseq.g14143.t1, Pocillopora_meandrina_HIv1___RNAseq.g14148.t1, Pocillopora_meandrina_HIv1___RNAseq.g14153.t1
OG0002935	Peve_00023309, Peve_00006449, Peve_00024446	Pocillopora_meandrina_HIv1___RNAseq.g15486.t1
OG0002936	Peve_00033921	Pocillopora_meandrina_HIv1___RNAseq.g15787.t1
OG0002936	Peve_00002193, Peve_00033922	Pocillopora_meandrina_HIv1___RNAseq.g15786.t1
OG0002937	Peve_00039121	Pocillopora_meandrina_HIv1___RNAseq.g15812.t1, Pocillopora_meandrina_HIv1___RNAseq.g15813.t1, Pocillopora_meandrina_HIv1___RNAseq.g15815.t1
OG0002938	Peve_00033402	Pocillopora_meandrina_HIv1___RNAseq.g15426.t1, Pocillopora_meandrina_HIv1___RNAseq.g15423.t1, Pocillopora_meandrina_HIv1___RNAseq.g15429.t1
OG0002939	Peve_00043505	Pocillopora_meandrina_HIv1___RNAseq.g15913.t3
OG0002940	Peve_00010748, Peve_00011520, Peve_00025418, Peve_00021482	Pocillopora_meandrina_HIv1___RNAseq.g15145.t1
OG0002941	Peve_00016195, Peve_00019463	Pocillopora_meandrina_HIv1___RNAseq.g11508.t1
OG0002942	Peve_00004507, Peve_00019275, Peve_00019278, Peve_00019284	Pocillopora_meandrina_HIv1___RNAseq.g7203.t1
OG0002943	Peve_00020209	Pocillopora_meandrina_HIv1___RNAseq.g7049.t1, Pocillopora_meandrina_HIv1___RNAseq.g7045.t1, Pocillopora_meandrina_HIv1___RNAseq.g7046.t1, Pocillopora_meandrina_HIv1___RNAseq.g7047.t1
OG0002944	Peve_00041863, Peve_00035665, Peve_00035671	Pocillopora_meandrina_HIv1___RNAseq.g5264.t1, Pocillopora_meandrina_HIv1___RNAseq.g5263.t1
OG0002945	Peve_00026457, Peve_00026456	Pocillopora_meandrina_HIv1___RNAseq.g7081.t1, Pocillopora_meandrina_HIv1___RNAseq.g7080.t1
OG0002946	Peve_00001642, Peve_00038925	Pocillopora_meandrina_HIv1___RNAseq.g7013.t1, Pocillopora_meandrina_HIv1___RNAseq.g6998.t1
OG0002947	Peve_00031935, Peve_00019983	Pocillopora_meandrina_HIv1___TS.g2567.t1
OG0002948	Peve_00026288, Peve_00026290, Peve_00025026, Peve_00026289	Pocillopora_meandrina_HIv1___RNAseq.g7880.t1
OG0002949	Peve_00025024, Peve_00026287	Pocillopora_meandrina_HIv1___RNAseq.g13279.t1, Pocillopora_meandrina_HIv1___RNAseq.g13274.t1, Pocillopora_meandrina_HIv1___RNAseq.g7879.t1
OG0002950	Peve_00013731, Peve_00032683	Pocillopora_meandrina_HIv1___RNAseq.g7576.t1, Pocillopora_meandrina_HIv1___RNAseq.g7575.t1, Pocillopora_meandrina_HIv1___RNAseq.g7574.t1
OG0002951	Peve_00039865, Peve_00039866	Pocillopora_meandrina_HIv1___RNAseq.g6788.t1
OG0002951	Peve_00039863	Pocillopora_meandrina_HIv1___TS.g530.t1
OG0002952	Peve_00037102, Peve_00037106	Pocillopora_meandrina_HIv1___RNAseq.g6785.t1
OG0002953	Peve_00037098	Pocillopora_meandrina_HIv1___RNAseq.g6783.t1
OG0002954	Peve_00030071, Peve_00024822, Peve_00032616	Pocillopora_meandrina_HIv1___RNAseq.g8860.t1
OG0002955	Peve_00043037	Pocillopora_meandrina_HIv1___RNAseq.g8955.t1
OG0002956	Peve_00018553, Peve_00017612, Peve_00033842	Pocillopora_meandrina_HIv1___RNAseq.g7992.t1
OG0002957	Peve_00015611	Pocillopora_meandrina_HIv1___RNAseq.g8037.t1
