"target","gene_name"
"Pocillopora_meandrina_HIv1___RNAseq.g3024.t1","Senp2"
"Pocillopora_meandrina_HIv1___RNAseq.g3024.t1","Senp3"
"Pocillopora_meandrina_HIv1___RNAseq.g23723.t1","Senp6"
"Pocillopora_meandrina_HIv1___RNAseq.g23723.t1","Senp7"
"Pocillopora_meandrina_HIv1___RNAseq.g20753.t1","Senp8"
"Pocillopora_meandrina_HIv1___RNAseq.g29819.t1","Tet1"
"Pocillopora_meandrina_HIv1___RNAseq.g29819.t1","Tet2"
"Pocillopora_meandrina_HIv1___RNAseq.g29819.t1","Tet3"
"Pocillopora_meandrina_HIv1___TS.g4051.t1","HUWE1"
"Pocillopora_meandrina_HIv1___RNAseq.g10413.t1","UBE2Z"
"Pocillopora_meandrina_HIv1___RNAseq.g28024.t1","UBE2V1"
"Pocillopora_meandrina_HIv1___RNAseq.g18823.t1","UBE2A"
"Pocillopora_meandrina_HIv1___RNAseq.g2291.t1","UBE2D1"
"Pocillopora_meandrina_HIv1___RNAseq.g2290.t1","UBE2D2"
"Pocillopora_meandrina_HIv1___RNAseq.g2290.t1","UBE2D3"
"Pocillopora_meandrina_HIv1___RNAseq.g19713.t1","UBA1"
"Pocillopora_meandrina_HIv1___RNAseq.g12307.t1","UBA3"
"Pocillopora_meandrina_HIv1___RNAseq.g8814.t1","UBA6"
"Pocillopora_meandrina_HIv1___RNAseq.g19713.t1","UBA7"
"Pocillopora_meandrina_HIv1___RNAseq.g25349.t2","UBA5"
"Pocillopora_meandrina_HIv1___RNAseq.g11976.t1","UBA2"
"Pocillopora_meandrina_HIv1___RNAseq.g9730.t1","UBE4A"
"Pocillopora_meandrina_HIv1___RNAseq.g19284.t1","UHRF1"
"Pocillopora_meandrina_HIv1___RNAseq.g13884.t1","RNF168"
"Pocillopora_meandrina_HIv1___RNAseq.g26548.t1","TOM1"
"Pocillopora_meandrina_HIv1___RNAseq.g22296.t1","TRIM37"
"Pocillopora_meandrina_HIv1___RNAseq.g20222.t1","UBE3A"
"Pocillopora_meandrina_HIv1___RNAseq.g6000.t1","UBR2"
"Pocillopora_meandrina_HIv1___TS.g26730.t1","RNF20"
"Pocillopora_meandrina_HIv1___TS.g26730.t1","RNF40"
"Pocillopora_meandrina_HIv1___RNAseq.g23522.t2","ARID1A"
"Pocillopora_meandrina_HIv1___RNAseq.g23522.t2","ARID1B"
"Pocillopora_meandrina_HIv1___RNAseq.g14207.t1","CUL4A"
"Pocillopora_meandrina_HIv1___RNAseq.g26141.t1","DDB1"
"Pocillopora_meandrina_HIv1___RNAseq.g12234.t1","DTX3L"
