Coords	Name	MIRNA	sRNA-POC-47-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-48-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-50-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-53-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-57-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed
Pocillopora_meandrina_HIv1___Sc0000002:3701325-3701742	Cluster_904	N	48	20	24	22	9
Pocillopora_meandrina_HIv1___Sc0000002:3703878-3704313	Cluster_905	N	12	4	88	16	238
Pocillopora_meandrina_HIv1___Sc0000002:3705343-3706092	Cluster_906	N	24	17	419	323	4
Pocillopora_meandrina_HIv1___Sc0000002:3706375-3707052	Cluster_907	N	36	14	265	289	8
Pocillopora_meandrina_HIv1___Sc0000002:3707073-3707908	Cluster_908	N	25	25	1604	2964	6
Pocillopora_meandrina_HIv1___Sc0000002:3707943-3710875	Cluster_909	N	2288	1157	2048	4684	293
Pocillopora_meandrina_HIv1___Sc0000002:3712605-3713228	Cluster_910	N	131	51	109	97	15
Pocillopora_meandrina_HIv1___Sc0000002:3715928-3716824	Cluster_911	N	2864	1418	2282	2401	811
Pocillopora_meandrina_HIv1___Sc0000002:3718063-3719283	Cluster_912	N	452	853	2	1	557
Pocillopora_meandrina_HIv1___Sc0000002:3719621-3720050	Cluster_913	N	5	4	74	17	6
Pocillopora_meandrina_HIv1___Sc0000002:3725150-3726723	Cluster_914	N	1930	985	150	5995	1727
Pocillopora_meandrina_HIv1___Sc0000002:3730451-3730897	Cluster_915	N	30	36	345	20	48
Pocillopora_meandrina_HIv1___Sc0000002:3730961-3731833	Cluster_916	N	1992	1188	1008	3652	654
Pocillopora_meandrina_HIv1___Sc0000002:3742641-3743070	Cluster_917	N	45	10	37	25	23
Pocillopora_meandrina_HIv1___Sc0000002:3745169-3745980	Cluster_918	N	403	1393	1485	1954	734
Pocillopora_meandrina_HIv1___Sc0000002:3750061-3750938	Cluster_919	N	128	30	83	925	25
Pocillopora_meandrina_HIv1___Sc0000002:3751154-3751596	Cluster_920	N	89	0	82	83	16
Pocillopora_meandrina_HIv1___Sc0000002:3765212-3765633	Cluster_921	N	38	11	41	17	3
Pocillopora_meandrina_HIv1___Sc0000002:3766723-3767141	Cluster_922	N	31	12	9	36	8
Pocillopora_meandrina_HIv1___Sc0000002:3767638-3768039	Cluster_923	N	44	19	17	52	4
Pocillopora_meandrina_HIv1___Sc0000002:3777071-3777480	Cluster_924	N	5	0	13	126	3
Pocillopora_meandrina_HIv1___Sc0000002:3841944-3842042	Cluster_925	Y	27988	22742	20636	26150	8840
Pocillopora_meandrina_HIv1___Sc0000002:3888853-3889274	Cluster_926	N	15	31	14	20	0
Pocillopora_meandrina_HIv1___Sc0000002:3903134-3903760	Cluster_927	N	0	13	33	250	36
Pocillopora_meandrina_HIv1___Sc0000002:3941035-3941465	Cluster_928	N	308	98	103	32	65
Pocillopora_meandrina_HIv1___Sc0000002:3941649-3942338	Cluster_929	N	785	300	187	58	240
Pocillopora_meandrina_HIv1___Sc0000002:4018836-4019276	Cluster_930	N	112	1	0	2879	4787
Pocillopora_meandrina_HIv1___Sc0000002:4047421-4047935	Cluster_931	N	998	1206	134	0	48
Pocillopora_meandrina_HIv1___Sc0000002:4048071-4048664	Cluster_932	N	332	548	31	173	4
Pocillopora_meandrina_HIv1___Sc0000002:4048723-4049272	Cluster_933	N	576	56	29	28	4
Pocillopora_meandrina_HIv1___Sc0000002:4049287-4049710	Cluster_934	N	5	44	27	31	21
Pocillopora_meandrina_HIv1___Sc0000002:4540556-4540979	Cluster_935	N	1	15	2	119	23
Pocillopora_meandrina_HIv1___Sc0000002:4567952-4568379	Cluster_936	N	30	14	103	27	16
Pocillopora_meandrina_HIv1___Sc0000002:4727880-4728312	Cluster_937	N	1	186	1	1	1
Pocillopora_meandrina_HIv1___Sc0000002:4728526-4728984	Cluster_938	N	18	272	19	1	1
Pocillopora_meandrina_HIv1___Sc0000002:4807583-4808012	Cluster_939	N	84	8	3	42	4
Pocillopora_meandrina_HIv1___Sc0000002:4856630-4857723	Cluster_940	N	310	45	365	96	72
Pocillopora_meandrina_HIv1___Sc0000002:4857758-4858159	Cluster_941	N	40	3	30	27	9
Pocillopora_meandrina_HIv1___Sc0000002:4859814-4860853	Cluster_942	N	199	26	208	183	61
Pocillopora_meandrina_HIv1___Sc0000002:4860993-4862589	Cluster_943	N	1260	94	310	1031	100
Pocillopora_meandrina_HIv1___Sc0000002:4992098-4992528	Cluster_944	N	240	86	81	1282	110
Pocillopora_meandrina_HIv1___Sc0000002:5375790-5376217	Cluster_945	N	0	151	0	0	0
Pocillopora_meandrina_HIv1___Sc0000002:5433888-5434317	Cluster_946	N	57	8	216	31	52
Pocillopora_meandrina_HIv1___Sc0000002:5496902-5497538	Cluster_947	N	15	2	114	116	5
Pocillopora_meandrina_HIv1___Sc0000002:5604506-5604918	Cluster_948	N	4	37	23	36	129
Pocillopora_meandrina_HIv1___Sc0000002:5605961-5606377	Cluster_949	N	2	19	9	39	105
Pocillopora_meandrina_HIv1___Sc0000002:5647892-5648347	Cluster_950	N	2	0	2	356	3
Pocillopora_meandrina_HIv1___Sc0000002:5730888-5731313	Cluster_951	N	161	1	5	1	1
Pocillopora_meandrina_HIv1___Sc0000002:5864739-5865274	Cluster_952	N	168	81	294	78	72
Pocillopora_meandrina_HIv1___Sc0000002:5865631-5866439	Cluster_953	N	778	72	468	274	106
Pocillopora_meandrina_HIv1___Sc0000002:5883586-5884385	Cluster_954	N	72	13	109	121	62
Pocillopora_meandrina_HIv1___Sc0000002:6062165-6062583	Cluster_955	N	7	12	16	54	12
Pocillopora_meandrina_HIv1___Sc0000002:6062911-6063344	Cluster_956	N	169	24	27	268	27
Pocillopora_meandrina_HIv1___Sc0000002:6066733-6067141	Cluster_957	N	1	6	9	110	7
Pocillopora_meandrina_HIv1___Sc0000002:6069257-6069690	Cluster_958	N	1	0	0	299	1
Pocillopora_meandrina_HIv1___Sc0000002:6072483-6073528	Cluster_959	N	4	83	321	94	86
Pocillopora_meandrina_HIv1___Sc0000002:6079695-6081472	Cluster_960	N	1452	1346	906	2190	276
Pocillopora_meandrina_HIv1___Sc0000002:6081794-6084218	Cluster_961	N	602	781	462	1291	410
Pocillopora_meandrina_HIv1___Sc0000002:6090515-6091327	Cluster_962	N	398	4	141	3	150
Pocillopora_meandrina_HIv1___Sc0000002:6094144-6095261	Cluster_963	N	295	903	2593	765	658
Pocillopora_meandrina_HIv1___Sc0000002:6100125-6101266	Cluster_964	N	3	176	2	1342	110
Pocillopora_meandrina_HIv1___Sc0000002:6102732-6103990	Cluster_965	N	28	1638	27	2758	895
Pocillopora_meandrina_HIv1___Sc0000002:6511195-6511674	Cluster_966	N	39	12	297	26	300
Pocillopora_meandrina_HIv1___Sc0000002:6783071-6783501	Cluster_967	N	940	4	1	0	0
Pocillopora_meandrina_HIv1___Sc0000002:6892811-6894008	Cluster_968	N	2807	193	3381	5011	139
Pocillopora_meandrina_HIv1___Sc0000002:6894228-6894656	Cluster_969	N	1	3	1	164	6
Pocillopora_meandrina_HIv1___Sc0000002:7339211-7339640	Cluster_970	N	1	0	0	97	0
Pocillopora_meandrina_HIv1___Sc0000002:7342304-7342716	Cluster_971	N	47	61	72	2	2
Pocillopora_meandrina_HIv1___Sc0000002:7342738-7343168	Cluster_972	N	33	107	105	2	1
Pocillopora_meandrina_HIv1___Sc0000002:7372934-7373361	Cluster_973	N	1	0	0	161	0
Pocillopora_meandrina_HIv1___Sc0000002:7745977-7746399	Cluster_974	N	23	39	12	48	60
Pocillopora_meandrina_HIv1___Sc0000002:8140569-8140992	Cluster_975	N	1	9	22	22	28
Pocillopora_meandrina_HIv1___Sc0000002:8468347-8468765	Cluster_976	N	37	14	34	22	32
Pocillopora_meandrina_HIv1___Sc0000002:8530203-8530636	Cluster_977	N	0	63	396	409	0
Pocillopora_meandrina_HIv1___Sc0000002:8530938-8531364	Cluster_978	N	23	22	262	3	14
Pocillopora_meandrina_HIv1___Sc0000002:8797244-8797663	Cluster_979	N	110	191	141	151	35
Pocillopora_meandrina_HIv1___Sc0000002:8842763-8843457	Cluster_980	N	35	90	1	107	145
Pocillopora_meandrina_HIv1___Sc0000002:8843642-8844337	Cluster_981	N	113	57	152	517	21
Pocillopora_meandrina_HIv1___Sc0000002:9033889-9034316	Cluster_982	N	38	34	89	74	8
Pocillopora_meandrina_HIv1___Sc0000002:9043627-9044105	Cluster_983	N	4663	13	4897	67	68
Pocillopora_meandrina_HIv1___Sc0000002:9051075-9051502	Cluster_984	N	120	53	33	8	3
Pocillopora_meandrina_HIv1___Sc0000002:9080238-9080665	Cluster_985	N	0	1	6	336	0
Pocillopora_meandrina_HIv1___Sc0000002:9166314-9166741	Cluster_986	N	89	57	38	0	0
Pocillopora_meandrina_HIv1___Sc0000002:9556404-9556813	Cluster_987	N	0	0	70	0	0
Pocillopora_meandrina_HIv1___Sc0000002:9690197-9690615	Cluster_988	N	47	9	35	29	26
Pocillopora_meandrina_HIv1___Sc0000002:9784859-9785294	Cluster_989	N	313	27	846	481	22
Pocillopora_meandrina_HIv1___Sc0000002:9791938-9792368	Cluster_990	N	922	6	299	0	127
Pocillopora_meandrina_HIv1___Sc0000002:9806413-9806891	Cluster_991	N	211	218	328	241	27
Pocillopora_meandrina_HIv1___Sc0000002:9890417-9890827	Cluster_992	N	153	1	0	5	1
Pocillopora_meandrina_HIv1___Sc0000002:9892707-9893120	Cluster_993	N	44	22	1	30	2
Pocillopora_meandrina_HIv1___Sc0000002:10079214-10079641	Cluster_994	N	2	0	339	1	3
Pocillopora_meandrina_HIv1___Sc0000002:10097278-10097878	Cluster_995	N	404	91	153	54	26
Pocillopora_meandrina_HIv1___Sc0000002:10098008-10098437	Cluster_996	N	3	257	101	109	28
Pocillopora_meandrina_HIv1___Sc0000002:10237076-10237574	Cluster_997	N	2	2	1	478	64
Pocillopora_meandrina_HIv1___Sc0000002:10291453-10291881	Cluster_998	N	90	45	85	54	9
Pocillopora_meandrina_HIv1___Sc0000002:10423171-10423595	Cluster_999	N	3	35	3	25	83
Pocillopora_meandrina_HIv1___Sc0000002:10556606-10557024	Cluster_1000	N	11	33	10	46	25
Pocillopora_meandrina_HIv1___Sc0000002:10652369-10652797	Cluster_1001	N	43	0	32	2	7
Pocillopora_meandrina_HIv1___Sc0000002:10656468-10656897	Cluster_1002	N	115	37	1	152	13
Pocillopora_meandrina_HIv1___Sc0000002:10657860-10658289	Cluster_1003	N	496	345	330	513	99
Pocillopora_meandrina_HIv1___Sc0000002:10689132-10689551	Cluster_1004	N	3	29	12	17	56
Pocillopora_meandrina_HIv1___Sc0000002:10689730-10690137	Cluster_1005	N	7	25	11	49	74
Pocillopora_meandrina_HIv1___Sc0000002:10725804-10726232	Cluster_1006	N	75	8	2	39	5
Pocillopora_meandrina_HIv1___Sc0000002:10726293-10726713	Cluster_1007	N	23	78	8	87	10
Pocillopora_meandrina_HIv1___Sc0000002:10791061-10791611	Cluster_1008	N	114	45	0	2	24
Pocillopora_meandrina_HIv1___Sc0000002:10792850-10794071	Cluster_1009	N	442	863	3	1	549
Pocillopora_meandrina_HIv1___Sc0000002:10810071-10810499	Cluster_1010	N	36	11	384	9	0
Pocillopora_meandrina_HIv1___Sc0000002:10810861-10811263	Cluster_1011	N	75	18	26	14	1
Pocillopora_meandrina_HIv1___Sc0000002:10811366-10811817	Cluster_1012	N	1899	43	37	45	5
Pocillopora_meandrina_HIv1___Sc0000002:10812246-10812676	Cluster_1013	N	116	13	26	17	12
Pocillopora_meandrina_HIv1___Sc0000002:10824578-10825173	Cluster_1014	N	484	1049	1491	727	516
Pocillopora_meandrina_HIv1___Sc0000002:10845722-10845816	Cluster_1015	Y	4204	2134	3044	1945	676
Pocillopora_meandrina_HIv1___Sc0000002:10993604-10994751	Cluster_1016	N	123	56	59	324	4
Pocillopora_meandrina_HIv1___Sc0000002:10995537-10995966	Cluster_1017	N	102	44	24	80	4
Pocillopora_meandrina_HIv1___Sc0000002:11007210-11008706	Cluster_1018	N	249	3	1145	240	124
Pocillopora_meandrina_HIv1___Sc0000002:11009550-11010451	Cluster_1019	N	220	1	602	106	96
Pocillopora_meandrina_HIv1___Sc0000002:11010488-11012492	Cluster_1020	N	1376	1795	1251	1000	546
Pocillopora_meandrina_HIv1___Sc0000002:11350672-11351104	Cluster_1021	N	38	137	44	95	111
Pocillopora_meandrina_HIv1___Sc0000002:11590390-11590812	Cluster_1022	N	10	27	82	59	43
Pocillopora_meandrina_HIv1___Sc0000002:11685056-11685473	Cluster_1023	N	2	1	36	52	13
Pocillopora_meandrina_HIv1___Sc0000002:11846947-11847603	Cluster_1024	N	470	79	203	32	26
Pocillopora_meandrina_HIv1___Sc0000002:11943385-11943811	Cluster_1025	N	0	25	107	0	5
Pocillopora_meandrina_HIv1___Sc0000002:12343138-12343591	Cluster_1026	N	245	86	105	89	35
Pocillopora_meandrina_HIv1___Sc0000002:12381688-12382117	Cluster_1027	N	58	22	22	43	13
Pocillopora_meandrina_HIv1___Sc0000002:12537655-12538076	Cluster_1028	N	23	12	19	17	8
Pocillopora_meandrina_HIv1___Sc0000002:12847776-12848204	Cluster_1029	N	0	1	175	13	1
Pocillopora_meandrina_HIv1___Sc0000002:12849337-12849760	Cluster_1030	N	74	90	104	120	56
Pocillopora_meandrina_HIv1___Sc0000002:12946840-12947268	Cluster_1031	N	148	69	169	8	11
Pocillopora_meandrina_HIv1___Sc0000002:12947409-12947849	Cluster_1032	N	184	58	98	15	2
Pocillopora_meandrina_HIv1___Sc0000002:12949693-12950122	Cluster_1033	N	137	12	8	18	76
Pocillopora_meandrina_HIv1___Sc0000002:12972851-12973266	Cluster_1034	N	51	62	46	101	23
Pocillopora_meandrina_HIv1___Sc0000002:13260092-13260514	Cluster_1035	N	14	0	5	101	0
Pocillopora_meandrina_HIv1___Sc0000002:13280874-13281378	Cluster_1036	N	47	115	84	247	244
Pocillopora_meandrina_HIv1___Sc0000002:13301876-13302293	Cluster_1037	N	0	9	2	125	0
Pocillopora_meandrina_HIv1___Sc0000002:13313713-13314217	Cluster_1038	N	86	175	160	246	794
Pocillopora_meandrina_HIv1___Sc0000002:13354140-13354556	Cluster_1039	N	0	53	45	0	5
Pocillopora_meandrina_HIv1___Sc0000002:13453546-13453972	Cluster_1040	N	91	1	2	84	4
Pocillopora_meandrina_HIv1___Sc0000002:13526667-13527088	Cluster_1041	N	184	232	984	297	13
Pocillopora_meandrina_HIv1___Sc0000002:13553543-13553957	Cluster_1042	N	1	2	2	78	14
Pocillopora_meandrina_HIv1___Sc0000002:13698198-13698628	Cluster_1043	N	15	142	939	8	48
Pocillopora_meandrina_HIv1___Sc0000002:13773137-13773566	Cluster_1044	N	429	9	0	282	89
Pocillopora_meandrina_HIv1___Sc0000002:14200611-14201078	Cluster_1045	N	57	73	133	23	31
Pocillopora_meandrina_HIv1___Sc0000002:14286365-14286773	Cluster_1046	N	9	20	12	21	49
Pocillopora_meandrina_HIv1___Sc0000002:14380365-14380782	Cluster_1047	N	1	72	9	1	27
Pocillopora_meandrina_HIv1___Sc0000002:14495754-14496187	Cluster_1048	N	88	12	356	130	0
Pocillopora_meandrina_HIv1___Sc0000002:14568924-14569348	Cluster_1049	N	0	46	0	32	0
Pocillopora_meandrina_HIv1___Sc0000002:14689147-14689571	Cluster_1050	N	46	25	34	10	4
Pocillopora_meandrina_HIv1___Sc0000002:14748982-14749407	Cluster_1051	N	0	18	14	212	41
Pocillopora_meandrina_HIv1___Sc0000002:14800682-14801120	Cluster_1052	N	951	553	501	921	216
Pocillopora_meandrina_HIv1___Sc0000002:14803374-14803892	Cluster_1053	N	70	98	20	129	65
Pocillopora_meandrina_HIv1___Sc0000002:14810100-14810529	Cluster_1054	N	197	0	0	1	0
Pocillopora_meandrina_HIv1___Sc0000002:14815557-14815984	Cluster_1055	N	6	40	28	73	34
Pocillopora_meandrina_HIv1___Sc0000002:14816227-14818006	Cluster_1056	N	517	222	23	909	139
Pocillopora_meandrina_HIv1___Sc0000002:14818051-14818454	Cluster_1057	N	67	52	21	2	20
Pocillopora_meandrina_HIv1___Sc0000002:14818832-14819261	Cluster_1058	N	167	43	8	0	21
Pocillopora_meandrina_HIv1___Sc0000002:14914663-14915089	Cluster_1059	N	33	91	78	20	28
Pocillopora_meandrina_HIv1___Sc0000002:14915654-14916064	Cluster_1060	N	61	26	0	13	1
Pocillopora_meandrina_HIv1___Sc0000002:14921910-14922397	Cluster_1061	N	0	10	0	527	25
Pocillopora_meandrina_HIv1___Sc0000002:14957498-14958006	Cluster_1062	N	1	2	4	3480	11
Pocillopora_meandrina_HIv1___Sc0000002:15113131-15113640	Cluster_1063	N	446	91	3	142	39
Pocillopora_meandrina_HIv1___Sc0000002:15290742-15291230	Cluster_1064	N	501	489	741	782	790
Pocillopora_meandrina_HIv1___Sc0000002:15324522-15325223	Cluster_1065	N	108	61	55	35	14
Pocillopora_meandrina_HIv1___Sc0000002:15326450-15326882	Cluster_1066	N	105	41	28	92	6
Pocillopora_meandrina_HIv1___Sc0000002:15410169-15410609	Cluster_1067	N	153	1	168	82	164
Pocillopora_meandrina_HIv1___Sc0000002:15749261-15749351	Cluster_1068	Y	74	26	58	94	15
Pocillopora_meandrina_HIv1___Sc0000002:15762578-15763408	Cluster_1069	N	1762	1148	679	463	772
Pocillopora_meandrina_HIv1___Sc0000002:15781900-15782431	Cluster_1070	N	70	29	102	109	172
Pocillopora_meandrina_HIv1___Sc0000002:15893989-15894539	Cluster_1071	N	112	46	0	0	22
Pocillopora_meandrina_HIv1___Sc0000002:15894892-15895490	Cluster_1072	N	358	536	1	2	502
Pocillopora_meandrina_HIv1___Sc0000002:15992067-15992491	Cluster_1073	N	85	34	61	17	14
Pocillopora_meandrina_HIv1___Sc0000002:15992814-15993292	Cluster_1074	N	145	63	43	18	29
Pocillopora_meandrina_HIv1___Sc0000002:15993376-15993916	Cluster_1075	N	247	15	23	0	2
Pocillopora_meandrina_HIv1___Sc0000002:15994673-15996167	Cluster_1076	N	2265	128	293	511	73
Pocillopora_meandrina_HIv1___Sc0000002:16076887-16077338	Cluster_1077	N	1788	634	1525	1663	384
Pocillopora_meandrina_HIv1___Sc0000002:16084908-16085406	Cluster_1078	N	2110	2920	848	1356	2370
Pocillopora_meandrina_HIv1___Sc0000002:16086692-16087210	Cluster_1079	N	237	138	134	347	409
Pocillopora_meandrina_HIv1___Sc0000002:16106559-16106650	Cluster_1080	Y	824	527	640	641	337
Pocillopora_meandrina_HIv1___Sc0000002:16801047-16801473	Cluster_1081	N	81	5	82	87	31
Pocillopora_meandrina_HIv1___Sc0000002:16868237-16868878	Cluster_1082	N	207	32	237	48	21
Pocillopora_meandrina_HIv1___Sc0000002:16938840-16939269	Cluster_1083	N	0	1	255	4	2
Pocillopora_meandrina_HIv1___Sc0000002:16988147-16988566	Cluster_1084	N	73	0	0	174	5
Pocillopora_meandrina_HIv1___Sc0000002:16990790-16991219	Cluster_1085	N	0	0	0	173	0
Pocillopora_meandrina_HIv1___Sc0000002:17295508-17295925	Cluster_1086	N	165	111	133	45	39
Pocillopora_meandrina_HIv1___Sc0000002:17411375-17411793	Cluster_1087	N	9	67	31	78	130
Pocillopora_meandrina_HIv1___Sc0000002:17612209-17612634	Cluster_1088	N	42	5	16	30	5
Pocillopora_meandrina_HIv1___Sc0000002:17612844-17613361	Cluster_1089	N	486	249	263	155	29
Pocillopora_meandrina_HIv1___Sc0000002:17766802-17767225	Cluster_1090	N	47	8	23	11	0
Pocillopora_meandrina_HIv1___Sc0000002:17800792-17801407	Cluster_1091	N	247	18	37	61	66
Pocillopora_meandrina_HIv1___Sc0000002:17801485-17802229	Cluster_1092	N	275	21	90	135	73
Pocillopora_meandrina_HIv1___Sc0000002:18043378-18043918	Cluster_1093	N	248	646	166	486	641
Pocillopora_meandrina_HIv1___Sc0000002:18085264-18085716	Cluster_1094	N	146	66	105	104	86
Pocillopora_meandrina_HIv1___Sc0000002:18091100-18091512	Cluster_1095	N	7	19	7	21	58
Pocillopora_meandrina_HIv1___Sc0000002:18236792-18237221	Cluster_1096	N	1	0	20	107	3
Pocillopora_meandrina_HIv1___Sc0000002:18758421-18759131	Cluster_1097	N	213	247	317	71	18
Pocillopora_meandrina_HIv1___Sc0000002:18981108-18982283	Cluster_1098	N	148	69	3178	2420	1192
Pocillopora_meandrina_HIv1___Sc0000002:19021563-19021971	Cluster_1099	N	18	0	19	32	23
Pocillopora_meandrina_HIv1___Sc0000002:19218595-19219028	Cluster_1100	N	160	1	121	236	2
Pocillopora_meandrina_HIv1___Sc0000002:19227899-19228326	Cluster_1101	N	16	1	30	109	0
Pocillopora_meandrina_HIv1___Sc0000002:19229721-19230338	Cluster_1102	N	76	54	80	220	145
Pocillopora_meandrina_HIv1___Sc0000002:19435173-19435585	Cluster_1103	N	12	32	27	46	89
Pocillopora_meandrina_HIv1___Sc0000002:19445465-19445890	Cluster_1104	N	8	31	12	93	88
Pocillopora_meandrina_HIv1___Sc0000002:19538138-19538717	Cluster_1105	N	195	522	354	1028	977
Pocillopora_meandrina_HIv1___Sc0000002:19565330-19565759	Cluster_1106	N	154	30	14	11	68
Pocillopora_meandrina_HIv1___Sc0000003:96476-96895	Cluster_1107	N	40	63	69	54	21
Pocillopora_meandrina_HIv1___Sc0000003:128499-128910	Cluster_1108	N	7	21	8	35	70
Pocillopora_meandrina_HIv1___Sc0000003:174205-175182	Cluster_1109	N	68	6	508	206	22
Pocillopora_meandrina_HIv1___Sc0000003:207738-208184	Cluster_1110	N	38	36	503	2	55
Pocillopora_meandrina_HIv1___Sc0000003:295505-296483	Cluster_1111	N	205	194	296	826	4
Pocillopora_meandrina_HIv1___Sc0000003:313569-314402	Cluster_1112	N	97	0	667	10	40
Pocillopora_meandrina_HIv1___Sc0000003:314771-315209	Cluster_1113	N	55	3	257	0	213
Pocillopora_meandrina_HIv1___Sc0000003:448959-449506	Cluster_1114	N	44	197	58	166	305
Pocillopora_meandrina_HIv1___Sc0000003:467252-467911	Cluster_1115	N	65	200	76	112	172
Pocillopora_meandrina_HIv1___Sc0000003:495066-495158	Cluster_1116	Y	304	154	194	153	185
Pocillopora_meandrina_HIv1___Sc0000003:665773-666190	Cluster_1117	N	22	2	22	17	9
Pocillopora_meandrina_HIv1___Sc0000003:788738-789165	Cluster_1118	N	26	17	129	28	19
Pocillopora_meandrina_HIv1___Sc0000003:879187-879850	Cluster_1119	N	70	168	79	225	448
Pocillopora_meandrina_HIv1___Sc0000003:1018753-1019620	Cluster_1120	N	42	73	752	276	432
Pocillopora_meandrina_HIv1___Sc0000003:1364282-1364948	Cluster_1121	N	146	420	226	915	1055
Pocillopora_meandrina_HIv1___Sc0000003:1709656-1710326	Cluster_1122	N	28	110	33	150	245
Pocillopora_meandrina_HIv1___Sc0000003:1751792-1752219	Cluster_1123	N	94	3	38	107	1
Pocillopora_meandrina_HIv1___Sc0000003:1752820-1753250	Cluster_1124	N	6	8	1220	23	7
Pocillopora_meandrina_HIv1___Sc0000003:1932935-1933362	Cluster_1125	N	16	31	132	83	50
Pocillopora_meandrina_HIv1___Sc0000003:1934606-1935033	Cluster_1126	N	4	11	8	565	0
Pocillopora_meandrina_HIv1___Sc0000003:1936185-1936611	Cluster_1127	N	2	2	620	0	0
Pocillopora_meandrina_HIv1___Sc0000003:2241887-2242315	Cluster_1128	N	29	9	2	146	4
Pocillopora_meandrina_HIv1___Sc0000003:2476590-2477024	Cluster_1129	N	6217	10433	16349	26213	4202
Pocillopora_meandrina_HIv1___Sc0000003:2614870-2615287	Cluster_1130	N	92	0	0	0	1
Pocillopora_meandrina_HIv1___Sc0000003:2620719-2621157	Cluster_1131	N	426	33	2	12	0
Pocillopora_meandrina_HIv1___Sc0000003:2622155-2622587	Cluster_1132	N	22	1	186	10	1
Pocillopora_meandrina_HIv1___Sc0000003:2627197-2627614	Cluster_1133	N	92	0	0	0	0
Pocillopora_meandrina_HIv1___Sc0000003:2645319-2645747	Cluster_1134	N	40	3	4	76	7
Pocillopora_meandrina_HIv1___Sc0000003:2763211-2763632	Cluster_1135	N	6	20	23	47	10
Pocillopora_meandrina_HIv1___Sc0000003:2763676-2764158	Cluster_1136	N	21931	30784	24756	42916	75076
Pocillopora_meandrina_HIv1___Sc0000003:2849464-2849939	Cluster_1137	N	31	174	29	38	99
Pocillopora_meandrina_HIv1___Sc0000003:3008153-3009816	Cluster_1138	N	4999	889	4279	2384	916
Pocillopora_meandrina_HIv1___Sc0000003:3012955-3013651	Cluster_1139	N	0	269	1	1145	1
Pocillopora_meandrina_HIv1___Sc0000003:3014086-3014511	Cluster_1140	N	0	5	92	0	2
Pocillopora_meandrina_HIv1___Sc0000003:3014761-3015310	Cluster_1141	N	0	8	0	296	1
Pocillopora_meandrina_HIv1___Sc0000003:3015890-3016320	Cluster_1142	N	0	3	0	256	0
Pocillopora_meandrina_HIv1___Sc0000003:3033168-3033596	Cluster_1143	N	11	18	71	116	43
Pocillopora_meandrina_HIv1___Sc0000003:3033675-3034111	Cluster_1144	N	183	32	133	64	23
Pocillopora_meandrina_HIv1___Sc0000003:3035419-3036545	Cluster_1145	N	2238	1028	1358	102	116
Pocillopora_meandrina_HIv1___Sc0000003:3036790-3037216	Cluster_1146	N	33	48	3	2	1
Pocillopora_meandrina_HIv1___Sc0000003:3048099-3049555	Cluster_1147	N	1142	221	414	216	73
Pocillopora_meandrina_HIv1___Sc0000003:3062518-3063909	Cluster_1148	N	689	472	786	334	91
Pocillopora_meandrina_HIv1___Sc0000003:3195876-3196291	Cluster_1149	N	91	9	5	13	6
Pocillopora_meandrina_HIv1___Sc0000003:3212023-3212452	Cluster_1150	N	99	8	40	21	4
Pocillopora_meandrina_HIv1___Sc0000003:3214049-3214562	Cluster_1151	N	194	9	22	69	11
Pocillopora_meandrina_HIv1___Sc0000003:3216172-3216596	Cluster_1152	N	1	0	72	2	0
Pocillopora_meandrina_HIv1___Sc0000003:3221774-3222319	Cluster_1153	N	147	107	167	145	37
Pocillopora_meandrina_HIv1___Sc0000003:3228849-3229281	Cluster_1154	N	43	41	2	688	30
Pocillopora_meandrina_HIv1___Sc0000003:3299689-3300095	Cluster_1155	N	41	9	24	4	58
Pocillopora_meandrina_HIv1___Sc0000003:3303172-3303600	Cluster_1156	N	267	743	324	0	422
Pocillopora_meandrina_HIv1___Sc0000003:3438712-3439139	Cluster_1157	N	13	12	131	20	22
Pocillopora_meandrina_HIv1___Sc0000003:3439687-3440217	Cluster_1158	N	351	4	5	9	1
Pocillopora_meandrina_HIv1___Sc0000003:3758358-3758770	Cluster_1159	N	18	26	10	40	36
Pocillopora_meandrina_HIv1___Sc0000003:3760950-3761352	Cluster_1160	N	3	18	3	24	57
Pocillopora_meandrina_HIv1___Sc0000003:3989630-3990132	Cluster_1161	N	23	13	70	130	16
Pocillopora_meandrina_HIv1___Sc0000003:4148805-4149232	Cluster_1162	N	0	0	0	2	184
Pocillopora_meandrina_HIv1___Sc0000003:4502940-4503367	Cluster_1163	N	109	44	18	0	1
Pocillopora_meandrina_HIv1___Sc0000003:4503574-4504274	Cluster_1164	N	412	252	247	3	21
Pocillopora_meandrina_HIv1___Sc0000003:4505371-4506569	Cluster_1165	N	3671	331	866	45	127
Pocillopora_meandrina_HIv1___Sc0000003:4619797-4620224	Cluster_1166	N	25	16	102	21	19
Pocillopora_meandrina_HIv1___Sc0000003:4842828-4843448	Cluster_1167	N	73	68	73	71	184
Pocillopora_meandrina_HIv1___Sc0000003:4944794-4945213	Cluster_1168	N	71	3	2	45	0
