# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "42" "-a" "../output/17-Ptuh-lncRNA/Ptuh-lncRNA.gtf" "-o" "../output/18-Ptuh-lncRNA-matrix/Ptuh-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../data/18-Ptuh-lncRNA-matrix/RNA-POC-47.sorted.bam" "../data/18-Ptuh-lncRNA-matrix/RNA-POC-48.sorted.bam" "../data/18-Ptuh-lncRNA-matrix/RNA-POC-50.sorted.bam" "../data/18-Ptuh-lncRNA-matrix/RNA-POC-53.sorted.bam" "../data/18-Ptuh-lncRNA-matrix/RNA-POC-57.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/18-Ptuh-lncRNA-matrix/RNA-POC-47.sorted.bam	../data/18-Ptuh-lncRNA-matrix/RNA-POC-48.sorted.bam	../data/18-Ptuh-lncRNA-matrix/RNA-POC-50.sorted.bam	../data/18-Ptuh-lncRNA-matrix/RNA-POC-53.sorted.bam	../data/18-Ptuh-lncRNA-matrix/RNA-POC-57.sorted.bam
lncRNA_2585	Pocillopora_meandrina_HIv1___Sc0000003	5086172	5086650	+	479	20	82	48	15	14
lncRNA_2586	Pocillopora_meandrina_HIv1___Sc0000003	5105335	5105899	+	565	2	51	54	63	0
lncRNA_2587	Pocillopora_meandrina_HIv1___Sc0000003	5129898	5132133	+	2236	42	6	52	50	9
lncRNA_2588	Pocillopora_meandrina_HIv1___Sc0000003	5708895	5718732	+	9838	71	210	125	2053	329
lncRNA_2589	Pocillopora_meandrina_HIv1___Sc0000003	5811613	5812529	+	917	8	10	0	54	1
lncRNA_2590	Pocillopora_meandrina_HIv1___Sc0000003	5969245	5973224	+	3980	0	0	0	0	0
lncRNA_2591	Pocillopora_meandrina_HIv1___Sc0000003	5969245	5973224	+	3980	0	0	0	0	0
lncRNA_2592	Pocillopora_meandrina_HIv1___Sc0000003	5973563	5974573	+	1011	491	188	572	674	212
lncRNA_2593	Pocillopora_meandrina_HIv1___Sc0000003	6117757	6118919	+	1163	68	29	87	47	49
lncRNA_2594	Pocillopora_meandrina_HIv1___Sc0000003	6259335	6262737	+	3403	45	4	2	82	2
lncRNA_2595	Pocillopora_meandrina_HIv1___Sc0000003	6555299	6564920	+	9622	41	62	149	84	188
lncRNA_2596	Pocillopora_meandrina_HIv1___Sc0000003	6738706	6739909	+	1204	13577	15382	12197	17218	15025
lncRNA_2597	Pocillopora_meandrina_HIv1___Sc0000003	6753381	6754043	+	663	20	0	8	0	0
lncRNA_2598	Pocillopora_meandrina_HIv1___Sc0000003	6897920	6903386	+	5467	0	0	0	278	138
lncRNA_2599	Pocillopora_meandrina_HIv1___Sc0000003	6999046	7000262	+	1217	22	0	4	7	0
lncRNA_2600	Pocillopora_meandrina_HIv1___Sc0000003	7134860	7135869	+	1010	106	1	0	32	0
lncRNA_2601	Pocillopora_meandrina_HIv1___Sc0000003	7243142	7244495	+	1354	0	0	0	0	0
lncRNA_2602	Pocillopora_meandrina_HIv1___Sc0000003	7243142	7244495	+	1354	0	0	0	0	0
lncRNA_2603	Pocillopora_meandrina_HIv1___Sc0000003	7376176	7377053	+	878	60	12	66	27	26
lncRNA_2604	Pocillopora_meandrina_HIv1___Sc0000003	7601282	7601960	+	679	0	24	5	0	2
lncRNA_2605	Pocillopora_meandrina_HIv1___Sc0000003	7590998	7594331	+	3334	19	193	64	54	6
lncRNA_2606	Pocillopora_meandrina_HIv1___Sc0000003	7611791	7612560	+	770	86	6	17	0	13
lncRNA_2607	Pocillopora_meandrina_HIv1___Sc0000003	7882163	7882877	+	715	495	530	408	263	264
lncRNA_2608	Pocillopora_meandrina_HIv1___Sc0000003	8374939	8378024	+	3086	317	197	246	258	72
lncRNA_2609	Pocillopora_meandrina_HIv1___Sc0000003	8639263	8640192	+	930	0	0	0	0	0
lncRNA_2610	Pocillopora_meandrina_HIv1___Sc0000003	8639283	8640192	+	910	0	0	0	0	0
lncRNA_2611	Pocillopora_meandrina_HIv1___Sc0000003	8703921	8704850	+	930	64	28	0	16	2
lncRNA_2612	Pocillopora_meandrina_HIv1___Sc0000003	8800456	8801765	+	1310	19	7	37	18	0
lncRNA_2613	Pocillopora_meandrina_HIv1___Sc0000003	9117870	9118925	+	1056	16	8	22	10	8
lncRNA_2614	Pocillopora_meandrina_HIv1___Sc0000003	9149629	9150899	+	1271	12	16	70	31	10
lncRNA_2615	Pocillopora_meandrina_HIv1___Sc0000003	9155712	9157644	+	1933	154	73	152	122	44
lncRNA_2616	Pocillopora_meandrina_HIv1___Sc0000003	9524815	9527256	+	2442	1375	133	795	349	281
lncRNA_2617	Pocillopora_meandrina_HIv1___Sc0000003	9668323	9669320	+	998	71	62	141	86	63
lncRNA_2618	Pocillopora_meandrina_HIv1___Sc0000003	9699944	9709655	+	9712	510	512	717	552	781
lncRNA_2619	Pocillopora_meandrina_HIv1___Sc0000003	9726670	9727470	+	801	40	51	28	22	34
lncRNA_2620	Pocillopora_meandrina_HIv1___Sc0000003	9767469	9768546	+	1078	83	7	46	31	0
lncRNA_2621	Pocillopora_meandrina_HIv1___Sc0000003	9842991	9844593	+	1603	15	3	0	10	14
lncRNA_2622	Pocillopora_meandrina_HIv1___Sc0000003	9904817	9906258	+	1442	21	3	40	10	22
lncRNA_2623	Pocillopora_meandrina_HIv1___Sc0000003	10049908	10072460	+	22553	887	352	783	593	172
lncRNA_2624	Pocillopora_meandrina_HIv1___Sc0000003	10264534	10266423	+	1890	295	151	280	269	172
lncRNA_2625	Pocillopora_meandrina_HIv1___Sc0000003	10502334	10503089	+	756	0	23	68	80	6
lncRNA_2626	Pocillopora_meandrina_HIv1___Sc0000003	10972413	10974335	+	1923	192	88	167	174	158
lncRNA_2627	Pocillopora_meandrina_HIv1___Sc0000003	11031235	11046238	+	15004	65	133	90	88	71
lncRNA_2628	Pocillopora_meandrina_HIv1___Sc0000003	11114334	11140436	+	26103	0	0	0	0	0
lncRNA_2629	Pocillopora_meandrina_HIv1___Sc0000003	11114334	11140436	+	26103	0	0	0	0	0
lncRNA_2630	Pocillopora_meandrina_HIv1___Sc0000003	11114334	11145221	+	30888	0	0	0	0	0
lncRNA_2631	Pocillopora_meandrina_HIv1___Sc0000003	11114343	11145221	+	30879	0	0	0	0	0
lncRNA_2632	Pocillopora_meandrina_HIv1___Sc0000003	11140868	11145221	+	4354	0	0	0	0	0
lncRNA_2633	Pocillopora_meandrina_HIv1___Sc0000003	11554386	11556114	+	1729	0	0	149	14	0
lncRNA_2634	Pocillopora_meandrina_HIv1___Sc0000003	12587445	12588802	+	1358	0	7	3	0	0
lncRNA_2635	Pocillopora_meandrina_HIv1___Sc0000003	12587679	12588802	+	1124	0	0	0	0	0
lncRNA_2636	Pocillopora_meandrina_HIv1___Sc0000003	12617464	12691903	+	74440	0	0	0	0	0
lncRNA_2637	Pocillopora_meandrina_HIv1___Sc0000003	12921244	12926068	+	4825	21	52	117	24	101
lncRNA_2638	Pocillopora_meandrina_HIv1___Sc0000003	13135750	13136858	+	1109	0	25	0	17	17
lncRNA_2639	Pocillopora_meandrina_HIv1___Sc0000003	13262435	13271233	+	8799	0	1	0	1083	10
lncRNA_2640	Pocillopora_meandrina_HIv1___Sc0000003	13350090	13350467	+	378	9	4	0	8	0
lncRNA_2641	Pocillopora_meandrina_HIv1___Sc0000003	13366132	13370693	+	4562	480	160	106	116	171
lncRNA_2642	Pocillopora_meandrina_HIv1___Sc0000003	13384228	13385023	+	796	7	0	0	24	0
lncRNA_2643	Pocillopora_meandrina_HIv1___Sc0000003	13442601	13443442	+	842	0	2	0	96	11
lncRNA_2644	Pocillopora_meandrina_HIv1___Sc0000003	13545871	13561699	+	15829	1	163	0	419	108
lncRNA_2645	Pocillopora_meandrina_HIv1___Sc0000003	13546783	13552218	+	5436	0	0	0	0	0
lncRNA_2646	Pocillopora_meandrina_HIv1___Sc0000003	13620318	13620836	+	519	0	0	0	74	0
lncRNA_2647	Pocillopora_meandrina_HIv1___Sc0000003	13620909	13621648	+	740	0	0	0	48	0
lncRNA_2648	Pocillopora_meandrina_HIv1___Sc0000003	13634154	13647583	+	13430	8	52	6	76	59
lncRNA_2649	Pocillopora_meandrina_HIv1___Sc0000003	13647636	13648939	+	1304	0	3	0	37	26
lncRNA_2650	Pocillopora_meandrina_HIv1___Sc0000003	13652410	13663168	+	10759	38	103	20	96	72
lncRNA_2651	Pocillopora_meandrina_HIv1___Sc0000003	13663411	13664519	+	1109	0	75	0	79	145
lncRNA_2652	Pocillopora_meandrina_HIv1___Sc0000003	13723394	13728873	+	5480	570	75	49	289	77
lncRNA_2653	Pocillopora_meandrina_HIv1___Sc0000003	13724971	13728873	+	3903	0	0	0	0	0
lncRNA_2654	Pocillopora_meandrina_HIv1___Sc0000003	13724971	13728873	+	3903	0	0	0	0	0
lncRNA_2655	Pocillopora_meandrina_HIv1___Sc0000003	13725633	13728873	+	3241	0	0	0	0	0
lncRNA_2656	Pocillopora_meandrina_HIv1___Sc0000003	13725633	13728873	+	3241	0	0	0	0	0
lncRNA_2657	Pocillopora_meandrina_HIv1___Sc0000003	13726616	13728873	+	2258	0	0	0	0	0
lncRNA_2658	Pocillopora_meandrina_HIv1___Sc0000003	13822940	13881520	+	58581	105	0	26	2	0
lncRNA_2659	Pocillopora_meandrina_HIv1___Sc0000003	13825719	13874365	+	48647	0	0	0	0	0
lncRNA_2660	Pocillopora_meandrina_HIv1___Sc0000003	13828528	13881520	+	52993	0	0	0	0	0
lncRNA_2661	Pocillopora_meandrina_HIv1___Sc0000003	13828528	13881520	+	52993	0	0	0	0	0
lncRNA_2662	Pocillopora_meandrina_HIv1___Sc0000003	13829191	13881520	+	52330	0	0	0	0	0
lncRNA_2663	Pocillopora_meandrina_HIv1___Sc0000003	13866640	13874959	+	8320	0	0	0	0	0
lncRNA_2664	Pocillopora_meandrina_HIv1___Sc0000003	13871645	13874959	+	3315	0	0	0	0	0
lncRNA_2665	Pocillopora_meandrina_HIv1___Sc0000003	13871645	13874959	+	3315	0	0	0	0	0
lncRNA_2666	Pocillopora_meandrina_HIv1___Sc0000003	13879902	13880718	+	817	0	0	0	0	0
lncRNA_2667	Pocillopora_meandrina_HIv1___Sc0000003	14047182	14049562	+	2381	6	0	0	0	0
lncRNA_2668	Pocillopora_meandrina_HIv1___Sc0000003	14047221	14049562	+	2342	0	0	0	0	0
lncRNA_2669	Pocillopora_meandrina_HIv1___Sc0000003	13850603	13851600	+	998	0	0	0	0	0
lncRNA_2670	Pocillopora_meandrina_HIv1___Sc0000003	14198423	14200373	+	1951	23	20	0	17	349
lncRNA_2671	Pocillopora_meandrina_HIv1___Sc0000003	14215125	14215372	+	248	19	10	150	18	73
lncRNA_2672	Pocillopora_meandrina_HIv1___Sc0000003	14290229	14290614	+	386	0	0	0	0	0
lncRNA_2673	Pocillopora_meandrina_HIv1___Sc0000003	14352061	14353110	+	1050	0	0	0	0	0
lncRNA_2674	Pocillopora_meandrina_HIv1___Sc0000003	14365954	14366263	+	310	0	6	0	0	22
lncRNA_2675	Pocillopora_meandrina_HIv1___Sc0000003	14379711	14380668	+	958	0	0	0	0	0
lncRNA_2676	Pocillopora_meandrina_HIv1___Sc0000003	14425420	14430887	+	5468	16	49	0	1	383
lncRNA_2677	Pocillopora_meandrina_HIv1___Sc0000003	14657323	14660210	+	2888	126	248	36	0	177
lncRNA_2678	Pocillopora_meandrina_HIv1___Sc0000003	14991119	14992052	+	934	238	76	715	44	302
lncRNA_2679	Pocillopora_meandrina_HIv1___Sc0000003	14462879	14463496	+	618	32	0	0	4	4
lncRNA_2680	Pocillopora_meandrina_HIv1___Sc0000003	14816298	14828456	+	12159	275	114	384	21	211
lncRNA_2681	Pocillopora_meandrina_HIv1___Sc0000003	14992740	14993931	+	1192	479	5	85	8	45
lncRNA_2682	Pocillopora_meandrina_HIv1___Sc0000003	15128867	15130706	+	1840	23	0	0	1	113
lncRNA_2683	Pocillopora_meandrina_HIv1___Sc0000003	15144494	15149042	+	4549	0	422	667	391	2
lncRNA_2684	Pocillopora_meandrina_HIv1___Sc0000003	15205901	15207542	+	1642	215	162	143	141	153
lncRNA_2685	Pocillopora_meandrina_HIv1___Sc0000003	15212424	15220360	+	7937	50	13	10	36	16
lncRNA_2686	Pocillopora_meandrina_HIv1___Sc0000003	15393757	15394068	+	312	0	32	0	7	0
lncRNA_2687	Pocillopora_meandrina_HIv1___Sc0000003	15649398	15652690	+	3293	0	0	155	81	15
lncRNA_2688	Pocillopora_meandrina_HIv1___Sc0000003	15721766	15722788	+	1023	13	416	3	208	48
lncRNA_2689	Pocillopora_meandrina_HIv1___Sc0000003	15752584	15753797	+	1214	73	33	1	140	64
lncRNA_2690	Pocillopora_meandrina_HIv1___Sc0000003	15755972	15756473	+	502	3	341	0	29	70
lncRNA_2691	Pocillopora_meandrina_HIv1___Sc0000003	15822287	15824367	+	2081	22	449	14	128	339
lncRNA_2692	Pocillopora_meandrina_HIv1___Sc0000003	15824489	15825216	+	728	1	295	0	158	91
lncRNA_2693	Pocillopora_meandrina_HIv1___Sc0000003	15870211	15870767	+	557	0	34	0	50	11
lncRNA_2694	Pocillopora_meandrina_HIv1___Sc0000003	16053098	16054161	+	1064	53	37	119	42	37
lncRNA_2695	Pocillopora_meandrina_HIv1___Sc0000003	16162033	16163744	+	1712	0	22	238	9	1
lncRNA_2696	Pocillopora_meandrina_HIv1___Sc0000003	16167529	16168165	+	637	0	1	20	81	42
lncRNA_2697	Pocillopora_meandrina_HIv1___Sc0000003	16169453	16170011	+	559	64	189	126	258	271
lncRNA_2698	Pocillopora_meandrina_HIv1___Sc0000003	16857118	16857986	+	869	24	4	0	2	11
lncRNA_2699	Pocillopora_meandrina_HIv1___Sc0000003	16862522	16863948	+	1427	6	8	6	2	3
lncRNA_2700	Pocillopora_meandrina_HIv1___Sc0000003	16918418	16919000	+	583	60	42	5	43	23
lncRNA_2701	Pocillopora_meandrina_HIv1___Sc0000003	17066152	17066383	+	232	20	18	0	10	0
lncRNA_2702	Pocillopora_meandrina_HIv1___Sc0000003	17124716	17125810	+	1095	0	3	0	54	2
lncRNA_2703	Pocillopora_meandrina_HIv1___Sc0000003	17251908	17252193	+	286	0	19	6	11	5
lncRNA_2704	Pocillopora_meandrina_HIv1___Sc0000003	17450296	17451653	+	1358	0	0	0	0	0
lncRNA_2705	Pocillopora_meandrina_HIv1___Sc0000003	17499237	17499556	+	320	0	13	55	29	0
lncRNA_2706	Pocillopora_meandrina_HIv1___Sc0000003	17655849	17768201	+	112353	65	85	126	57	73
lncRNA_2707	Pocillopora_meandrina_HIv1___Sc0000003	17893016	17951187	+	58172	39	58	61	35	101
lncRNA_2708	Pocillopora_meandrina_HIv1___Sc0000003	17893302	17951713	+	58412	0	0	0	0	0
lncRNA_2709	Pocillopora_meandrina_HIv1___Sc0000003	17656595	17715119	+	58525	0	0	0	0	0
lncRNA_2710	Pocillopora_meandrina_HIv1___Sc0000003	17712995	17713956	+	962	0	0	0	0	0
lncRNA_2711	Pocillopora_meandrina_HIv1___Sc0000003	17898053	17955637	+	57585	12	3	2	12	2
lncRNA_2712	Pocillopora_meandrina_HIv1___Sc0000003	18027232	18029239	+	2008	62	262	270	187	340
lncRNA_2713	Pocillopora_meandrina_HIv1___Sc0000003	18355878	18356088	+	211	0	8	0	16	0
lncRNA_2714	Pocillopora_meandrina_HIv1___Sc0000003	18461179	18464333	+	3155	296	53	58	20	18
lncRNA_2715	Pocillopora_meandrina_HIv1___Sc0000003	18518406	18518770	+	365	3	16	4	6	16
lncRNA_2716	Pocillopora_meandrina_HIv1___Sc0000003	18883099	18883321	+	223	0	0	0	0	0
lncRNA_2717	Pocillopora_meandrina_HIv1___Sc0000003	18953775	18955108	+	1334	52	21	0	9	0
lncRNA_2718	Pocillopora_meandrina_HIv1___Sc0000003	19078913	19082971	+	4059	0	182	144	231	0
lncRNA_2719	Pocillopora_meandrina_HIv1___Sc0000003	19084660	19084897	+	238	0	4	0	43	0
lncRNA_2720	Pocillopora_meandrina_HIv1___Sc0000003	19085743	19087152	+	1410	0	24	290	255	0
lncRNA_2721	Pocillopora_meandrina_HIv1___Sc0000003	19117473	19118206	+	734	33	16	89	24	3
lncRNA_2722	Pocillopora_meandrina_HIv1___Sc0000003	19123622	19124073	+	452	11	53	30	10	4
lncRNA_2723	Pocillopora_meandrina_HIv1___Sc0000003	19400963	19404914	+	3952	257	80	185	162	58
lncRNA_2724	Pocillopora_meandrina_HIv1___Sc0000003	292915	293519	+	605	26	62	45	147	36
lncRNA_2725	Pocillopora_meandrina_HIv1___Sc0000003	324059	326236	+	2178	48	28	10	7	37
lncRNA_2726	Pocillopora_meandrina_HIv1___Sc0000003	324898	326236	+	1339	0	0	0	0	0
lncRNA_2727	Pocillopora_meandrina_HIv1___Sc0000003	529546	550522	+	20977	1187	510	511	668	589
lncRNA_2728	Pocillopora_meandrina_HIv1___Sc0000003	563737	564515	+	779	226	278	252	192	142
lncRNA_2729	Pocillopora_meandrina_HIv1___Sc0000003	653915	658801	+	4887	10	2	18	0	0
lncRNA_2730	Pocillopora_meandrina_HIv1___Sc0000003	693258	693696	+	439	0	8	0	22	0
lncRNA_2731	Pocillopora_meandrina_HIv1___Sc0000003	705031	705986	+	956	14113	13168	17937	16317	10488
lncRNA_2732	Pocillopora_meandrina_HIv1___Sc0000003	766306	767568	+	1263	173	56	99	158	30
lncRNA_2733	Pocillopora_meandrina_HIv1___Sc0000003	905993	906459	+	467	212	242	183	372	104
lncRNA_2734	Pocillopora_meandrina_HIv1___Sc0000003	1054075	1066557	+	12483	16	1	1	10	4
lncRNA_2735	Pocillopora_meandrina_HIv1___Sc0000003	1126382	1146017	+	19636	973	1314	920	1262	1352
lncRNA_2736	Pocillopora_meandrina_HIv1___Sc0000003	1163106	1174838	+	11733	0	0	0	0	0
lncRNA_2737	Pocillopora_meandrina_HIv1___Sc0000003	1168409	1173852	+	5444	0	0	0	0	0
lncRNA_2738	Pocillopora_meandrina_HIv1___Sc0000003	1229856	1231200	+	1345	15	54	26	70	96
lncRNA_2739	Pocillopora_meandrina_HIv1___Sc0000003	1233384	1235544	+	2161	21	17	25	12	6
lncRNA_2740	Pocillopora_meandrina_HIv1___Sc0000003	1559233	1582262	+	23030	28	23	79	332	49
lncRNA_2741	Pocillopora_meandrina_HIv1___Sc0000003	1562626	1582262	+	19637	0	0	0	0	0
lncRNA_2742	Pocillopora_meandrina_HIv1___Sc0000003	1564818	1582262	+	17445	0	0	0	0	0
lncRNA_2743	Pocillopora_meandrina_HIv1___Sc0000003	1576954	1581281	+	4328	0	0	0	0	0
lncRNA_2744	Pocillopora_meandrina_HIv1___Sc0000003	1576975	1580358	+	3384	0	0	0	0	0
lncRNA_2745	Pocillopora_meandrina_HIv1___Sc0000003	1574735	1576798	+	2064	0	0	0	0	0
lncRNA_2746	Pocillopora_meandrina_HIv1___Sc0000003	1599065	1601915	+	2851	0	0	0	0	0
lncRNA_2747	Pocillopora_meandrina_HIv1___Sc0000003	1599163	1601915	+	2753	0	0	0	0	0
lncRNA_2748	Pocillopora_meandrina_HIv1___Sc0000003	1814446	1819006	+	4561	35	34	72	30	4
lncRNA_2749	Pocillopora_meandrina_HIv1___Sc0000003	1814636	1817629	+	2994	0	0	0	0	0
lncRNA_2750	Pocillopora_meandrina_HIv1___Sc0000003	1936253	1938769	+	2517	1	0	202	135	31
lncRNA_2751	Pocillopora_meandrina_HIv1___Sc0000003	2086052	2089930	+	3879	9	15	32	37	24
lncRNA_2752	Pocillopora_meandrina_HIv1___Sc0000003	2123421	2126795	+	3375	717	562	623	1469	884
lncRNA_2753	Pocillopora_meandrina_HIv1___Sc0000003	2148479	2149254	+	776	3	84	9	5	2
lncRNA_2754	Pocillopora_meandrina_HIv1___Sc0000003	2634888	2643379	+	8492	163	250	184	308	49
lncRNA_2755	Pocillopora_meandrina_HIv1___Sc0000003	2670932	2673578	+	2647	0	0	0	0	0
lncRNA_2756	Pocillopora_meandrina_HIv1___Sc0000003	2674130	2677015	+	2886	0	0	0	0	0
lncRNA_2757	Pocillopora_meandrina_HIv1___Sc0000003	2686207	2686415	+	209	28	4	12	24	0
lncRNA_2758	Pocillopora_meandrina_HIv1___Sc0000003	2686630	2688398	+	1769	79	36	48	69	4
lncRNA_2759	Pocillopora_meandrina_HIv1___Sc0000003	2851696	2852377	+	682	12	5	34	36	0
lncRNA_2760	Pocillopora_meandrina_HIv1___Sc0000003	3038200	3038584	+	385	214	130	797	92	534
lncRNA_2761	Pocillopora_meandrina_HIv1___Sc0000003	3076069	3076856	+	788	0	14	0	46	0
lncRNA_2762	Pocillopora_meandrina_HIv1___Sc0000003	3298321	3299556	+	1236	61	6	8	17	55
lncRNA_2763	Pocillopora_meandrina_HIv1___Sc0000003	3348852	3351870	+	3019	17	0	1	0	7
lncRNA_2764	Pocillopora_meandrina_HIv1___Sc0000003	3394343	3396387	+	2045	59	0	75	0	27
lncRNA_2765	Pocillopora_meandrina_HIv1___Sc0000003	3548917	3550114	+	1198	28	116	41	24	11
lncRNA_2766	Pocillopora_meandrina_HIv1___Sc0000003	3587824	3588398	+	575	78	378	169	123	184
lncRNA_2767	Pocillopora_meandrina_HIv1___Sc0000003	3592386	3599190	+	6805	201	910	68	468	247
lncRNA_2768	Pocillopora_meandrina_HIv1___Sc0000003	3615061	3615340	+	280	0	37	0	0	24
lncRNA_2769	Pocillopora_meandrina_HIv1___Sc0000003	3745766	3746607	+	842	210	251	159	427	397
lncRNA_2770	Pocillopora_meandrina_HIv1___Sc0000003	3979681	3980508	+	828	9	30	5	0	0
lncRNA_2771	Pocillopora_meandrina_HIv1___Sc0000003	3985244	3994063	+	8820	128	202	44	29	130
lncRNA_2772	Pocillopora_meandrina_HIv1___Sc0000003	3985907	3986973	+	1067	0	0	0	0	0
lncRNA_2773	Pocillopora_meandrina_HIv1___Sc0000003	4345807	4346058	+	252	0	0	0	34	10
lncRNA_2774	Pocillopora_meandrina_HIv1___Sc0000003	4381101	4393996	+	12896	11	0	25	188	111
lncRNA_2775	Pocillopora_meandrina_HIv1___Sc0000003	4438445	4438847	+	403	0	0	0	0	0
lncRNA_2776	Pocillopora_meandrina_HIv1___Sc0000003	4503056	4504071	+	1016	89	81	15	0	26
lncRNA_2777	Pocillopora_meandrina_HIv1___Sc0000003	4774202	4774496	+	295	17	0	20	43	27
lncRNA_2778	Pocillopora_meandrina_HIv1___Sc0000003	4844477	4863739	+	19263	8	18	80	130	42
lncRNA_2779	Pocillopora_meandrina_HIv1___Sc0000003	5013498	5014331	+	834	445	187	392	344	541
lncRNA_2780	Pocillopora_meandrina_HIv1___Sc0000003	5225688	5227003	+	1316	1086	309	918	1196	460
lncRNA_2781	Pocillopora_meandrina_HIv1___Sc0000003	5698306	5698864	+	559	0	0	0	37	0
lncRNA_2782	Pocillopora_meandrina_HIv1___Sc0000003	5852627	5856249	+	3623	73	45	105	247	37
lncRNA_2783	Pocillopora_meandrina_HIv1___Sc0000003	5809334	5809565	+	232	0	20	4	0	6
lncRNA_2784	Pocillopora_meandrina_HIv1___Sc0000003	5849481	5852589	+	3109	131	502	3120	9897	307
lncRNA_2785	Pocillopora_meandrina_HIv1___Sc0000003	5858402	5861330	+	2929	40	85	94	118	17
lncRNA_2786	Pocillopora_meandrina_HIv1___Sc0000003	5912505	5915831	+	3327	90	62	59	11	14
lncRNA_2787	Pocillopora_meandrina_HIv1___Sc0000003	6161920	6163630	+	1711	129	937	68	662	226
lncRNA_2788	Pocillopora_meandrina_HIv1___Sc0000003	6315699	6317961	+	2263	32	4	12	58	4
lncRNA_2789	Pocillopora_meandrina_HIv1___Sc0000003	6316047	6317961	+	1915	0	0	0	0	0
lncRNA_2790	Pocillopora_meandrina_HIv1___Sc0000003	6530005	6531129	+	1125	87	20	88	14	76
lncRNA_2791	Pocillopora_meandrina_HIv1___Sc0000003	6534833	6537104	+	2272	69	40	86	29	0
lncRNA_2792	Pocillopora_meandrina_HIv1___Sc0000003	6553359	6563719	+	10361	1566	478	1985	798	574
lncRNA_2793	Pocillopora_meandrina_HIv1___Sc0000003	6687959	6688773	+	815	6	39	26	63	4
lncRNA_2794	Pocillopora_meandrina_HIv1___Sc0000003	6765069	6783321	+	18253	1423	844	1647	2677	261
lncRNA_2795	Pocillopora_meandrina_HIv1___Sc0000003	6794976	6796963	+	1988	5	0	0	0	0
lncRNA_2796	Pocillopora_meandrina_HIv1___Sc0000003	6795037	6796963	+	1927	0	0	0	0	0
lncRNA_2797	Pocillopora_meandrina_HIv1___Sc0000003	6798378	6800773	+	2396	40	0	24	6	19
lncRNA_2798	Pocillopora_meandrina_HIv1___Sc0000003	6918340	6919020	+	681	40	0	4	6	5
lncRNA_2799	Pocillopora_meandrina_HIv1___Sc0000003	7352220	7353385	+	1166	1068	1808	2339	3817	1909
lncRNA_2800	Pocillopora_meandrina_HIv1___Sc0000003	7417008	7422387	+	5380	62	63	112	113	64
lncRNA_2801	Pocillopora_meandrina_HIv1___Sc0000003	7418522	7422387	+	3866	0	0	0	0	0
lncRNA_2802	Pocillopora_meandrina_HIv1___Sc0000003	7483132	7483855	+	724	236	276	179	234	323
lncRNA_2803	Pocillopora_meandrina_HIv1___Sc0000003	7601758	7605377	+	3620	49	109	181	61	133
lncRNA_2804	Pocillopora_meandrina_HIv1___Sc0000003	7624124	7626219	+	2096	8	34	7	22	0
lncRNA_2805	Pocillopora_meandrina_HIv1___Sc0000003	8053997	8056973	+	2977	210	389	419	436	165
lncRNA_2806	Pocillopora_meandrina_HIv1___Sc0000003	8076987	8079008	+	2022	12	16	73	98	22
lncRNA_2807	Pocillopora_meandrina_HIv1___Sc0000003	8112203	8113146	+	944	696	475	655	410	505
lncRNA_2808	Pocillopora_meandrina_HIv1___Sc0000003	8132801	8134277	+	1477	170	125	265	93	88
lncRNA_2809	Pocillopora_meandrina_HIv1___Sc0000003	8426686	8437566	+	10881	0	0	1	0	0
lncRNA_2810	Pocillopora_meandrina_HIv1___Sc0000003	8426805	8437566	+	10762	0	0	0	0	0
lncRNA_2811	Pocillopora_meandrina_HIv1___Sc0000003	8426861	8437566	+	10706	0	0	0	0	0
lncRNA_2812	Pocillopora_meandrina_HIv1___Sc0000003	8434595	8437566	+	2972	0	0	0	0	0
lncRNA_2813	Pocillopora_meandrina_HIv1___Sc0000003	8447122	8456460	+	9339	277	0	1	106	48
lncRNA_2814	Pocillopora_meandrina_HIv1___Sc0000003	8452879	8456460	+	3582	0	0	0	0	0
lncRNA_2815	Pocillopora_meandrina_HIv1___Sc0000003	8449413	8450132	+	720	0	0	0	0	0
lncRNA_2816	Pocillopora_meandrina_HIv1___Sc0000003	8610105	8612602	+	2498	8	209	139	32	15
lncRNA_2817	Pocillopora_meandrina_HIv1___Sc0000003	8614349	8616129	+	1781	8	205	133	104	36
lncRNA_2818	Pocillopora_meandrina_HIv1___Sc0000003	8622777	8623057	+	281	37	12	1	20	3
lncRNA_2819	Pocillopora_meandrina_HIv1___Sc0000003	8808254	8809150	+	897	10	2	2	0	0
lncRNA_2820	Pocillopora_meandrina_HIv1___Sc0000003	8846183	8880225	+	34043	6275	3663	6909	6623	6902
lncRNA_2821	Pocillopora_meandrina_HIv1___Sc0000003	9655368	9659665	+	4298	267	280	392	280	144
lncRNA_2822	Pocillopora_meandrina_HIv1___Sc0000003	9683694	9687041	+	3348	8	12	0	23	4
lncRNA_2823	Pocillopora_meandrina_HIv1___Sc0000003	10062976	10066267	+	3292	0	0	0	0	0
lncRNA_2824	Pocillopora_meandrina_HIv1___Sc0000003	10062976	10069702	+	6727	0	0	0	0	0
