# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "42" "-a" "../output/19-Apul-lncRNA-matrix/Apul-lncRNAs.gtf" "-o" "../output/19-Apul-lncRNA-matrix/Apul-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../output/07-Apul-Hisat/RNA-ACR-140.sorted.bam" "../output/07-Apul-Hisat/RNA-ACR-145.sorted.bam" "../output/07-Apul-Hisat/RNA-ACR-150.sorted.bam" "../output/07-Apul-Hisat/RNA-ACR-173.sorted.bam" "../output/07-Apul-Hisat/RNA-ACR-178.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../output/07-Apul-Hisat/RNA-ACR-140.sorted.bam	../output/07-Apul-Hisat/RNA-ACR-145.sorted.bam	../output/07-Apul-Hisat/RNA-ACR-150.sorted.bam	../output/07-Apul-Hisat/RNA-ACR-173.sorted.bam	../output/07-Apul-Hisat/RNA-ACR-178.sorted.bam
lncRNA_5268	ptg000007l	6849742	6851188	+	1447	5	8	53	34	121
lncRNA_5269	ptg000007l	6857821	6858244	+	424	0	0	1	6	29
lncRNA_5270	ptg000007l	6866493	6867892	+	1400	0	8	63	8	529
lncRNA_5271	ptg000007l	6870031	6870322	+	292	1	26	0	0	0
lncRNA_5272	ptg000007l	6875082	6877215	+	2134	2	8	16	8	212
lncRNA_5273	ptg000007l	6880351	6881308	+	958	0	0	0	0	66
lncRNA_5274	ptg000007l	6884468	6884906	+	439	0	0	14	24	77
lncRNA_5275	ptg000007l	6889791	6890326	+	536	0	0	2	14	88
lncRNA_5276	ptg000007l	6892132	6892832	+	701	0	5	49	0	54
lncRNA_5277	ptg000007l	6893896	6894551	+	656	2	5	0	0	75
lncRNA_5278	ptg000007l	6895051	6895662	+	612	6	0	9	0	55
lncRNA_5279	ptg000007l	6914388	6914931	+	544	0	15	30	6	179
lncRNA_5280	ptg000007l	6916866	6917171	+	306	0	0	0	0	43
lncRNA_5281	ptg000007l	6921956	6922310	+	355	0	0	0	0	38
lncRNA_5282	ptg000007l	6924764	6925170	+	407	0	0	2	0	78
lncRNA_5283	ptg000007l	6940210	6940759	+	550	34	7	0	12	8
lncRNA_5284	ptg000007l	6984265	6985176	+	912	0	0	23	2	196
lncRNA_5285	ptg000007l	6985442	6986124	+	683	0	16	5	4	90
lncRNA_5286	ptg000007l	6986903	6987163	+	261	0	0	20	6	48
lncRNA_5287	ptg000007l	6999566	7002328	+	2763	15	7	99	19	366
lncRNA_5288	ptg000007l	7008213	7009725	+	1513	3	0	31	12	185
lncRNA_5289	ptg000007l	7015059	7015394	+	336	0	0	4	25	0
lncRNA_5290	ptg000007l	7016118	7016473	+	356	12	0	24	33	1
lncRNA_5291	ptg000007l	7016850	7017409	+	560	0	0	82	1	386
lncRNA_5292	ptg000007l	7018381	7019326	+	946	0	0	0	0	84
lncRNA_5293	ptg000007l	7020590	7021167	+	578	0	0	0	0	61
lncRNA_5294	ptg000007l	7031780	7032139	+	360	0	0	7	3	75
lncRNA_5295	ptg000007l	7048666	7049168	+	503	0	2	34	12	195
lncRNA_5296	ptg000007l	7052664	7053142	+	479	1	0	2	6	120
lncRNA_5297	ptg000007l	7054205	7055399	+	1195	0	1	54	34	455
lncRNA_5298	ptg000007l	7059525	7059818	+	294	0	0	0	2	50
lncRNA_5299	ptg000007l	7069945	7070702	+	758	0	0	14	9	114
lncRNA_5300	ptg000007l	7071199	7072578	+	1380	38	0	22	6	141
lncRNA_5301	ptg000007l	7073656	7073867	+	212	3	0	3	1	13
lncRNA_5302	ptg000007l	7078571	7078780	+	210	6	0	0	10	20
lncRNA_5303	ptg000007l	7089940	7090868	+	929	3	6	33	15	360
lncRNA_5304	ptg000007l	7098923	7099291	+	369	0	0	0	0	13
lncRNA_5305	ptg000007l	7145699	7145998	+	300	0	3	18	11	145
lncRNA_5306	ptg000007l	7150798	7152209	+	1412	0	6	22	6	167
lncRNA_5307	ptg000007l	7158881	7160736	+	1856	0	4	34	12	299
lncRNA_5308	ptg000007l	7162430	7163889	+	1460	3	0	36	8	334
lncRNA_5309	ptg000007l	7167963	7168795	+	833	15	0	45	4	295
lncRNA_5310	ptg000007l	7171470	7171973	+	504	6	23	9	16	4
lncRNA_5311	ptg000007l	7173076	7173381	+	306	0	0	19	2	18
lncRNA_5312	ptg000007l	7180233	7181234	+	1002	0	0	19	0	101
lncRNA_5313	ptg000007l	7229133	7230072	+	940	0	0	4	8	96
lncRNA_5314	ptg000007l	7237174	7237805	+	632	2	0	3	0	75
lncRNA_5315	ptg000007l	7272559	7275156	+	2598	5	12	62	8	368
lncRNA_5316	ptg000007l	7308454	7309473	+	1020	0	8	28	6	255
lncRNA_5317	ptg000007l	7311332	7311741	+	410	1	7	95	40	399
lncRNA_5318	ptg000007l	7317345	7317645	+	301	1	11	5	4	0
lncRNA_5319	ptg000007l	7320394	7321080	+	687	0	0	0	0	27
lncRNA_5320	ptg000007l	7323151	7323630	+	480	0	6	4	0	28
lncRNA_5321	ptg000007l	7338694	7340666	+	1973	203	35	54	24	105
lncRNA_5322	ptg000007l	7347442	7349191	+	1750	0	1	69	9	437
lncRNA_5323	ptg000007l	7362419	7362696	+	278	0	0	0	0	39
lncRNA_5324	ptg000007l	7389029	7389856	+	828	15	0	26	6	142
lncRNA_5325	ptg000007l	7400610	7401424	+	815	0	1	24	7	249
lncRNA_5326	ptg000007l	7421401	7422730	+	1330	0	24	47	22	452
lncRNA_5327	ptg000007l	7424613	7426122	+	1510	0	0	15	0	172
lncRNA_5328	ptg000007l	7441726	7444203	+	2478	17	0	82	2	384
lncRNA_5329	ptg000007l	7455768	7456135	+	368	0	0	0	0	40
lncRNA_5330	ptg000007l	7469054	7470406	+	1353	0	0	38	20	309
lncRNA_5331	ptg000007l	7556633	7557971	+	1339	8	10	46	59	75
lncRNA_5332	ptg000007l	7558877	7559737	+	861	4	163	30	9	21
lncRNA_5333	ptg000007l	7560171	7561818	+	1648	2	2	36	0	231
lncRNA_5334	ptg000007l	7610596	7611739	+	1144	3	0	41	0	214
lncRNA_5335	ptg000007l	7624795	7625913	+	1119	2	0	6	6	175
lncRNA_5336	ptg000007l	7646939	7647568	+	630	8	2	33	1	150
lncRNA_5337	ptg000007l	7654250	7655142	+	893	2	0	2	0	194
lncRNA_5338	ptg000007l	7660828	7661969	+	1142	0	0	52	7	322
lncRNA_5339	ptg000007l	7690672	7691423	+	752	0	0	1	0	9
lncRNA_5340	ptg000007l	7731353	7731947	+	595	109	233	17	81	129
lncRNA_5341	ptg000007l	7736552	7738252	+	1701	0	6	10	23	303
lncRNA_5342	ptg000007l	7743344	7747443	+	4100	1	0	8	0	68
lncRNA_5343	ptg000007l	7761306	7762778	+	1473	6	1	36	2	221
lncRNA_5344	ptg000007l	7793589	7793811	+	223	0	0	0	1	6
lncRNA_5345	ptg000007l	7799687	7799913	+	227	0	0	0	0	1
lncRNA_5346	ptg000007l	7803953	7804687	+	735	0	0	0	0	12
lncRNA_5347	ptg000007l	7806455	7808201	+	1747	0	0	9	2	121
lncRNA_5348	ptg000007l	7828802	7830740	+	1939	0	0	1	0	80
lncRNA_5349	ptg000007l	7881986	7884282	+	2297	1	2	21	0	122
lncRNA_5350	ptg000007l	7884686	7885361	+	676	0	0	1	0	6
lncRNA_5351	ptg000007l	7885573	7886088	+	516	0	0	2	0	24
lncRNA_5352	ptg000007l	7941941	7943107	+	1167	0	0	0	0	32
lncRNA_5353	ptg000007l	7944732	7946294	+	1563	0	0	3	2	73
lncRNA_5354	ptg000007l	7960257	7961075	+	819	0	0	0	0	67
lncRNA_5355	ptg000007l	7967957	7968749	+	793	17	2	30	0	180
lncRNA_5356	ptg000007l	7976099	7978560	+	2462	0	10	10	2	145
lncRNA_5357	ptg000007l	7981777	7983280	+	1504	8	17	8	0	31
lncRNA_5358	ptg000007l	8039527	8040011	+	485	27	55	0	12	8
lncRNA_5359	ptg000007l	8044625	8045039	+	415	0	0	4	4	45
lncRNA_5360	ptg000007l	8051402	8054209	+	2808	2	0	38	30	505
lncRNA_5361	ptg000007l	8055429	8055881	+	453	0	0	8	0	46
lncRNA_5362	ptg000007l	8064576	8065972	+	1397	0	0	45	10	535
lncRNA_5363	ptg000007l	8076963	8078670	+	1708	0	0	39	26	419
lncRNA_5364	ptg000007l	8080162	8081415	+	1254	0	0	14	0	180
lncRNA_5365	ptg000007l	8087471	8088588	+	1118	2	0	17	0	173
lncRNA_5366	ptg000007l	8101158	8101396	+	239	1	16	0	2	39
lncRNA_5367	ptg000007l	8103907	8104920	+	1014	0	14	36	9	153
lncRNA_5368	ptg000007l	8145949	8146154	+	206	0	0	16	0	0
lncRNA_5369	ptg000007l	8148766	8150026	+	1261	0	8	35	0	121
lncRNA_5370	ptg000007l	8155771	8156214	+	444	0	0	0	0	44
lncRNA_5371	ptg000007l	8157377	8157753	+	377	0	0	13	0	116
lncRNA_5372	ptg000007l	8159020	8159652	+	633	0	0	17	6	174
lncRNA_5373	ptg000007l	8160511	8161503	+	993	0	0	23	13	108
lncRNA_5374	ptg000007l	8173059	8175163	+	2105	7	89	92	206	276
lncRNA_5375	ptg000007l	8185388	8185923	+	536	2	41	6	8	46
lncRNA_5376	ptg000007l	8199639	8200065	+	427	0	0	0	0	32
lncRNA_5377	ptg000007l	8330025	8330227	+	203	6	0	10	0	30
lncRNA_5378	ptg000007l	8331415	8331620	+	206	18	0	0	0	0
lncRNA_5379	ptg000007l	8367228	8367480	+	253	0	0	0	0	0
lncRNA_5380	ptg000007l	8496415	8496836	+	422	4	0	40	1	2
lncRNA_5381	ptg000007l	8701885	8702521	+	637	14	0	32	0	147
lncRNA_5382	ptg000007l	8708376	8709257	+	882	25	14	37	23	12
lncRNA_5383	ptg000007l	8771464	8772131	+	668	14	92	36	4	20
lncRNA_5384	ptg000007l	8797923	8798161	+	239	8	0	0	22	5
lncRNA_5385	ptg000007l	8810019	8810350	+	332	28	7	14	0	14
lncRNA_5386	ptg000007l	8814774	8815265	+	492	6	4	0	6	45
lncRNA_5387	ptg000007l	8816655	8819749	+	3095	164	191	149	134	261
lncRNA_5388	ptg000007l	8821681	8822097	+	417	2	29	9	2	11
lncRNA_5389	ptg000007l	8836303	8837507	+	1205	113	0	44	18	321
lncRNA_5390	ptg000007l	8840823	8841055	+	233	0	41	0	0	0
lncRNA_5391	ptg000007l	8844551	8844899	+	349	91	0	173	6	471
lncRNA_5392	ptg000007l	8873396	8873771	+	376	11	0	14	4	45
lncRNA_5393	ptg000007l	8875181	8875394	+	214	0	33	2	3	6
lncRNA_5394	ptg000007l	8887075	8887899	+	825	32	0	10	6	65
lncRNA_5395	ptg000007l	8900925	8901202	+	278	0	8	0	8	6
lncRNA_5396	ptg000007l	8907579	8908198	+	620	12	0	10	0	70
lncRNA_5397	ptg000007l	8967031	8968079	+	1049	92	5	34	18	28
lncRNA_5398	ptg000007l	8988224	8988642	+	419	4	6	38	0	42
lncRNA_5399	ptg000007l	9004579	9005066	+	488	2	0	6	0	33
lncRNA_5400	ptg000007l	9007484	9007706	+	223	3	0	23	3	28
lncRNA_5401	ptg000007l	9011134	9011443	+	310	0	0	0	0	28
lncRNA_5402	ptg000007l	9052593	9053063	+	471	0	0	0	0	0
lncRNA_5403	ptg000007l	9062842	9063055	+	214	0	0	0	0	18
lncRNA_5404	ptg000007l	9110403	9110663	+	261	3	1	30	0	9
lncRNA_5405	ptg000007l	9111509	9111767	+	259	20	0	0	0	0
lncRNA_5406	ptg000007l	9140719	9141570	+	852	1	44	17	7	77
lncRNA_5407	ptg000007l	9161690	9162402	+	713	77	0	201	23	454
lncRNA_5408	ptg000007l	9190882	9191134	+	253	0	2	0	4	20
lncRNA_5409	ptg000007l	9205714	9206451	+	738	6	26	0	16	1
lncRNA_5410	ptg000007l	9206983	9207624	+	642	34	0	60	8	156
lncRNA_5411	ptg000007l	9237446	9237652	+	207	0	0	0	64	7
lncRNA_5412	ptg000007l	9290621	9290829	+	209	0	0	14	5	2
lncRNA_5413	ptg000007l	9292358	9293096	+	739	130	16	43	35	224
lncRNA_5414	ptg000007l	9299737	9300863	+	1127	86	24	126	6	610
lncRNA_5415	ptg000007l	9339852	9340067	+	216	0	0	0	0	5
lncRNA_5416	ptg000007l	9345343	9345571	+	229	0	0	5	25	0
lncRNA_5417	ptg000007l	9368853	9369259	+	407	14	1	0	0	19
lncRNA_5418	ptg000007l	9392494	9392703	+	210	4	0	19	0	20
lncRNA_5419	ptg000007l	9412115	9412702	+	588	10	4	69	8	190
lncRNA_5420	ptg000007l	9413630	9414756	+	1127	25	0	50	9	290
lncRNA_5421	ptg000007l	9417469	9418369	+	901	18	0	26	10	80
lncRNA_5422	ptg000007l	9452224	9452739	+	516	21	4	40	3	96
lncRNA_5423	ptg000007l	9460922	9461196	+	275	0	0	18	2	0
lncRNA_5424	ptg000007l	9469642	9471310	+	1669	46	31	83	12	177
lncRNA_5425	ptg000007l	9485324	9485550	+	227	0	18	0	0	8
lncRNA_5426	ptg000007l	9485831	9486521	+	691	14	0	48	0	14
lncRNA_5427	ptg000007l	9487845	9488127	+	283	0	0	2	0	20
lncRNA_5428	ptg000007l	9489903	9490537	+	635	20	4	64	22	199
lncRNA_5429	ptg000007l	9491136	9492235	+	1100	93	12	31	0	186
lncRNA_5430	ptg000007l	9504026	9504378	+	353	4	0	9	0	52
lncRNA_5431	ptg000007l	9533315	9534720	+	1406	10	0	21	2	120
lncRNA_5432	ptg000007l	9562699	9563061	+	363	14	2	16	1	21
lncRNA_5433	ptg000007l	9586838	9587490	+	653	26	0	30	0	17
lncRNA_5434	ptg000007l	9658542	9659458	+	917	127	9	143	6	551
lncRNA_5435	ptg000007l	9748065	9748764	+	700	12	0	64	2	113
lncRNA_5436	ptg000007l	9758583	9759675	+	1093	35	8	39	6	235
lncRNA_5437	ptg000007l	9782769	9783595	+	827	123	3	101	10	246
lncRNA_5438	ptg000007l	9784857	9785415	+	559	5	2	60	1	114
lncRNA_5439	ptg000007l	9786664	9787447	+	784	16	0	22	23	96
lncRNA_5440	ptg000007l	9802300	9803394	+	1095	15	0	26	0	78
lncRNA_5441	ptg000007l	9805755	9808353	+	2599	79	18	56	29	187
lncRNA_5442	ptg000007l	9829754	9830717	+	964	4	8	69	2	212
lncRNA_5443	ptg000007l	9831474	9831929	+	456	2	4	8	0	57
lncRNA_5444	ptg000007l	9832628	9832848	+	221	0	0	2	1	23
lncRNA_5445	ptg000007l	9841688	9842007	+	320	31	1	11	0	94
lncRNA_5446	ptg000007l	9873095	9873850	+	756	9	1	9	2	135
lncRNA_5447	ptg000007l	9876730	9877536	+	807	23	0	58	2	138
lncRNA_5448	ptg000007l	9884734	9885274	+	541	18	1	2	0	17
lncRNA_5449	ptg000007l	9889850	9891055	+	1206	23	8	69	3	135
lncRNA_5450	ptg000007l	9899151	9899433	+	283	98	1	113	140	133
lncRNA_5451	ptg000007l	9923344	9924333	+	990	22	2	89	22	154
lncRNA_5452	ptg000007l	9924867	9925422	+	556	71	1	57	3	253
lncRNA_5453	ptg000007l	9935733	9937615	+	1883	31	8	28	19	163
lncRNA_5454	ptg000007l	9943282	9944295	+	1014	13	12	28	0	85
lncRNA_5455	ptg000007l	9945576	9947333	+	1758	65	5	95	4	335
lncRNA_5456	ptg000007l	9980848	9981417	+	570	0	36	0	4	5
lncRNA_5457	ptg000007l	9989793	9991844	+	2052	65	11	138	6	446
lncRNA_5458	ptg000007l	10010555	10011946	+	1392	51	4	42	20	304
lncRNA_5459	ptg000007l	10036982	10037790	+	809	8	0	43	30	156
lncRNA_5460	ptg000007l	10042115	10043627	+	1513	73	0	89	17	429
lncRNA_5461	ptg000007l	10043847	10044450	+	604	26	0	48	0	149
lncRNA_5462	ptg000007l	10054033	10055033	+	1001	96	9	41	8	174
lncRNA_5463	ptg000007l	10055830	10056129	+	300	62	39	30	0	0
lncRNA_5464	ptg000007l	10058478	10059052	+	575	64	2	4	16	103
lncRNA_5465	ptg000007l	10059383	10060329	+	947	22	0	24	0	110
lncRNA_5466	ptg000007l	10068105	10072629	+	4525	80	43	96	25	394
lncRNA_5467	ptg000007l	10085417	10085822	+	406	0	0	2	0	33
lncRNA_5468	ptg000007l	10120356	10121840	+	1485	49	4	14	0	154
lncRNA_5469	ptg000007l	10123646	10124903	+	1258	22	2	48	4	135
lncRNA_5470	ptg000007l	10127245	10127837	+	593	18	0	16	2	62
lncRNA_5471	ptg000007l	10131138	10131484	+	347	7	0	0	0	32
lncRNA_5472	ptg000007l	10132606	10133089	+	484	0	0	5	0	50
lncRNA_5473	ptg000007l	10133646	10135479	+	1834	138	15	173	26	913
lncRNA_5474	ptg000007l	10204904	10205354	+	451	27	3	8	13	0
lncRNA_5475	ptg000007l	10207021	10207909	+	889	74	0	32	2	16
lncRNA_5476	ptg000007l	10233742	10234794	+	1053	44	0	36	1	156
lncRNA_5477	ptg000007l	10246123	10247366	+	1244	6	0	0	2	88
lncRNA_5478	ptg000007l	10259554	10261037	+	1484	20	0	25	4	220
lncRNA_5479	ptg000007l	10268765	10268979	+	215	3	0	0	0	1
lncRNA_5480	ptg000007l	10270757	10271243	+	487	5	1	3	1	7
lncRNA_5481	ptg000007l	10283498	10285506	+	2009	110	2	115	57	513
lncRNA_5482	ptg000007l	10304252	10304598	+	347	2	0	12	0	42
lncRNA_5483	ptg000007l	10314849	10315998	+	1150	20	0	38	6	122
lncRNA_5484	ptg000007l	10319474	10320819	+	1346	20	8	47	14	178
lncRNA_5485	ptg000007l	10323192	10323968	+	777	6	0	29	10	55
lncRNA_5486	ptg000007l	10326882	10327585	+	704	1	10	6	69	12
lncRNA_5487	ptg000007l	10330464	10330975	+	512	2	0	8	2	43
lncRNA_5488	ptg000007l	10340134	10340478	+	345	14	2	44	4	128
lncRNA_5489	ptg000007l	10356367	10357171	+	805	31	9	45	4	167
lncRNA_5490	ptg000007l	10389256	10390924	+	1669	18	0	0	8	121
lncRNA_5491	ptg000007l	10391411	10392437	+	1027	109	32	10	40	14
lncRNA_5492	ptg000007l	10419348	10419615	+	268	0	0	2	1	30
lncRNA_5493	ptg000007l	10422483	10423160	+	678	7	1	14	0	61
lncRNA_5494	ptg000007l	10425389	10425788	+	400	2	0	17	0	24
lncRNA_5495	ptg000007l	10427925	10431362	+	3438	146	28	296	13	1070
lncRNA_5496	ptg000007l	10433879	10435341	+	1463	32	0	47	0	150
lncRNA_5497	ptg000007l	10437953	10438476	+	524	6	4	7	21	47
lncRNA_5498	ptg000007l	10440732	10441055	+	324	0	0	22	1	48
lncRNA_5499	ptg000007l	10445784	10446115	+	332	15	0	19	0	88
lncRNA_5500	ptg000007l	10446473	10448925	+	2453	81	0	215	22	511
lncRNA_5501	ptg000007l	10449511	10450096	+	586	59	0	14	0	98
lncRNA_5502	ptg000007l	10450500	10451009	+	510	3	0	4	0	39
lncRNA_5503	ptg000007l	10464529	10465477	+	949	34	0	20	0	160
lncRNA_5504	ptg000007l	10470007	10471359	+	1353	92	5	108	7	350
lncRNA_5505	ptg000007l	10472485	10472726	+	242	0	0	0	54	1
lncRNA_5506	ptg000007l	10473409	10474219	+	811	36	2	65	0	114
lncRNA_5507	ptg000007l	10488219	10489274	+	1056	53	2	84	0	310
lncRNA_5508	ptg000007l	10497557	10498166	+	610	4	0	29	0	136
lncRNA_5509	ptg000007l	10505633	10505970	+	338	2	0	20	0	66
lncRNA_5510	ptg000007l	10509061	10509269	+	209	0	0	10	0	23
lncRNA_5511	ptg000007l	10526532	10527426	+	895	13	0	48	0	116
lncRNA_5512	ptg000007l	10530757	10531423	+	667	0	11	36	0	3
lncRNA_5513	ptg000007l	10567530	10568329	+	800	52	4	46	7	72
lncRNA_5514	ptg000007l	10588938	10589305	+	368	2	0	23	0	10
lncRNA_5515	ptg000007l	10593993	10594585	+	593	4	0	4	4	131
lncRNA_5516	ptg000007l	10599447	10600233	+	787	36	2	24	0	143
lncRNA_5517	ptg000007l	10602306	10603084	+	779	2	0	20	3	68
lncRNA_5518	ptg000007l	10626702	10627008	+	307	0	0	0	0	24
lncRNA_5519	ptg000007l	10676165	10677817	+	1653	2	12	38	0	85
lncRNA_5520	ptg000007l	10712545	10713005	+	461	0	0	0	0	10
lncRNA_5521	ptg000007l	10713297	10713853	+	557	62	1	18	0	52
lncRNA_5522	ptg000007l	10715085	10715572	+	488	23	0	0	0	52
lncRNA_5523	ptg000007l	10725029	10725647	+	619	11	2	7	8	101
lncRNA_5524	ptg000007l	10728110	10729748	+	1639	21	3	19	16	178
lncRNA_5525	ptg000007l	10780289	10781639	+	1351	61	26	55	18	119
lncRNA_5526	ptg000007l	10785637	10786091	+	455	2	0	10	0	100
lncRNA_5527	ptg000007l	10815054	10815559	+	506	68	2	68	14	199
lncRNA_5528	ptg000007l	10823581	10823867	+	287	0	0	14	0	13
lncRNA_5529	ptg000007l	10825256	10826128	+	873	6	7	32	7	131
lncRNA_5530	ptg000007l	10856234	10857004	+	771	46	10	29	9	91
lncRNA_5531	ptg000007l	10869519	10870415	+	897	53	24	103	8	408
lncRNA_5532	ptg000007l	10892360	10892642	+	283	0	0	18	0	0
lncRNA_5533	ptg000007l	10903933	10904149	+	217	4	0	2	0	4
lncRNA_5534	ptg000007l	10913620	10913869	+	250	6	0	12	6	34
lncRNA_5535	ptg000007l	10918196	10918662	+	467	0	0	32	0	0
lncRNA_5536	ptg000007l	10939391	10940471	+	1081	18	0	39	2	160
lncRNA_5537	ptg000007l	10963549	10963861	+	313	35	0	20	0	20
lncRNA_5538	ptg000007l	10965995	10966461	+	467	3	0	0	0	33
lncRNA_5539	ptg000007l	10984061	10986630	+	2570	26	0	63	10	311
lncRNA_5540	ptg000007l	10990351	10990629	+	279	12	0	21	0	47
lncRNA_5541	ptg000007l	10992064	10993007	+	944	3	0	19	2	165
lncRNA_5542	ptg000007l	10995251	10996369	+	1119	6	28	48	10	261
lncRNA_5543	ptg000007l	11003211	11003613	+	403	22	2	2	4	85
lncRNA_5544	ptg000007l	11023758	11025509	+	1752	28	5	29	0	199
lncRNA_5545	ptg000007l	11030730	11031282	+	553	16	0	40	10	48
lncRNA_5546	ptg000007l	11034164	11034946	+	783	1	5	26	15	28
lncRNA_5547	ptg000007l	11039572	11040008	+	437	2	4	6	2	25
lncRNA_5548	ptg000007l	11041472	11042315	+	844	22	0	52	2	137
lncRNA_5549	ptg000007l	11052968	11053917	+	950	32	0	38	0	112
lncRNA_5550	ptg000007l	11056432	11057183	+	752	8	10	74	0	184
lncRNA_5551	ptg000007l	11057698	11058384	+	687	4	0	123	2	241
lncRNA_5552	ptg000007l	11059358	11061408	+	2051	49	10	58	8	329
lncRNA_5553	ptg000007l	11069720	11070319	+	600	22	2	40	2	250
lncRNA_5554	ptg000007l	11072037	11073068	+	1032	24	2	40	0	220
lncRNA_5555	ptg000007l	11074715	11075647	+	933	61	0	35	18	221
lncRNA_5556	ptg000007l	11081094	11082509	+	1416	0	6	42	0	137
lncRNA_5557	ptg000007l	11099189	11099902	+	714	12	0	51	0	126
lncRNA_5558	ptg000007l	11100885	11101985	+	1101	16	0	22	2	180
lncRNA_5559	ptg000007l	11109216	11110814	+	1599	0	3	0	10	145
lncRNA_5560	ptg000007l	11155371	11155688	+	318	0	0	3	25	0
lncRNA_5561	ptg000007l	11161311	11161632	+	322	5	0	0	0	28
lncRNA_5562	ptg000007l	11164697	11165635	+	939	60	8	127	14	337
lncRNA_5563	ptg000007l	11168288	11168908	+	621	44	0	78	3	400
lncRNA_5564	ptg000007l	11180642	11181367	+	726	11	0	6	0	61
lncRNA_5565	ptg000007l	11195195	11195604	+	410	2	0	5	0	48
lncRNA_5566	ptg000007l	11211307	11211760	+	454	29	10	95	14	321
lncRNA_5567	ptg000007l	11214102	11214337	+	236	0	0	26	5	0
lncRNA_5568	ptg000007l	11217200	11218310	+	1111	28	0	67	0	81
lncRNA_5569	ptg000007l	11219603	11220562	+	960	78	0	56	18	166
lncRNA_5570	ptg000007l	11242898	11243486	+	589	16	0	4	2	49
lncRNA_5571	ptg000007l	11315020	11315867	+	848	100	2	72	8	167
lncRNA_5572	ptg000007l	11316497	11317462	+	966	4	11	38	14	136
lncRNA_5573	ptg000007l	11321948	11322289	+	342	12	7	0	2	22
lncRNA_5574	ptg000007l	11322636	11322903	+	268	24	10	0	0	2
lncRNA_5575	ptg000007l	11323299	11323503	+	205	11	8	1	0	0
lncRNA_5576	ptg000007l	11357740	11358442	+	703	17	0	18	0	66
lncRNA_5577	ptg000007l	11360627	11361710	+	1084	34	0	20	11	70
lncRNA_5578	ptg000007l	11379214	11379854	+	641	30	0	40	26	153
lncRNA_5579	ptg000007l	11380109	11380508	+	400	18	0	18	0	35
lncRNA_5580	ptg000007l	11402203	11402830	+	628	1	0	36	0	39
lncRNA_5581	ptg000007l	11408736	11409517	+	782	34	2	72	8	392
lncRNA_5582	ptg000007l	11410994	11411466	+	473	3	0	0	0	30
lncRNA_5583	ptg000007l	11422527	11423238	+	712	0	0	46	2	228
lncRNA_5584	ptg000007l	11434559	11435557	+	999	20	0	49	0	153
lncRNA_5585	ptg000007l	11446291	11446636	+	346	0	0	7	0	20
lncRNA_5586	ptg000007l	11446838	11447608	+	771	108	0	95	0	232
lncRNA_5587	ptg000007l	11450220	11451299	+	1080	86	1	81	2	375
lncRNA_5588	ptg000007l	11451872	11453110	+	1239	30	0	98	8	359
lncRNA_5589	ptg000007l	11461486	11461827	+	342	0	0	14	1	54
lncRNA_5590	ptg000007l	11465984	11467006	+	1023	0	0	45	2	110
lncRNA_5591	ptg000007l	11467322	11469634	+	2313	14	0	32	2	175
lncRNA_5592	ptg000007l	11479922	11481287	+	1366	6	0	69	2	226
lncRNA_5593	ptg000007l	11484484	11485448	+	965	16	2	20	6	97
lncRNA_5594	ptg000007l	11495835	11497804	+	1970	93	0	65	8	401
lncRNA_5595	ptg000007l	11504624	11505231	+	608	45	0	65	3	276
lncRNA_5596	ptg000007l	11506338	11507181	+	844	50	0	45	8	172
lncRNA_5597	ptg000007l	11512761	11513512	+	752	29	20	61	3	333
lncRNA_5598	ptg000007l	11519477	11520006	+	530	1	0	1	0	10
lncRNA_5599	ptg000007l	11548162	11549591	+	1430	121	4	0	0	0
lncRNA_5600	ptg000007l	11614998	11616390	+	1393	40	0	74	0	192
lncRNA_5601	ptg000007l	11623887	11624637	+	751	38	0	18	10	88
lncRNA_5602	ptg000007l	11642214	11642577	+	364	0	0	34	0	10
lncRNA_5603	ptg000007l	11681722	11682585	+	864	38	0	57	2	85
lncRNA_5604	ptg000007l	11705697	11707269	+	1573	2	0	33	0	84
lncRNA_5605	ptg000007l	11731736	11732413	+	678	1	1	5	5	13
lncRNA_5606	ptg000007l	11796686	11797631	+	946	8	0	26	0	76
lncRNA_5607	ptg000007l	11824458	11824760	+	303	3	15	0	21	0
lncRNA_5608	ptg000007l	11835791	11836095	+	305	2	8	2	3	6
lncRNA_5609	ptg000007l	11840825	11842397	+	1573	44	6	68	21	173
lncRNA_5610	ptg000007l	11898952	11900348	+	1397	8	0	35	0	51
lncRNA_5611	ptg000007l	11904015	11904453	+	439	1	0	0	0	8
lncRNA_5612	ptg000007l	11916757	11917447	+	691	8	0	1	0	18
lncRNA_5613	ptg000007l	11947638	11949540	+	1903	16	3	44	0	167
lncRNA_5614	ptg000007l	12005004	12005995	+	992	2	37	20	0	40
lncRNA_5615	ptg000007l	12022456	12023764	+	1309	10	0	15	4	66
lncRNA_5616	ptg000007l	12024216	12024861	+	646	9	0	13	4	15
lncRNA_5617	ptg000007l	12026922	12028738	+	1817	2	0	0	0	12
lncRNA_5618	ptg000007l	12038549	12038846	+	298	3	9	2	1	0
lncRNA_5619	ptg000007l	12048937	12050398	+	1462	12	2	22	1	104
