"miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","region","given_miRNA_name"
"Cluster_1826","FUN_016990",0.843564389592331,0.0725060997067702,0.989103129061577,176,-22.06,"2 21","7923 7944",19,"78.95%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_018493",0.928164924252686,0.0228614031833272,0.905558613653586,170,-21.51,"2 20","18181 18204",20,"80.00%","85.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_018716",0.877590524462239,0.0504564923150908,0.96546924320845,163,-20.28,"2 21","2982 3004",20,"70.00%","85.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_018848",-0.149251028698799,0.810675587046585,0.998649612991003,163,-20.28,"2 21","22266 22288",20,"70.00%","85.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_018930",0.204473343458347,0.741482136170626,0.998649612991003,188,-22.81,"2 21","13906 13927",19,"89.47%","94.74%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_018940",-0.0928212815378106,0.88198620145617,0.998649612991003,180,-22.94,"2 21","2557 2578",19,"84.21%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_017761",-0.774487623279272,0.124114883085639,0.998649612991003,162,-21.23,"2 21","6695 6721",24,"70.83%","79.17%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_019017",-0.0643901201623388,0.918072640177358,0.998649612991003,176,-22.53,"2 21","16377 16398",19,"78.95%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_017894",-0.393255482761254,0.51251459912698,0.998649612991003,169,-20.98,"2 18","6393 6414",16,"81.25%","93.75%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_017989",0.837639151137102,0.0765923995848954,0.998649612991003,163,-20.68,"2 21","6009 6031",20,"75.00%","80.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_018004",-0.393504316292404,0.512223318105721,0.998649612991003,163,-21.88,"2 21","4147 4170",21,"66.67%","85.71%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_017790",0.155891735506642,0.80231938240012,0.998649612991003,162,-20.42,"2 21","3445 3469",22,"77.27%","77.27%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_018182",0.84384825706486,0.0723120815794317,0.988794914948621,168,-22.41,"2 20","17090 17109",18,"83.33%","88.89%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_018216",0.0933375628740214,0.881331705411331,0.998649612991003,163,-20.28,"2 21","4224 4246",20,"70.00%","85.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_018426",0.119013261661595,0.848826094215042,0.998649612991003,169,-20.98,"2 18","7716 7737",16,"81.25%","93.75%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_018470",0.198034462239956,0.749512616037573,0.998649612991003,170,-21.51,"2 20","14853 14876",20,"80.00%","85.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_019432",0.975390043799703,0.00461732457227294,0.573540204158957,173,-21.59,"2 18","13693 13714",16,"87.50%","93.75%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_019565",NA,NA,NA,160,-20.27,"2 21","4343 4361",19,"73.68%","84.21%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_021196",0.261695275740715,0.670642460505142,0.998649612991003,175,-20.19,"2 21","7490 7512",20,"80.00%","90.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_021932",0.179544823159475,0.772630663448237,0.998649612991003,166,-20.32,"2 21","7579 7599",19,"78.95%","84.21%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_022197",-0.0826411992505336,0.894897850266528,0.998649612991003,170,-24.67,"2 21","7383 7403",19,"73.68%","94.74%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_022219",0.638076784338904,0.246688058798455,0.998649612991003,164,-20.17,"2 20","14584 14605",19,"78.95%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_022272",-0.0343397588595286,0.956285855698356,0.998649612991003,166,-21.54,"2 21","8006 8030",22,"77.27%","81.82%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_022308",-0.193650328980701,0.754986568841054,0.998649612991003,171,-20.45,"2 21","15057 15079",20,"80.00%","85.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_022358",-0.269889325537705,0.660584776125088,0.998649612991003,154,-20.65,"2 20","34292 34319",24,"62.50%","75.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_022386",0.803284584381567,0.101587993592388,0.998649612991003,167,-20.14,"2 21","2248 2270",20,"75.00%","85.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_022389",0.365138413676081,0.545639204723923,0.998649612991003,174,-21.27,"2 21","5055 5080",23,"82.61%","82.61%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_023801",0.278001284392855,0.650651453839004,0.998649612991003,163,-20.28,"2 21","37998 38020",20,"70.00%","85.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_022968",0.561128797231389,0.325048588343492,0.998649612991003,171,-22.18,"2 21","43192 43216",22,"77.27%","81.82%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_023004",0.54220536838636,0.345143964783447,0.998649612991003,164,-22.07,"2 17","1317 1338",15,"80.00%","93.33%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_023073",0.734644545324982,0.157393100534757,0.998649612991003,168,-23.71,"2 18","4298 4322",19,"84.21%","84.21%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_023136",0.707496097267191,0.181339702722651,0.998649612991003,167,-20.17,"2 21","499 522",21,"76.19%","80.95%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_023139",-0.066603727448248,0.915260240285637,0.998649612991003,172,-21.76,"2 19","7713 7733",17,"88.24%","94.12%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_023157",0.623918435919823,0.260672784444217,0.998649612991003,162,-21.2,"2 21","11940 11964",22,"72.73%","81.82%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_023163",-0.105854032082399,0.865474583895673,0.998649612991003,174,-20.36,"2 20","7255 7278",20,"85.00%","85.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_023236",-0.518240615848832,0.371013355177887,0.998649612991003,166,-20.54,"2 21","15113 15138",23,"78.26%","78.26%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_023239",0.332441541904526,0.584653516237847,0.998649612991003,172,-21.65,"2 21","10593 10614",19,"73.68%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_022855",-0.177612075948474,0.775051956723894,0.998649612991003,163,-24.28,"2 21","830 857",25,"68.00%","76.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_023449",0.503490951166051,0.387157387646845,0.998649612991003,159,-21.57,"2 21","8191 8213",20,"70.00%","80.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_023478",-0.128347677222404,0.8370324428401,0.998649612991003,174,-20.31,"2 21","11019 11039",19,"84.21%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_023557",0.292856840416361,0.632523823826901,0.998649612991003,162,-21.2,"2 21","39019 39042",21,"71.43%","85.71%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_024946",-0.0921013462361168,0.882898924857316,0.998649612991003,171,-20.53,"2 17","651 673",16,"93.75%","93.75%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_024208",-0.210121569757697,0.734446816338487,0.998649612991003,179,-22.97,"2 21","17861 17883",20,"85.00%","90.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_024208",-0.210121569757697,0.734446816338487,0.998649612991003,179,-22.97,"2 21","72961 72983",20,"85.00%","90.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_024208",-0.210121569757697,0.734446816338487,0.998649612991003,179,-22.97,"2 21","89523 89545",20,"85.00%","90.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_024208",-0.210121569757697,0.734446816338487,0.998649612991003,180,-22.41,"2 21","33424 33445",19,"78.95%","94.74%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_024213",-0.306872195232466,0.615500278464662,0.998649612991003,179,-22.97,"2 21","191 213",20,"85.00%","90.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_024216",-0.330357443411559,0.587157121198882,0.998649612991003,158,-21.26,"2 20","11375 11402",24,"66.67%","75.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_024224",0.237104633762119,0.700961998473087,0.998649612991003,162,-22.12,"2 21","11849 11876",25,"72.00%","76.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_024253",0.518252980352129,0.370999891296245,0.998649612991003,175,-21.67,"2 21","53759 53781",20,"85.00%","85.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_024416",-0.0310117483400255,0.960520945612247,0.998649612991003,172,-21.65,"2 21","1359 1380",19,"73.68%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_024476",-0.241399903002317,0.695651927458454,0.998649612991003,171,-20.01,"2 21","6165 6188",21,"80.95%","80.95%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_024494",0.140773240626716,0.821355712091906,0.998649612991003,180,-22.94,"2 21","290 311",19,"84.21%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_023979",0.561438432896877,0.324722305737411,0.998649612991003,170,-22.73,"2 21","7875 7900",23,"78.26%","82.61%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_023981",0.326571790585328,0.591709726734559,0.998649612991003,171,-21.2,"2 21","3520 3543",21,"80.95%","80.95%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_024564",-0.0574727426432,0.926863736423435,0.998649612991003,180,-21.16,"2 21","4108 4129",19,"84.21%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_023983",0.611250486884233,0.273358357341238,0.998649612991003,155,-20.25,"2 21","3426 3448",20,"65.00%","80.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_024618",-0.388454289191713,0.518141380564213,0.998649612991003,169,-21.21,"2 19","5264 5287",19,"78.95%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_025224",0.314991303671066,0.605675151766488,0.998649612991003,168,-20.39,"2 17","13040 13061",15,"86.67%","93.33%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_025224",0.314991303671066,0.605675151766488,0.998649612991003,168,-20.39,"2 17","13289 13310",15,"86.67%","93.33%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_025234",-0.552231675935302,0.334459135483126,0.998649612991003,163,-21.16,"2 21","3143 3166",21,"76.19%","76.19%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_025555",0.324518751362185,0.594181342485596,0.998649612991003,163,-20.28,"2 21","78936 78958",20,"70.00%","85.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_025556",0.546981399826684,0.340043811670123,0.998649612991003,162,-21.45,"2 20","7618 7641",20,"70.00%","85.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_026568",0.379962562037787,0.528123481788375,0.998649612991003,163,-20.28,"2 21","56624 56646",20,"70.00%","85.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_026583",-0.260171812194504,0.67251499566863,0.998649612991003,180,-20.85,"2 21","23925 23946",19,"84.21%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_026713",-0.266955652354606,0.664182963776288,0.998649612991003,163,-20.26,"2 21","10458 10482",22,"68.18%","81.82%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_026902",-0.0253044008852424,0.967784874793353,0.998649612991003,168,-21.74,"2 18","9922 9944",17,"88.24%","88.24%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_026924",NA,NA,NA,161,-20.46,"2 20","72 95",20,"75.00%","85.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_026928",0.0406501787845898,0.948256842717747,0.998649612991003,163,-20.28,"2 21","4834 4856",20,"70.00%","85.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_026984",0.664855800517861,0.220822443869973,0.998649612991003,171,-21.2,"2 21","14776 14799",21,"80.95%","80.95%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_025890",-0.406003802961874,0.497635552552599,0.998649612991003,184,-27.4,"2 21","3560 3581",19,"84.21%","94.74%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_025903",-0.532833760836494,0.355205820304024,0.998649612991003,176,-21.81,"2 21","317 338",19,"78.95%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_025909",-0.476172123013174,0.417480529003141,0.998649612991003,180,-21.29,"2 21","17696 17717",19,"84.21%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_025958",NA,NA,NA,188,-29.96,"2 21","2024 2045",19,"84.21%","100.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_026116",-0.0660610242004044,0.915949709662215,0.998649612991003,162,-20.01,"2 20","747 772",22,"72.73%","77.27%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_026127",-0.0305444551035965,0.961115639959689,0.998649612991003,163,-20.28,"2 21","20734 20756",20,"70.00%","85.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_026166",-0.0206516532909096,0.973707367545877,0.998649612991003,179,-21.18,"2 21","141 164",21,"85.71%","85.71%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_026242",-0.67042134705849,0.215546837477131,0.998649612991003,158,-21.26,"2 20","14784 14811",24,"66.67%","75.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_026415",0.60975558098695,0.274865855131584,0.998649612991003,175,-23.54,"2 21","11403 11425",20,"75.00%","95.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_025817",0.182218404181898,0.769282706630372,0.998649612991003,172,-21.04,"2 21","357 378",19,"78.95%","84.21%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_026490",0.614841424587043,0.269746168423191,0.998649612991003,179,-21.18,"2 21","22685 22708",21,"85.71%","85.71%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_027781",0.808099653556091,0.0979565751044678,0.998649612991003,168,-22.41,"2 20","22124 22143",18,"83.33%","88.89%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_027831",-0.152893581315578,0.80609097749891,0.998649612991003,172,-21.44,"2 21","3472 3493",19,"73.68%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_027914",0.50238196320165,0.388377818495729,0.998649612991003,175,-22.73,"2 21","5863 5885",20,"80.00%","90.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_028049",0.877590524462239,0.0504564923150908,0.96546924320845,174,-22.78,"2 21","874 898",22,"81.82%","86.36%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_028149",0.335169584235637,0.581379296545457,0.998649612991003,164,-21.8,"2 21","9117 9138",19,"68.42%","84.21%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_028201",-0.243586165124012,0.692951375433628,0.998649612991003,179,-20.29,"2 21","467 490",21,"85.71%","85.71%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_028473",-0.908727017543713,0.0326445146297522,0.938179401891841,163,-20.28,"2 21","5840 5862",20,"70.00%","85.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_027558",-0.399053544180664,0.505736284415929,0.998649612991003,154,-21.45,"2 20","124 147",20,"65.00%","80.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_027613",0.106488710046466,0.864671054316145,0.998649612991003,163,-20.28,"2 21","5459 5481",20,"70.00%","85.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_027748",-0.360495053180217,0.55114846021487,0.998649612991003,158,-21.26,"2 20","11826 11853",24,"66.67%","75.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_028753",NA,NA,NA,164,-22.76,"2 21","2154 2175",19,"68.42%","84.21%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_029032",0.264145635205409,0.667632332453933,0.998649612991003,168,-20.74,"2 21","5275 5294",19,"84.21%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_028524",0.893475775305987,0.0410622224864101,0.96546924320845,155,-21.36,"2 21","894 919",23,"65.22%","73.91%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_030742",0.585044268888853,0.300096186733443,0.998649612991003,158,-21.38,"2 20","15967 15994",24,"66.67%","75.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_031183",0.304575195670172,0.618284877890263,0.998649612991003,154,-21.02,"2 20","6232 6259",24,"62.50%","75.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_031388",-0.293416515028497,0.631842528111726,0.998649612991003,180,-22.94,"2 21","9684 9705",19,"84.21%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_031472",0.764712330005974,0.132061976588613,0.998649612991003,158,-21.05,"2 20","6473 6500",24,"66.67%","75.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_031531",0.206562825667487,0.738878516265791,0.998649612991003,180,-21.52,"2 21","30540 30561",19,"84.21%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_029474",-0.0814977192853007,0.896348862700578,0.998649612991003,166,-21.26,"2 21","8427 8451",22,"77.27%","81.82%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_031586",0.616822751780969,0.267758587625735,0.998649612991003,170,-20.2,"2 21","13071 13095",22,"81.82%","81.82%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_031619",0.877590524462239,0.0504564923150908,0.96546924320845,175,-22.57,"2 20","685 706",18,"77.78%","94.44%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_031809",-0.409754115159253,0.493275767471166,0.998649612991003,172,-20.73,"2 21","501 522",19,"73.68%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_031969",-0.539101694152178,0.34846832888817,0.998649612991003,165,-21.89,"2 14","1166 1187",12,"100.00%","100.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_031973",-0.185197679513001,0.765553936205814,0.998649612991003,184,-20.13,"2 21","14488 14509",19,"89.47%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_032166",0.745672988024405,0.14795114359906,0.998649612991003,171,-22.97,"2 21","8313 8336",21,"80.95%","80.95%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_032278",-0.488401486417346,0.403840348673659,0.998649612991003,175,-23.6,"2 20","6234 6255",18,"77.78%","94.44%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_032460",-0.9304022712408,0.0218092070283069,0.893332308356872,168,-22.41,"2 20","6137 6156",18,"83.33%","88.89%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_032460",-0.9304022712408,0.0218092070283069,0.893332308356872,172,-20.25,"2 20","5887 5906",18,"88.89%","88.89%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_029309",0.2130934117191,0.730748637804096,0.998649612991003,174,-23.17,"2 21","1955 1975",19,"84.21%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_032568",0.463103432410961,0.432170757537072,0.998649612991003,166,-21.04,"2 20","1611 1634",20,"80.00%","80.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_032656",-0.800640957935145,0.103598731847932,0.998649612991003,180,-24.69,"2 21","6414 6435",19,"84.21%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_032801",0.352000064677088,0.561254945084645,0.998649612991003,163,-20.28,"2 21","4249 4271",20,"70.00%","85.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_032843",NA,NA,NA,172,-20.25,"2 20","32429 32448",18,"88.89%","88.89%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_029622",-0.228779287758132,0.711270521322259,0.998649612991003,167,-23.33,"2 21","50329 50352",21,"76.19%","80.95%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_032988",0.278498273168438,0.650043657584142,0.998649612991003,166,-20.56,"2 20","4643 4665",19,"78.95%","84.21%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_033126",-0.374715017557198,0.534310934099813,0.998649612991003,162,-21.62,"2 16","2060 2083",16,"87.50%","87.50%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_029681",-0.172092712653911,0.781971158382186,0.998649612991003,180,-22.94,"2 21","5072 5093",19,"84.21%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_029289",-0.699285237932143,0.188770638173509,0.998649612991003,164,-20.38,"2 21","1448 1466",19,"78.95%","84.21%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_029891",0.469893383499741,0.424523881333895,0.998649612991003,163,-20.28,"2 21","87311 87333",20,"70.00%","85.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_030070",0.867183453814504,0.0569331294725613,0.96546924320845,180,-22.94,"2 21","3799 3820",19,"84.21%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_033979",0.748773197831212,0.145327872400449,0.998649612991003,168,-23.13,"2 18","3781 3803",17,"88.24%","88.24%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_034026",0.450003240739786,0.447010435338047,0.998649612991003,162,-20.04,"2 20","2305 2330",22,"72.73%","77.27%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_034079",0.303429690366075,0.619674351345641,0.998649612991003,165,-20.16,"2 20","2194 2218",21,"80.95%","80.95%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_034082",0.764506830561434,0.132230608388139,0.998649612991003,158,-21.26,"2 20","2715 2742",24,"66.67%","75.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_033699",-0.209853660825366,0.734780323161433,0.998649612991003,170,-20.94,"2 20","2368 2390",19,"78.95%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_035735",-0.077652604648424,0.901229086593314,0.998649612991003,171,-20.22,"2 21","5739 5761",20,"80.00%","85.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_035803",0.863228258584392,0.05945819389522,0.965603825811459,175,-22.76,"2 21","2983 3006",21,"80.95%","85.71%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_035820",-0.247693734448992,0.687881698562772,0.998649612991003,170,-20.73,"2 21","7488 7511",21,"80.95%","85.71%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_035864",0.0264744250323936,0.966295653201121,0.998649612991003,166,-20.78,"2 20","4786 4809",20,"80.00%","80.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_034898",-0.296603788353074,0.627964979740825,0.998649612991003,158,-21.26,"2 20","10209 10236",24,"66.67%","75.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_035979",0.590499548834104,0.294476802195328,0.998649612991003,170,-22.05,"2 20","5018 5040",19,"73.68%","94.74%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_036066",-0.0879457171164325,0.888168548507588,0.998649612991003,169,-20.97,"2 20","2599 2622",20,"80.00%","90.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_036143",0.30398536456199,0.619000263838859,0.998649612991003,187,-25.3,"2 20","2107 2128",18,"94.44%","94.44%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_036189",0.720802497199786,0.169480614517793,0.998649612991003,168,-22.86,"2 21","6011 6029",19,"84.21%","84.21%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_036213",0.831298001208727,0.0810414324361966,0.998649612991003,156,-20.02,"2 18","11103 11126",18,"77.78%","77.78%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_036504",0.0528267827925024,0.932770148169608,0.998649612991003,159,-20.18,"2 21","14363 14389",24,"66.67%","75.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_034991",-0.052567192566686,0.933100209467337,0.998649612991003,171,-20.38,"2 21","16885 16908",21,"80.95%","80.95%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_035079",-0.0262844198324719,0.9665374911467,0.998649612991003,174,-23.75,"2 21","4186 4206",19,"84.21%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_035154",0.677509057773482,0.208880024985878,0.998649612991003,161,-20.27,"2 18","351 372",16,"81.25%","81.25%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_035244",-0.283663448945464,0.643732297637228,0.998649612991003,179,-20.72,"2 21","3907 3929",20,"85.00%","90.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_035490",-0.577121799470593,0.308305548888728,0.998649612991003,163,-20.28,"2 21","3996 4018",20,"70.00%","85.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_035554",0.419756821804758,0.481687076481437,0.998649612991003,171,-20.38,"2 21","10966 10988",20,"80.00%","85.00%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_035602",-0.800161449266014,0.103964722637382,0.998649612991003,151,-20.56,"2 21","1442 1468",24,"62.50%","70.83%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_037429",NA,NA,NA,180,-22.94,"2 21","2451 2472",19,"84.21%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_037481",-0.0245434860684148,0.968753400639123,0.998649612991003,176,-23.42,"2 21","1626 1647",19,"84.21%","84.21%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_037551",0.877180977858006,0.0507066769421259,0.96546924320845,167,-20.88,"2 21","5560 5585",23,"73.91%","78.26%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_037808",0.154284692506088,0.804340775726574,0.998649612991003,167,-21.86,"2 21","13416 13439",21,"76.19%","80.95%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_037082",0.663800612643339,0.221826635870135,0.998649612991003,184,-21.63,"2 21","2994 3015",19,"89.47%","89.47%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_037087",0.625050667919065,0.259546839441053,0.998649612991003,167,-21.51,"2 20","1423 1444",18,"77.78%","83.33%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_037125",-0.27356197226883,0.656084561645205,0.998649612991003,172,-20.25,"2 20","2147 2166",18,"88.89%","88.89%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_037199",0.90481445789973,0.0347448453576058,0.953189260570013,168,-20.39,"2 17","7510 7531",15,"86.67%","93.33%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_037341",-0.322072038830505,0.597129297802024,0.998649612991003,170,-22.08,"2 21","58499 58522",21,"80.95%","85.71%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_037341",-0.322072038830505,0.597129297802024,0.998649612991003,170,-22.08,"2 21","72748 72771",21,"80.95%","85.71%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_037360",0.292249496892019,0.63326328542857,0.998649612991003,174,-22.42,"2 21","16718 16741",21,"85.71%","85.71%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_037367",0.380145159617184,0.527908436400849,0.998649612991003,174,-22.42,"2 21","6672 6695",21,"85.71%","85.71%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_037369",0.652954411721935,0.232220955245609,0.998649612991003,170,-22.08,"2 21","4342 4365",21,"80.95%","85.71%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_037400",-0.444070708606793,0.453767173409032,0.998649612991003,158,-20.2,"2 21","2638 2662",22,"68.18%","81.82%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_037974",0.637000271047771,0.247744039894934,0.998649612991003,163,-20.66,"2 21","24714 24737",21,"71.43%","80.95%","CDS","apul-mir-novel-6"
"Cluster_1826","FUN_038740",0.818196825031715,0.0904738631379651,0.998649612991003,174,-21.46,"2 21","8473 8493",19,"84.21%","89.47%","CDS","apul-mir-novel-6"
