"accession","protein_name","gene_name","species"
"ENSMUSP00000116313","Histone-lysine N-methyltransferase SETD2 (KMT3A)","Kmt3a-Setd2","Mus musculus"
"ENSMUSP00000097089","Histone-lysine N-methyltransferase NSD1 (KMT3B)","Kmt3b-Nsd1","Mus musculus"
"ENSMUSP00000027897","SET and MYND domain-containing protein 2 (SMYD2/KMT3C)","Kmt3c-Smyd2","Mus musculus"
"ENSMUSP00000100973","Histone-lysine N-methyltransferase DOT1L (KMT4)","Kmt4-Dot1l","Mus musculus"
"ENSMUSP00000098275","Histone-lysine N-methyltransferase SETD8 (KMT5A)","Kmt5a—Setd8","Mus musculus"
"ENSMUSP00000109606","Histone-lysine N-methyltransferase KMT5B (SUV420H1)","Kmt5b","Mus musculus"
"ENSMUSP00000096452","Histone-lysine N-methyltransferase KMT5C (SUV420H2)","Kmt5c","Mus musculus"
"ENSMUSP00000080419","Histone-lysine N-methyltransferase EZH2 (KMT6)","Kmt6-Ezh2","Mus musculus"
"ENSMUSP00000043492","Histone-lysine N-methyltransferase SETD7 (KMT7)","Kmt7-Setd7/9","Mus musculus"
"ENSMUSP00000101404","PR domain zinc finger protein 2 (PRDM2/KMT8)","Kmt8-Prdm2","Mus musculus"
"ENSMUSP00000039248","PR domain zinc finger protein 1 (Blimp1)","Prdm1","Mus musculus"
"ENSMUSP00000134626","EVI1/MDS1 and EVI1 complex locus protein (MECOM/PRDM3)","Mecom-PRDM3","Mus musculus"
"ENSMUSP00000151931","PR domain zinc finger protein 4","Prdm4","Mus musculus"
"ENSMUSP00000031976","PR domain zinc finger protein 5","Prdm5","Mus musculus"
"ENSMUSP00000089513","PR domain zinc finger protein 6","Prdm6","Mus musculus"
"ENSP00000396732","PR domain zinc finger protein 7","PRDM7","Homo sapiens"
"ENSMUSP00000108583","PR domain zinc finger protein 8","Prdm8","Mus musculus"
"ENSMUSP00000156841","PR domain zinc finger protein 9","Prdm9","Mus musculus"
"ENSMUSP00000149699","PR domain zinc finger protein 10","Prdm10","Mus musculus"
"ENSMUSP00000158933","PR domain zinc finger protein 11","Prdm11","Mus musculus"
"ENSMUSP00000109098","PR domain zinc finger protein 12","Prdm12","Mus musculus"
"ENSMUSP00000092761","PR domain zinc finger protein 13","Prdm13","Mus musculus"
"ENSMUSP00000044245","PR domain zinc finger protein 14","Prdm14","Mus musculus"
"ENSMUSP00000093533","PR domain zinc finger protein 15","Prdm15","Mus musculus"
"ENSMUSP00000101263","PR domain zinc finger protein 16","Prdm16","Mus musculus"
"ENSMUSP00000048225","Histone-lysine N-methyltransferase SETMAR (Metnase)","Setmar","Mus musculus"
"ENSMUSP00000070957","Set1/Ash2 histone methyltransferase complex subunit ASH2","Ash2l","Mus musculus"
"ENSMUSP00000058940","Histone-lysine N-methyltransferase NSD2 (WHSC1/MMSET)","Whsc1-Nsd2","Mus musculus"
"ENSMUSP00000117778","Histone-lysine N-methyltransferase NSD3 (WHSC1L1)","Whsc1l-Nsd3","Mus musculus"
"ENSMUSP00000102906","Histone-lysine N-methyltransferase EZH1","Ezh1","Mus musculus"
"ENSMUSP00000066413","Histone methyltransferase SETD3","Setd3","Mus musculus"
"ENSMUSP00000023669","SET domain-containing protein 4","Setd4","Mus musculus"
"ENSMUSP00000047398","SET domain-containing protein 5","Setd5","Mus musculus"
"ENSMUSP00000034096","N-lysine methyltransferase SETD6","Setd6","Mus musculus"
"ENSMUSP00000073911","SET and MYND domain-containing protein 1","Smyd1","Mus musculus"
"ENSMUSP00000117410","SET and MYND domain-containing protein 3","Smyd3","Mus musculus"
"ENSMUSP00000047505","SET and MYND domain-containing protein 4","Smyd4","Mus musculus"
"ENSMUSP00000048537","SET and MYND domain-containing protein 5","Smyd5","Mus musculus"
"ENSMUSP00000095137","Methyl-CpG-binding domain protein 1","Mbd1","Mus musculus"
"ENSMUSP00000073701","Methyl-CpG-binding domain protein 2","Mbd2","Mus musculus"
"ENSMUSP00000089948","Methyl-CpG-binding domain protein 3","Mbd3","Mus musculus"
"ENSMUSP00000032469","Methyl-CpG-binding domain protein 4","Mbd4","Mus musculus"
"ENSMUSP00000036847","Methyl-CpG-binding domain protein 5","Mbd5","Mus musculus"
"ENSMUSP00000026476","Methyl-CpG-binding domain protein 6","Mbd6","Mus musculus"
"ENSMUSP00000088443","Bromodomain adjacent to zinc finger domain protein 2B","Baz2b","Mus musculus"
"ENSMUSP00000001258","E3 ubiquitin-protein ligase UHRF1","Uhrf1","Mus musculus"
"ENSMUSP00000025739","E3 ubiquitin-protein ligase UHRF2","Uhrf2","Mus musculus"
"ENSMUSP00000049983","Zinc finger and BTB domain-containing protein 33 (Kaiso)","Zbtb33","Mus musculus"
"ENSMUSP00000104279","Zinc finger and BTB domain-containing protein 4","Zbtb4","Mus musculus"
"ENSMUSP00000091315","Zinc finger and BTB domain-containing protein 38","Zbtb38","Mus musculus"
"ENSMUSP00000065811","Zinc finger protein 57","Zfp57","Mus musculus"
"ENSMUSP00000103245","Krueppel-like factor 4","Klf4","Mus musculus"
"ENSMUSP00000126931","Early growth response protein 1","Egr1","Mus musculus"
"ENSMUSP00000117891","Wilms tumor protein","Wt1","Mus musculus"
"ENSMUSP00000005841","CCCTC-binding factor","Ctcf","Mus musculus"
"ENSP00000342626","Eyes absent homolog 1 (H2AX phosphatase)","EYA1","Homo sapiens"
"ENSP00000362978","Eyes absent homolog 3","EYA3","Homo sapiens"
"ENSP00000347434","Eyes absent homolog 4","EYA4","Homo sapiens"
"ENSP00000333640","Eyes absent homolog 2","EYA2","Homo sapiens"
"ENSP00000306682","Protein phosphatase 1D (WIP1)","PPM1D","Homo sapiens"
"ENSP00000362648","Serine/threonine-protein phosphatase 6 catalytic subunit","PPP6C","Homo sapiens"
"ENSP00000279387","Serine/threonine-protein phosphatase 4 catalytic subunit","PPP4C","Homo sapiens"
"ENSP00000328228","Cell division cycle associated 2 (Repo-Man; PP1 targeting)","CDCA2","Homo sapiens"
"ENSP00000303515","tRNA-dihydrouridine synthase 1-like","DUS1L","Homo sapiens"
"ENSP00000365936","Serine/threonine-protein phosphatase PP1-alpha catalytic subunit","PPP1CA","Homo sapiens"
"ENSP00000378769","Serine/threonine-protein phosphatase PP1-beta catalytic subunit","PPP1CB","Homo sapiens"
"ENSP00000335084","Serine/threonine-protein phosphatase PP1-gamma catalytic subunit","PPP1CC","Homo sapiens"
"ENSMUSP00000097167","Protein arginine N-methyltransferase 2","Prmt2","Mus musculus"
"ENSMUSP00000032715","Protein arginine N-methyltransferase 3","Prmt3","Mus musculus"
"ENSMUSP00000023873","Protein arginine N-methyltransferase 5","Prmt5","Mus musculus"
"ENSMUSP00000140836","Protein arginine N-methyltransferase 6","Prmt6","Mus musculus"
"ENSMUSP00000071521","Protein arginine N-methyltransferase 7","Prmt7","Mus musculus"
"ENSMUSP00000032500","Protein arginine N-methyltransferase 8","Prmt8","Mus musculus"
"ENSMUSP00000050181","Protein arginine N-methyltransferase 9","Prmt9","Mus musculus"
"ENSP00000238994","Protein phosphatase 1 regulatory subunit 3C (PTG)","PPP1R3C","Homo sapiens"
"ENSP00000360035","Protein phosphatase 1 regulatory subunit 3D (R6)","PPP1R3D","Homo sapiens"
"ENSP00000308318","Protein phosphatase 1 regulatory subunit 3B (GL)","PPP1R3B","Homo sapiens"
"ENSP00000055335","Protein phosphatase 1 regulatory subunit 3F","PPP1R3F","Homo sapiens"
"ENSP00000393832","Protein phosphatase 1 regulatory subunit 3G","PPP1R3G","Homo sapiens"
"ENSP00000284601","Protein phosphatase 1 regulatory subunit 3A (GM)","PPP1R3A","Homo sapiens"
"ENSP00000408288","Protein phosphatase 1 regulatory subunit 3E","PPP1R3E","Homo sapiens"
"ENSP00000234038","Protein phosphatase 1 regulatory subunit 7","PPP1R7","Homo sapiens"
"ENSP00000311677","Protein phosphatase 1 regulatory subunit 8 (NIPP1)","PPP1R8","Homo sapiens"
"ENSP00000405514","Protein phosphatase 1 regulatory subunit 9A (neurabin-1)","PPP1R9A","Homo sapiens"
"ENSP00000478767","Protein phosphatase 1 regulatory subunit 9B (neurabin-2/spinophilin)","PPP1R9B","Homo sapiens"
"ENSP00000365963","Protein phosphatase 1 regulatory subunit 11 (PNUTS-like)","PPP1R11","Homo sapiens"
"ENSP00000389168","Protein phosphatase 1 regulatory subunit 12A (MYPT1)","PPP1R12A","Homo sapiens"
"ENSP00000263433","Protein phosphatase 1 regulatory subunit 12C (MBS85)","PPP1R12C","Homo sapiens"
"ENSP00000476755","Protein phosphatase 1 regulatory subunit 12B (MYPT2)","PPP1R12B","Homo sapiens"
"ENSP00000202556","Protein phosphatase 1 regulatory subunit 13B (ASPP1)","PPP1R13B","Homo sapiens"
"ENSP00000355260","Protein phosphatase 1 regulatory subunit 14C","PPP1R14C","Homo sapiens"
"ENSP00000310117","Protein phosphatase 1 regulatory subunit 14B (PHI-1)","PPP1R14B","Homo sapiens"
"ENSP00000301242","Protein phosphatase 1 regulatory subunit 14A (CPI-17)","PPP1R14A","Homo sapiens"
"ENSP00000299174","Protein phosphatase 1 regulatory subunit 14D","PPP1R14D","Homo sapiens"
"ENSP00000356156","Protein phosphatase 1 regulatory subunit 15B (GADD34-related)","PPP1R15B","Homo sapiens"
"ENSP00000391126","Protein phosphatase 1 regulatory subunit 16A (MYPT3)","PPP1R16A","Homo sapiens"
"ENSP00000299824","Protein phosphatase 1 regulatory subunit 16B (TA-MYPT)","PPP1R16B","Homo sapiens"
"ENSP00000365694","Protein phosphatase 1 regulatory subunit 10 (PNUTS)","PPP1R10","Homo sapiens"
"ENSP00000254079","Protein phosphatase 1 regulatory subunit 1B (DARPP-32)","PPP1R1B","Homo sapiens"
"ENSP00000280295","Protein phosphatase 1 regulatory subunit 1C (I-3)","PPP1R1C","Homo sapiens"
"ENSP00000484580","Protein phosphatase inhibitor 2","PPP1R2","Homo sapiens"
"ENSP00000373474","N6-adenosine-methyltransferase non-catalytic subunit (METTL14)","METTL14","Homo sapiens"
"ENSP00000351141","pre-mRNA-splicing regulator WTAP (m6A writer complex)","WTAP","Homo sapiens"
"ENSP00000297591","Vir-like m6A methyltransferase associated (KIAA1429)","VIRMA","Homo sapiens"
"ENSP00000222597","Hakai (CBLL1); E3 ubiquitin ligase, m6A writer complex","CBLL1","Homo sapiens"
"ENSP00000242848","Zinc finger CCCH domain-containing protein 13 (m6A writer complex)","ZC3H13","Homo sapiens"
"ENSP00000358799","RNA-binding protein 15","RBM15","Homo sapiens"
"ENSP00000263092","RNA N6-methyladenosine methyltransferase METTL16","METTL16","Homo sapiens"
"ENSP00000303468","Zinc finger CCHC domain-containing protein 4 (rRNA m6A writer)","ZCCHC4","Homo sapiens"
"ENSP00000260953","rRNA adenine N(6)-methyltransferase (METTL5)","METTL5","Homo sapiens"
"ENSP00000438349","tRNA methyltransferase subunit TRMT112","TRMT112","Homo sapiens"
"ENSP00000454545","RNA-binding protein 15B","RBM15B","Homo sapiens"
"ENSP00000361486","mRNA cap-specific m6Am methyltransferase PCIF1","PCIF1","Homo sapiens"
"ENSP00000382091","mRNA demethylase ALKBH5 (m6A eraser)","ALKBH5","Homo sapiens"
"ENSP00000490516","Alpha-ketoglutarate-dependent dioxygenase FTO (m6A eraser)","FTO","Homo sapiens"
"ENSP00000161863","YTH domain-containing protein 2 (m6A reader/helicase)","YTHDC2","Homo sapiens"
"ENSP00000339245","YTH domain-containing protein 1 (m6A nuclear reader)","YTHDC1","Homo sapiens"
"ENSP00000359364","YTH domain-containing family protein 1 (m6A cytoplasmic reader)","YTHDF1","Homo sapiens"
"ENSP00000362918","YTH domain-containing family protein 2 (m6A decay reader)","YTHDF2","Homo sapiens"
"ENSP00000473496","YTH domain-containing family protein 3 (m6A reader)","YTHDF3","Homo sapiens"
"ENSP00000338095","Heterogeneous nuclear ribonucleoprotein C","HNRNPC","Homo sapiens"
"ENSP00000359645","RNA-binding motif protein, X-linked (HNRNPG)","RBMX","Homo sapiens"
"ENSP00000290341","Insulin-like growth factor 2 mRNA-binding protein 1","IGF2BP1","Homo sapiens"
"ENSP00000410242","Insulin-like growth factor 2 mRNA-binding protein 2","IGF2BP2","Homo sapiens"
"ENSP00000258729","Insulin-like growth factor 2 mRNA-binding protein 3","IGF2BP3","Homo sapiens"
"ENSP00000218200","Fragile X mental retardation protein 1","FMR1","Homo sapiens"
"ENSP00000346694","Heterogeneous nuclear ribonucleoproteins A2/B1","HNRNPA2B1","Homo sapiens"
"ENSP00000356253","ETS-related transcription factor ELF3","ELF3","Homo sapiens"
"ENSP00000365201","Proline-rich coiled-coil-containing protein 2A (m6A reader)","PRRC2A","Homo sapiens"
"ENSP00000458290","N6-adenosine-methyltransferase METTL4","METTL4","Homo sapiens"
"ENSP00000373715","mRNA-decapping enzyme subunit DCP2","DCP2","Homo sapiens"
"ENSP00000264670","tRNA (cytosine(34)-C(5))-methyltransferase NSUN2","NSUN2","Homo sapiens"
"ENSP00000367030","tRNA (cytosine-5-)-methyltransferase TRDMT1 (DNMT2)","TRDMT1","Homo sapiens"
"ENSP00000419740","Bifunctional methyltransferase/rRNA maturation factor NSUN4","NSUN4","Homo sapiens"
"ENSP00000366519","tRNA methyltransferase NSUN6","NSUN6","Homo sapiens"
"ENSP00000388464","rRNA methyltransferase NSUN5","NSUN5","Homo sapiens"
"ENSP00000318986","Methyltransferase-like protein NSUN3 (mitochondrial tRNA)","NSUN3","Homo sapiens"
"ENSP00000313272","Ribosome biogenesis protein NOP2 (NSUN1)","NOP2","Homo sapiens"
"ENSP00000216489","tRNA N(1)-methyl adenine demethylase ALKBH1","ALKBH1","Homo sapiens"
"ENSP00000361626","Nuclease-sensitive element-binding protein 1 (YBX1/YB-1)","YBX1","Homo sapiens"
"ENSP00000421592","THO complex subunit ALYREF (Aly/REF export factor)","ALYREF","Homo sapiens"
"ENSP00000350352","tRNA (guanine(26)-N(2))-methyltransferase TRMT1","TRMT1","Homo sapiens"
"ENSP00000302801","rRNA (adenine(58)-N(1))-methyltransferase TRMT61B","TRMT61B","Homo sapiens"
"ENSP00000374399","tRNA (adenine(58)-N(1))-methyltransferase TRMT61A","TRMT61A","Homo sapiens"
"ENSP00000378342","tRNA (guanine(9)-N(1))-methyltransferase TRMT10A","TRMT10A","Homo sapiens"
"ENSP00000312356","Mitochondrial tRNA methyltransferase TRMT10C","TRMT10C","Homo sapiens"
"ENSP00000302232","tRNA demethylase ALKBH3","ALKBH3","Homo sapiens"
"ENSP00000309610","tRNA (cytosine(34)-N(4))-methyltransferase METTL2A","METTL2A","Homo sapiens"
"ENSP00000262432","tRNA (cytosine(34)-N(4))-methyltransferase METTL2B","METTL2B","Homo sapiens"
"ENSP00000373300","Methyltransferase-like protein 6","METTL6","Homo sapiens"
"ENSP00000480056","Methyltransferase-like protein 8","METTL8","Homo sapiens"
"ENSP00000314441","tRNA (guanine(46)-N(7))-methyltransferase METTL1","METTL1","Homo sapiens"
"ENSP00000358563","H/ACA ribonucleoprotein complex subunit 4 (Dyskerin/DKC1)","DKC1","Homo sapiens"
"ENSP00000298746","Probable tRNA pseudouridine synthase 1 (TRUB1)","TRUB1","Homo sapiens"
"ENSP00000361982","Probable tRNA pseudouridine synthase 2 (TRUB2)","TRUB2","Homo sapiens"
"ENSP00000007264","RNA pseudouridylate synthase domain-containing 1","RPUSD1","Homo sapiens"
"ENSP00000323288","RNA pseudouridylate synthase domain-containing 2","RPUSD2","Homo sapiens"
"ENSP00000373331","RNA pseudouridylate synthase domain-containing 3","RPUSD3","Homo sapiens"
"ENSP00000298317","RNA pseudouridylate synthase domain-containing 4","RPUSD4","Homo sapiens"
"ENSP00000368318","Pseudouridine synthase 1-like","PUSL1","Homo sapiens"
"ENSP00000227474","tRNA pseudouridine synthase C (PUS3)","PUS3","Homo sapiens"
"ENSP00000326003","tRNA pseudouridine synthase 10 (RPUSD2-related)","PUS10","Homo sapiens"
"ENSP00000365837","tRNA pseudouridine synthase A (PUS1)","PUS1","Homo sapiens"
"ENSP00000343081","tRNA pseudouridine synthase 7-like","PUS7L","Homo sapiens"
"ENSP00000417402","tRNA pseudouridine synthase G (PUS7)","PUS7","Homo sapiens"
"ENSP00000357459","Double-stranded RNA-specific adenosine deaminase (ADAR1)","ADAR","Homo sapiens"
"ENSP00000015877","Double-stranded RNA-specific editase B1 (ADAR2)","ADARB1","Homo sapiens"
"ENSP00000370713","Double-stranded RNA-specific editase B2 (ADAR3)","ADARB2","Homo sapiens"
"ENSMUSP00000115044","Small ubiquitin-related modifier 2","Sumo2","Mus musculus"
"ENSMUSP00000134416","Small ubiquitin-related modifier 3","Sumo3","Mus musculus"
"ENSMUSP00000138056","Sentrin-specific protease 1","Senp1","Mus musculus"
"ENSMUSP00000023561","Sentrin-specific protease 2","Senp2","Mus musculus"
"ENSMUSP00000005336","Sentrin-specific protease 3","Senp3","Mus musculus"
"ENSMUSP00000023457","Sentrin-specific protease 5","Senp5","Mus musculus"
"ENSMUSP00000126777","Sentrin-specific protease 6","Senp6","Mus musculus"
"ENSMUSP00000086779","Sentrin-specific protease 7","Senp7","Mus musculus"
"ENSMUSP00000149463","Sentrin-specific protease 8 (NEDD8 deSUMOylation)","Senp8","Mus musculus"
"ENSMUSP00000133279","Methylcytosine dioxygenase TET1","Tet1","Mus musculus"
"ENSMUSP00000143029","Methylcytosine dioxygenase TET2","Tet2","Mus musculus"
"ENSMUSP00000139630","Methylcytosine dioxygenase TET3","Tet3","Mus musculus"
"ENSP00000262854","E3 ubiquitin-protein ligase HUWE1","HUWE1","Homo sapiens"
"ENSP00000354201","Ubiquitin-conjugating enzyme E2 Z","UBE2Z","Homo sapiens"
"ENSP00000360739","Ubiquitin-conjugating enzyme E2 variant 1","UBE2V1","Homo sapiens"
"ENSP00000360613","Ubiquitin-conjugating enzyme E2 A","UBE2A","Homo sapiens"
"ENSP00000363019","Ubiquitin-conjugating enzyme E2 D1","UBE2D1","Homo sapiens"
"ENSP00000381717","Ubiquitin-conjugating enzyme E2 D2","UBE2D2","Homo sapiens"
"ENSP00000396901","Ubiquitin-conjugating enzyme E2 D3","UBE2D3","Homo sapiens"
"ENSP00000338413","Ubiquitin-activating enzyme E1","UBA1","Homo sapiens"
"ENSP00000354340","NEDD8-activating enzyme E1 catalytic subunit","UBA3","Homo sapiens"
"ENSP00000313454","Ubiquitin-activating enzyme E1-like protein","UBA6","Homo sapiens"
"ENSP00000333266","Ubiquitin-activating enzyme E1-like protein 2 (UBE1L)","UBA7","Homo sapiens"
"ENSP00000348565","Ubiquitin-like modifier-activating enzyme 5","UBA5","Homo sapiens"
"ENSP00000246548","SUMO-activating enzyme subunit 2","UBA2","Homo sapiens"
"ENSP00000350283","Breast cancer type 1 susceptibility protein (BRCA1)","BRCA1","Homo sapiens"
"ENSP00000252108","Ubiquitin conjugation factor E4 A","UBE4A","Homo sapiens"
"ENSP00000498698","E3 ubiquitin-protein ligase UHRF1","UHRF1","Homo sapiens"
"ENSP00000299440","V(D)J recombination-activating protein 1 (RAG1)","RAG1","Homo sapiens"
"ENSP00000320898","E3 ubiquitin-protein ligase RNF168","RNF168","Homo sapiens"
"ENSP00000394466","Target of Myb protein 1 (TOM1)","TOM1","Homo sapiens"
"ENSP00000262294","E3 ubiquitin-protein ligase TRIM37","TRIM37","Homo sapiens"
"ENSP00000497572","Ubiquitin-protein ligase E3A","UBE3A","Homo sapiens"
"ENSP00000361992","E3 ubiquitin-protein ligase UBR2","UBR2","Homo sapiens"
"ENSP00000373772","E3 ubiquitin-protein ligase BRE1A (RNF20)","RNF20","Homo sapiens"
"ENSP00000325677","E3 ubiquitin-protein ligase BRE1B (RNF40)","RNF40","Homo sapiens"
"ENSP00000362578","E3 ubiquitin-protein ligase RNF8","RNF8","Homo sapiens"
"ENSP00000320485","AT-rich interactive domain-containing protein 1A","ARID1A","Homo sapiens"
"ENSP00000490491","AT-rich interactive domain-containing protein 1B","ARID1B","Homo sapiens"
"ENSP00000364589","Cullin-4A","CUL4A","Homo sapiens"
"ENSP00000301764","DNA damage-binding protein 1","DDB1","Homo sapiens"
"ENSP00000296161","Deltex E3 ubiquitin ligase 3L (DTX3L)","DTX3L","Homo sapiens"
