"miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","region"
"Cluster_2859","FUN_010664",0.963772998241781,0.00823205573891258,0.687272620133868,157,-20.45,"2 14","6458 6480",12,"91.67%","91.67%","CDS"
"Cluster_2859","FUN_010751",0.909043956535019,0.032476220314244,0.936653188467469,150,-20.53,"2 11","1447 1469",9,"100.00%","100.00%","CDS"
"Cluster_2859","FUN_010589",0.913360220510095,0.0302123002362822,0.922979388371587,156,-21.56,"2 18","17168 17194",20,"75.00%","75.00%","CDS"
"Cluster_2859","FUN_013402",0.977163955438352,0.00412830650572251,0.549490226360659,160,-20.82,"2 22","14711 14736",23,"69.57%","73.91%","CDS"
"Cluster_2859","FUN_015672",0.953483081192016,0.0119590463642952,0.766009472364912,158,-20.05,"2 21","16859 16880",19,"73.68%","78.95%","CDS"
"Cluster_2859","FUN_022011",0.968884681958029,0.00655779453042216,0.659317031997675,173,-24.18,"2 22","1897 1919",20,"75.00%","85.00%","CDS"
"Cluster_2859","FUN_022170",0.885430872986864,0.0457432907072421,0.96546924320845,170,-20.17,"2 22","79993 80013",20,"80.00%","85.00%","CDS"
"Cluster_2859","FUN_022237",0.889907485301211,0.0431186857399814,0.96546924320845,145,-22.37,"2 10","50631 50653",8,"100.00%","100.00%","CDS"
"Cluster_2859","FUN_023380",0.949479882099902,0.0135273167134437,0.776181735789813,150,-20.24,"2 11","11094 11116",9,"100.00%","100.00%","CDS"
"Cluster_2859","FUN_023608",-0.928819381154122,0.0225519631117054,0.902264864858724,157,-20.37,"2 22","27 49",20,"70.00%","70.00%","CDS"
"Cluster_2859","FUN_024708",-0.883682685826259,0.0467815019006558,0.96546924320845,160,-20.85,"2 22","9042 9068",24,"70.83%","70.83%","CDS"
"Cluster_2859","FUN_026515",0.922328794422966,0.0256801964836245,0.914225011702335,152,-21.82,"2 13","127 149",11,"90.91%","90.91%","CDS"
"Cluster_2859","FUN_028906",0.904804021783004,0.0347505034780564,0.953199034218851,164,-20.26,"2 17","29475 29497",15,"86.67%","86.67%","CDS"
"Cluster_2859","FUN_028934",0.89302024455148,0.0413229695787663,0.96546924320845,172,-21.59,"2 22","1127 1150",21,"80.95%","80.95%","CDS"
"Cluster_2859","FUN_031199",-0.891130323027351,0.0424103512384703,0.96546924320845,157,-21.29,"2 22","27080 27102",20,"70.00%","70.00%","CDS"
"Cluster_2859","FUN_029699",0.88180169662673,0.0479067840288416,0.96546924320845,164,-20.35,"2 22","4435 4460",23,"69.57%","78.26%","CDS"
"Cluster_2859","FUN_029891",0.938846770330219,0.0179861650831173,0.847898695599974,162,-23.13,"2 21","59003 59024",19,"78.95%","78.95%","CDS"
"Cluster_2859","FUN_034055",0.889105472146644,0.0435852741459025,0.96546924320845,155,-22.45,"2 12","3631 3653",10,"100.00%","100.00%","CDS"
"Cluster_2859","FUN_034055",0.889105472146644,0.0435852741459025,0.96546924320845,174,-20.38,"2 22","12176 12196",20,"85.00%","85.00%","CDS"
"Cluster_2859","FUN_034457",-0.989423313643363,0.00130367124545165,0.545343267336266,160,-21.2,"2 18","8282 8305",17,"82.35%","82.35%","CDS"
"Cluster_2859","FUN_036258",0.949121654925085,0.0136707032992982,0.778705329815036,177,-26.36,"2 22","7519 7541",20,"80.00%","85.00%","CDS"
"Cluster_2859","FUN_035169",0.934227315208642,0.0200479737226954,0.872262778565202,164,-24.64,"2 22","21 44",21,"76.19%","76.19%","CDS"
"Cluster_2859","FUN_037585",0.964739571306244,0.00790596362304615,0.68139233055838,155,-20.48,"2 22","3022 3047",23,"69.57%","73.91%","CDS"
"Cluster_2859","FUN_040058",0.944088115671217,0.0157367055341636,0.821304962522801,155,-20.95,"2 22","18128 18157",27,"66.67%","70.37%","CDS"
"Cluster_2859","FUN_039853",0.948922354747603,0.0137506899438298,0.780167841906927,143,-21.62,"2 22","2917 2941",22,"63.64%","68.18%","CDS"
"Cluster_2859","FUN_041129",-0.895899205780826,0.0396839128618739,0.96546924320845,173,-21.94,"2 22","121 143",20,"80.00%","80.00%","CDS"
"Cluster_2859","FUN_041583",-0.963232026004174,0.00841644315674582,0.694078073906243,161,-20.97,"2 22","2412 2431",20,"75.00%","80.00%","CDS"
"Cluster_2859","FUN_041774",-0.981394424975205,0.00303796479679922,0.545343267336266,151,-21.29,"2 22","362 383",20,"70.00%","70.00%","CDS"
"Cluster_3250","FUN_000328",0.936845002475481,0.0188706967533775,0.856974339863655,172,-22.07,"2 21","9803 9824",19,"68.42%","94.74%","CDS"
"Cluster_3250","FUN_001185",0.962191910607784,0.00877470536916211,0.704240592446023,158,-20.1,"2 18","2337 2356",16,"81.25%","87.50%","CDS"
"Cluster_3250","FUN_002457",0.892665901696081,0.041526159037782,0.96546924320845,159,-22.29,"2 18","323 343",16,"81.25%","87.50%","CDS"
"Cluster_3250","FUN_004403",0.975754645574323,0.00451534452134931,0.568957598775243,159,-21.69,"2 18","2867 2891",19,"78.95%","84.21%","CDS"
"Cluster_3250","FUN_002494",0.992735685842481,0.00074242397924289,0.545343267336266,163,-21.5,"2 21","810 833",21,"71.43%","80.95%","CDS"
"Cluster_3250","FUN_002499",0.985897288251309,0.00200616641784862,0.545343267336266,163,-20.35,"2 21","17374 17397",21,"66.67%","85.71%","CDS"
"Cluster_3250","FUN_002508",0.975497863941796,0.0045870887693696,0.572962470451235,163,-21.5,"2 21","4732 4755",21,"71.43%","80.95%","CDS"
"Cluster_3250","FUN_002519",0.988988512703457,0.00138479088202124,0.545343267336266,159,-20.27,"2 21","14545 14568",21,"66.67%","80.95%","CDS"
"Cluster_3250","FUN_002523",0.988311053557309,0.00151437690410384,0.545343267336266,163,-21.5,"2 21","7806 7829",21,"71.43%","80.95%","CDS"
"Cluster_3250","FUN_005182",0.958193946694482,0.0101964807252396,0.721788613284063,166,-20.02,"2 19","6825 6846",17,"76.47%","88.24%","CDS"
"Cluster_3250","FUN_002625",-0.889813194819975,0.0431734585079042,0.96546924320845,163,-21.5,"2 21","6288 6311",21,"71.43%","80.95%","CDS"
"Cluster_3250","FUN_006610",0.878658915871646,0.0498056734410793,0.96546924320845,176,-23.39,"2 21","218 239",19,"78.95%","89.47%","CDS"
"Cluster_3250","FUN_005814",0.924545179135036,0.0245972683024384,0.911947326397717,162,-20.82,"2 21","7134 7158",22,"77.27%","77.27%","CDS"
"Cluster_3250","FUN_006190",0.977388854104582,0.00406760929145232,0.545343267336266,163,-21.21,"2 19","2404 2425",18,"83.33%","88.89%","CDS"
"Cluster_3250","FUN_008139",-0.908058649354036,0.0330003296192488,0.94105730654751,162,-21.16,"2 21","16332 16352",19,"68.42%","89.47%","CDS"
"Cluster_3250","FUN_008170",0.977388854104582,0.00406760929145233,0.545343267336266,162,-21.16,"2 21","10176 10196",19,"68.42%","89.47%","CDS"
"Cluster_3250","FUN_010716",0.936690458910539,0.0189395570945861,0.857715577380696,158,-20.18,"2 20","2173 2196",20,"65.00%","85.00%","CDS"
"Cluster_3250","FUN_012751",0.938969993533514,0.0179321677822462,0.847898695599974,178,-23.18,"2 21","5197 5217",19,"89.47%","89.47%","CDS"
"Cluster_3250","FUN_012010",0.909633359922327,0.0321639899826602,0.934211880214,159,-21.04,"2 16","91 112",14,"85.71%","85.71%","CDS"
"Cluster_3250","FUN_017848",0.959546676405936,0.00970760711074236,0.717681557663573,151,-21.65,"2 16","7708 7729",14,"71.43%","85.71%","CDS"
"Cluster_3250","FUN_017878",0.925011801796268,0.0243712013094984,0.911947326397717,168,-22.85,"2 19","12784 12808",20,"85.00%","85.00%","CDS"
"Cluster_3250","FUN_020855",0.980086631358351,0.0033631749082232,0.545343267336266,159,-24.52,"2 21","2179 2202",21,"66.67%","80.95%","CDS"
"Cluster_3250","FUN_022527",0.911914697945463,0.0309646375402316,0.924890342612321,145,-20.51,"2 21","5410 5437",25,"64.00%","72.00%","CDS"
"Cluster_3250","FUN_022527",0.911914697945463,0.0309646375402316,0.924890342612321,161,-20.19,"2 20","18201 18224",20,"75.00%","85.00%","CDS"
"Cluster_3250","FUN_022286",0.886088340069862,0.0453547495997347,0.96546924320845,171,-20.41,"2 21","3657 3679",20,"80.00%","85.00%","CDS"
"Cluster_3250","FUN_024589",0.921748838211435,0.0259660380223523,0.914225011702335,165,-20.98,"2 19","5916 5938",18,"77.78%","88.89%","CDS"
"Cluster_3250","FUN_025714",-0.943411810049397,0.01602143605963,0.826730983450656,166,-21.83,"2 15","424 445",13,"92.31%","100.00%","CDS"
"Cluster_3250","FUN_026872",0.990100797194932,0.0011805605414698,0.545343267336266,170,-22.32,"2 19","2358 2379",17,"82.35%","88.24%","CDS"
"Cluster_3250","FUN_026087",0.891283801918088,0.042321711461951,0.96546924320845,157,-26.28,"2 21","6953 6979",24,"70.83%","79.17%","CDS"
"Cluster_3250","FUN_026088",-0.897802616183788,0.0386119243238956,0.96546924320845,167,-21.02,"2 20","2273 2294",18,"72.22%","88.89%","CDS"
"Cluster_3250","FUN_026225",0.988280924166358,0.00152022895807029,0.545343267336266,175,-24.86,"2 21","7188 7211",21,"80.95%","85.71%","CDS"
"Cluster_3250","FUN_026252",0.977945850216586,0.00391856816128419,0.545343267336266,183,-28.59,"2 21","19349 19371",20,"90.00%","90.00%","CDS"
"Cluster_3250","FUN_031424",0.904364208668104,0.0349892233693503,0.954750903572098,164,-21.61,"2 21","82391 82412",19,"68.42%","84.21%","CDS"
"Cluster_3250","FUN_031874",0.970955160521248,0.00591610858241865,0.634982099799266,163,-25.04,"2 21","2317 2339",20,"70.00%","85.00%","CDS"
"Cluster_3250","FUN_032626",0.894874135456613,0.0402650862488642,0.96546924320845,159,-21.92,"2 21","4489 4515",24,"66.67%","75.00%","CDS"
"Cluster_3250","FUN_034162",-0.945252617613692,0.0152503542009812,0.811587941905682,164,-22.5,"2 21","4308 4329",19,"73.68%","78.95%","CDS"
"Cluster_3250","FUN_035861",0.931245031154813,0.0214170469404112,0.888803861972416,167,-21.26,"2 21","25598 25621",21,"76.19%","80.95%","CDS"
"Cluster_3250","FUN_036317",0.98522442179899,0.00215122431104446,0.545343267336266,152,-20.17,"2 21","4786 4805",19,"73.68%","78.95%","CDS"
"Cluster_3250","FUN_035095",0.920915878064665,0.0263783567931504,0.914225011702335,171,-23.27,"2 21","3003 3025",20,"80.00%","85.00%","CDS"
"Cluster_3250","FUN_037778",0.936200140835708,0.0191585672172098,0.861686064629822,160,-20.12,"2 21","6976 6996",20,"75.00%","85.00%","CDS"
"Cluster_3250","FUN_038918",0.887545968834482,0.0444970969813335,0.96546924320845,155,-22.03,"2 21","2324 2346",20,"70.00%","75.00%","CDS"
"Cluster_3250","FUN_038294",0.898794864596422,0.0380568188637809,0.96546924320845,164,-20.31,"2 21","1526 1547",19,"68.42%","84.21%","CDS"
"Cluster_3250","FUN_039407",0.977388854104582,0.00406760929145233,0.545343267336266,167,-25.22,"2 21","3885 3907",20,"80.00%","80.00%","CDS"
"Cluster_3250","FUN_040048",-0.976887005501508,0.00420345842363923,0.552263937022479,167,-23.29,"2 16","6734 6755",14,"92.86%","92.86%","CDS"
"Cluster_3250","FUN_041494",0.987517169562908,0.00167104678080537,0.545343267336266,157,-20.59,"2 19","8797 8820",19,"73.68%","78.95%","CDS"
"Cluster_3250","FUN_041501",0.907724243711784,0.033178818210166,0.942621460589861,160,-21.12,"2 21","1449 1470",19,"68.42%","78.95%","CDS"
"Cluster_3250","FUN_041980",0.942022621013764,0.016611481556465,0.837006715321312,168,-20.76,"2 19","13079 13099",17,"88.24%","88.24%","CDS"
"Cluster_3250","FUN_042241",0.977388854104582,0.00406760929145237,0.545343267336266,161,-20.56,"2 19","5715 5738",19,"73.68%","84.21%","CDS"
"Cluster_3250","FUN_043600",0.911200380112326,0.0313385977416062,0.927732831581779,173,-20.97,"2 21","13111 13132",20,"85.00%","90.00%","CDS"
"Cluster_3366","FUN_002167",0.925135746632075,0.0243112664959138,0.911947326397717,176,-20.28,"2 21","9580 9603",19,"78.95%","89.47%","CDS"
"Cluster_3366","FUN_000213",-0.960747631922995,0.00928023441631077,0.717681557663573,178,-25.06,"2 23","4063 4086",21,"76.19%","85.71%","CDS"
"Cluster_3366","FUN_000483",-0.967517576266195,0.00699325041438931,0.677079544727381,168,-23,"2 23","10702 10729",25,"76.00%","76.00%","CDS"
"Cluster_3366","FUN_000514",0.879912736724682,0.049045311087057,0.96546924320845,163,-25.9,"2 23","828 851",22,"72.73%","81.82%","CDS"
"Cluster_3366","FUN_001186",0.91989247100181,0.0268878039977157,0.914225011702335,151,-20.53,"2 21","5266 5290",20,"60.00%","80.00%","CDS"
"Cluster_3366","FUN_003503",0.885543900709666,0.0456764203613061,0.96546924320845,145,-23.46,"2 16","7571 7593",14,"64.29%","92.86%","CDS"
"Cluster_3366","FUN_003726",0.888310868864341,0.0440491206471639,0.96546924320845,149,-25.84,"2 23","1649 1669",21,"57.14%","85.71%","CDS"
"Cluster_3366","FUN_004242",0.900608357163831,0.0370489270129712,0.96546924320845,161,-22.05,"2 23","357 383",24,"62.50%","79.17%","CDS"
"Cluster_3366","FUN_004243",0.962660968195476,0.0086125342845257,0.699899867974894,165,-21.91,"2 23","357 383",24,"66.67%","79.17%","CDS"
"Cluster_3366","FUN_005144",0.888310868864341,0.0440491206471639,0.96546924320845,163,-26.67,"2 22","355 377",20,"65.00%","90.00%","CDS"
"Cluster_3366","FUN_005145",0.889890035908645,0.0431288203211598,0.96546924320845,153,-22.25,"2 23","4217 4237",21,"61.90%","85.71%","CDS"
"Cluster_3366","FUN_005184",0.904658878669149,0.0348292258546197,0.953685827868641,178,-23.62,"2 19","5651 5674",17,"88.24%","94.12%","CDS"
"Cluster_3366","FUN_005284",0.888310868864341,0.0440491206471639,0.96546924320845,158,-20.52,"2 20","1823 1849",21,"71.43%","76.19%","CDS"
"Cluster_3366","FUN_005457",0.890365724272282,0.0428528121766248,0.96546924320845,157,-24.04,"2 22","2579 2602",20,"65.00%","75.00%","CDS"
"Cluster_3366","FUN_003412",0.888310868864341,0.0440491206471639,0.96546924320845,152,-21.3,"2 23","345 372",25,"64.00%","72.00%","CDS"
"Cluster_3366","FUN_006548",0.955648012311518,0.011137634032207,0.746728626353832,172,-23.92,"2 23","26064 26086",21,"71.43%","90.48%","CDS"
"Cluster_3366","FUN_006720",0.922022256310059,0.0258311520536787,0.914225011702335,143,-20.11,"2 17","8560 8585",17,"64.71%","76.47%","CDS"
"Cluster_3366","FUN_006191",0.945659638147289,0.0150815396510453,0.807737476441902,162,-20.26,"2 22","7705 7728",21,"76.19%","80.95%","CDS"
"Cluster_3366","FUN_007581",0.890107691854539,0.04300246021231,0.96546924320845,172,-23.64,"2 21","3066 3089",19,"73.68%","89.47%","CDS"
"Cluster_3366","FUN_008089",0.944056380053847,0.0157500292987576,0.82177139300981,154,-21.42,"2 23","16054 16077",21,"61.90%","71.43%","CDS"
"Cluster_3366","FUN_008127",0.888935435235287,0.0436844014093562,0.96546924320845,160,-21.46,"2 22","5535 5559",21,"71.43%","76.19%","CDS"
"Cluster_3366","FUN_010118",0.878805383659563,0.0497166596072173,0.96546924320845,159,-20.88,"2 21","1368 1392",20,"70.00%","80.00%","CDS"
"Cluster_3366","FUN_008862",0.891356272445722,0.0422798775197472,0.96546924320845,160,-20.74,"2 21","6551 6574",19,"57.89%","89.47%","CDS"
"Cluster_3366","FUN_009436",0.940170449647681,0.0174088894367336,0.847898695599974,158,-24.64,"2 23","4480 4503",21,"66.67%","71.43%","CDS"
"Cluster_3366","FUN_008954",0.882523871112338,0.0474737501298193,0.96546924320845,145,-20.26,"2 22","80 101",20,"60.00%","80.00%","CDS"
"Cluster_3366","FUN_010939",0.918270664054426,0.0277015291663331,0.914499370667479,171,-20.17,"2 22","15133 15155",20,"75.00%","90.00%","CDS"
"Cluster_3366","FUN_011361",0.888310868864341,0.0440491206471639,0.96546924320845,152,-20.13,"2 17","6989 7012",15,"73.33%","80.00%","CDS"
"Cluster_3366","FUN_013345",0.888310868864341,0.0440491206471639,0.96546924320845,159,-21.91,"2 21","165 191",22,"63.64%","81.82%","CDS"
"Cluster_3366","FUN_011864",-0.9426267211093,0.0163540424910449,0.833293622320363,160,-24.7,"2 23","5709 5731",21,"66.67%","80.95%","CDS"
"Cluster_3366","FUN_013965",0.888310868864341,0.0440491206471639,0.96546924320845,164,-20.11,"2 17","2873 2896",15,"80.00%","93.33%","CDS"
"Cluster_3366","FUN_011660",0.895156579452955,0.040104683545363,0.96546924320845,160,-20.74,"2 21","6550 6573",19,"57.89%","89.47%","CDS"
"Cluster_3366","FUN_015652",0.888310868864341,0.0440491206471639,0.96546924320845,155,-20.15,"2 21","8380 8404",20,"60.00%","85.00%","CDS"
"Cluster_3366","FUN_015087",0.892196140184879,0.0417960205849146,0.96546924320845,165,-22.82,"2 18","2725 2748",16,"75.00%","93.75%","CDS"
"Cluster_3366","FUN_015216",0.931934814416723,0.0210977904147885,0.885814243548959,181,-29.89,"2 23","12851 12875",22,"81.82%","86.36%","CDS"
"Cluster_3366","FUN_015378",0.987785763302542,0.00161746937917561,0.545343267336266,148,-21.96,"2 19","8484 8506",17,"64.71%","82.35%","CDS"
"Cluster_3366","FUN_017197",0.903142119666272,0.0356552792986646,0.958026487201226,172,-23.64,"2 21","3175 3198",19,"73.68%","89.47%","CDS"
"Cluster_3366","FUN_017282",0.888310868864341,0.0440491206471639,0.96546924320845,148,-24.21,"2 13","730 753",11,"81.82%","90.91%","CDS"
"Cluster_3366","FUN_016501",0.922507423140161,0.0255923619140192,0.914225011702335,176,-24.17,"2 21","647 670",19,"73.68%","94.74%","CDS"
"Cluster_3366","FUN_016172",0.895000303488882,0.0401934090046802,0.96546924320845,160,-20.74,"2 21","6551 6574",19,"57.89%","89.47%","CDS"
"Cluster_3366","FUN_016893",0.888310868864341,0.0440491206471639,0.96546924320845,158,-20.52,"2 20","1823 1849",21,"71.43%","76.19%","CDS"
"Cluster_3366","FUN_018766",0.904235855100527,0.0350589890182303,0.955405536641937,163,-22.93,"2 21","9911 9935",20,"70.00%","85.00%","CDS"
"Cluster_3366","FUN_018841",0.888310868864341,0.0440491206471639,0.96546924320845,157,-20.85,"2 20","432 454",18,"66.67%","88.89%","CDS"
"Cluster_3366","FUN_018930",0.888310868864341,0.0440491206471639,0.96546924320845,158,-21.13,"2 23","10868 10889",21,"66.67%","85.71%","CDS"
"Cluster_3366","FUN_017888",0.934317826031125,0.020006883094474,0.871428664645216,155,-21.48,"2 21","2876 2900",20,"65.00%","80.00%","CDS"
"Cluster_3366","FUN_019122",0.888310868864341,0.0440491206471639,0.96546924320845,159,-21.48,"2 22","2359 2381",20,"70.00%","80.00%","CDS"
"Cluster_3366","FUN_018401",0.908499774126664,0.0327653521077996,0.939114490537527,168,-20.67,"2 22","2021 2045",21,"76.19%","80.95%","CDS"
"Cluster_3366","FUN_018439",0.936324149985725,0.0191030989461552,0.860732427298727,153,-24.65,"2 23","9115 9140",23,"56.52%","78.26%","CDS"
"Cluster_3366","FUN_020962",0.888310868864341,0.0440491206471639,0.96546924320845,156,-20.52,"2 22","2599 2623",21,"61.90%","80.95%","CDS"
"Cluster_3366","FUN_020988",0.888310868864341,0.0440491206471639,0.96546924320845,153,-23.31,"2 23","1303 1327",22,"63.64%","72.73%","CDS"
"Cluster_3366","FUN_019427",0.888310868864341,0.0440491206471639,0.96546924320845,162,-22.49,"2 23","1094 1117",21,"71.43%","71.43%","CDS"
"Cluster_3366","FUN_019438",0.887091151696354,0.0447641488714344,0.96546924320845,160,-20.66,"2 19","253 275",17,"76.47%","88.24%","CDS"
"Cluster_3366","FUN_020598",0.888310868864341,0.0440491206471639,0.96546924320845,157,-21.23,"2 19","165 189",18,"66.67%","88.89%","CDS"
"Cluster_3366","FUN_021475",0.888310868864341,0.0440491206471639,0.96546924320845,172,-24.91,"2 23","5443 5469",24,"75.00%","83.33%","CDS"
"Cluster_3366","FUN_022357",0.893849856993434,0.0408484900641146,0.96546924320845,146,-21.4,"2 23","6720 6743",21,"52.38%","71.43%","CDS"
"Cluster_3366","FUN_022357",0.893849856993434,0.0408484900641146,0.96546924320845,152,-21.47,"2 23","6228 6254",24,"58.33%","79.17%","CDS"
"Cluster_3366","FUN_022385",-0.913200956145861,0.0302948995061297,0.922979388371587,159,-20.3,"2 23","4268 4291",22,"68.18%","81.82%","CDS"
"Cluster_3366","FUN_023783",0.888310868864341,0.0440491206471639,0.96546924320845,155,-24.7,"2 23","1050 1077",26,"65.38%","73.08%","CDS"
"Cluster_3366","FUN_023147",0.888310868864341,0.0440491206471639,0.96546924320845,153,-23.31,"2 23","244 268",22,"63.64%","72.73%","CDS"
"Cluster_3366","FUN_022846",0.888310868864341,0.0440491206471639,0.96546924320845,158,-24.42,"2 22","1432 1453",20,"65.00%","85.00%","CDS"
"Cluster_3366","FUN_023583",0.881255346595111,0.0482352143836609,0.96546924320845,164,-21.38,"2 22","2937 2959",21,"80.95%","85.71%","CDS"
"Cluster_3366","FUN_023959",0.967052236551157,0.00714356011359132,0.677079544727381,159,-20.47,"2 22","2809 2836",24,"66.67%","79.17%","CDS"
"Cluster_3366","FUN_024573",0.915272617293267,0.0292261539807403,0.922979388371587,151,-20.01,"2 22","3177 3203",23,"60.87%","78.26%","CDS"
"Cluster_3366","FUN_025348",0.912903054604372,0.0304495944018779,0.922979388371587,152,-25.24,"2 23","3632 3657",23,"56.52%","82.61%","CDS"
"Cluster_3366","FUN_025463",0.941155522483433,0.0169832762820197,0.842953187657651,152,-20.96,"2 23","7399 7425",24,"62.50%","75.00%","CDS"
"Cluster_3366","FUN_025538",0.894066298213188,0.0407249880479824,0.96546924320845,166,-23.65,"2 15","5602 5625",13,"92.31%","100.00%","CDS"
"Cluster_3366","FUN_026567",0.879668026585037,0.0491934217694859,0.96546924320845,155,-20.56,"2 22","1490 1512",20,"65.00%","80.00%","CDS"
"Cluster_3366","FUN_026625",0.888310868864341,0.0440491206471639,0.96546924320845,162,-21.59,"2 23","641 664",21,"61.90%","80.95%","CDS"
"Cluster_3366","FUN_026637",0.888310868864341,0.0440491206471639,0.96546924320845,156,-20.78,"2 13","67 90",11,"90.91%","100.00%","CDS"
"Cluster_3366","FUN_026839",0.888310868864341,0.0440491206471639,0.96546924320845,146,-20.54,"2 23","1922 1943",21,"57.14%","80.95%","CDS"
"Cluster_3366","FUN_026843",0.878370330725026,0.0499812042508978,0.96546924320845,159,-20.88,"2 21","1368 1392",20,"70.00%","80.00%","CDS"
"Cluster_3366","FUN_026894",0.888310868864341,0.0440491206471639,0.96546924320845,154,-23.51,"2 23","23550 23570",21,"61.90%","80.95%","CDS"
"Cluster_3366","FUN_026989",0.923046614464299,0.0253278224198753,0.914225011702335,165,-20.62,"2 22","12177 12200",20,"70.00%","80.00%","CDS"
"Cluster_3366","FUN_026989",0.923046614464299,0.0253278224198753,0.914225011702335,170,-20.7,"2 20","20998 21022",19,"78.95%","89.47%","CDS"
"Cluster_3366","FUN_026346",0.888310868864341,0.0440491206471639,0.96546924320845,148,-22.83,"2 21","99 122",19,"57.89%","73.68%","CDS"
"Cluster_3366","FUN_027715",0.888310868864341,0.0440491206471639,0.96546924320845,159,-20.29,"2 20","2103 2126",18,"66.67%","83.33%","CDS"
"Cluster_3366","FUN_028618",-0.996292680688157,0.000270820908192024,0.393371538720933,166,-21.53,"2 23","7844 7867",21,"66.67%","80.95%","CDS"
"Cluster_3366","FUN_028966",0.915323690711173,0.0291999619198285,0.922979388371587,164,-23.99,"2 21","4808 4831",19,"68.42%","84.21%","CDS"
"Cluster_3366","FUN_028523",0.888310868864341,0.0440491206471639,0.96546924320845,165,-20.24,"2 22","12704 12727",20,"65.00%","85.00%","CDS"
"Cluster_3366","FUN_030623",0.888310868864341,0.0440491206471639,0.96546924320845,153,-21.3,"2 22","393 416",20,"60.00%","75.00%","CDS"
"Cluster_3366","FUN_030852",0.918905739942709,0.0273819562236319,0.914225011702335,153,-22.87,"2 23","245 269",22,"63.64%","72.73%","CDS"
"Cluster_3366","FUN_031095",0.897153461526311,0.0389764724970154,0.96546924320845,146,-20.78,"2 19","7530 7553",17,"58.82%","76.47%","CDS"
"Cluster_3366","FUN_031675",0.923418211996011,0.0251460250257612,0.914225011702335,154,-21.35,"2 22","1436 1463",24,"66.67%","79.17%","CDS"
"Cluster_3366","FUN_032326",0.896517862962513,0.0393344638076597,0.96546924320845,164,-23.28,"2 23","1238 1264",24,"75.00%","75.00%","CDS"
"Cluster_3366","FUN_033302",0.942652102255137,0.0163432549058551,0.833066694182674,156,-20.05,"2 23","151 177",24,"66.67%","75.00%","CDS"
"Cluster_3366","FUN_033549",0.888310868864341,0.0440491206471639,0.96546924320845,167,-20.71,"2 21","978 1002",20,"75.00%","85.00%","CDS"
"Cluster_3366","FUN_029917",0.888310868864341,0.0440491206471639,0.96546924320845,160,-21.89,"2 23","535 557",21,"66.67%","80.95%","CDS"
"Cluster_3366","FUN_030151",0.88151542736887,0.0480787821221049,0.96546924320845,159,-21.11,"2 19","226 247",17,"76.47%","88.24%","CDS"
"Cluster_3366","FUN_030159",0.935793867330077,0.0193406550461467,0.863573484092842,156,-20.05,"2 23","151 177",24,"66.67%","75.00%","CDS"
"Cluster_3366","FUN_034656",0.947353350468972,0.0143856771458953,0.791406447288987,156,-20.05,"2 23","151 177",24,"66.67%","75.00%","CDS"
"Cluster_3366","FUN_033658",0.882002594796132,0.0477861956086663,0.96546924320845,160,-20.74,"2 21","2370 2393",19,"57.89%","89.47%","CDS"
"Cluster_3366","FUN_035696",0.944692260067148,0.0154837654088659,0.816803814174637,154,-20.77,"2 17","5509 5531",15,"73.33%","93.33%","CDS"
"Cluster_3366","FUN_036277",0.923297473926705,0.025205047612532,0.914225011702335,175,-21.51,"2 22","5478 5500",20,"80.00%","90.00%","CDS"
"Cluster_3366","FUN_036462",0.888310868864341,0.0440491206471639,0.96546924320845,165,-22.43,"2 22","179 200",20,"75.00%","90.00%","CDS"
"Cluster_3366","FUN_036483",0.888310868864341,0.0440491206471639,0.96546924320845,156,-24.61,"2 22","769 793",21,"61.90%","80.95%","CDS"
"Cluster_3366","FUN_036521",-0.900197242364803,0.0372766566425044,0.96546924320845,147,-23.24,"2 23","3359 3389",28,"60.71%","71.43%","CDS"
"Cluster_3366","FUN_036544",-0.884347057230824,0.0463860768306718,0.96546924320845,154,-20.12,"2 21","30232 30254",19,"63.16%","84.21%","CDS"
"Cluster_3366","FUN_034770",0.891616211185363,0.0421299349000783,0.96546924320845,160,-20.74,"2 21","6551 6574",19,"57.89%","89.47%","CDS"
"Cluster_3366","FUN_034982",0.888310868864341,0.0440491206471639,0.96546924320845,163,-23.86,"2 21","2329 2354",21,"66.67%","85.71%","CDS"
"Cluster_3366","FUN_035067",0.880936261852716,0.0484273554370008,0.96546924320845,157,-22.83,"2 23","7018 7042",22,"63.64%","77.27%","CDS"
"Cluster_3366","FUN_037583",0.92791299932732,0.0229808811466229,0.906622389727634,180,-25.4,"2 23","2004 2026",21,"85.71%","85.71%","CDS"
"Cluster_3366","FUN_037805",-0.928900170510222,0.0225138589683827,0.901686580809182,141,-20.87,"2 23","3439 3461",22,"63.64%","72.73%","CDS"
"Cluster_3366","FUN_036776",0.888310868864341,0.0440491206471639,0.96546924320845,167,-22.58,"2 21","908 932",20,"70.00%","90.00%","CDS"
"Cluster_3366","FUN_036834",0.888310868864341,0.0440491206471639,0.96546924320845,154,-20.44,"2 23","18513 18536",21,"61.90%","71.43%","CDS"
"Cluster_3366","FUN_036988",0.884487983135606,0.0463023363376358,0.96546924320845,153,-22.59,"2 23","19288 19313",23,"60.87%","73.91%","CDS"
