# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "24" "-M" "-O" "--fraction" "-a" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/Peve-lncRNA.gtf" "-o" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/output/01.6-lncRNA-pipeline/Peve-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-71.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-73.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-76.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-79.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-82.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-71.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-73.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-76.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-79.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-82.sorted.bam
lncRNA_1110	Porites_evermani_scaffold_133	199440	200880	+	1441	36	0	64	63	15
lncRNA_1111	Porites_evermani_scaffold_133	45750	46415	+	666	729.50	330.33	191	288.50	1924.50
lncRNA_1112	Porites_evermani_scaffold_1331	959	5476	+	4518	222	74	217	99	186.50
lncRNA_1113	Porites_evermani_scaffold_1331	95267	95534	+	268	0	0	37	0	0
lncRNA_1114	Porites_evermani_scaffold_1331	100848	101144	+	297	0	0	31.50	0	0
lncRNA_1115	Porites_evermani_scaffold_1332	96852	97257	+	406	15	1	70	6	8
lncRNA_1116	Porites_evermani_scaffold_1334	97699	98406	+	708	7	7	154	5.47	13.17
lncRNA_1117	Porites_evermani_scaffold_1334	102046	102693	+	648	0	0	34	0	0
lncRNA_1118	Porites_evermani_scaffold_1334	15620	17973	+	2354	322.50	335.00	423.50	189.00	520.50
lncRNA_1119	Porites_evermani_scaffold_1335	88279	89026	+	748	1	1	49	0	0
lncRNA_1120	Porites_evermani_scaffold_1336	94029	95600	+	1572	17	15	0	34	119
lncRNA_1121	Porites_evermani_scaffold_1336	33631	33916	+	286	4	0	42	0	0
lncRNA_1122	Porites_evermani_scaffold_1336	37187	37614	+	428	6	0	80	0	7
lncRNA_1123	Porites_evermani_scaffold_1336	56638	56882	+	245	14.12	1	8	2.20	47.33
lncRNA_1124	Porites_evermani_scaffold_1337	1661	23426	+	21766	240.00	169.50	148.00	64.00	402.50
lncRNA_1125	Porites_evermani_scaffold_1337	99984	100199	+	216	0.85	8	28	0	1.50
lncRNA_1126	Porites_evermani_scaffold_1337	104161	104411	+	251	0.67	0	28	0	0
lncRNA_1127	Porites_evermani_scaffold_1338	23718	32841	+	9124	5608.62	4647.73	5301.03	4068.93	5997.83
lncRNA_1128	Porites_evermani_scaffold_1339	1331	4538	+	3208	74	168.50	40.00	32.50	96.25
lncRNA_1129	Porites_evermani_scaffold_1339	60508	61754	+	1247	53	20.50	24	12	158.50
lncRNA_1130	Porites_evermani_scaffold_134	235067	235568	+	502	3	6	56	16	21.00
lncRNA_1131	Porites_evermani_scaffold_134	410417	412947	+	2531	2	0	164	0	4
lncRNA_1132	Porites_evermani_scaffold_134	428803	429717	+	915	9.00	0	97.00	2	0
lncRNA_1133	Porites_evermani_scaffold_134	1206	4500	+	3295	13	22	84	1	54
lncRNA_1134	Porites_evermani_scaffold_134	293962	298031	+	4070	1831	225	485	1390	2075
lncRNA_1135	Porites_evermani_scaffold_134	305393	305937	+	545	49.50	61.50	130.50	55.50	64.25
lncRNA_1136	Porites_evermani_scaffold_134	345737	359513	+	13777	32.40	5	175.00	129.13	25.80
lncRNA_1137	Porites_evermani_scaffold_134	178	686	+	509	6	4	55	0	30
lncRNA_1138	Porites_evermani_scaffold_134	116039	117581	+	1543	76.55	284.26	88.97	31.97	175.26
lncRNA_1139	Porites_evermani_scaffold_134	169531	169860	+	330	2	20	57	2	26
lncRNA_1140	Porites_evermani_scaffold_134	265490	265728	+	239	283	240	298	263	192
lncRNA_1141	Porites_evermani_scaffold_134	277457	277685	+	229	0	0	30	0	0
lncRNA_1142	Porites_evermani_scaffold_134	339173	339766	+	594	20	0	68	0	2
lncRNA_1143	Porites_evermani_scaffold_1340	3365	4004	+	640	567	281	512	251	603
lncRNA_1144	Porites_evermani_scaffold_1341	129851	133043	+	3193	93	20	78	22	122.50
lncRNA_1145	Porites_evermani_scaffold_1341	306	6700	+	6395	288.83	124.53	567.50	150.83	306.42
lncRNA_1146	Porites_evermani_scaffold_1342	91260	91500	+	241	0	0	24	0	0
lncRNA_1147	Porites_evermani_scaffold_1343	128360	129847	+	1488	623.00	81.00	114.00	510.50	740.00
lncRNA_1148	Porites_evermani_scaffold_1343	98341	106110	+	7770	1236.89	295.58	540.96	494.04	1124.73
lncRNA_1149	Porites_evermani_scaffold_1343	99132	106110	+	6979	887.90	220.08	384.46	293.21	679.73
lncRNA_1150	Porites_evermani_scaffold_1343	99866	106110	+	6245	855.65	215.83	354.55	260.71	649.48
lncRNA_1151	Porites_evermani_scaffold_1344	58301	59842	+	1542	11	1	40	2	5
lncRNA_1152	Porites_evermani_scaffold_1344	130629	133990	+	3362	773.49	374.33	498.32	715.66	1263.31
lncRNA_1153	Porites_evermani_scaffold_1344	130629	133990	+	3362	773.49	374.33	498.32	715.66	1263.31
lncRNA_1154	Porites_evermani_scaffold_1344	130629	133990	+	3362	773.49	374.33	498.32	715.66	1263.31
lncRNA_1155	Porites_evermani_scaffold_1344	41611	41815	+	205	0	0	28	0	1
lncRNA_1156	Porites_evermani_scaffold_1344	53589	53883	+	295	25	10	54	8	20
lncRNA_1157	Porites_evermani_scaffold_1344	54905	55623	+	719	37	35	142	18	93
lncRNA_1158	Porites_evermani_scaffold_1346	65168	76908	+	11741	1249.18	666.05	2230.18	293.70	608.86
lncRNA_1159	Porites_evermani_scaffold_1346	74186	76908	+	2723	1002.18	536.05	1646.01	241.70	534.36
lncRNA_1160	Porites_evermani_scaffold_1346	111745	112004	+	260	0	0	34	2	0
lncRNA_1161	Porites_evermani_scaffold_1347	132054	134243	+	2190	854.90	420.30	393.60	459.08	297.40
lncRNA_1162	Porites_evermani_scaffold_1348	53953	65042	+	11090	6599	2518	7983	4054	8422
lncRNA_1163	Porites_evermani_scaffold_1348	44276	45900	+	1625	268.80	208.90	120.20	95.40	18.20
lncRNA_1164	Porites_evermani_scaffold_1349	16398	17368	+	971	18	3	37	4	20
lncRNA_1165	Porites_evermani_scaffold_1349	32692	32896	+	205	6	0	24	0	0
lncRNA_1166	Porites_evermani_scaffold_135	113755	113985	+	231	2	0	24	0	4
lncRNA_1167	Porites_evermani_scaffold_135	196364	196698	+	335	35	32	112	13	34
lncRNA_1168	Porites_evermani_scaffold_135	197060	197300	+	241	8.50	3	0	1.83	23.83
lncRNA_1169	Porites_evermani_scaffold_135	208737	208960	+	224	0	7	28	0	16
lncRNA_1170	Porites_evermani_scaffold_135	227525	228292	+	768	64	36	56	63	35
lncRNA_1171	Porites_evermani_scaffold_135	253181	253768	+	588	120	27.50	0	32	2
lncRNA_1172	Porites_evermani_scaffold_135	299739	300064	+	326	0	0	56	0	44
lncRNA_1173	Porites_evermani_scaffold_1353	1	6099	+	6099	81.92	36.02	94.53	50.13	233.67
lncRNA_1174	Porites_evermani_scaffold_1353	1	6099	+	6099	81.92	36.02	94.53	50.13	233.67
lncRNA_1175	Porites_evermani_scaffold_1353	3594	3873	+	280	1.67	2.27	33.53	14.63	1.67
lncRNA_1176	Porites_evermani_scaffold_1354	115290	115848	+	559	20.50	15.50	75	10	27.50
lncRNA_1177	Porites_evermani_scaffold_1354	117649	118456	+	808	69	16.50	231	42	66.50
lncRNA_1178	Porites_evermani_scaffold_1354	126945	127551	+	607	28	8	43	13	62
lncRNA_1179	Porites_evermani_scaffold_1355	118857	119984	+	1128	217	154	378	135	304
lncRNA_1180	Porites_evermani_scaffold_1355	89955	92679	+	2725	18	4.00	13	17.00	46.00
lncRNA_1181	Porites_evermani_scaffold_1355	33516	33736	+	221	0	36.13	0	62.20	0.20
lncRNA_1182	Porites_evermani_scaffold_1359	123923	124351	+	429	68.72	47.40	70.14	47	65.42
lncRNA_1183	Porites_evermani_scaffold_1359	124013	124472	+	460	52.72	41.90	35.14	25	53.42
lncRNA_1184	Porites_evermani_scaffold_1359	121434	123250	+	1817	47.83	21.75	265.67	20.33	100.83
lncRNA_1185	Porites_evermani_scaffold_136	306224	306893	+	670	177.45	3	1.20	8	149.67
lncRNA_1186	Porites_evermani_scaffold_136	308173	308953	+	781	98.95	10	0	3	134.28
lncRNA_1187	Porites_evermani_scaffold_136	326084	326441	+	358	2	14	24	1	38
lncRNA_1188	Porites_evermani_scaffold_136	328182	328461	+	280	1	0	32	0	0
lncRNA_1189	Porites_evermani_scaffold_136	377734	377951	+	218	0	0	32	0	0
lncRNA_1190	Porites_evermani_scaffold_1361	56397	61951	+	5555	12	214	2	25	66
lncRNA_1191	Porites_evermani_scaffold_1364	24241	33750	+	9510	69.50	1	34.50	18	276
lncRNA_1192	Porites_evermani_scaffold_1364	107668	111109	+	3442	2	1	49	0	5.33
lncRNA_1193	Porites_evermani_scaffold_1364	78811	79064	+	254	0	0	24	0	4
lncRNA_1194	Porites_evermani_scaffold_1365	563	1228	+	666	10	3	220.50	47.50	99
lncRNA_1195	Porites_evermani_scaffold_1366	123476	128726	+	5251	168.07	104.17	288.72	179.42	348.97
lncRNA_1196	Porites_evermani_scaffold_1366	3835	4126	+	292	12.50	0	30	7	1.50
lncRNA_1197	Porites_evermani_scaffold_1366	8590	8856	+	267	35	8	55	11	24
lncRNA_1198	Porites_evermani_scaffold_1366	11389	11600	+	212	29	5	14	15	9
lncRNA_1199	Porites_evermani_scaffold_1366	76904	77631	+	728	222	42	615	294	249
lncRNA_1200	Porites_evermani_scaffold_1367	121861	131335	+	9475	530	178	0	2	781.00
lncRNA_1201	Porites_evermani_scaffold_1367	52588	55769	+	3182	242.50	121	84	153	472
lncRNA_1202	Porites_evermani_scaffold_1367	57567	66248	+	8682	305.83	244.25	475.75	185.50	461.75
lncRNA_1203	Porites_evermani_scaffold_1367	58995	66248	+	7254	37.67	33.75	47.25	16.50	83.25
lncRNA_1204	Porites_evermani_scaffold_1367	38272	38508	+	237	0	0	0	4	31
lncRNA_1205	Porites_evermani_scaffold_1369	54861	56954	+	2094	68	0	164	63	216
lncRNA_1206	Porites_evermani_scaffold_1369	115743	119138	+	3396	298.20	148.83	120.80	101.50	477
lncRNA_1207	Porites_evermani_scaffold_1369	127385	131711	+	4327	1418.92	909.33	464.67	526	2083.33
lncRNA_1208	Porites_evermani_scaffold_1369	118305	118993	+	689	266	123.83	60	93.50	421
lncRNA_1209	Porites_evermani_scaffold_137	109478	116156	+	6679	702.00	304.00	566.50	966.99	885.00
lncRNA_1210	Porites_evermani_scaffold_137	109478	116444	+	6967	1682.00	840.00	1253.50	2250.99	2046.00
lncRNA_1211	Porites_evermani_scaffold_137	78145	78551	+	407	122	9	26	142	115.50
lncRNA_1212	Porites_evermani_scaffold_137	82464	82795	+	332	2	0	34	12	0.50
lncRNA_1213	Porites_evermani_scaffold_137	248666	248972	+	307	0	0	44	0	0
lncRNA_1214	Porites_evermani_scaffold_1371	9620	11039	+	1420	10	27	97	0	32
lncRNA_1215	Porites_evermani_scaffold_1372	123673	124783	+	1111	126.20	11.73	14.00	23.33	463.25
lncRNA_1216	Porites_evermani_scaffold_1373	3627	4906	+	1280	58.23	38	67.50	45.03	129.10
lncRNA_1217	Porites_evermani_scaffold_1373	3650	6533	+	2884	110.52	58.67	77.08	62.53	204.72
lncRNA_1218	Porites_evermani_scaffold_1373	5136	6533	+	1398	55.02	21.17	13.58	20.03	76.22
lncRNA_1219	Porites_evermani_scaffold_1373	5724	6533	+	810	52.19	20.17	13.58	17.70	75.72
lncRNA_1220	Porites_evermani_scaffold_1373	5961	6533	+	573	50.52	19	13.25	17.70	73.72
lncRNA_1221	Porites_evermani_scaffold_1373	75419	75671	+	253	0	5	30	0	13
lncRNA_1222	Porites_evermani_scaffold_1373	76550	76856	+	307	6	0	52	0	4
lncRNA_1223	Porites_evermani_scaffold_1374	27417	27726	+	310	81.50	55.50	49	104	178.33
lncRNA_1224	Porites_evermani_scaffold_1374	93061	93370	+	310	15.50	1	32	3	21
lncRNA_1225	Porites_evermani_scaffold_1375	25358	26509	+	1152	19	28	92	25	5
lncRNA_1226	Porites_evermani_scaffold_1375	35349	35970	+	622	0	0	79	0	4
lncRNA_1227	Porites_evermani_scaffold_1375	28623	29084	+	462	9.50	15.50	99	0	6
lncRNA_1228	Porites_evermani_scaffold_1375	29496	31111	+	1616	22	45	176	3	13
lncRNA_1229	Porites_evermani_scaffold_1375	33375	33583	+	209	0.50	4	29	0	0
lncRNA_1230	Porites_evermani_scaffold_1375	39699	39968	+	270	3	0	36	0	2
lncRNA_1231	Porites_evermani_scaffold_1376	10401	10654	+	254	4.90	0	30	0.75	0.65
lncRNA_1232	Porites_evermani_scaffold_1376	42325	42532	+	208	0	0	48	0	0
lncRNA_1233	Porites_evermani_scaffold_1376	49654	49859	+	206	0	0	50	0	2
lncRNA_1234	Porites_evermani_scaffold_1376	80842	82759	+	1918	72.78	1203.53	54.33	9.83	98.87
lncRNA_1235	Porites_evermani_scaffold_1377	74211	74599	+	389	0	2	50	0	0
lncRNA_1236	Porites_evermani_scaffold_1377	112609	113591	+	983	6061	2464	1508	2016.00	8927.00
lncRNA_1237	Porites_evermani_scaffold_1378	79665	79913	+	249	0	0	23	0	0
lncRNA_1238	Porites_evermani_scaffold_1379	71158	78853	+	7696	5070.29	2792.12	6194.40	3478.79	6765.67
lncRNA_1239	Porites_evermani_scaffold_138	201004	203079	+	2076	232.83	77.92	132.25	228.75	376.50
lncRNA_1240	Porites_evermani_scaffold_138	201184	203890	+	2707	275.25	92.17	156.00	269.50	427.00
lncRNA_1241	Porites_evermani_scaffold_138	203316	203890	+	575	40.92	15.92	23.75	55.75	60.50
lncRNA_1242	Porites_evermani_scaffold_138	29499	29699	+	201	0	0	26	0	2
lncRNA_1243	Porites_evermani_scaffold_138	199269	199543	+	275	0	0	38	0	0
lncRNA_1244	Porites_evermani_scaffold_138	278280	278507	+	228	0	6	63	2	12
lncRNA_1245	Porites_evermani_scaffold_138	308366	308822	+	457	56.50	5.50	0	0.25	12
lncRNA_1246	Porites_evermani_scaffold_1380	20023	20347	+	325	0	0	48	0	0
lncRNA_1247	Porites_evermani_scaffold_1381	8681	10258	+	1578	1273.50	513	1602	794	1418
lncRNA_1248	Porites_evermani_scaffold_1383	111931	114272	+	2342	665.50	199.00	1193.99	175.50	892.66
lncRNA_1249	Porites_evermani_scaffold_1383	129287	131508	+	2222	109	57	120	55	97
lncRNA_1250	Porites_evermani_scaffold_1383	105514	108225	+	2712	95	46	832.50	19	166
lncRNA_1251	Porites_evermani_scaffold_1383	105743	108225	+	2483	91	44	804.50	19	157
lncRNA_1252	Porites_evermani_scaffold_1384	50421	51170	+	750	26	21	57	21	57
lncRNA_1253	Porites_evermani_scaffold_1384	51199	51643	+	445	0	12	61	37	38
lncRNA_1254	Porites_evermani_scaffold_1384	103252	103489	+	238	69	3	348	62.17	64
lncRNA_1255	Porites_evermani_scaffold_1385	120233	120511	+	279	0	0	0	0	31
lncRNA_1256	Porites_evermani_scaffold_1385	128322	131585	+	3264	355.00	119.92	109.80	101.25	499.10
lncRNA_1257	Porites_evermani_scaffold_1386	23630	30968	+	7339	352.80	42.33	416.09	224.22	479.10
lncRNA_1258	Porites_evermani_scaffold_1386	23630	30968	+	7339	352.80	42.33	416.09	224.22	479.10
lncRNA_1259	Porites_evermani_scaffold_1386	118902	120067	+	1166	45	77	104	151	139
lncRNA_1260	Porites_evermani_scaffold_1386	24711	30973	+	6263	324.47	36.08	314.04	167.22	399.82
lncRNA_1261	Porites_evermani_scaffold_1386	24711	30973	+	6263	324.47	36.08	314.04	167.22	399.82
lncRNA_1262	Porites_evermani_scaffold_1386	25056	30973	+	5918	305.89	34.66	297.17	157.10	383.59
lncRNA_1263	Porites_evermani_scaffold_1386	91176	97037	+	5862	60	39.00	166	45	88
lncRNA_1264	Porites_evermani_scaffold_1387	9910	10203	+	294	66	73	59	75	145
lncRNA_1265	Porites_evermani_scaffold_1387	130123	131166	+	1044	23	45	61	38	49
lncRNA_1266	Porites_evermani_scaffold_1387	106881	107104	+	224	11.30	7.47	28.20	0.40	10.40
lncRNA_1267	Porites_evermani_scaffold_1388	112215	118331	+	6117	9	12	84	6	14
lncRNA_1268	Porites_evermani_scaffold_139	55391	61174	+	5784	66.92	16	70.70	6.32	36.60
lncRNA_1269	Porites_evermani_scaffold_139	202332	204067	+	1736	1.25	0	208.96	53.50	301.59
lncRNA_1270	Porites_evermani_scaffold_139	202332	204067	+	1736	1.25	0	208.96	53.50	301.59
lncRNA_1271	Porites_evermani_scaffold_139	45048	46823	+	1776	52.00	31	281.00	53.00	84
lncRNA_1272	Porites_evermani_scaffold_139	204158	204714	+	557	0	4	213	42.00	307.67
lncRNA_1273	Porites_evermani_scaffold_139	91457	91682	+	226	2	0	30	0	3
lncRNA_1274	Porites_evermani_scaffold_139	96320	97059	+	740	1	32	112	0	32
lncRNA_1275	Porites_evermani_scaffold_139	177450	178026	+	577	0	0	94	8	14
lncRNA_1276	Porites_evermani_scaffold_139	237875	238123	+	249	0	0	28	0	0
lncRNA_1277	Porites_evermani_scaffold_139	240016	240325	+	310	0	0	38	0	1
lncRNA_1278	Porites_evermani_scaffold_139	356099	356310	+	212	0	0	24	0	0
lncRNA_1279	Porites_evermani_scaffold_139	396420	396646	+	227	0	35	2	1	114
lncRNA_1280	Porites_evermani_scaffold_139	409377	409608	+	232	33	0	0	15.75	20
lncRNA_1281	Porites_evermani_scaffold_1390	25845	28040	+	2196	205	152	968	316	271
lncRNA_1282	Porites_evermani_scaffold_1390	85977	86224	+	248	0	0	17	0	35
lncRNA_1283	Porites_evermani_scaffold_1391	42726	42993	+	268	0	0	30	1	0
lncRNA_1284	Porites_evermani_scaffold_1392	44555	49577	+	5023	10	0	48	0	14.67
lncRNA_1285	Porites_evermani_scaffold_1392	49630	65772	+	16143	10	0	64	0	4
lncRNA_1286	Porites_evermani_scaffold_1392	118593	119062	+	470	1.50	5	157	20	22
lncRNA_1287	Porites_evermani_scaffold_1393	52124	60050	+	7927	600	622	1000	588	869
lncRNA_1288	Porites_evermani_scaffold_1393	43128	43715	+	588	0	0.50	4	2	870.33
lncRNA_1289	Porites_evermani_scaffold_1393	130564	130853	+	290	0	0	32	5	3
lncRNA_1290	Porites_evermani_scaffold_1394	30177	30540	+	364	20	22	82	4	18
lncRNA_1291	Porites_evermani_scaffold_1395	2055	2418	+	364	0	0	79	33	23
lncRNA_1292	Porites_evermani_scaffold_1395	58702	59099	+	398	0	0	44	1	15
lncRNA_1293	Porites_evermani_scaffold_1396	26819	27027	+	209	4	0	26	0	4
lncRNA_1294	Porites_evermani_scaffold_1397	13662	26639	+	12978	30.77	29.83	172.00	56.83	46.10
lncRNA_1295	Porites_evermani_scaffold_1397	15784	26639	+	10856	30.77	29.83	166.00	55.83	46.10
lncRNA_1296	Porites_evermani_scaffold_1397	21126	26639	+	5514	27.67	27.67	163.00	52.33	46.00
lncRNA_1297	Porites_evermani_scaffold_1397	90053	109604	+	19552	1765.12	808.92	658.95	737.15	2060.75
lncRNA_1298	Porites_evermani_scaffold_1397	103982	107919	+	3938	121.38	55.23	114.14	74.63	90.51
lncRNA_1299	Porites_evermani_scaffold_1397	104043	109604	+	5562	1522.19	722.82	356.97	663.45	1923.76
lncRNA_1300	Porites_evermani_scaffold_1397	107920	109604	+	1685	1408.23	670.49	243.33	591.74	1839.39
lncRNA_1301	Porites_evermani_scaffold_1398	69717	80169	+	10453	127	0	37	0	124
lncRNA_1302	Porites_evermani_scaffold_1398	6348	6723	+	376	45.00	0	45	0	50
lncRNA_1303	Porites_evermani_scaffold_1398	17499	17747	+	249	2	35.50	7	2	0
lncRNA_1304	Porites_evermani_scaffold_1399	124629	124887	+	259	0	16	54	0	0
lncRNA_1305	Porites_evermani_scaffold_14	85480	89879	+	4400	797	55.33	7	134	473
lncRNA_1306	Porites_evermani_scaffold_14	97166	100329	+	3164	260	18	0	18	224.50
lncRNA_1307	Porites_evermani_scaffold_14	232211	237117	+	4907	44	22	32	53	167
lncRNA_1308	Porites_evermani_scaffold_14	252059	260397	+	8339	30	2	0	11	68
lncRNA_1309	Porites_evermani_scaffold_14	72418	77882	+	5465	1330.13	76	179	235.00	606.10
lncRNA_1310	Porites_evermani_scaffold_14	305983	307561	+	1579	220	102	254	110	240
lncRNA_1311	Porites_evermani_scaffold_14	634805	637434	+	2630	376.45	126	133.50	121	342.33
lncRNA_1312	Porites_evermani_scaffold_14	833564	838722	+	5159	58.77	22.80	131.40	36.40	36.80
lncRNA_1313	Porites_evermani_scaffold_14	839559	842172	+	2614	11	12	122	6	51
lncRNA_1314	Porites_evermani_scaffold_14	842959	844481	+	1523	25	26	63	5	25
lncRNA_1315	Porites_evermani_scaffold_14	849287	855234	+	5948	27	26	173	10	24
lncRNA_1316	Porites_evermani_scaffold_14	19114	19401	+	288	3	0	26	2	0
lncRNA_1317	Porites_evermani_scaffold_14	125798	126161	+	364	0	2	49	3	0
lncRNA_1318	Porites_evermani_scaffold_14	340149	340813	+	665	3.20	0	81	3	12
lncRNA_1319	Porites_evermani_scaffold_14	443867	444376	+	510	8	1	1	9.50	51.50
lncRNA_1320	Porites_evermani_scaffold_14	550734	550955	+	222	3.07	5	36.20	6	6
lncRNA_1321	Porites_evermani_scaffold_14	646544	646744	+	201	12	0	28	0	0
lncRNA_1322	Porites_evermani_scaffold_14	698370	698623	+	254	0	0	24	0	0
lncRNA_1323	Porites_evermani_scaffold_14	902786	903378	+	593	101	51	93	27	95
lncRNA_1324	Porites_evermani_scaffold_140	353622	354463	+	842	949	188	435	266	1383
lncRNA_1325	Porites_evermani_scaffold_140	253306	254566	+	1261	76.50	78	384.50	35	14
lncRNA_1326	Porites_evermani_scaffold_140	149596	149818	+	223	32.15	10.90	44.73	7.40	21.05
lncRNA_1327	Porites_evermani_scaffold_140	155880	157153	+	1274	2	4	236	4	4
lncRNA_1328	Porites_evermani_scaffold_140	247880	248525	+	646	11.90	30.00	54.02	12.33	18.85
lncRNA_1329	Porites_evermani_scaffold_140	280566	280851	+	286	0	0	32	0	0
lncRNA_1330	Porites_evermani_scaffold_1400	129852	130386	+	535	114	48	173	35	122
lncRNA_1331	Porites_evermani_scaffold_1400	41705	44727	+	3023	51.40	4	8.40	4	72.42
lncRNA_1332	Porites_evermani_scaffold_1400	37025	37256	+	232	130.00	0.50	87.00	51.50	0
lncRNA_1333	Porites_evermani_scaffold_1401	699	1262	+	564	1342	271.50	841	726.50	1844.33
lncRNA_1334	Porites_evermani_scaffold_1401	102171	103251	+	1081	721.50	282	376	411.50	1159
lncRNA_1335	Porites_evermani_scaffold_1401	17431	21519	+	4089	24.50	16	212	6.67	141.00
lncRNA_1336	Porites_evermani_scaffold_1401	96295	96770	+	476	17	3	57	2	48
lncRNA_1337	Porites_evermani_scaffold_1402	93518	93953	+	436	0	0	63	0	4
lncRNA_1338	Porites_evermani_scaffold_1402	102355	109115	+	6761	1399.20	269.50	791	864	1957.20
lncRNA_1339	Porites_evermani_scaffold_1403	51087	51313	+	227	0	1	30	1.35	11.40
lncRNA_1340	Porites_evermani_scaffold_1403	116005	116300	+	296	9.50	0	3	8.50	34
lncRNA_1341	Porites_evermani_scaffold_1405	2705	3708	+	1004	0	0	81	3	1
lncRNA_1342	Porites_evermani_scaffold_1405	33820	34078	+	259	6	16.83	126.50	7.62	15.00
lncRNA_1343	Porites_evermani_scaffold_1405	86490	86752	+	263	0	0	28	0	0
lncRNA_1344	Porites_evermani_scaffold_1406	97503	106164	+	8662	209.50	30	367	35.50	191
lncRNA_1345	Porites_evermani_scaffold_1406	123581	124170	+	590	125	0	177	21	62.20
lncRNA_1346	Porites_evermani_scaffold_1406	26180	26952	+	773	145.50	31	87	35	64
lncRNA_1347	Porites_evermani_scaffold_1406	27968	29582	+	1615	68	18	11	51	171.50
lncRNA_1348	Porites_evermani_scaffold_1406	61896	62170	+	275	15	0	39	0	12
lncRNA_1349	Porites_evermani_scaffold_1406	62735	63761	+	1027	86	0	170	29	98
lncRNA_1350	Porites_evermani_scaffold_1408	56772	60161	+	3390	181.50	3	89.50	29	99
lncRNA_1351	Porites_evermani_scaffold_1408	49761	50908	+	1148	44	26	230	7	36
lncRNA_1352	Porites_evermani_scaffold_141	118081	120040	+	1960	391	112	48	15	16
lncRNA_1353	Porites_evermani_scaffold_141	260476	263246	+	2771	67.43	19.15	34.80	2	77.55
lncRNA_1354	Porites_evermani_scaffold_141	175142	179473	+	4332	0	0	379	2	3
lncRNA_1355	Porites_evermani_scaffold_141	396951	400863	+	3913	469	137	414	193	465
lncRNA_1356	Porites_evermani_scaffold_141	22598	22813	+	216	0	0	32	0.50	0
lncRNA_1357	Porites_evermani_scaffold_141	110013	111120	+	1108	149	49	49	3	71.50
lncRNA_1358	Porites_evermani_scaffold_141	246674	246947	+	274	50	19	26	3	77
lncRNA_1359	Porites_evermani_scaffold_141	420769	421236	+	468	0.50	0	0	64	20.20
lncRNA_1360	Porites_evermani_scaffold_1410	294	502	+	209	0	0	44	0	0
lncRNA_1361	Porites_evermani_scaffold_1411	48877	50203	+	1327	56.17	14.50	264	98	72
lncRNA_1362	Porites_evermani_scaffold_1411	50284	54481	+	4198	57.83	21.50	341	138	85
lncRNA_1363	Porites_evermani_scaffold_1411	1	555	+	555	112.50	0	34	6	61.33
lncRNA_1364	Porites_evermani_scaffold_1411	48034	48293	+	260	0	2	36	0	0
lncRNA_1365	Porites_evermani_scaffold_1411	54835	55303	+	469	63	33	96	68	80
lncRNA_1366	Porites_evermani_scaffold_1413	1	1517	+	1517	233	62	76	54	162
lncRNA_1367	Porites_evermani_scaffold_1413	23023	23369	+	347	2	11	56	0	5
lncRNA_1368	Porites_evermani_scaffold_1413	25159	25396	+	238	0	3	24	3	0
lncRNA_1369	Porites_evermani_scaffold_1413	51249	51476	+	228	6	0	18	0	0
lncRNA_1370	Porites_evermani_scaffold_1414	42117	45539	+	3423	500.33	885.65	1204.99	1041.46	2107.54
lncRNA_1371	Porites_evermani_scaffold_1414	12143	12421	+	279	0	1	46	0	4
lncRNA_1372	Porites_evermani_scaffold_1414	111138	111618	+	481	22	40	76	50	17
lncRNA_1373	Porites_evermani_scaffold_1414	111930	112514	+	585	29	30	60	47	36
lncRNA_1374	Porites_evermani_scaffold_1415	43844	45699	+	1856	297	227	392	90	756
