# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "24" "-M" "-O" "--fraction" "-a" "../output/01.6-Ptuh-lncRNA-pipeline/Ptuh_lncRNA_for_fc.gtf" "-o" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/output/01.6-lncRNA-pipeline/Ptuh-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-47-S1-TP2.sorted.bam" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-48-S1-TP2.sorted.bam" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-50-S1-TP2.sorted.bam" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-53-S1-TP2.sorted.bam" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-57-S1-TP2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-47-S1-TP2.sorted.bam	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-48-S1-TP2.sorted.bam	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-50-S1-TP2.sorted.bam	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-53-S1-TP2.sorted.bam	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-57-S1-TP2.sorted.bam
lncRNA_475	Pocillopora_meandrina_HIv1___Sc0000000	20167638	20167847	+	210	8	8	10	12	18
lncRNA_476	Pocillopora_meandrina_HIv1___Sc0000000	20180739	20182183	+	1445	166	159	964	220	82
lncRNA_477	Pocillopora_meandrina_HIv1___Sc0000000	20196177	20202636	+	6460	1063	1778	1259.50	472	1467
lncRNA_478	Pocillopora_meandrina_HIv1___Sc0000000	20258283	20259178	+	896	21	21	46	0	8
lncRNA_479	Pocillopora_meandrina_HIv1___Sc0000000	20822536	20822976	+	441	43	16	27	10	2
lncRNA_480	Pocillopora_meandrina_HIv1___Sc0000000	20913132	20914290	+	1159	45.43	23.50	40	15.65	100
lncRNA_481	Pocillopora_meandrina_HIv1___Sc0000000	21091993	21092792	+	800	180	171	259	172	478
lncRNA_482	Pocillopora_meandrina_HIv1___Sc0000000	21293147	21294041	+	895	107.63	47.37	192.08	158.17	68.83
lncRNA_483	Pocillopora_meandrina_HIv1___Sc0000000	21472257	21472773	+	517	13	9	45	21	29
lncRNA_484	Pocillopora_meandrina_HIv1___Sc0000000	21482897	21491426	+	8530	2523.61	2111.30	2509.55	4041.48	2493.33
lncRNA_485	Pocillopora_meandrina_HIv1___Sc0000000	21484661	21493450	+	8790	2818.61	2359.29	2684.88	4354.30	2768.58
lncRNA_486	Pocillopora_meandrina_HIv1___Sc0000000	21484883	21493450	+	8568	2636.70	2214.67	2518.13	4031.48	2578.58
lncRNA_487	Pocillopora_meandrina_HIv1___Sc0000000	122574	123665	+	1092	2077	803	1779	1126	646
lncRNA_488	Pocillopora_meandrina_HIv1___Sc0000000	124900	125132	+	233	15	8	2	3	19
lncRNA_489	Pocillopora_meandrina_HIv1___Sc0000000	182910	183240	+	331	1	22.67	37.50	0	0
lncRNA_490	Pocillopora_meandrina_HIv1___Sc0000000	347444	347703	+	260	48	7	63	24	7
lncRNA_491	Pocillopora_meandrina_HIv1___Sc0000000	810755	810959	+	205	6	20	1	8	18
lncRNA_492	Pocillopora_meandrina_HIv1___Sc0000000	844037	844372	+	336	0	9	20.41	26	0
lncRNA_493	Pocillopora_meandrina_HIv1___Sc0000000	846930	847169	+	240	0	0	0	11	13
lncRNA_494	Pocillopora_meandrina_HIv1___Sc0000000	847725	848024	+	300	0	4	0	29	4
lncRNA_495	Pocillopora_meandrina_HIv1___Sc0000000	961117	961471	+	355	8.73	17.79	54.20	3.67	19.85
lncRNA_496	Pocillopora_meandrina_HIv1___Sc0000000	982999	984515	+	1517	2835	2097	2756.50	2984	2688
lncRNA_497	Pocillopora_meandrina_HIv1___Sc0000000	987360	989527	+	2168	474.19	177.15	167.96	95.90	298.60
lncRNA_498	Pocillopora_meandrina_HIv1___Sc0000000	1051681	1052114	+	434	0	13	23	50	2
lncRNA_499	Pocillopora_meandrina_HIv1___Sc0000000	1052598	1052813	+	216	0	0	4	2	13
lncRNA_500	Pocillopora_meandrina_HIv1___Sc0000000	1078608	1078845	+	238	1	4	9	3	24
lncRNA_501	Pocillopora_meandrina_HIv1___Sc0000000	1132354	1132838	+	485	0	0	45	0	0
lncRNA_502	Pocillopora_meandrina_HIv1___Sc0000000	1191750	1191987	+	238	0	0	17	28	0
lncRNA_503	Pocillopora_meandrina_HIv1___Sc0000000	1199008	1199216	+	209	0	0	0	0	12
lncRNA_504	Pocillopora_meandrina_HIv1___Sc0000000	1268437	1268882	+	446	11	26	42	50	0
lncRNA_505	Pocillopora_meandrina_HIv1___Sc0000000	1626716	1627016	+	301	0	0	0	22	0
lncRNA_506	Pocillopora_meandrina_HIv1___Sc0000000	1636361	1636669	+	309	0	12	0	34	0
lncRNA_507	Pocillopora_meandrina_HIv1___Sc0000000	1733376	1733620	+	245	0	37	11	8	6
lncRNA_508	Pocillopora_meandrina_HIv1___Sc0000000	1765820	1766056	+	237	1	20	6	6	1
lncRNA_509	Pocillopora_meandrina_HIv1___Sc0000000	1852345	1852756	+	412	4.90	17.88	6.80	3.67	35.60
lncRNA_510	Pocillopora_meandrina_HIv1___Sc0000000	1853163	1853892	+	730	8	7	0	0	66
lncRNA_511	Pocillopora_meandrina_HIv1___Sc0000000	2054534	2054995	+	462	0	27	12	55	0
lncRNA_512	Pocillopora_meandrina_HIv1___Sc0000000	2059118	2059336	+	219	1	7	23	5	0
lncRNA_513	Pocillopora_meandrina_HIv1___Sc0000000	2292271	2292511	+	241	25	29	21	6	2
lncRNA_514	Pocillopora_meandrina_HIv1___Sc0000000	2313225	2313443	+	219	5	9.33	2	40.67	0.33
lncRNA_515	Pocillopora_meandrina_HIv1___Sc0000000	2334957	2336085	+	1129	2	19	103.00	28	27
lncRNA_516	Pocillopora_meandrina_HIv1___Sc0000000	2338828	2339111	+	284	22	3	0	6	0
lncRNA_517	Pocillopora_meandrina_HIv1___Sc0000000	2374692	2375038	+	347	0	0	32	22	0
lncRNA_518	Pocillopora_meandrina_HIv1___Sc0000000	2386824	2387477	+	654	5	46	46	7	0
lncRNA_519	Pocillopora_meandrina_HIv1___Sc0000000	2400243	2400643	+	401	2	40	45	37	0
lncRNA_520	Pocillopora_meandrina_HIv1___Sc0000000	2407862	2408113	+	252	19	0	0	0	0
lncRNA_521	Pocillopora_meandrina_HIv1___Sc0000000	2548296	2548577	+	282	0	20	0	2	0
lncRNA_522	Pocillopora_meandrina_HIv1___Sc0000000	2585368	2585578	+	211	0	0	5	18	0
lncRNA_523	Pocillopora_meandrina_HIv1___Sc0000000	2585912	2586188	+	277	0	21	13	30	6
lncRNA_524	Pocillopora_meandrina_HIv1___Sc0000000	2744137	2744346	+	210	0	0	0	0	14
lncRNA_525	Pocillopora_meandrina_HIv1___Sc0000000	2824583	2824794	+	212	0	0	0	18	0
lncRNA_526	Pocillopora_meandrina_HIv1___Sc0000000	2842172	2842457	+	286	1	0	0	1	28
lncRNA_527	Pocillopora_meandrina_HIv1___Sc0000000	2887421	2888078	+	658	10.50	52	179	10.50	54
lncRNA_528	Pocillopora_meandrina_HIv1___Sc0000000	2901998	2902594	+	597	20	0	52	3	0
lncRNA_529	Pocillopora_meandrina_HIv1___Sc0000000	2915437	2916161	+	725	31	32	46	87	38
lncRNA_530	Pocillopora_meandrina_HIv1___Sc0000000	2985430	2986781	+	1352	37	229	20	139	61
lncRNA_531	Pocillopora_meandrina_HIv1___Sc0000000	2998606	2998862	+	257	0	1.50	0	9.50	0
lncRNA_532	Pocillopora_meandrina_HIv1___Sc0000000	3001783	3002081	+	299	0	14	0	0	0
lncRNA_533	Pocillopora_meandrina_HIv1___Sc0000000	3023247	3023499	+	253	0	0	0	0	43
lncRNA_534	Pocillopora_meandrina_HIv1___Sc0000000	3023796	3024087	+	292	0	0	0	0	25
lncRNA_535	Pocillopora_meandrina_HIv1___Sc0000000	3215634	3215863	+	230	4	7	12	31	0
lncRNA_536	Pocillopora_meandrina_HIv1___Sc0000000	3332853	3333087	+	235	22	0	2	7	18
lncRNA_537	Pocillopora_meandrina_HIv1___Sc0000000	3342306	3342936	+	631	4	16	8	54	20
lncRNA_538	Pocillopora_meandrina_HIv1___Sc0000000	3371004	3372613	+	1610	4	27	67.33	153	76
lncRNA_539	Pocillopora_meandrina_HIv1___Sc0000000	3389642	3390171	+	530	0	4	67	16	0
lncRNA_540	Pocillopora_meandrina_HIv1___Sc0000000	3442793	3442998	+	206	4	0	16	0	0
lncRNA_541	Pocillopora_meandrina_HIv1___Sc0000000	3450995	3451202	+	208	16	5.50	87.20	7.75	0
lncRNA_542	Pocillopora_meandrina_HIv1___Sc0000000	3603111	3603314	+	204	17	0	14	0	28
lncRNA_543	Pocillopora_meandrina_HIv1___Sc0000000	3603625	3604057	+	433	54.31	0	52.25	1.33	16
lncRNA_544	Pocillopora_meandrina_HIv1___Sc0000000	3606187	3606437	+	251	0	0	0	22	0
lncRNA_545	Pocillopora_meandrina_HIv1___Sc0000000	3614745	3615474	+	730	11	54	41	13.50	2
lncRNA_546	Pocillopora_meandrina_HIv1___Sc0000000	3616967	3617381	+	415	1	25	19	4	33
lncRNA_547	Pocillopora_meandrina_HIv1___Sc0000000	3618007	3618288	+	282	0	0	13	0	24
lncRNA_548	Pocillopora_meandrina_HIv1___Sc0000000	3619013	3619221	+	209	0	0	0	0	16
lncRNA_549	Pocillopora_meandrina_HIv1___Sc0000000	3640528	3640823	+	296	0	0	0	0	15
lncRNA_550	Pocillopora_meandrina_HIv1___Sc0000000	3642784	3643454	+	671	14	4	53	37	0
lncRNA_551	Pocillopora_meandrina_HIv1___Sc0000000	3781754	3781977	+	224	17.00	2	18.25	14.25	6.87
lncRNA_552	Pocillopora_meandrina_HIv1___Sc0000000	3821345	3821655	+	311	2	39	25	26	1
lncRNA_553	Pocillopora_meandrina_HIv1___Sc0000000	3822704	3822951	+	248	0	0	19	14	0
lncRNA_554	Pocillopora_meandrina_HIv1___Sc0000000	3898319	3898583	+	265	0	4	29	20	0
lncRNA_555	Pocillopora_meandrina_HIv1___Sc0000000	3920949	3921349	+	401	6	3	0	0	20
lncRNA_556	Pocillopora_meandrina_HIv1___Sc0000000	3939484	3939779	+	296	0	0	29	8	0
lncRNA_557	Pocillopora_meandrina_HIv1___Sc0000000	3970448	3970725	+	278	0	0	22	2	0
lncRNA_558	Pocillopora_meandrina_HIv1___Sc0000000	3971483	3972490	+	1008	21.09	88.06	86.73	55.41	56.85
lncRNA_559	Pocillopora_meandrina_HIv1___Sc0000000	4012216	4012427	+	212	0	9	3	0	14
lncRNA_560	Pocillopora_meandrina_HIv1___Sc0000000	4014738	4015075	+	338	9	33	14	4	0
lncRNA_561	Pocillopora_meandrina_HIv1___Sc0000000	4015438	4015691	+	254	4	17	28	16	18
lncRNA_562	Pocillopora_meandrina_HIv1___Sc0000000	4016469	4017991	+	1523	31	39	45	73	120
lncRNA_563	Pocillopora_meandrina_HIv1___Sc0000000	4040047	4044146	+	4100	485	244	530	631	569
lncRNA_564	Pocillopora_meandrina_HIv1___Sc0000000	4057657	4057869	+	213	39	24	21	16	8
lncRNA_565	Pocillopora_meandrina_HIv1___Sc0000000	4252989	4253715	+	727	516	147	248	325	350
lncRNA_566	Pocillopora_meandrina_HIv1___Sc0000000	4275747	4275964	+	218	0	15	4	0	7
lncRNA_567	Pocillopora_meandrina_HIv1___Sc0000000	4276561	4277053	+	493	6	17	0	0	26
lncRNA_568	Pocillopora_meandrina_HIv1___Sc0000000	4317542	4317973	+	432	0	33	43	4	17
lncRNA_569	Pocillopora_meandrina_HIv1___Sc0000000	4433890	4434124	+	235	0	4	9	12	18
lncRNA_570	Pocillopora_meandrina_HIv1___Sc0000000	4467427	4467791	+	365	0	24	30	1	28
lncRNA_571	Pocillopora_meandrina_HIv1___Sc0000000	4516605	4516814	+	210	0	0	0	0	20
lncRNA_572	Pocillopora_meandrina_HIv1___Sc0000000	4520114	4520323	+	210	2	32	4	17	0
lncRNA_573	Pocillopora_meandrina_HIv1___Sc0000000	4522783	4523085	+	303	10	3	0	0	14
lncRNA_574	Pocillopora_meandrina_HIv1___Sc0000000	4524686	4524934	+	249	3.63	4.78	4.93	20.05	17.10
lncRNA_575	Pocillopora_meandrina_HIv1___Sc0000000	4549724	4549975	+	252	0	0	0	0	18
lncRNA_576	Pocillopora_meandrina_HIv1___Sc0000000	4561094	4561303	+	210	5	0	9.50	17	11
lncRNA_577	Pocillopora_meandrina_HIv1___Sc0000000	4561531	4561809	+	279	2	26	2.50	19	0
lncRNA_578	Pocillopora_meandrina_HIv1___Sc0000000	4595268	4596267	+	1000	58.71	87.49	123.79	285.66	112.44
lncRNA_579	Pocillopora_meandrina_HIv1___Sc0000000	4677206	4677618	+	413	0	4	29	30	0
lncRNA_580	Pocillopora_meandrina_HIv1___Sc0000000	4692478	4692764	+	287	0	19	0	0	0
lncRNA_581	Pocillopora_meandrina_HIv1___Sc0000000	4772112	4772350	+	239	0	0	18	0	0
lncRNA_582	Pocillopora_meandrina_HIv1___Sc0000000	4838267	4838573	+	307	0	34	4	22	0
lncRNA_583	Pocillopora_meandrina_HIv1___Sc0000000	4840922	4841204	+	283	0	0	16	20	0
lncRNA_584	Pocillopora_meandrina_HIv1___Sc0000000	4848166	4848400	+	235	0	3	0	2	13
lncRNA_585	Pocillopora_meandrina_HIv1___Sc0000000	4849705	4850168	+	464	14	32	29	0	52
lncRNA_586	Pocillopora_meandrina_HIv1___Sc0000000	4850545	4850868	+	324	0	14	6	8	23
lncRNA_587	Pocillopora_meandrina_HIv1___Sc0000000	4854085	4854334	+	250	3	1	11	14	14
lncRNA_588	Pocillopora_meandrina_HIv1___Sc0000000	4881793	4882034	+	242	0	26	16	0	0
lncRNA_589	Pocillopora_meandrina_HIv1___Sc0000000	4945790	4945999	+	210	0	0	58.00	0	0
lncRNA_590	Pocillopora_meandrina_HIv1___Sc0000000	4983383	4983621	+	239	0	0	0	0	14.50
lncRNA_591	Pocillopora_meandrina_HIv1___Sc0000000	5261648	5261861	+	214	5	6.10	8	22	2
lncRNA_592	Pocillopora_meandrina_HIv1___Sc0000000	5268974	5269277	+	304	0	2	0	33	0
lncRNA_593	Pocillopora_meandrina_HIv1___Sc0000000	5271089	5271487	+	399	4	0	4	45	2
lncRNA_594	Pocillopora_meandrina_HIv1___Sc0000000	5271902	5272249	+	348	3	49	13	0	0
lncRNA_595	Pocillopora_meandrina_HIv1___Sc0000000	5508818	5509291	+	474	18	48	16	99	0
lncRNA_596	Pocillopora_meandrina_HIv1___Sc0000000	5528589	5529289	+	701	2	4.50	12	26.33	26.20
lncRNA_597	Pocillopora_meandrina_HIv1___Sc0000000	5656177	5656523	+	347	11.97	2.24	6.62	10.57	2.47
lncRNA_598	Pocillopora_meandrina_HIv1___Sc0000000	5727273	5727811	+	539	8.52	21.69	68.93	39.73	35.55
lncRNA_599	Pocillopora_meandrina_HIv1___Sc0000000	5821284	5821789	+	506	1	0	54	0	0
lncRNA_600	Pocillopora_meandrina_HIv1___Sc0000000	5823711	5823949	+	239	6	1	0	0	14
lncRNA_601	Pocillopora_meandrina_HIv1___Sc0000000	5832139	5832642	+	504	0	9	24	40	0
lncRNA_602	Pocillopora_meandrina_HIv1___Sc0000000	5833271	5833487	+	217	0	0	49	0	0
lncRNA_603	Pocillopora_meandrina_HIv1___Sc0000000	5833714	5834472	+	759	0	20	29.50	61	5
lncRNA_604	Pocillopora_meandrina_HIv1___Sc0000000	5908299	5908649	+	351	0.20	0.10	46.76	12.63	0
lncRNA_605	Pocillopora_meandrina_HIv1___Sc0000000	5912924	5913452	+	529	8	60	15	18	7
lncRNA_606	Pocillopora_meandrina_HIv1___Sc0000000	5999056	5999380	+	325	0	8	32	5	0
lncRNA_607	Pocillopora_meandrina_HIv1___Sc0000000	6011287	6011754	+	468	0	31	10	2	0
lncRNA_608	Pocillopora_meandrina_HIv1___Sc0000000	6052279	6052653	+	375	9.82	19.43	6.10	7.33	41.34
lncRNA_609	Pocillopora_meandrina_HIv1___Sc0000000	6054422	6054982	+	561	106.33	103.67	153.33	18.33	7
lncRNA_610	Pocillopora_meandrina_HIv1___Sc0000000	6071113	6071318	+	206	2	12	24	3	0
lncRNA_611	Pocillopora_meandrina_HIv1___Sc0000000	6089354	6089650	+	297	0	10	23	23	0
lncRNA_612	Pocillopora_meandrina_HIv1___Sc0000000	6169163	6169589	+	427	6	6	33	17	26
lncRNA_613	Pocillopora_meandrina_HIv1___Sc0000000	6179212	6179583	+	372	0	26	39	29	4
lncRNA_614	Pocillopora_meandrina_HIv1___Sc0000000	6208672	6208893	+	222	0	0	0	20	0
lncRNA_615	Pocillopora_meandrina_HIv1___Sc0000000	6256841	6257363	+	523	5	6	19	43	6
lncRNA_616	Pocillopora_meandrina_HIv1___Sc0000000	6322129	6322442	+	314	0	0	48	0	0
lncRNA_617	Pocillopora_meandrina_HIv1___Sc0000000	6330166	6330770	+	605	0	16	18	22	64
lncRNA_618	Pocillopora_meandrina_HIv1___Sc0000000	6336898	6337156	+	259	25.33	110.50	23.67	117.17	3.75
lncRNA_619	Pocillopora_meandrina_HIv1___Sc0000000	6350036	6350281	+	246	0	0	8	2	20
lncRNA_620	Pocillopora_meandrina_HIv1___Sc0000000	6353296	6353503	+	208	0	0	9	5	15
lncRNA_621	Pocillopora_meandrina_HIv1___Sc0000000	6383191	6383780	+	590	17.69	6.26	17.43	50.86	6.49
lncRNA_622	Pocillopora_meandrina_HIv1___Sc0000000	6398158	6398382	+	225	0	18	10	1	4
lncRNA_623	Pocillopora_meandrina_HIv1___Sc0000000	6607157	6608226	+	1070	58	26	11	8	43
lncRNA_624	Pocillopora_meandrina_HIv1___Sc0000000	6648883	6649147	+	265	24	0	0	1	0
lncRNA_625	Pocillopora_meandrina_HIv1___Sc0000000	6650696	6650955	+	260	0	1	0	21	0
lncRNA_626	Pocillopora_meandrina_HIv1___Sc0000000	6651225	6651506	+	282	7	0	12	34	0
lncRNA_627	Pocillopora_meandrina_HIv1___Sc0000000	6660373	6660695	+	323	0	24	42	31	0
lncRNA_628	Pocillopora_meandrina_HIv1___Sc0000000	6799385	6799722	+	338	0	0	0	0	26
lncRNA_629	Pocillopora_meandrina_HIv1___Sc0000000	6879624	6880022	+	399	0	6	14	15.50	0.50
lncRNA_630	Pocillopora_meandrina_HIv1___Sc0000000	6882744	6883029	+	286	0	6	32	1	2
lncRNA_631	Pocillopora_meandrina_HIv1___Sc0000000	6958591	6958816	+	226	0	28	14	11	0
lncRNA_632	Pocillopora_meandrina_HIv1___Sc0000000	7028456	7028908	+	453	0	1	19	1	39
lncRNA_633	Pocillopora_meandrina_HIv1___Sc0000000	7041904	7042212	+	309	0	3	17	33	4
lncRNA_634	Pocillopora_meandrina_HIv1___Sc0000000	7129380	7129654	+	275	6	9	4	35	33
lncRNA_635	Pocillopora_meandrina_HIv1___Sc0000000	7132025	7132317	+	293	0	0	26	0	2
lncRNA_636	Pocillopora_meandrina_HIv1___Sc0000000	7199611	7200126	+	516	2	9	16	54	0
lncRNA_637	Pocillopora_meandrina_HIv1___Sc0000000	7257157	7257417	+	261	0	20	0	0	0
lncRNA_638	Pocillopora_meandrina_HIv1___Sc0000000	7289350	7289552	+	203	0	1	2	16	0
lncRNA_639	Pocillopora_meandrina_HIv1___Sc0000000	7350451	7350730	+	280	0	0	0	35	0
lncRNA_640	Pocillopora_meandrina_HIv1___Sc0000000	7352376	7352630	+	255	7.09	1.79	32.75	0.14	6.02
lncRNA_641	Pocillopora_meandrina_HIv1___Sc0000000	7709513	7709800	+	288	0	3	0	0	14
lncRNA_642	Pocillopora_meandrina_HIv1___Sc0000000	7722029	7722264	+	236	7.32	2.01	31.66	0.14	4.34
lncRNA_643	Pocillopora_meandrina_HIv1___Sc0000000	7730022	7730387	+	366	2	35.75	91.50	32.50	5
lncRNA_644	Pocillopora_meandrina_HIv1___Sc0000000	7737440	7737721	+	282	0	12.50	21	27.33	0
lncRNA_645	Pocillopora_meandrina_HIv1___Sc0000000	7763752	7764073	+	322	0	7.33	16	84.93	15.67
lncRNA_646	Pocillopora_meandrina_HIv1___Sc0000000	7785666	7786031	+	366	0	27.50	18.17	65.50	0
lncRNA_647	Pocillopora_meandrina_HIv1___Sc0000000	7791542	7791813	+	272	11.53	22.27	12.60	5.00	7.65
lncRNA_648	Pocillopora_meandrina_HIv1___Sc0000000	7796898	7797122	+	225	0	1	1.50	16.67	0
lncRNA_649	Pocillopora_meandrina_HIv1___Sc0000000	7804779	7805439	+	661	0	13.00	16.00	4	88.50
lncRNA_650	Pocillopora_meandrina_HIv1___Sc0000000	7816032	7816355	+	324	0	1	3.50	0	28
lncRNA_651	Pocillopora_meandrina_HIv1___Sc0000000	7819191	7819460	+	270	20	0	0	6	0
lncRNA_652	Pocillopora_meandrina_HIv1___Sc0000000	7869386	7869601	+	216	0	2	16	29	0
lncRNA_653	Pocillopora_meandrina_HIv1___Sc0000000	7871407	7871794	+	388	0	0	2	6	20
lncRNA_654	Pocillopora_meandrina_HIv1___Sc0000000	7884150	7884354	+	205	0	22	21	25	2
lncRNA_655	Pocillopora_meandrina_HIv1___Sc0000000	7906821	7907181	+	361	0	20	21	66	0
lncRNA_656	Pocillopora_meandrina_HIv1___Sc0000000	7925558	7926026	+	469	0	7	37	3	6
lncRNA_657	Pocillopora_meandrina_HIv1___Sc0000000	7998843	7999100	+	258	18	3	3	0	0
lncRNA_658	Pocillopora_meandrina_HIv1___Sc0000000	8019472	8020250	+	779	0	82	38	50	11
lncRNA_659	Pocillopora_meandrina_HIv1___Sc0000000	8052515	8052824	+	310	24	0	0	0	0
lncRNA_660	Pocillopora_meandrina_HIv1___Sc0000000	8290971	8291977	+	1007	69.30	272.58	973.13	444.42	91.67
lncRNA_661	Pocillopora_meandrina_HIv1___Sc0000000	8337939	8338166	+	228	0	15	13	0	5
lncRNA_662	Pocillopora_meandrina_HIv1___Sc0000000	8364919	8365244	+	326	133	110	105	96	276
lncRNA_663	Pocillopora_meandrina_HIv1___Sc0000000	8449438	8449705	+	268	7	2	15	42	0
lncRNA_664	Pocillopora_meandrina_HIv1___Sc0000000	8637870	8638209	+	340	0	20	40	36	0
lncRNA_665	Pocillopora_meandrina_HIv1___Sc0000000	8644976	8645445	+	470	0	38.67	49.00	59.83	10
lncRNA_666	Pocillopora_meandrina_HIv1___Sc0000000	8658545	8658934	+	390	12	14.50	27.50	23.65	10.78
lncRNA_667	Pocillopora_meandrina_HIv1___Sc0000000	8659619	8660537	+	919	134.18	77.82	150.20	179.87	122.59
lncRNA_668	Pocillopora_meandrina_HIv1___Sc0000000	8872498	8872806	+	309	10.91	4.63	11.33	7.23	23.09
lncRNA_669	Pocillopora_meandrina_HIv1___Sc0000000	8926560	8926910	+	351	31	24	0	2	5
lncRNA_670	Pocillopora_meandrina_HIv1___Sc0000000	8939590	8939872	+	283	6.00	0.07	1.67	2.10	9.67
lncRNA_671	Pocillopora_meandrina_HIv1___Sc0000000	8985253	8985761	+	509	0	25	65	179	0
lncRNA_672	Pocillopora_meandrina_HIv1___Sc0000000	8995768	8995985	+	218	0	18	0	0	0
lncRNA_673	Pocillopora_meandrina_HIv1___Sc0000000	8999371	8999613	+	243	0	18	4	1	0
lncRNA_674	Pocillopora_meandrina_HIv1___Sc0000000	9000768	9001591	+	824	0	23	66	32	0
lncRNA_675	Pocillopora_meandrina_HIv1___Sc0000000	9058839	9059577	+	739	86.77	106.53	159.81	103.93	101.00
lncRNA_676	Pocillopora_meandrina_HIv1___Sc0000000	9089687	9090351	+	665	0	54	7	3	8
lncRNA_677	Pocillopora_meandrina_HIv1___Sc0000000	9293685	9293972	+	288	10	0	18	42	7
lncRNA_678	Pocillopora_meandrina_HIv1___Sc0000000	9439696	9440086	+	391	0.64	32.89	11.71	20.73	7.73
lncRNA_679	Pocillopora_meandrina_HIv1___Sc0000000	9445853	9446397	+	545	18.37	69.12	22.14	22.20	15.67
lncRNA_680	Pocillopora_meandrina_HIv1___Sc0000000	9499738	9500008	+	271	0	0	21	0	0
lncRNA_681	Pocillopora_meandrina_HIv1___Sc0000000	9501244	9501657	+	414	0	14	11	37	0
lncRNA_682	Pocillopora_meandrina_HIv1___Sc0000000	9598636	9598883	+	248	49.56	71.66	55.13	90.00	18.43
lncRNA_683	Pocillopora_meandrina_HIv1___Sc0000000	9676263	9677953	+	1691	73	45.50	67.50	127	38
lncRNA_684	Pocillopora_meandrina_HIv1___Sc0000000	9809350	9810531	+	1182	0	0	0	448.17	509.50
lncRNA_685	Pocillopora_meandrina_HIv1___Sc0000000	9811488	9812155	+	668	0	25	114.67	39.83	6.17
lncRNA_686	Pocillopora_meandrina_HIv1___Sc0000000	9817740	9818369	+	630	0	6.50	31.50	52.83	0
lncRNA_687	Pocillopora_meandrina_HIv1___Sc0000000	9822448	9822855	+	408	0	0	0	50.00	2
lncRNA_688	Pocillopora_meandrina_HIv1___Sc0000000	9825458	9825731	+	274	0	0	0	50	0
lncRNA_689	Pocillopora_meandrina_HIv1___Sc0000000	9844837	9845500	+	664	0	151.50	37.67	51.50	0
lncRNA_690	Pocillopora_meandrina_HIv1___Sc0000000	9851632	9851916	+	285	7.20	0.75	5.40	0.54	13.25
lncRNA_691	Pocillopora_meandrina_HIv1___Sc0000000	9898061	9898297	+	237	4.33	16.45	1	4.38	3.10
lncRNA_692	Pocillopora_meandrina_HIv1___Sc0000000	9900520	9902101	+	1582	377.70	108.50	129.36	49.04	36.67
lncRNA_693	Pocillopora_meandrina_HIv1___Sc0000000	9906184	9906664	+	481	39.66	8.46	23.85	16.17	19.73
lncRNA_694	Pocillopora_meandrina_HIv1___Sc0000000	9911504	9911963	+	460	4.17	0	14.50	13.83	47.83
lncRNA_695	Pocillopora_meandrina_HIv1___Sc0000000	10030254	10030539	+	286	185.50	169.04	69.80	231.48	237.90
lncRNA_696	Pocillopora_meandrina_HIv1___Sc0000000	10323943	10324153	+	211	0	0	0	19	0
lncRNA_697	Pocillopora_meandrina_HIv1___Sc0000000	10327052	10327350	+	299	0	0	0	28	0
lncRNA_698	Pocillopora_meandrina_HIv1___Sc0000000	10355570	10355798	+	229	0	9	22	6	0
lncRNA_699	Pocillopora_meandrina_HIv1___Sc0000000	10368632	10368985	+	354	0	4	34	0	0
lncRNA_700	Pocillopora_meandrina_HIv1___Sc0000000	10404801	10405828	+	1028	14	75	26	104	0
lncRNA_701	Pocillopora_meandrina_HIv1___Sc0000000	10407984	10408194	+	211	0	0	16	0	0
lncRNA_702	Pocillopora_meandrina_HIv1___Sc0000000	10409574	10409803	+	230	0	0	16	27	2
lncRNA_703	Pocillopora_meandrina_HIv1___Sc0000000	10412213	10412438	+	226	0	2	0	39	0
lncRNA_704	Pocillopora_meandrina_HIv1___Sc0000000	10517922	10518130	+	209	0	16	7	9	0
lncRNA_705	Pocillopora_meandrina_HIv1___Sc0000000	10598229	10598501	+	273	0	0	0	28	0
lncRNA_706	Pocillopora_meandrina_HIv1___Sc0000000	10733507	10734205	+	699	2	40	71	43	0
lncRNA_707	Pocillopora_meandrina_HIv1___Sc0000000	10751562	10752280	+	719	0	22	44	60	0
lncRNA_708	Pocillopora_meandrina_HIv1___Sc0000000	10796027	10796434	+	408	18.50	0	37.67	79.83	6
lncRNA_709	Pocillopora_meandrina_HIv1___Sc0000000	10809569	10809803	+	235	0.63	22.27	10.25	2.50	8.50
